person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Гавричков Александр Иванович,декларант,https://declarator.org/person/138337,Брянская областная Дума,Брянская область,Кандидат в депутаты регионального законодательного собрания,2023,Земельный участок,10258.0,Долевая собственность
Гавричков Александр Иванович,декларант,https://declarator.org/person/138337,Брянская областная Дума,Брянская область,Кандидат в депутаты регионального законодательного собрания,2023,Земельный участок,2307.14,Долевая собственность
Гавричков Александр Иванович,декларант,https://declarator.org/person/138337,Брянская областная Дума,Брянская область,Кандидат в депутаты регионального законодательного собрания,2023,Жилой дом,93.8,Долевая собственность
Гавричков Александр Иванович,декларант,https://declarator.org/person/138337,Брянская областная Дума,Брянская область,Кандидат в депутаты регионального законодательного собрания,2023,Иное,586.63,Долевая собственность
Дмитриева Оксана Генриховна,Супруг(а),https://declarator.org/person/71,Государственная Дума,федеральный орган,"Депутат государственной думы, член комитета",2021,Жилой дом,99.0,Индивидуальная
Савченко Олег Владимирович,Супруг(а),https://declarator.org/person/290,Государственная Дума,федеральный орган,"Депутат государственной думы, заместитель председателя комитетa",2021,Земельный участок,4025.1,Индивидуальная
Савченко Олег Владимирович,Супруг(а),https://declarator.org/person/290,Государственная Дума,федеральный орган,"Депутат государственной думы, заместитель председателя комитетa",2021,Жилой дом,338.8,Индивидуальная
Саломатина Е А,декларант,https://declarator.org/person/113695,Министерство обороны,федеральный орган,,2021,Жилой дом,130.0,Индивидуальная
Стилиди Иван Сократович,декларант,https://declarator.org/person/146110,Министерство здравоохранения,федеральный орган,директор ФГБУ «Национальный медицинский исследовательский центр онкологии имени Н.Н. Блохина» Минздрава России,2021,Земельный участок,11500.0,Индивидуальная
Саломатина Е А,декларант,https://declarator.org/person/113695,Министерство обороны,федеральный орган,,2021,Жилой дом,130.0,Индивидуальная
Порфириадис М П,декларант,https://declarator.org/person/1175924,Министерство здравоохранения Ставропольского края,Ставропольский край,,2021,Жилой дом,244.6,Индивидуальная
Порфириадис М П,декларант,https://declarator.org/person/1175924,Министерство здравоохранения Ставропольского края,Ставропольский край,,2021,Земельный участок,186.3,Индивидуальная
Беспалов Владимир Александрович,Супруг(а),https://declarator.org/person/47909,ФГБОУ ВО Саратовский государственный технический университет имени Ю.А. Гагарина,Саратовская область,"ректор, ФГАОУ ВО ""Национальный исследовательский университет ""Московский институт электронной техники""",2021,Земельный участок,510.0,Долевая собственность
Беспалов Владимир Александрович,Супруг(а),https://declarator.org/person/47909,ФГБОУ ВО Саратовский государственный технический университет имени Ю.А. Гагарина,Саратовская область,"ректор, ФГАОУ ВО ""Национальный исследовательский университет ""Московский институт электронной техники""",2021,Жилой дом,178.0,Долевая собственность
