person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Маркарян Наталья Сергеевна,Супруг(а),https://declarator.org/person/60708,Министерство здравоохранения,федеральный орган,заместитель директора,2021,Квартира,75.0,В пользовании
Рыков О В,Супруг(а),https://declarator.org/person/1187827,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Королевстве Дания - Представители Росрыболовства за рубежом,2021,Квартира,63.0,В пользовании
Рыков О В,декларант,https://declarator.org/person/1187827,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Королевстве Дания - Представители Росрыболовства за рубежом,2021,Квартира,63.0,В пользовании
Маркарян Наталья Сергеевна,Супруг(а),https://declarator.org/person/60708,Министерство здравоохранения,федеральный орган,заместитель директора,2020,Квартира,75.0,В пользовании
Маркарян Наталья Сергеевна,Супруг(а),https://declarator.org/person/60708,Министерство здравоохранения,федеральный орган,заместитель директора,2020,Квартира,75.0,В пользовании
Маркарян Наталья Сергеевна,Супруг(а),https://declarator.org/person/60708,Министерство здравоохранения,федеральный орган,заместитель директора,2019,Квартира,75.0,В пользовании
Губкова Наталия Владимировна,Супруг(а),https://declarator.org/person/49003,Комитет по образованию,Санкт-Петербург,главный специалист Отдела развития образования,2019,Квартира,83.0,В пользовании
Губкова Наталия Владимировна,декларант,https://declarator.org/person/49003,Комитет по образованию,Санкт-Петербург,главный специалист Отдела развития образования,2019,Квартира,83.0,В пользовании
Маркарян Наталья Сергеевна,Супруг(а),https://declarator.org/person/60708,Министерство здравоохранения,федеральный орган,заместитель Директора Департамента - ,2018,Квартира,75.0,В пользовании
Губкова Наталия Владимировна,декларант,https://declarator.org/person/49003,Комитет по образованию,Санкт-Петербург,главный специалист Отдела развития образования,2018,Квартира,83.0,В пользовании
Губкова Наталия Владимировна,Супруг(а),https://declarator.org/person/49003,Комитет по образованию,Санкт-Петербург,главный специалист Отдела развития образования,2018,Квартира,83.8,В пользовании
Воложинская Татьяна Львовна,декларант,https://declarator.org/person/2956,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Королевство Дания.,2017,Квартира,109.5,В пользовании
Губкова Наталия Владимировна,Супруг(а),https://declarator.org/person/49003,Комитет по образованию,Санкт-Петербург,главный специалист Отдела развития образования,2017,Квартира,83.0,В пользовании
Воложинская Татьяна Львовна,декларант,https://declarator.org/person/2956,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,109.5,В пользовании
Филимонов Сергей Валериевич,декларант,https://declarator.org/person/373912,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,62.6,В пользовании
Биньковский А П,декларант,https://declarator.org/person/189058,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,54.0,В пользовании
Биньковский А П,Супруг(а),https://declarator.org/person/189058,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,54.0,В пользовании
Вечерко Ю Г,декларант,https://declarator.org/person/1622401,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,51.3,В пользовании
Грек Н.А.,декларант,https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Ведуший специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,51.4,В пользовании
Шапошников А.Ю.,декларант,https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,59.0,В пользовании
Воложинская Татьяна Львовна,декларант,https://declarator.org/person/2956,Министерство экономического развития,федеральный орган,Торговй представитель - Торговые представители,2015,Квартира,109.5,В пользовании
Воложинская Татьяна Львовна,декларант,https://declarator.org/person/2956,Министерство экономического развития,федеральный орган,Торговй представитель - Торговые представители,2015,Квартира,109.5,В пользовании
Жалко Александр Витальевич,Супруг(а),https://declarator.org/person/361600,Министерство экономического развития,федеральный орган,Заместитель Торгового представителя - Заместители торговых представителей,2015,Квартира,66.0,В пользовании
Жалко Александр Витальевич,Супруг(а),https://declarator.org/person/361600,Министерство экономического развития,федеральный орган,Заместитель Торгового представителя - Заместители торговых представителей,2015,Квартира,66.0,В пользовании
Биньковский А П,Супруг(а),https://declarator.org/person/189058,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2015,Квартира,54.0,В пользовании
Биньковский А П,декларант,https://declarator.org/person/189058,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2015,Квартира,54.0,В пользовании
Биньковский А П,декларант,https://declarator.org/person/189058,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2015,Квартира,54.0,В пользовании
Биньковский А П,Супруг(а),https://declarator.org/person/189058,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2015,Квартира,54.0,В пользовании
Губкова Наталия Владимировна,Супруг(а),https://declarator.org/person/49003,Комитет по образованию,Санкт-Петербург,главный специалист Отдела развития образования,2015,Квартира,40.0,В пользовании
Губкова Наталия Владимировна,Супруг(а),https://declarator.org/person/49003,Комитет по образованию,Санкт-Петербург,главный специалист Отдела развития образования,2015,Квартира,40.0,В пользовании
