person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Токарев Сергей Александрович,декларант,https://declarator.org/person/1639770,Законодательное Собрание Ямало-Ненецкого автономного округа,Ямало-Ненецкий автономный округ,Кандидат в депутаты регионального законодательного собрания,2024,Иное,29.98,Совместная собственность
Поздеева Любовь Владиславовна,декларант,https://declarator.org/person/719112,Законодательное Собрание Ямало-Ненецкого автономного округа,Ямало-Ненецкий автономный округ,Кандидат в депутаты регионального законодательного собрания,2024,Квартира,47.87,Индивидуальная
Катухин Игорь Васильевич,декларант,https://declarator.org/person/595615,Губернатор Вологодской области,Вологодская область,Кандидат на должность главы региона (Российская партия пенсионеров за социальную справедливость),2023,Квартира,57.1,Совместная собственность
Катухин Игорь Васильевич,Супруг(а),https://declarator.org/person/595615,Губернатор Вологодской области,Вологодская область,Кандидат на должность главы региона (Российская партия пенсионеров за социальную справедливость),2023,Квартира,57.1,Совместная собственность
Лютиков Эдуард Геннадьевич,декларант,https://declarator.org/person/1541096,Московская городская Дума,Москва,Кандидат в депутаты регионального законодательного собрания,2023,Квартира,91.18,Индивидуальная
Лихачев Александр Сергеевич,Ребенок,https://declarator.org/person/1532533,Министерство труда и социальной защиты Республики Марий Эл,Республика Марий Эл,заместитель министра социального развития Респулики Марий Эл,2022,Квартира,45.3,В пользовании
Лихачев Александр Сергеевич,декларант,https://declarator.org/person/1532533,Министерство труда и социальной защиты Республики Марий Эл,Республика Марий Эл,заместитель министра социального развития Респулики Марий Эл,2022,Квартира,45.3,Индивидуальная
Лихачев Александр Сергеевич,Супруг(а),https://declarator.org/person/1532533,Министерство труда и социальной защиты Республики Марий Эл,Республика Марий Эл,заместитель министра социального развития Респулики Марий Эл,2022,Квартира,45.3,В пользовании
Пешков Дмитрий Александрович,Супруг(а),https://declarator.org/person/1534447,Департамент финансов ХМАО-Югры,Ханты-Мансийский автономный округ — Югра,,2022,Квартира,45.2,Долевая собственность
Пешков Дмитрий Александрович,декларант,https://declarator.org/person/1534447,Департамент финансов ХМАО-Югры,Ханты-Мансийский автономный округ — Югра,,2022,Квартира,45.2,Долевая собственность
Пискайкин Владимир Юрьевич,декларант,https://declarator.org/person/14912,Губернатор Тюменской области,Тюменская область,Кандидат на должность главы региона,2022,Квартира,114.4,Долевая собственность
Беляев Алексей Александрович,Супруг(а),https://declarator.org/person/16443,Префектура Северо-Восточного административного округа,Москва,Префект Северо-Восточного административного округа города Москвы,2021,Квартира,70.4,Индивидуальная
Берулава Михаил Николаевич,Супруг(а),https://declarator.org/person/390,Государственная Дума,федеральный орган,"Депутат государственной думы, первый заместитель председателя комитетa",2021,Квартира,51.88,Индивидуальная
Берулава Михаил Николаевич,Супруг(а),https://declarator.org/person/390,Государственная Дума,федеральный орган,"Депутат государственной думы, первый заместитель председателя комитетa",2021,Квартира,52.58,Индивидуальная
Пахомов Сергей Александрович,Супруг(а),https://declarator.org/person/17097,Государственная Дума,федеральный орган,"Депутат государственной думы, председатель комитетa",2021,Квартира,61.44,Совместная собственность
