person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Асанов Р Т,Супруг(а),https://declarator.org/person/1371766,Федеральное агентство по рыболовству,федеральный орган,Руководитель Представительства Росрыболовства в Исламской Республике Иран - Представители Росрыболовства за рубежом,2021,Квартира,47.2,В пользовании
Асанов Р Т,декларант,https://declarator.org/person/1371766,Федеральное агентство по рыболовству,федеральный орган,Руководитель Представительства Росрыболовства в Исламской Республике Иран - Представители Росрыболовства за рубежом,2021,Квартира,47.2,В пользовании
Асанов Р Т,Ребенок,https://declarator.org/person/1371766,Федеральное агентство по рыболовству,федеральный орган,Руководитель Представительства Росрыболовства в Исламской Республике Иран - Представители Росрыболовства за рубежом,2021,Квартира,47.2,В пользовании
Асанов Р Т,Ребенок,https://declarator.org/person/1371766,Федеральное агентство по рыболовству,федеральный орган,Руководитель Представительства Росрыболовства в Исламской Республике Иран - Представители Росрыболовства за рубежом,2021,Квартира,47.2,В пользовании
Асанов Р Т,Ребенок,https://declarator.org/person/1371766,Федеральное агентство по рыболовству,федеральный орган,Руководитель Представительства Росрыболовства в Исламской Республике Иран - Представители Росрыболовства за рубежом,2020,Квартира,47.2,В пользовании
Асанов Р Т,декларант,https://declarator.org/person/1371766,Федеральное агентство по рыболовству,федеральный орган,Руководитель Представительства Росрыболовства в Исламской Республике Иран - Представители Росрыболовства за рубежом,2020,Квартира,47.2,В пользовании
Асанов Р Т,Ребенок,https://declarator.org/person/1371766,Федеральное агентство по рыболовству,федеральный орган,Руководитель Представительства Росрыболовства в Исламской Республике Иран - Представители Росрыболовства за рубежом,2020,Квартира,47.2,В пользовании
Асанов Р Т,Супруг(а),https://declarator.org/person/1371766,Федеральное агентство по рыболовству,федеральный орган,Руководитель Представительства Росрыболовства в Исламской Республике Иран - Представители Росрыболовства за рубежом,2020,Квартира,47.2,В пользовании
Асанов Рифат Тагирович,Ребенок,https://declarator.org/person/129716,Федеральное агентство по рыболовству,федеральный орган,Руководитель Представительства Росрыболовства в Исламской Республике Иран - Представители Росрыболовства за рубежом,2019,Квартира,47.2,В пользовании
Асанов Рифат Тагирович,Супруг(а),https://declarator.org/person/129716,Федеральное агентство по рыболовству,федеральный орган,Руководитель Представительства Росрыболовства в Исламской Республике Иран - Представители Росрыболовства за рубежом,2019,Квартира,47.2,В пользовании
Асанов Рифат Тагирович,Ребенок,https://declarator.org/person/129716,Федеральное агентство по рыболовству,федеральный орган,Руководитель Представительства Росрыболовства в Исламской Республике Иран - Представители Росрыболовства за рубежом,2019,Квартира,47.2,В пользовании
Асанов Рифат Тагирович,декларант,https://declarator.org/person/129716,Федеральное агентство по рыболовству,федеральный орган,Руководитель Представительства Росрыболовства в Исламской Республике Иран - Представители Росрыболовства за рубежом,2019,Квартира,47.2,В пользовании
Асанов Рифат Тагирович,Ребенок,https://declarator.org/person/129716,Федеральное агентство по рыболовству,федеральный орган,"Руководитель 
Представительства 
Росрыболовства в 
Исламской Республике Иран - Центральный аппарат Росрыболовства",2018,Квартира,47.2,В пользовании
