person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Песков Дмитрий Сергеевич,Ребенок,https://declarator.org/person/2607,Администрация Президента РФ,федеральный орган,Заместитель руководителя администрации Президента РФ - пресс-секретарь Президента РФ,2021,Квартира,180.0,В пользовании
Бунимович Евгений Абрамович,Супруг(а),https://declarator.org/person/167046,Московская городская Дума,Москва,Депутат Московской городской думы,2021,Квартира,50.2,Долевая собственность
Ярошук Александр Георгиевич,Ребенок,https://declarator.org/person/1788,Совет Федерации,федеральный орган,Сенатор Российской Федерации - представитель в Совете Федерации Федерального Собрания Российской Федерации от законодательного (представительного) органа государственной власти Калининградской области,2021,Жилой дом,454.19,В пользовании
Ковалюк Михаил Анатольевич,Супруг(а),https://declarator.org/person/13210,Законодательное Собрание Краснодарского края,Краснодарский край,Депутат законодательного собрания Краснодарского края,2021,Жилой дом,200.0,Совместная собственность
Ковалюк Михаил Анатольевич,декларант,https://declarator.org/person/13210,Законодательное Собрание Краснодарского края,Краснодарский край,Депутат законодательного собрания Краснодарского края,2021,Жилой дом,200.0,Совместная собственность
Ковалюк Михаил Анатольевич,декларант,https://declarator.org/person/13210,Законодательное Собрание Краснодарского края,Краснодарский край,Депутат законодательного собрания Краснодарского края,2021,Земельный участок,1000.0,Совместная собственность
Ковалюк Михаил Анатольевич,Супруг(а),https://declarator.org/person/13210,Законодательное Собрание Краснодарского края,Краснодарский край,Депутат законодательного собрания Краснодарского края,2021,Земельный участок,1000.0,Совместная собственность
Додин Л А,декларант,https://declarator.org/person/1468594,Министерство культуры,федеральный орган,Художественный руководитель-директор - Федеральное государственное бюджетное учреждение культуры «Академический Малый драматический театр – Театр Европы»,2021,Квартира,78.0,Совместная собственность
Додин Л А,Супруг(а),https://declarator.org/person/1468594,Министерство культуры,федеральный орган,Художественный руководитель-директор - Федеральное государственное бюджетное учреждение культуры «Академический Малый драматический театр – Театр Европы»,2021,Квартира,78.0,Совместная собственность
Спиваков Владимир Теодорович,декларант,https://declarator.org/person/40204,Министерство культуры,федеральный орган,Художественный руководитель - Федеральное государственное бюджетное учреждение культуры «Национальный филармонический оркестр России»,2021,Квартира,360.0,Совместная собственность
Спиваков Владимир Теодорович,Супруг(а),https://declarator.org/person/40204,Министерство культуры,федеральный орган,Художественный руководитель - Федеральное государственное бюджетное учреждение культуры «Национальный филармонический оркестр России»,2021,Квартира,360.0,Совместная собственность
Скобелев Д О,Супруг(а),https://declarator.org/person/189772,Министерство промышленности и торговли,федеральный орган,Директор ФГАУ «Научно-исследовательский институт «Центр экологической промышленной политики»,2021,Земельный участок,1850.0,Индивидуальная
Скобелев Д О,Супруг(а),https://declarator.org/person/189772,Министерство промышленности и торговли,федеральный орган,Директор ФГАУ «Научно-исследовательский институт «Центр экологической промышленной политики»,2021,Жилой дом,240.0,Индивидуальная
Симонов Алексей Иванович,Ребенок,https://declarator.org/person/747881,Правительство Нижегородской области,Нижегородская область,"заместитель министра, начальник управления муниципальной политики министерства внутренней региональной и муниципальной политики Нижегородской области - 1 Указываются сведения об источниках получения средств по каждой сделке по приобретению земельного участка, другого объекта недвижимости, транспортного средства, ценных бумаг, акций (долей участия, паев в уставных (складочных) капиталах организаций), совершенной лицом, представляющим сведения, его супругой (супругом) и (или) несовершеннолетними детьми в течение календарного года, предшествующего году представления сведений (далее - отчетный период), если общая сумма таких сделок превышает общий доход данного лица и его супруги (супруга) за три последних года, предшествующих отчетному периоду.",2021,Квартира,54.0,В пользовании
Симонов Алексей Иванович,Ребенок,https://declarator.org/person/747881,Министерство внутренней региональной и муниципальной политики Нижегородской области,Нижегородская область,"заместитель министра, начальник управления муниципальной политики министерства внутренней региональной и муниципальной политики Нижегородской области",2021,Квартира,54.0,В пользовании
Севастьянов Н Н,Ребенок,https://declarator.org/person/395348,Государственная корпорация по космической деятельности «Роскосмос»,федеральный орган,Советник генерального директора,2021,Квартира,40.0,Индивидуальная
Севастьянов Н Н,Ребенок,https://declarator.org/person/395348,Государственная корпорация по космической деятельности «Роскосмос»,федеральный орган,Советник генерального директора,2021,Гараж,19.0,Индивидуальная
Абаев Зоинбек Мюратович,декларант,https://declarator.org/person/354911,Департамент здравоохранения города Москвы,Москва,"главный врач ГАУЗ ""СП № 5 ДЗМ""",2021,Квартира,110.0,Индивидуальная
Мясников Александр Леонидович,Супруг(а),https://declarator.org/person/132832,Департамент здравоохранения города Москвы,Москва,"главный врач ГБУЗ ""ГКБ им. М.Е.Жадкевича ДЗМ""",2021,Квартира,30.0,Индивидуальная
Моисеев Сергей Вениаминович,Супруг(а),https://declarator.org/person/12187,Архангельское областное Собрание депутатов,Архангельская область,Депутат Архангельского областного собрания депутатов,2021,Жилой дом,187.0,Индивидуальная
Романов Сергей Викторович,Ребенок,https://declarator.org/person/14914,Тюменская областная Дума,Тюменская область,Депутат Тюменской областной думы,2021,Квартира,98.0,В пользовании
