person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Третьяк Владислав Александрович,декларант,https://declarator.org/person/263,Государственная Дума,федеральный орган,"Депутат государственной думы, член комитета",2021,Земельный участок,466.0,Индивидуальная
Третьяк Владислав Александрович,декларант,https://declarator.org/person/263,Государственная Дума,федеральный орган,"Депутат государственной думы, член комитета",2021,Квартира,191.0,Индивидуальная
Третьяк Владислав Александрович,декларант,https://declarator.org/person/263,Государственная Дума,федеральный орган,"Депутат государственной думы, член комитета",2021,Квартира,192.8,Индивидуальная
Третьяк Владислав Александрович,декларант,https://declarator.org/person/263,Государственная Дума,федеральный орган,"Депутат государственной думы, член комитета",2021,Земельный участок,292.0,Индивидуальная
Кравцова И А,декларант,https://declarator.org/person/571811,Кабинет министров республики Адыгея,Республика Адыгея,"Заместитель начальника Управления государственных инспекций по надзору за строительством зданий, сооружений и эксплуатацией жилищного фонда Республики Адыгея – начальник государственной жилищной инспекции Республики Адыгея",2021,Квартира,53.3,Индивидуальная
Иванова Ирина Юрьевна,Супруг(а),https://declarator.org/person/1517891,Комитет социальной защиты населения Волгоградской области,Волгоградская область,заместитель начальника отдела,2021,Квартира,31.7,Долевая собственность
Иванова Ирина Юрьевна,декларант,https://declarator.org/person/1517891,Комитет социальной защиты населения Волгоградской области,Волгоградская область,заместитель начальника отдела,2021,Квартира,31.7,Долевая собственность
Иванов Андрей Сергеевич,Супруг(а),https://declarator.org/person/41331,Судебный департамент при Верховном Суде РФ,федеральный орган,Заместитель начальника отдела,2021,Земельный участок,2239.0,Долевая собственность
Иванов Андрей Сергеевич,Супруг(а),https://declarator.org/person/41331,Судебный департамент при Верховном Суде РФ,федеральный орган,Заместитель начальника отдела,2021,Квартира,86.4,Совместная собственность
Турчанинов Андрей Александрович,Супруг(а),https://declarator.org/person/792931,Правительство Ненецкого АО,Ненецкий автономный округ,Директор КУ НАО «Служба материально-технического обеспечения деятельности органов государственной власти Ненецкого автономного округа»,2021,Земельный участок,570.0,Индивидуальная
Войтас Игорь Борисович,декларант,https://declarator.org/office/9267?active-tab=year-2021,Министерство социального развития Московской области,Московская область,"Директор Государственного бюджетного учреждения Московской области ""Центр инноваций социальной сферы""",2021,Земельный участок,1713.0,В собственности
Войтас Игорь Борисович,декларант,https://declarator.org/office/9267?active-tab=year-2021,Министерство социального развития Московской области,Московская область,"Директор Государственного бюджетного учреждения Московской области ""Центр инноваций социальной сферы""",2021,Жилой дом,261.9,В собственности
Войтас Игорь Борисович,декларант,https://declarator.org/office/9267?active-tab=year-2021,Министерство социального развития Московской области,Московская область,"Директор Государственного бюджетного учреждения Московской области ""Центр инноваций социальной сферы""",2021,Земельный участок,1671.0,В собственности
Фокин В В,декларант,https://declarator.org/person/374195,Министерство культуры,федеральный орган,Художественный руководитель - Федеральное государственное бюджетное учреждение культуры «Национальный драматический театр России (Александринский театр)»,2021,Гараж,721.6,Долевая собственность
Фокин В В,Супруг(а),https://declarator.org/person/374195,Министерство культуры,федеральный орган,Художественный руководитель - Федеральное государственное бюджетное учреждение культуры «Национальный драматический театр России (Александринский театр)»,2021,Квартира,136.0,Долевая собственность
Фокин В В,декларант,https://declarator.org/person/374195,Министерство культуры,федеральный орган,Художественный руководитель - Федеральное государственное бюджетное учреждение культуры «Национальный драматический театр России (Александринский театр)»,2021,Квартира,136.0,Долевая собственность
Синельников-Мурылев Сергей Германович,Супруг(а),https://declarator.org/person/11758,Министерство экономического развития,федеральный орган,"Ректор - Федеральное государственное бюджетное образовательное учреждение высшего образования 
«Всероссийская академия внешней торговли Министерства экономического развития Российской Федерации»",2021,Квартира,114.3,Долевая собственность
Козырева Лидия Альбертовна,Супруг(а),https://declarator.org/person/53550,Администрация Петродворцового района,Санкт-Петербург,заведующий государственного бюджетного дошкольного образовательного учреждения детского сада № 12 общеразвивающего вида с приоритетным осуществлением художественно-эстетического развития воспитанников Петродворцового района Санкт-Петербурга,2021,Квартира,54.6,Индивидуальная
Моисеенко Инна Петровна,декларант,https://declarator.org/person/53566,Администрация Петродворцового района,Санкт-Петербург,директор государственного бюджетного общеобразовательного учреждения Петергофской гимназии императора Александра II,2021,Квартира,41.5,Индивидуальная
Ряскин Александр Николаевич,декларант,https://declarator.org/person/48613,Комитет по здравоохранению,Санкт-Петербург,"директор, Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение «Медицинский колледж № 2»",2021,Квартира,55.7,Совместная собственность
Ряскин Александр Николаевич,Супруг(а),https://declarator.org/person/48613,Комитет по здравоохранению,Санкт-Петербург,"директор, Санкт-Петербургское государственное бюджетное профессиональное образовательное учреждение «Медицинский колледж № 2»",2021,Квартира,55.7,Совместная собственность
Бабаев К.В.,декларант,https://declarator.org/office/6742?active-tab=year-2021,Министерство науки и высшего образования,федеральный орган,ИО директора Федерального государственного бюджетного учреждения науки Институт Дальнего Востока Российской академии наук,2021,Квартира,154.2,Индивидуальная
Носовской Тарас Иванович,Супруг(а),https://declarator.org/person/68826,Федеральная служба в сфере защиты прав потребителей и благополучия человека,федеральный орган,Руководитель Управления Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека по Архангельской области,2021,Квартира,38.1,В собственности
Бычкова Анна Владимировна,Супруг(а),https://declarator.org/person/424392,Департамент городского имущества города Москвы,Москва,Консультант - Управление правового обеспечения в сфере земельно-правовых отношений,2021,Квартира,57.8,Индивидуальная
Тепляков А С,Супруг(а),https://declarator.org/person/1249420,Департамент городского имущества города Москвы,Москва,Начальник отдела - Управление корпоративных отношений,2021,Жилой дом,572.0,Совместная собственность
Малыхин Игорь Вячеславович,Супруг(а),https://declarator.org/person/62001,Министерство промышленности и торговли,федеральный орган,Начальник отдела,2021,Квартира,75.6,В пользовании
Грибалёва Т А,декларант,https://declarator.org/person/489256,Правительство Псковской области,Псковская область,Заместитель начальника отдела,2021,Квартира,50.9,Индивидуальная
Шеметова И О,декларант,https://declarator.org/person/1317500,"Департамент тарифной политики, энергетики и жилищно-коммунального комплекса Ямало-Ненецкого АО",Ямало-Ненецкий автономный округ,начальник отдела регулирования в социальной сфере управления цен и тарифов в непроизводственной сфере,2021,Квартира,46.1,Индивидуальная
Шеметова И О,декларант,https://declarator.org/person/1317500,"Департамент тарифной политики, энергетики и жилищно-коммунального комплекса Ямало-Ненецкого АО",Ямало-Ненецкий автономный округ,начальник отдела регулирования в социальной сфере управления цен и тарифов в непроизводственной сфере,2021,Квартира,32.0,Индивидуальная
Ужва В В,декларант,https://declarator.org/person/806027,ФГАОУ ВО Национальный исследовательский ядерный университет МИФИ,Москва,И.о. проректора,2021,Квартира,53.1,Индивидуальная
Синельников-Мурылев Сергей Германович,Супруг(а),https://declarator.org/person/11758,ФГБОУ ВО Всероссийская академия внешней торговли министерства экономического развития Российской Федерации,Москва,"Ректор - Федеральное государственное бюджетное образовательное учреждение высшего образования 
«Всероссийская академия внешней торговли Министерства экономического развития Российской Федерации»",2021,Квартира,114.3,Долевая собственность
Рубцов Виталий Владимирович,декларант,https://declarator.org/person/61344,ФГБОУ ВО Московский государственный психолого-педагогический университет,Москва,Президент,2021,Квартира,110.0,Долевая собственность
Бучнева Наталья Николаевна,декларант,https://declarator.org/person/429831,Департамент здравоохранения города Москвы,Москва,"главный врач ГБУЗ ""ДГП № 129 ДЗМ""",2021,Квартира,49.7,Долевая собственность
Тесвина Тамара Викторовна,декларант,https://declarator.org/person/794548,Сургутский район,Ханты-Мансийский автономный округ — Югра,главный специалист,2021,Квартира,31.1,В собственности
Живаев Павел Николаевич,декларант,https://declarator.org/person/64416,Управление делами Президента,федеральный орган,заместитель начальника Главного управления,2021,Квартира,91.3,Индивидуальная
