person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Пискайкин Владимир Юрьевич,декларант,https://declarator.org/person/14912,Губернатор Тюменской области,Тюменская область,Кандидат на должность главы региона,2022,Гараж,13.8,Индивидуальная
Пискайкин Владимир Юрьевич,декларант,https://declarator.org/person/14912,Губернатор Тюменской области,Тюменская область,Кандидат на должность главы региона,2022,Гараж,13.9,Индивидуальная
Пискайкин Владимир Юрьевич,декларант,https://declarator.org/person/14912,Губернатор Тюменской области,Тюменская область,Кандидат на должность главы региона,2022,Квартира,132.4,Индивидуальная
Пискайкин Владимир Юрьевич,декларант,https://declarator.org/person/14912,Губернатор Тюменской области,Тюменская область,Кандидат на должность главы региона,2022,Гараж,12.3,Индивидуальная
Пискайкин Владимир Юрьевич,декларант,https://declarator.org/person/14912,Губернатор Тюменской области,Тюменская область,Кандидат на должность главы региона,2022,Земельный участок,94.4,Индивидуальная
Пискайкин Владимир Юрьевич,декларант,https://declarator.org/person/14912,Губернатор Тюменской области,Тюменская область,Кандидат на должность главы региона,2022,Квартира,112.9,Индивидуальная
Козлов Юрий Андреевич,декларант,https://declarator.org/person/1526978,Законодательное собрание Иркутской области,Иркутская область,Кандидат в депутаты регионального законодательного собрания,2022,Гараж,3.0,Долевая собственность
Козлов Юрий Андреевич,декларант,https://declarator.org/person/1526978,Законодательное собрание Иркутской области,Иркутская область,Кандидат в депутаты регионального законодательного собрания,2022,Квартира,50.0,Долевая собственность
Глебова Любовь Николаевна,Супруг(а),https://declarator.org/person/4538,Совет Федерации,федеральный орган,Сенатор Российской Федерации - представитель в Совете Федерации Федерального Собрания Российской Федерации от исполнительного органа государственной власти Удмуртской Республики,2021,Земельный участок,541.0,Долевая собственность
Глебова Любовь Николаевна,Супруг(а),https://declarator.org/person/4538,Совет Федерации,федеральный орган,Сенатор Российской Федерации - представитель в Совете Федерации Федерального Собрания Российской Федерации от исполнительного органа государственной власти Удмуртской Республики,2021,Жилой дом,541.0,Долевая собственность
