person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Слизков Алексей Владимирович,декларант,https://declarator.org/person/63642,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Федерация Малайзия.,2017,Квартира,111.9,В пользовании
Слизков Алексей Владимирович,Супруг(а),https://declarator.org/person/63642,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Федерация Малайзия.,2017,Квартира,111.9,В пользовании
Слизков Алексей Владимирович,декларант,https://declarator.org/person/63642,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,111.9,В пользовании
Слизков Алексей Владимирович,Супруг(а),https://declarator.org/person/63642,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,111.9,В пользовании
Фонтанов Ю А,декларант,https://declarator.org/person/189884,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,78.4,В пользовании
Фонтанов Ю А,Супруг(а),https://declarator.org/person/189884,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,78.4,В пользовании
Кондратьев А А,декларант,https://declarator.org/person/1021658,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,45.2,В пользовании
Кондратьев А А,Супруг(а),https://declarator.org/person/1021658,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,45.2,В пользовании
Цветкова Г Г,декларант,https://declarator.org/person/1622410,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,48.9,В пользовании
Цветкова Г Г,Супруг(а),https://declarator.org/person/1622410,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,48.9,В пользовании
Слизков Алексей Владимирович,Супруг(а),https://declarator.org/person/63642,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,111.9,В пользовании
Слизков Алексей Владимирович,декларант,https://declarator.org/person/63642,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,111.9,В пользовании
Слизков Алексей Владимирович,Супруг(а),https://declarator.org/person/63642,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,111.9,В пользовании
