person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Тарасов М Д,декларант,https://declarator.org/person/1243635,Федеральное агентство по рыболовству,федеральный орган,Руководитель представительства Росрыболовства в Королевстве Марокко - Представители Росрыболовства за рубежом,2021,Квартира,98.0,В пользовании
Тарасов М Д,декларант,https://declarator.org/person/1243635,Федеральное агентство по рыболовству,федеральный орган,Руководитель представительства Росрыболовства в Королевстве Марокко - Представители Росрыболовства за рубежом,2020,Квартира,98.0,В пользовании
Молчанюк Андрей Владимирович,декларант,https://declarator.org/person/129723,Федеральное агентство по рыболовству,федеральный орган,Руководитель представительства Росрыболовства в Королевстве Марокко - Представители Росрыболовства за рубежом,2019,Квартира,99.0,В пользовании
Молчанюк Андрей Владимирович,декларант,https://declarator.org/person/129723,Федеральное агентство по рыболовству,федеральный орган,"Руководитель представительства Росрыболовства в 
Королевстве Марокко - Центральный аппарат Росрыболовства",2018,Квартира,83.0,В пользовании
Молчанюк Андрей Владимирович,декларант,https://declarator.org/person/129723,Федеральное агентство по рыболовству,федеральный орган,"Руководитель представительства Росрыболовства в 
Королевстве Марокко - Центральный аппарат Росрыболовства",2018,Квартира,83.0,В пользовании
Цинамдзгвришвили Артем Николаевич,Ребенок,https://declarator.org/person/374761,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Королевство Марокко.,2017,Квартира,120.0,В пользовании
Цинамдзгвришвили Артем Николаевич,декларант,https://declarator.org/person/374761,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Королевство Марокко.,2017,Квартира,120.0,В пользовании
Цинамдзгвришвили Артем Николаевич,Ребенок,https://declarator.org/person/374761,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Королевство Марокко.,2017,Квартира,120.0,В пользовании
Цинамдзгвришвили Артем Николаевич,Супруг(а),https://declarator.org/person/374761,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Королевство Марокко.,2017,Квартира,120.0,В пользовании
Молчанюк Андрей Владимирович,декларант,https://declarator.org/person/129723,Федеральное агентство по рыболовству,федеральный орган,Руководитель представительства Росрыболовства в Королевстве Марокко,2017,Квартира,83.0,В пользовании
Цинамдзгвришвили Артем Николаевич,Ребенок,https://declarator.org/person/374761,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,120.0,В пользовании
Цинамдзгвришвили Артем Николаевич,Супруг(а),https://declarator.org/person/374761,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,120.0,В пользовании
Цинамдзгвришвили Артем Николаевич,декларант,https://declarator.org/person/374761,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,120.0,В пользовании
Цинамдзгвришвили Артем Николаевич,Ребенок,https://declarator.org/person/374761,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,120.0,В пользовании
Ахмадуллин Э Г,декларант,https://declarator.org/person/1622370,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,55.0,В пользовании
Ахмадуллин Э Г,Супруг(а),https://declarator.org/person/1622370,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,55.0,В пользовании
Ахмадуллин Э Г,Ребенок,https://declarator.org/person/1622370,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,55.0,В пользовании
Ахмадуллин Э Г,Ребенок,https://declarator.org/person/1622370,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,55.0,В пользовании
Смирнов А.А.,Ребенок,https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,66.7,В пользовании
Смирнов А.А.,Супруг(а),https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,66.7,В пользовании
Смирнов А.А.,декларант,https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,66.7,В пользовании
Налич И С,Ребенок,https://declarator.org/person/1134890,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,57.0,В пользовании
Налич И С,декларант,https://declarator.org/person/1134890,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,57.0,В пользовании
Налич И С,Ребенок,https://declarator.org/person/1134890,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,57.0,В пользовании
Налич И С,Супруг(а),https://declarator.org/person/1134890,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,57.0,В пользовании
Чернышева Е А,декларант,https://declarator.org/person/1288935,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,57.2,В пользовании
Ширяев А Е,декларант,https://declarator.org/person/1311131,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,56.0,В пользовании
Ширяев А Е,Супруг(а),https://declarator.org/person/1311131,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,56.0,В пользовании
Ширяев А Е,Ребенок,https://declarator.org/person/1311131,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,56.0,В пользовании
Хрулев Вячеслав Семенович,декларант,https://declarator.org/person/374544,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,57.9,В пользовании
Хрулев Вячеслав Семенович,декларант,https://declarator.org/person/374544,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,57.9,В пользовании
Яшунин С А,декларант,https://declarator.org/person/1362954,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,65.0,В пользовании
Налич И С,Ребенок,https://declarator.org/person/1134890,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2015,Квартира,58.2,В пользовании
