person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Ходжазода Т А,декларант,https://declarator.org/person/1276820,Министерство науки и высшего образования,федеральный орган,"ректор, МОУ ВО ""Российско-Таджикский (Славянский) университет""",2021,Земельный участок,789.9,Совместная собственность
Ходжазода Т А,Супруг(а),https://declarator.org/person/1276820,Министерство науки и высшего образования,федеральный орган,"ректор, МОУ ВО ""Российско-Таджикский (Славянский) университет""",2021,Жилой дом,410.1,Совместная собственность
Ходжазода Т А,Супруг(а),https://declarator.org/person/1276820,Министерство науки и высшего образования,федеральный орган,"ректор, МОУ ВО ""Российско-Таджикский (Славянский) университет""",2021,Земельный участок,789.9,Совместная собственность
Ходжазода Т А,декларант,https://declarator.org/person/1276820,Министерство науки и высшего образования,федеральный орган,"ректор, МОУ ВО ""Российско-Таджикский (Славянский) университет""",2021,Жилой дом,410.1,Совместная собственность
Джабаров Э О,декларант,https://declarator.org/person/510067,Судебный департамент при Верховном Суде РФ,федеральный орган,Администратор 109 гарнизонного военного суда,2021,Жилой дом,125.7,Индивидуальная
Джабаров Э О,Ребенок,https://declarator.org/person/510067,Судебный департамент при Верховном Суде РФ,федеральный орган,Администратор 109 гарнизонного военного суда,2021,Жилой дом,125.7,В пользовании
Джабаров Э О,Ребенок,https://declarator.org/person/510067,Судебный департамент при Верховном Суде РФ,федеральный орган,Администратор 109 гарнизонного военного суда,2021,Жилой дом,125.7,В пользовании
Джабаров Э О,Супруг(а),https://declarator.org/person/510067,Судебный департамент при Верховном Суде РФ,федеральный орган,Администратор 109 гарнизонного военного суда,2021,Жилой дом,125.7,В пользовании
Ходжазода Т А,Супруг(а),https://declarator.org/person/1276820,ФГБОУ ВО Саратовский государственный технический университет имени Ю.А. Гагарина,Саратовская область,"ректор, МОУ ВО ""Российско-Таджикский (Славянский) университет""",2021,Жилой дом,410.1,Совместная собственность
Ходжазода Т А,декларант,https://declarator.org/person/1276820,ФГБОУ ВО Саратовский государственный технический университет имени Ю.А. Гагарина,Саратовская область,"ректор, МОУ ВО ""Российско-Таджикский (Славянский) университет""",2021,Земельный участок,789.9,Совместная собственность
Ходжазода Т А,декларант,https://declarator.org/person/1276820,ФГБОУ ВО Саратовский государственный технический университет имени Ю.А. Гагарина,Саратовская область,"ректор, МОУ ВО ""Российско-Таджикский (Славянский) университет""",2021,Жилой дом,410.1,Совместная собственность
Ходжазода Т А,Супруг(а),https://declarator.org/person/1276820,ФГБОУ ВО Саратовский государственный технический университет имени Ю.А. Гагарина,Саратовская область,"ректор, МОУ ВО ""Российско-Таджикский (Славянский) университет""",2021,Земельный участок,789.9,Совместная собственность
Ходжазода Т А,Супруг(а),https://declarator.org/person/1276820,ФГБОУ ВО Саратовский государственный технический университет имени Ю.А. Гагарина,Саратовская область,"ректор, МОУ ВО ""Российско-Таджикский (Славянский) университет""",2021,Жилой дом,410.1,Совместная собственность
Ходжазода Т А,Супруг(а),https://declarator.org/person/1276820,ФГБОУ ВО Саратовский государственный технический университет имени Ю.А. Гагарина,Саратовская область,"ректор, МОУ ВО ""Российско-Таджикский (Славянский) университет""",2021,Земельный участок,789.9,Совместная собственность
Ходжазода Т А,декларант,https://declarator.org/person/1276820,ФГБОУ ВО Саратовский государственный технический университет имени Ю.А. Гагарина,Саратовская область,"ректор, МОУ ВО ""Российско-Таджикский (Славянский) университет""",2021,Жилой дом,410.1,Совместная собственность
Ходжазода Т А,декларант,https://declarator.org/person/1276820,ФГБОУ ВО Саратовский государственный технический университет имени Ю.А. Гагарина,Саратовская область,"ректор, МОУ ВО ""Российско-Таджикский (Славянский) университет""",2021,Земельный участок,789.9,Совместная собственность
Ходжазода Т А,Супруг(а),https://declarator.org/person/1276820,ФГБОУ ВО Саратовский государственный технический университет имени Ю.А. Гагарина,Саратовская область,"ректор, МОУ ВО ""Российско-Таджикский (Славянский) университет""",2021,Земельный участок,789.9,Совместная собственность
