person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Васильев М В,декларант,https://declarator.org/person/1422352,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,82.0,В пользовании
Антипова Наталья Викторовна,Ребенок,https://declarator.org/person/1368568,ФГБОУ ВО Российский экономический университет имени Г.В. Плеханова,Москва,И.о.директора Улан-Баторского филиала,2021,Квартира,63.6,В пользовании
Антипова Наталья Викторовна,декларант,https://declarator.org/person/1368568,ФГБОУ ВО Российский экономический университет имени Г.В. Плеханова,Москва,И.о.директора Улан-Баторского филиала,2021,Квартира,63.6,В пользовании
Антипова Наталья Викторовна,Супруг(а),https://declarator.org/person/1368568,ФГБОУ ВО Российский экономический университет имени Г.В. Плеханова,Москва,И.о.директора Улан-Баторского филиала,2021,Квартира,63.6,В пользовании
Мытыпова Наталья Юрьевна,декларант,https://declarator.org/office/6271?active-tab=year-2021,ФГБОУ ВО Российский экономический университет имени Г.В. Плеханова,Москва,Начальник финансового управления Улан-Баторского филиала,2021,Квартира,51.3,В пользовании
Чирипов Д-Ж.Ш.,декларант,https://declarator.org/office/151?active-tab=year-2021,Правительство республики Бурятия,Республика Бурятия,Министр Республики Бурятия по взаимодей- ствию с Монголией,2021,Квартира,68.0,В пользовании
Чирипов Д-Ж.Ш.,Супруг(а),https://declarator.org/office/151?active-tab=year-2021,Правительство республики Бурятия,Республика Бурятия,Министр Республики Бурятия по взаимодей- ствию с Монголией,2021,Квартира,68.0,В пользовании
Васильев М В,декларант,https://declarator.org/person/1422352,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2020,Квартира,82.0,В пользовании
Монгуш Азиана Николаевна,Супруг(а),https://declarator.org/person/1111584,Сибирское таможенное управление,федеральный орган,Старший государственный таможенный инспектор,2019,Квартира,18.0,Индивидуальная
Цыбенова Евгения Болотовна,декларант,https://declarator.org/person/830210,Правительство Забайкальского края,Забайкальский край,Консультант,2018,Квартира,46.0,В пользовании
Цыбенова Евгения Болотовна,Ребенок,https://declarator.org/person/830210,Правительство Забайкальского края,Забайкальский край,Консультант,2018,Квартира,46.0,В пользовании
Цыбенова Евгения Болотовна,Супруг(а),https://declarator.org/person/830210,Правительство Забайкальского края,Забайкальский край,Консультант,2018,Квартира,46.0,В пользовании
Цыбенова Евгения Болотовна,Ребенок,https://declarator.org/person/830210,"Министерство по социальному, экономическому, инфраструктурному, пространственному планированию и развитию Забайкальского края",Забайкальский край,Консультант,2018,Квартира,46.0,В пользовании
Цыбенова Евгения Болотовна,Супруг(а),https://declarator.org/person/830210,"Министерство по социальному, экономическому, инфраструктурному, пространственному планированию и развитию Забайкальского края",Забайкальский край,Консультант,2018,Квартира,46.0,В пользовании
Цыбенова Евгения Болотовна,декларант,https://declarator.org/person/830210,"Министерство по социальному, экономическому, инфраструктурному, пространственному планированию и развитию Забайкальского края",Забайкальский край,Консультант,2018,Квартира,46.0,В пользовании
Дамбаев Митып Дамбиевич,Супруг(а),https://declarator.org/person/1474165,Министерство экономики Республики Бурятия,Республика Бурятия,консультант отдела по работе с регионами РФ и субъектами иностранных государств,2018,Квартира,68.8,В пользовании
Дамбаев Митып Дамбиевич,декларант,https://declarator.org/person/1474165,Министерство экономики Республики Бурятия,Республика Бурятия,консультант отдела по работе с регионами РФ и субъектами иностранных государств,2018,Квартира,68.8,В пользовании
Дамбаев Митып Дамбиевич,Супруг(а),https://declarator.org/person/1474165,Министерство экономики Республики Бурятия,Республика Бурятия,консультант отдела по работе с регионами РФ и субъектами иностранных государств,2018,Квартира,68.8,В пользовании
Дамбаев Митып Дамбиевич,декларант,https://declarator.org/person/1474165,Министерство экономики Республики Бурятия,Республика Бурятия,консультант отдела по работе с регионами РФ и субъектами иностранных государств,2018,Квартира,68.8,В пользовании
Монгуш Азиана Николаевна,Супруг(а),https://declarator.org/person/1111584,Сибирское таможенное управление,федеральный орган,Старший государственный таможенный инспектор,2018,Квартира,18.0,Индивидуальная
Монгуш Азиана Николаевна,Супруг(а),https://declarator.org/person/1111584,Сибирское таможенное управление,федеральный орган,Старший государственный таможенный инспектор,2018,Квартира,18.0,Индивидуальная
Антипова Наталья Викторовна,Супруг(а),https://declarator.org/person/1368568,ФГБОУ ВО Российский экономический университет имени Г.В. Плеханова,Москва,И.о.директора Улан-Баторского филиала,2018,Квартира,63.6,В пользовании
Антипова Наталья Викторовна,декларант,https://declarator.org/person/1368568,ФГБОУ ВО Российский экономический университет имени Г.В. Плеханова,Москва,И.о.директора Улан-Баторского филиала,2018,Квартира,63.6,В пользовании
Антипова Наталья Викторовна,Ребенок,https://declarator.org/person/1368568,ФГБОУ ВО Российский экономический университет имени Г.В. Плеханова,Москва,И.о.директора Улан-Баторского филиала,2018,Квартира,63.6,В пользовании
Корнушкова Галина Николаевна,Ребенок,https://declarator.org/person/1076269,ФГБОУ ВО Российский экономический университет имени Г.В. Плеханова,Москва,Заместитель директора по общему образованию Улан-Баторского филиала,2018,Квартира,51.3,В пользовании
Корнушкова Галина Николаевна,декларант,https://declarator.org/person/1076269,ФГБОУ ВО Российский экономический университет имени Г.В. Плеханова,Москва,Заместитель директора по общему образованию Улан-Баторского филиала,2018,Квартира,51.3,В пользовании
Корнушкова Галина Николаевна,Супруг(а),https://declarator.org/person/1076269,ФГБОУ ВО Российский экономический университет имени Г.В. Плеханова,Москва,Заместитель директора по общему образованию Улан-Баторского филиала,2018,Квартира,51.3,В пользовании
Корнушкова Галина Николаевна,декларант,https://declarator.org/person/1076269,ФГБОУ ВО Российский экономический университет имени Г.В. Плеханова,Москва,Заместитель директора по общему образованию Улан-Баторского филиала,2018,Квартира,51.3,В пользовании
Корнушкова Галина Николаевна,Ребенок,https://declarator.org/person/1076269,ФГБОУ ВО Российский экономический университет имени Г.В. Плеханова,Москва,Заместитель директора по общему образованию Улан-Баторского филиала,2018,Квартира,51.3,В пользовании
Корнушкова Галина Николаевна,Супруг(а),https://declarator.org/person/1076269,ФГБОУ ВО Российский экономический университет имени Г.В. Плеханова,Москва,Заместитель директора по общему образованию Улан-Баторского филиала,2018,Квартира,51.3,В пользовании
Антипова Наталья Викторовна,Супруг(а),https://declarator.org/person/61013,Министерство образования и науки,федеральный орган,Директор Улан-Баторского филиала ФГБОУ ВО РЭУ имени Г.В. Плеханова,2017,Квартира,63.56,В пользовании
