person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Багхус Марина Валерьевна,Супруг(а),https://declarator.org/person/1407052,"Министерство образования, науки и молодежной политики Краснодарского края",Краснодарский край,Ведущий консультант,2021,Жилой дом,90.0,В пользовании
Левитан И К,декларант,https://declarator.org/person/366876,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,75.0,В пользовании
Левитан И К,Ребенок,https://declarator.org/person/366876,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,75.0,В пользовании
Левитан И К,Ребенок,https://declarator.org/person/366876,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,75.0,В пользовании
Левитан И К,Супруг(а),https://declarator.org/person/366876,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,75.0,В пользовании
Деньжонков Д А,Супруг(а),https://declarator.org/person/1467292,Министерство обороны,федеральный орган,,2020,Квартира,151.0,В пользовании
Деньжонков Д А,Супруг(а),https://declarator.org/person/1467292,Министерство обороны,федеральный орган,,2019,Квартира,151.0,В пользовании
Багхус Марина Валерьевна,Супруг(а),https://declarator.org/person/1407052,"Министерство образования, науки и молодежной политики Краснодарского края",Краснодарский край,Главный специалист – эксперт,2019,Жилой дом,100.0,Наём (аренда)
Булатов Сергей Сергеевич,Супруг(а),https://declarator.org/person/63606,Министерство экономического развития,федеральный орган,Исполняющий обязанности руководителя. Торговое представительство. Королевство Нидерландов.,2017,Квартира,74.0,В пользовании
Булатов Сергей Сергеевич,декларант,https://declarator.org/person/63606,Министерство экономического развития,федеральный орган,Исполняющий обязанности руководителя. Торговое представительство. Королевство Нидерландов.,2017,Квартира,74.0,В пользовании
Романов Дмитрий Викторович,Ребенок,https://declarator.org/person/43759,Департамент городского имущества города Москвы,Москва,Заместитель начальника управления,2017,Жилой дом,134.0,В пользовании
Черевко А Н,Супруг(а),https://declarator.org/person/189928,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,66.8,В пользовании
Черевко А Н,Ребенок,https://declarator.org/person/189928,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,66.8,В пользовании
Черевко А Н,декларант,https://declarator.org/person/189928,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,66.8,В пользовании
Данилов Г А,декларант,https://declarator.org/person/189231,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,66.5,В пользовании
Данилов Г А,Супруг(а),https://declarator.org/person/189231,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,66.5,В пользовании
Корзун П А,декларант,https://declarator.org/person/189406,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,61.9,В пользовании
Корзун П А,Супруг(а),https://declarator.org/person/189406,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,61.9,В пользовании
Корзун П А,Ребенок,https://declarator.org/person/189406,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,61.9,В пользовании
Корзун П А,Ребенок,https://declarator.org/person/189406,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,61.9,В пользовании
Куксов А В,Супруг(а),https://declarator.org/person/1030462,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,94.3,В пользовании
Куксов А В,Ребенок,https://declarator.org/person/1030462,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,94.3,В пользовании
Куксов А В,Ребенок,https://declarator.org/person/1030462,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,94.3,В пользовании
Куксов А В,Ребенок,https://declarator.org/person/1030462,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,94.3,В пользовании
Куксов А В,декларант,https://declarator.org/person/1030462,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,94.3,В пользовании
Анисимов И И,Супруг(а),https://declarator.org/person/188973,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,45.0,В пользовании
Анисимов И И,декларант,https://declarator.org/person/188973,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,45.0,В пользовании
Зверев П В,декларант,https://declarator.org/person/189297,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,48.0,В пользовании
Сударева Н В,декларант,https://declarator.org/person/189756,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,62.6,В пользовании
Сударева Н В,Супруг(а),https://declarator.org/person/189756,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,62.6,В пользовании
Черевко А Н,Супруг(а),https://declarator.org/person/189928,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,66.8,В пользовании
Черевко А Н,Ребенок,https://declarator.org/person/189928,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,84.6,В пользовании
Черевко А Н,Ребенок,https://declarator.org/person/189928,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,66.8,В пользовании
Черевко А Н,декларант,https://declarator.org/person/189928,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,66.8,В пользовании
Черевко А Н,Супруг(а),https://declarator.org/person/189928,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,66.8,В пользовании
Черевко А Н,Ребенок,https://declarator.org/person/189928,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,66.8,В пользовании
Черевко А Н,Ребенок,https://declarator.org/person/189928,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,84.6,В пользовании
Черевко А Н,декларант,https://declarator.org/person/189928,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,66.8,В пользовании
Аллахвердян Армен Михайлович,декларант,https://declarator.org/person/355493,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,79.9,В пользовании
Аллахвердян Армен Михайлович,Супруг(а),https://declarator.org/person/355493,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,79.9,В пользовании
Аллахвердян Армен Михайлович,декларант,https://declarator.org/person/355493,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,79.9,В пользовании
Аллахвердян Армен Михайлович,Супруг(а),https://declarator.org/person/355493,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,79.9,В пользовании
Данилов Г А,декларант,https://declarator.org/person/189231,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2015,Квартира,66.5,В пользовании
Данилов Г А,Супруг(а),https://declarator.org/person/189231,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2015,Квартира,66.5,В пользовании
Корзун П А,декларант,https://declarator.org/person/189406,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2015,Квартира,61.85,В пользовании
Куксов А В,Ребенок,https://declarator.org/person/1030462,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2015,Квартира,94.21,В пользовании
Куксов А В,Ребенок,https://declarator.org/person/1030462,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2015,Квартира,94.21,В пользовании
Куксов А В,Супруг(а),https://declarator.org/person/1030462,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2015,Квартира,94.21,В пользовании
Куксов А В,декларант,https://declarator.org/person/1030462,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2015,Квартира,94.21,В пользовании
Куксов А В,Ребенок,https://declarator.org/person/1030462,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2015,Квартира,94.21,В пользовании
Честников В Ю,Супруг(а),https://declarator.org/person/189934,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2015,Квартира,73.5,В пользовании
Честников В Ю,Ребенок,https://declarator.org/person/189934,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2015,Квартира,73.5,В пользовании
Честников В Ю,декларант,https://declarator.org/person/189934,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2015,Квартира,73.5,В пользовании
Анисимов И И,декларант,https://declarator.org/person/188973,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2015,Квартира,48.0,В пользовании
Анисимов И И,Супруг(а),https://declarator.org/person/188973,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2015,Квартира,48.0,В пользовании
Сударева Н В,декларант,https://declarator.org/person/189756,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2015,Квартира,62.64,В пользовании
Зверев П В,декларант,https://declarator.org/person/189297,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-эксперты,2015,Квартира,48.0,В пользовании
Данилов Г А,декларант,https://declarator.org/person/189231,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2015,Квартира,66.5,В пользовании
