person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Шулаева Анна Владимировна,Ребенок,https://declarator.org/person/129717,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Королевство Норвегия - Представители Росрыболовства за рубежом,2021,Квартира,74.0,В пользовании
Шулаева Анна Владимировна,Супруг(а),https://declarator.org/person/129717,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Королевство Норвегия - Представители Росрыболовства за рубежом,2021,Квартира,74.0,В пользовании
Шулаева Анна Владимировна,декларант,https://declarator.org/person/129717,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Королевство Норвегия - Представители Росрыболовства за рубежом,2021,Квартира,74.0,В пользовании
Живаго А О,Ребенок,https://declarator.org/person/531153,Калининградская областная таможня,федеральный орган,Заместитель начальника отдела,2021,Квартира,67.0,В пользовании
Морарь Игорь Николаевич,декларант,https://declarator.org/person/832159,Мурманск - городской округ,Мурманская область,Заместитель председателя совета депутатов города,2021,Земельный участок,1187.0,Долевая собственность
Морарь Игорь Николаевич,декларант,https://declarator.org/person/832159,Мурманск - городской округ,Мурманская область,Заместитель председателя совета депутатов города,2021,Жилой дом,243.0,Долевая собственность
Шулаева Анна Владимировна,Супруг(а),https://declarator.org/person/129717,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Королевство Норвегия - Представители Росрыболовства за рубежом,2020,Квартира,74.0,В пользовании
Шулаева Анна Владимировна,Ребенок,https://declarator.org/person/129717,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Королевство Норвегия - Представители Росрыболовства за рубежом,2020,Квартира,74.0,В пользовании
Шулаева Анна Владимировна,декларант,https://declarator.org/person/129717,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Королевство Норвегия - Представители Росрыболовства за рубежом,2020,Квартира,74.0,В пользовании
Котельникова Ю В,Ребенок,https://declarator.org/person/576290,Мурманский областной суд,Мурманская область,начальник отдела,2020,Квартира,98.0,В пользовании
Лясникова Д В,Супруг(а),https://declarator.org/person/624725,Избирательная комиссия Мурманской области,Мурманская область,Ведущий специалист отдела закупок и материального обеспечения,2020,Квартира,25.0,В пользовании
Кудасов Виктор Иванович,Ребенок,https://declarator.org/person/1058386,Министерство региональной безопасности Мурманской области,Мурманская область,"главный специалист отдела по делам ГОЧС, ПБ и региональному надзору менеджер по обучению ПАО «Сбербанк»",2020,Квартира,60.0,В пользовании
Морарь Игорь Николаевич,декларант,https://declarator.org/person/832159,Мурманск - городской округ,Мурманская область,Заместитель председателя совета депутатов города,2020,Жилой дом,243.0,Долевая собственность
Морарь Игорь Николаевич,декларант,https://declarator.org/person/832159,Мурманск - городской округ,Мурманская область,Заместитель председателя совета депутатов города,2020,Земельный участок,1187.0,Долевая собственность
Шулаев Роман Владимирович,декларант,https://declarator.org/person/1333251,Аппарат правительства Мурманской области (министерство),Мурманская область,начальник отдела реализации госпрограмм и правового обеспечения,2020,Квартира,74.0,В пользовании
Шулаева Анна Владимировна,Супруг(а),https://declarator.org/person/129717,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Королевство Норвегия - Представители Росрыболовства за рубежом,2019,Квартира,74.0,В пользовании
Шулаева Анна Владимировна,Ребенок,https://declarator.org/person/129717,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Королевство Норвегия - Представители Росрыболовства за рубежом,2019,Квартира,74.0,В пользовании
