person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Горохов Андрей Юрьевич,декларант,https://declarator.org/person/3439,Государственная Дума,федеральный орган,"Депутат государственной думы, член комитета",2021,Жилой дом,353.0,Индивидуальная
Горохов Андрей Юрьевич,декларант,https://declarator.org/person/3439,Государственная Дума,федеральный орган,"Депутат государственной думы, член комитета",2021,Квартира,217.5,Долевая собственность
Руденко  Андрей  Юрьевич,Супруг(а),https://declarator.org/person/376748,Министерство иностранных дел,федеральный орган,Заместитель Министра иностранных дел России - ,2021,Квартира,91.8,Индивидуальная
Руденко  Андрей  Юрьевич,Ребенок,https://declarator.org/person/376748,Министерство иностранных дел,федеральный орган,Заместитель Министра иностранных дел России - ,2021,Квартира,91.8,В пользовании
Котенко К В,Ребенок,https://declarator.org/person/1026228,Министерство науки и высшего образования,федеральный орган,"Директор Федерального государственного бюджетного научного учреждения ""Российский научный центр хирургии имени академика Б.В. Петровского""",2021,Квартира,98.0,В пользовании
Полников Алексей Николаевич,Ребенок,https://declarator.org/person/711599,Северо-Западное таможенное управление,федеральный орган,Начальник отдела,2021,Квартира,130.0,В пользовании
Полников Алексей Николаевич,Ребенок,https://declarator.org/person/711599,Северо-Западное таможенное управление,федеральный орган,Начальник отдела,2021,Квартира,130.0,В пользовании
Шувалов Игорь Иванович,Ребенок,https://declarator.org/person/528,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,председатель ВЭБ.РФ - ,2021,Жилой дом,1479.8,В пользовании
Шувалов Игорь Иванович,Супруг(а),https://declarator.org/person/528,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,председатель ВЭБ.РФ - ,2021,Жилой дом,1479.8,В пользовании
Шувалов Игорь Иванович,декларант,https://declarator.org/person/528,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,председатель ВЭБ.РФ - ,2021,Жилой дом,1479.8,В пользовании
Шувалов И И,Ребенок,https://declarator.org/person/204028,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,,2021,Жилой дом,1479.8,В пользовании
Шувалов И И,декларант,https://declarator.org/person/204028,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,,2021,Жилой дом,1479.8,В пользовании
Шувалов И И,Супруг(а),https://declarator.org/person/204028,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,,2021,Жилой дом,1479.8,В пользовании
ГОРОХОВ Андрей Юрьевич,декларант,https://declarator.org/office/14?active-tab=year-2021,Государственная Дума,федеральный орган,член комитетa Государственной Думы,2021,Квартира,217.5,Долевая собственность
ГОРОХОВ Андрей Юрьевич,декларант,https://declarator.org/office/14?active-tab=year-2021,Государственная Дума,федеральный орган,член комитетa Государственной Думы,2021,Жилой дом,353.0,Индивидуальная
ГОРОХОВ Андрей Юрьевич,декларант,https://declarator.org/office/14?active-tab=year-2021,Государственная Дума,федеральный орган,член комитетa Государственной Думы,2021,Квартира,217.5,Долевая собственность
ГОРОХОВ Андрей Юрьевич,декларант,https://declarator.org/office/14?active-tab=year-2021,Государственная Дума,федеральный орган,член комитетa Государственной Думы,2021,Жилой дом,353.0,Индивидуальная
Котенко К В,Ребенок,https://declarator.org/person/1026228,Министерство науки и высшего образования,федеральный орган,"Врио директора ФГБНУ ""Российский научный центр хирургии имени академика Б.В. Петровского""",2020,Квартира,98.0,В пользовании
Горохов Андрей Юрьевич,декларант,https://declarator.org/person/3439,Государственная Дума,федеральный орган,Кандидат в депутаты ГД РФ,2020,Земельный участок,0.01,Индивидуальная
Горохов Андрей Юрьевич,декларант,https://declarator.org/person/3439,Государственная Дума,федеральный орган,Кандидат в депутаты ГД РФ,2020,Иное,0.01,Долевая собственность
Горохов Андрей Юрьевич,декларант,https://declarator.org/person/3439,Государственная Дума,федеральный орган,Кандидат в депутаты ГД РФ,2020,Гараж,0.01,Долевая собственность
Горохов Андрей Юрьевич,декларант,https://declarator.org/person/3439,Государственная Дума,федеральный орган,Кандидат в депутаты ГД РФ,2020,Иное,0.01,Индивидуальная
Горохов Андрей Юрьевич,декларант,https://declarator.org/person/3439,Государственная Дума,федеральный орган,Кандидат в депутаты ГД РФ,2020,Квартира,388.49,Долевая собственность
Горохов Андрей Юрьевич,декларант,https://declarator.org/person/3439,Государственная Дума,федеральный орган,Кандидат в депутаты ГД РФ,2020,Земельный участок,1187.68,Долевая собственность
Шувалов Игорь Иванович,Ребенок,https://declarator.org/person/528,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,председатель ВЭБ.РФ - ,2020,Жилой дом,1479.8,В пользовании
Шувалов Игорь Иванович,Супруг(а),https://declarator.org/person/528,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,председатель ВЭБ.РФ - ,2020,Жилой дом,1479.8,В пользовании
Шувалов Игорь Иванович,декларант,https://declarator.org/person/528,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,председатель ВЭБ.РФ - ,2020,Жилой дом,1479.8,В пользовании
Руденко  Андрей  Юрьевич,Супруг(а),https://declarator.org/person/376748,Министерство иностранных дел,федеральный орган,Заместитель Министра иностранных дел России,2020,Квартира,91.8,Индивидуальная
Руденко  Андрей  Юрьевич,Ребенок,https://declarator.org/person/376748,Министерство иностранных дел,федеральный орган,Заместитель Министра иностранных дел России,2020,Квартира,91.8,В пользовании
Ремезков Александр Александрович,Ребенок,https://declarator.org/person/599,Государственная Дума,федеральный орган,первый заместитель председателя комитетa Государственной Думы,2019,Квартира,76.0,Безвозмездное пользование
Ремезков Александр Александрович,Ребенок,https://declarator.org/person/599,Государственная Дума,федеральный орган,первый заместитель председателя комитетa Государственной Думы,2019,Земельный участок,1211.0,В пользовании
Руденко  Андрей  Юрьевич,Супруг(а),https://declarator.org/person/376748,Министерство иностранных дел,федеральный орган,Заместитель Министра иностранных дел России,2019,Квартира,91.8,Индивидуальная
Шувалов Игорь Иванович,декларант,https://declarator.org/person/528,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,председатель ВЭБ.РФ - ,2019,Жилой дом,1479.8,В пользовании
Шувалов Игорь Иванович,Супруг(а),https://declarator.org/person/528,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,председатель ВЭБ.РФ - ,2019,Жилой дом,1479.8,В пользовании
РЕМЕЗКОВ Александр Александрович,Ребенок,https://declarator.org/office/14?active-tab=year-2019,Государственная Дума,федеральный орган,первый заместитель председателя комитетa Государственной Думы,2019,Земельный участок,1211.0,Долевая собственность
РЕМЕЗКОВ Александр Александрович,Ребенок,https://declarator.org/office/14?active-tab=year-2019,Государственная Дума,федеральный орган,первый заместитель председателя комитетa Государственной Думы,2019,Квартира,76.0,В пользовании
Ремезков Александр Александрович,Ребенок,https://declarator.org/person/599,Государственная Дума,федеральный орган,Первый заместитель председателя комитета ГД,2018,Земельный участок,1211.0,В пользовании
Ремезков Александр Александрович,Ребенок,https://declarator.org/person/599,Государственная Дума,федеральный орган,Первый заместитель председателя комитета ГД,2018,Квартира,76.0,В пользовании
Нак Игорь Владимирович,Супруг(а),https://declarator.org/person/14932,Тюменская областная Дума,Тюменская область,Депутат Тюменской областной Думы,2018,Квартира,52.0,В пользовании
Нак Игорь Владимирович,Супруг(а),https://declarator.org/person/14932,Тюменская областная Дума,Тюменская область,Депутат Тюменской областной Думы,2018,Квартира,52.0,В пользовании
Нак Игорь Владимирович,Супруг(а),https://declarator.org/person/14932,Тюменская областная Дума,Тюменская область,Депутат Тюменской областной Думы,2018,Земельный участок,624.0,Индивидуальная
Нак Игорь Владимирович,Супруг(а),https://declarator.org/person/14932,Тюменская областная Дума,Тюменская область,Депутат Тюменской областной Думы,2018,Иное,135.0,Индивидуальная
Чернавин Д Ю,Ребенок,https://declarator.org/person/121946,Министерство обороны,федеральный орган, - ,2018,Квартира,15.0,В пользовании
Шувалов Игорь Иванович,декларант,https://declarator.org/person/528,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,председатель ВЭБ.РФ - ,2018,Жилой дом,1479.8,В пользовании
Шувалов Игорь Иванович,Супруг(а),https://declarator.org/person/528,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,председатель ВЭБ.РФ - ,2018,Жилой дом,1479.8,В пользовании
Полников Алексей Николаевич,Ребенок,https://declarator.org/person/711599,Северо-Западное таможенное управление,федеральный орган,Начальник отдела,2018,Квартира,130.0,В пользовании
Полников Алексей Николаевич,Ребенок,https://declarator.org/person/711599,Северо-Западное таможенное управление,федеральный орган,Начальник отдела,2018,Квартира,130.0,В пользовании
Полников Алексей Николаевич,Ребенок,https://declarator.org/person/711599,Северо-Западное таможенное управление,федеральный орган,Начальник отдела,2018,Квартира,130.0,В пользовании
Полников Алексей Николаевич,Ребенок,https://declarator.org/person/711599,Северо-Западное таможенное управление,федеральный орган,Начальник отдела,2018,Квартира,130.0,В пользовании
Нак  Игорь  Владимирович,Супруг(а),https://declarator.org/office/950?active-tab=year-2018,Тюменская областная Дума,Тюменская область,Депутат Тюменской областной Думы,2018,Земельный участок,624.0,Индивидуальная
Нак  Игорь  Владимирович,Супруг(а),https://declarator.org/office/950?active-tab=year-2018,Тюменская областная Дума,Тюменская область,Депутат Тюменской областной Думы,2018,Иное,135.0,Индивидуальная
Нак  Игорь  Владимирович,Супруг(а),https://declarator.org/office/950?active-tab=year-2018,Тюменская областная Дума,Тюменская область,Депутат Тюменской областной Думы,2018,Квартира,52.0,В пользовании
Шувалов Игорь Иванович,декларант,https://declarator.org/person/528,Правительство РФ,федеральный орган,Первый заместитель председателя правительства РФ,2017,Жилой дом,1479.8,Наём (аренда)
Шувалов Игорь Иванович,Супруг(а),https://declarator.org/person/528,Правительство РФ,федеральный орган,Первый заместитель председателя правительства РФ,2017,Жилой дом,1479.84,Наём (аренда)
