person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Хафиз Сарфараз Али,декларант,https://declarator.org/person/822978,Министерство здравоохранения Республики Коми,Республика Коми,"главный врач ГБУЗ РК ""Сыктывкарская городская больница""",2020,Земельный участок,25000.0,Индивидуальная
Хафиз Сарфараз Али,декларант,https://declarator.org/person/822978,Министерство здравоохранения Республики Коми,Республика Коми,"главный врач ГБУЗ РК ""Сыктывкарская городская больница""",2020,Жилой дом,301.0,Долевая собственность
Хафиз Сарфараз Али,декларант,https://declarator.org/person/822978,Министерство здравоохранения Республики Коми,Республика Коми,"главный врач ГБУЗ РК ""Сыктывкарская городская больница""",2020,Жилой дом,301.0,Долевая собственность
Хафиз Сарфараз Али,декларант,https://declarator.org/person/822978,Министерство здравоохранения Республики Коми,Республика Коми,"главный врач ГБУЗ РК ""Сыктывкарская городская больница""",2020,Земельный участок,25000.0,Индивидуальная
Хафиз Сарфараз Али,декларант,https://declarator.org/office/7745?active-tab=year-2020,Министерство здравоохранения Республики Коми,Республика Коми,"главный врач ГБУЗ РК ""Сыктывкарская городская больница""",2020,Земельный участок,25000.0,Индивидуальная
Хафиз Сарфараз Али,декларант,https://declarator.org/office/7745?active-tab=year-2020,Министерство здравоохранения Республики Коми,Республика Коми,"главный врач ГБУЗ РК ""Сыктывкарская городская больница""",2020,Жилой дом,301.0,Долевая собственность
Хафиз Сарфараз Али,декларант,https://declarator.org/person/822978,Министерство здравоохранения Республики Коми,Республика Коми,"главный врач ГБУЗ РК ""Сыктывкарская городская больница""",2019,Земельный участок,25000.0,Индивидуальная
Хафиз Сарфараз Али,декларант,https://declarator.org/person/822978,Министерство здравоохранения Республики Коми,Республика Коми,"главный врач ГБУЗ РК ""Сыктывкарская городская больница""",2019,Жилой дом,301.0,Долевая собственность
Хафиз Сарфараз Али,декларант,https://declarator.org/person/822978,Министерство здравоохранения Республики Коми,Республика Коми,"главный врач ГБУЗ РК ""Сыктывкарская городская больница""",2019,Земельный участок,25000.0,Индивидуальная
Хафиз Сарфараз Али,декларант,https://declarator.org/person/822978,Министерство здравоохранения Республики Коми,Республика Коми,"главный врач ГБУЗ РК ""Сыктывкарская городская больница""",2019,Жилой дом,301.0,Долевая собственность
Хафиз Сарфараз Али,декларант,https://declarator.org/office/7745?active-tab=year-2019,Министерство здравоохранения Республики Коми,Республика Коми,"главный врач ГБУЗ РК ""Сыктывкарская городская больница""",2019,Земельный участок,25000.0,Индивидуальная
Хафиз Сарфараз Али,декларант,https://declarator.org/office/7745?active-tab=year-2019,Министерство здравоохранения Республики Коми,Республика Коми,"главный врач ГБУЗ РК ""Сыктывкарская городская больница""",2019,Жилой дом,301.0,Долевая собственность
Хафиз Сарфараз Али,декларант,https://declarator.org/person/822978,Министерство здравоохранения Республики Коми,Республика Коми,"главный врач ГБУЗ РК ""Сыктывкарская городская больница""",2018,Жилой дом,301.0,Долевая собственность
Хафиз Сарфараз Али,декларант,https://declarator.org/person/822978,Министерство здравоохранения Республики Коми,Республика Коми,"главный врач ГБУЗ РК ""Сыктывкарская городская больница""",2018,Земельный участок,25000.0,Индивидуальная
Хафиз Сарфараз Али,декларант,https://declarator.org/office/7745?active-tab=year-2018,Министерство здравоохранения Республики Коми,Республика Коми,"главный врач ГБУЗ РК ""Сыктывкарская городская больница""",2018,Жилой дом,301.0,Долевая собственность
Хафиз Сарфараз Али,декларант,https://declarator.org/office/7745?active-tab=year-2018,Министерство здравоохранения Республики Коми,Республика Коми,"главный врач ГБУЗ РК ""Сыктывкарская городская больница""",2018,Земельный участок,25000.0,Индивидуальная
Козлов Юрий Михайлович,декларант,https://declarator.org/person/63621,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Исламская Республика Пакистан.,2017,Квартира,85.0,В пользовании
Козлов Юрий Михайлович,Супруг(а),https://declarator.org/person/63621,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Исламская Республика Пакистан.,2017,Квартира,85.0,В пользовании
Хафиз Сарфараз Али,декларант,https://declarator.org/person/822978,Министерство здравоохранения Республики Коми,Республика Коми,"главный врач ГБУЗ РК ""Сыктывкарская городская больница""",2017,Жилой дом,301.0,Долевая собственность
Хафиз Сарфараз Али,декларант,https://declarator.org/person/822978,Министерство здравоохранения Республики Коми,Республика Коми,"главный врач ГБУЗ РК ""Сыктывкарская городская больница""",2017,Земельный участок,25000.0,Индивидуальная
Козлов Юрий Михайлович,декларант,https://declarator.org/person/63621,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,85.0,В пользовании
Козлов Юрий Михайлович,Супруг(а),https://declarator.org/person/63621,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,85.0,В пользовании
Березовенко Ю А,Ребенок,https://declarator.org/person/1386231,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,70.5,В пользовании
Березовенко Ю А,Супруг(а),https://declarator.org/person/1386231,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,70.5,В пользовании
Березовенко Ю А,Ребенок,https://declarator.org/person/1386231,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,70.5,В пользовании
Березовенко Ю А,декларант,https://declarator.org/person/1386231,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,70.5,В пользовании
Вихляев Д А,декларант,https://declarator.org/person/189116,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,51.5,В пользовании
Вихляев Д А,Супруг(а),https://declarator.org/person/189116,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,51.5,В пользовании
Вихляев Д А,Ребенок,https://declarator.org/person/189116,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,51.5,В пользовании
Косенко Д В,декларант,https://declarator.org/person/189408,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,30.5,В пользовании
Кудрявцев А.Н.,декларант,https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,54.7,В пользовании
Галкин С В,Ребенок,https://declarator.org/person/1441661,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,61.4,В пользовании
Галкин С В,декларант,https://declarator.org/person/1441661,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,61.4,В пользовании
Галкин С В,Супруг(а),https://declarator.org/person/1441661,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,61.4,В пользовании
Козлов Юрий Михайлович,декларант,https://declarator.org/person/63621,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,85.0,В пользовании
Козлов Юрий Михайлович,Супруг(а),https://declarator.org/person/63621,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,85.0,В пользовании
Козлов Юрий Михайлович,декларант,https://declarator.org/person/63621,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,85.0,В пользовании
Козлов Юрий Михайлович,Супруг(а),https://declarator.org/person/63621,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,85.0,В пользовании
Березовенко Ю А,декларант,https://declarator.org/person/1386231,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,70.5,В пользовании
Березовенко Ю А,Супруг(а),https://declarator.org/person/1386231,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,70.5,В пользовании
Березовенко Ю А,Ребенок,https://declarator.org/person/1386231,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,70.5,В пользовании
Березовенко Ю А,Ребенок,https://declarator.org/person/1386231,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,70.5,В пользовании
Березовенко Ю А,декларант,https://declarator.org/person/1386231,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,70.5,В пользовании
Березовенко Ю А,Супруг(а),https://declarator.org/person/1386231,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,70.5,В пользовании
Березовенко Ю А,Ребенок,https://declarator.org/person/1386231,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,70.5,В пользовании
Березовенко Ю А,Ребенок,https://declarator.org/person/1386231,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,70.5,В пользовании
Вихляев Д А,Ребенок,https://declarator.org/person/189116,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2015,Квартира,51.5,В пользовании
Вихляев Д А,декларант,https://declarator.org/person/189116,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2015,Квартира,51.5,В пользовании
Вихляев Д А,Супруг(а),https://declarator.org/person/189116,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2015,Квартира,51.5,В пользовании
