person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Позднякова Наталья Викторовна,Супруг(а),https://declarator.org/person/381986,Пенза - городской округ,Пензенская область,Главный специалист планирования и статистический отдел,2021,Квартира,106.0,В пользовании
Муравьева Ирина Геннадьевна,Супруг(а),https://declarator.org/office/1163?active-tab=year-2021,Администрация Приморского района,Санкт-Петербург,Ведущий специалист организационного сектора отдела социальной защиты населения,2021,Земельный участок,284.0,Индивидуальная
Муравьева Ирина Геннадьевна,Супруг(а),https://declarator.org/office/1163?active-tab=year-2021,Администрация Приморского района,Санкт-Петербург,Ведущий специалист организационного сектора отдела социальной защиты населения,2021,Квартира,58.4,Индивидуальная
Позднякова Наталья Викторовна,Супруг(а),https://declarator.org/person/381986,Пенза - городской округ,Пензенская область,Главный специалист планирования и статистический отдел,2020,Квартира,106.0,В пользовании
Иорданов С А,декларант,https://declarator.org/person/1618783,Министерство обороны,федеральный орган,,2020,Квартира,71.0,В пользовании
Иорданов С А,Супруг(а),https://declarator.org/person/1618783,Министерство обороны,федеральный орган,,2020,Квартира,71.0,В пользовании
Иванек Ян Мариан,декларант,https://declarator.org/office/3315?active-tab=year-2019,Пенза - городской округ,Пензенская область,Совладелец Sp.z o.o,2019,Квартира,106.0,В пользовании
Позднякова Наталья Викторовна,Супруг(а),https://declarator.org/office/3315?active-tab=year-2019,Пенза - городской округ,Пензенская область,Начальник отдела планирования и статистический отдел,2019,Квартира,106.0,В пользовании
Бокоч Л Н,Ребенок,https://declarator.org/person/1399279,*Саки - городской округ,Республика Крым*,Заместитель начальника управления – начальник предоставления мер социальной поддержки - Управление труда и социальной защиты населения,2018,Квартира,18.5,В пользовании
Бокоч Л Н,Ребенок,https://declarator.org/person/1399279,*Саки - городской округ,Республика Крым*,Заместитель начальника управления – начальник предоставления мер социальной поддержки - Управление труда и социальной защиты населения,2018,Квартира,18.5,В пользовании
Нефедов Владимир Владимирович,декларант,https://declarator.org/person/63631,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Республика Польша.,2017,Квартира,82.0,В пользовании
Нефедов Владимир Владимирович,Супруг(а),https://declarator.org/person/63631,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Республика Польша.,2017,Квартира,82.0,В пользовании
Загиров М К,Ребенок,https://declarator.org/person/539191,Калининградская областная таможня,федеральный орган,Начальник отдела,2017,Квартира,248.0,В пользовании
Муравьева Ирина Геннадьевна,Супруг(а),https://declarator.org/person/53962,Администрация Приморского района,Санкт-Петербург,"Ведущий специалист отдела по вопросам законности, правопорядка и безопасности",2017,Квартира,16.8,В пользовании
Нефёдов В В,Супруг(а),https://declarator.org/person/189627,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,82.0,В пользовании
Нефёдов В В,декларант,https://declarator.org/person/189627,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,82.0,В пользовании
Архангельский А П,Супруг(а),https://declarator.org/person/188982,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,71.0,В пользовании
Архангельский А П,декларант,https://declarator.org/person/188982,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,71.0,В пользовании
Ершов А П,Супруг(а),https://declarator.org/person/189252,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,79.1,В пользовании
Ершов А П,декларант,https://declarator.org/person/189252,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,79.1,В пользовании
Поликарпов П В,декларант,https://declarator.org/person/1161618,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,58.7,В пользовании
Хрисанфова Е В,декларант,https://declarator.org/person/189906,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,40.7,В пользовании
Крылова Е А,декларант,https://declarator.org/person/189364,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,62.6,В пользовании
Столыпко А В,Ребенок,https://declarator.org/person/1211773,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,61.2,В пользовании
Столыпко А В,декларант,https://declarator.org/person/1211773,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,61.2,В пользовании
Столыпко А В,Супруг(а),https://declarator.org/person/1211773,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,61.2,В пользовании
Столыпко А В,Ребенок,https://declarator.org/person/1211773,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,61.2,В пользовании
Горькавый С Ю,декларант,https://declarator.org/person/1622415,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,48.8,В пользовании
Горькавый С Ю,Супруг(а),https://declarator.org/person/1622415,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,48.8,В пользовании
Косоруков Ю В,декларант,https://declarator.org/person/1622422,Министерство экономического развития,федеральный орган,Специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,59.4,В пользовании
Альчиков Владимир Анатольевич,декларант,https://declarator.org/person/411997,Вятско-Полянский район,Кировская область,,2015,Квартира,69.6,В собственности
Альчиков Владимир Анатольевич,Супруг(а),https://declarator.org/person/411997,Вятско-Полянский район,Кировская область,,2015,Квартира,69.6,В собственности
Альчиков Владимир Анатольевич,Супруг(а),https://declarator.org/person/411997,Вятско-Полянский район,Кировская область,,2015,Квартира,69.6,В собственности
Альчиков Владимир Анатольевич,декларант,https://declarator.org/person/411997,Вятско-Полянский район,Кировская область,,2015,Квартира,69.6,В собственности
Нефедов Владимир Владимирович,Супруг(а),https://declarator.org/person/63631,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,82.01,В пользовании
Нефедов Владимир Владимирович,декларант,https://declarator.org/person/63631,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,82.01,В пользовании
Нефедов Владимир Владимирович,декларант,https://declarator.org/person/63631,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,82.01,В пользовании
Нефедов Владимир Владимирович,Супруг(а),https://declarator.org/person/63631,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,82.01,В пользовании
Архангельский А П,Супруг(а),https://declarator.org/person/188982,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,71.04,В пользовании
Архангельский А П,декларант,https://declarator.org/person/188982,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,71.04,В пользовании
Архангельский А П,Супруг(а),https://declarator.org/person/188982,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,71.04,В пользовании
Архангельский А П,декларант,https://declarator.org/person/188982,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,71.04,В пользовании
Ершов А П,декларант,https://declarator.org/person/189252,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,79.0,В пользовании
Ершов А П,Супруг(а),https://declarator.org/person/189252,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,79.0,В пользовании
Ершов А П,Супруг(а),https://declarator.org/person/189252,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,79.0,В пользовании
Ершов А П,декларант,https://declarator.org/person/189252,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,79.0,В пользовании
Поликарпов П В,декларант,https://declarator.org/person/1161618,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2015,Квартира,58.0,В пользовании
Крылова Е А,декларант,https://declarator.org/person/189364,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2015,Квартира,62.61,В пользовании
Столыпко А В,декларант,https://declarator.org/person/1211773,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2015,Квартира,61.24,В пользовании
Столыпко А В,Супруг(а),https://declarator.org/person/1211773,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2015,Квартира,61.24,В пользовании
