person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Ким А Г,декларант,https://declarator.org/person/364488,Федеральное агентство по рыболовству,федеральный орган,Руководитель Представительства Росрыболовства в Республике Корея - Представители Росрыболовства за рубежом,2021,Квартира,56.3,В пользовании
Ким А Г,Супруг(а),https://declarator.org/person/364488,Федеральное агентство по рыболовству,федеральный орган,Руководитель Представительства Росрыболовства в Республике Корея - Представители Росрыболовства за рубежом,2021,Квартира,56.3,В пользовании
Ким А Г,Ребенок,https://declarator.org/person/364488,Федеральное агентство по рыболовству,федеральный орган,Руководитель Представительства Росрыболовства в Республике Корея - Представители Росрыболовства за рубежом,2021,Квартира,56.3,В пользовании
Кузьменко И.В.,декларант,https://declarator.org/office/600?active-tab=year-2021,Министерство промышленности и торговли,федеральный орган,Главный-специалист-эксперт – главный бухгалтер,2021,Квартира,53.0,В пользовании
Масальцев А А,Ребенок,https://declarator.org/person/1104898,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,83.7,В пользовании
Масальцев А А,Ребенок,https://declarator.org/person/1104898,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,83.7,В пользовании
Масальцев А А,декларант,https://declarator.org/person/1104898,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,83.7,В пользовании
Масальцев А А,Супруг(а),https://declarator.org/person/1104898,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,83.7,В пользовании
Пироженко О С,декларант,https://declarator.org/person/1165166,Министерство промышленности и торговли,федеральный орган,Начальник отдела,2021,Квартира,70.0,В пользовании
Пироженко О С,Ребенок,https://declarator.org/person/1165166,Министерство промышленности и торговли,федеральный орган,Начальник отдела,2021,Квартира,70.0,В пользовании
Пироженко О С,Супруг(а),https://declarator.org/person/1165166,Министерство промышленности и торговли,федеральный орган,Начальник отдела,2021,Квартира,70.0,В пользовании
Пироженко О С,Ребенок,https://declarator.org/person/1165166,Министерство промышленности и торговли,федеральный орган,Начальник отдела,2021,Квартира,70.0,В пользовании
Акимов И.А.,Супруг(а),https://declarator.org/office/576?active-tab=year-2021,Федеральная таможенная служба,федеральный орган,Представитель,2021,Квартира,69.2,В пользовании
Акимов И.А.,Ребенок,https://declarator.org/office/576?active-tab=year-2021,Федеральная таможенная служба,федеральный орган,Представитель,2021,Квартира,69.2,В пользовании
Акимов И.А.,декларант,https://declarator.org/office/576?active-tab=year-2021,Федеральная таможенная служба,федеральный орган,Представитель,2021,Квартира,69.2,В пользовании
Ким А Г,Супруг(а),https://declarator.org/person/364488,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Республике Корея - Представители Росрыболовства за рубежом,2020,Квартира,56.3,В пользовании
Ким А Г,декларант,https://declarator.org/person/364488,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Республике Корея - Представители Росрыболовства за рубежом,2020,Квартира,56.3,В пользовании
Ким А Г,Ребенок,https://declarator.org/person/364488,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Республике Корея - Представители Росрыболовства за рубежом,2020,Квартира,56.3,В пользовании
Кряжев Алексей Владимирович,декларант,https://declarator.org/person/128260,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,72.7,В пользовании
Кряжев Алексей Владимирович,Супруг(а),https://declarator.org/person/128260,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,72.7,В пользовании
Арсеньев А.А.,декларант,https://declarator.org/office/600?active-tab=year-2020,Министерство промышленности и торговли,федеральный орган,Заместитель торгового представителя,2020,Квартира,82.0,В пользовании
Арсеньев А.А.,Супруг(а),https://declarator.org/office/600?active-tab=year-2020,Министерство промышленности и торговли,федеральный орган,Заместитель торгового представителя,2020,Квартира,82.0,В пользовании
Масальцев А А,декларант,https://declarator.org/person/1104898,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2020,Квартира,83.7,В пользовании
Масальцев А А,Супруг(а),https://declarator.org/person/1104898,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2020,Квартира,83.7,В пользовании
Масальцев А А,Ребенок,https://declarator.org/person/1104898,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2020,Квартира,83.7,В пользовании
Масальцев А А,Ребенок,https://declarator.org/person/1104898,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2020,Квартира,83.7,В пользовании
Пироженко О С,Супруг(а),https://declarator.org/person/1165166,Министерство промышленности и торговли,федеральный орган,Начальник отдела,2020,Квартира,80.0,В пользовании
Пироженко О С,декларант,https://declarator.org/person/1165166,Министерство промышленности и торговли,федеральный орган,Начальник отдела,2020,Квартира,80.0,В пользовании
Пироженко О С,Ребенок,https://declarator.org/person/1165166,Министерство промышленности и торговли,федеральный орган,Начальник отдела,2020,Квартира,80.0,В пользовании
Пироженко О С,Ребенок,https://declarator.org/person/1165166,Министерство промышленности и торговли,федеральный орган,Начальник отдела,2020,Квартира,80.0,В пользовании
Федчук Д В,декларант,https://declarator.org/person/1652722,Министерство промышленности и торговли,федеральный орган,Ведущий специалист-эксперт,2020,Квартира,82.3,В пользовании
Ким А Г,Супруг(а),https://declarator.org/person/364488,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Республике Корея - Представители Росрыболовства за рубежом,2019,Квартира,56.3,В пользовании
Ким А Г,Ребенок,https://declarator.org/person/364488,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Республике Корея - Представители Росрыболовства за рубежом,2019,Квартира,56.3,В пользовании
Ким А Г,декларант,https://declarator.org/person/364488,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Республике Корея - Представители Росрыболовства за рубежом,2019,Квартира,56.3,В пользовании
Кряжев Алексей Владимирович,Супруг(а),https://declarator.org/person/128260,Федеральная таможенная служба,федеральный орган,Представитель,2019,Квартира,72.7,В пользовании
Кряжев Алексей Владимирович,декларант,https://declarator.org/person/128260,Федеральная таможенная служба,федеральный орган,Представитель,2019,Квартира,72.7,В пользовании
Кряжев Алексей Владимирович,Ребенок,https://declarator.org/person/128260,Федеральная таможенная служба,федеральный орган,Представитель,2019,Квартира,72.7,В пользовании
Баторов Б Н,Ребенок,https://declarator.org/person/395842,Прокуратура Республики Бурятия,Республика Бурятия,прокурор Советского района г. Улан-Удэ,2019,Квартира,8.0,В пользовании
Кряжев Алексей Владимирович,декларант,https://declarator.org/person/128260,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,72.7,В пользовании
