person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Агатий И И,декларант,https://declarator.org/person/1618782,Министерство обороны,федеральный орган,,2020,Квартира,75.0,В пользовании
Агатий И И,Супруг(а),https://declarator.org/person/1618782,Министерство обороны,федеральный орган,,2020,Квартира,75.0,В пользовании
Куликов Сергей Александрович,Супруг(а),https://declarator.org/person/1020374,Дубна - городской округ,Московская область,Депутат Совета депутатов городского округа Дубна – – –,2018,Жилой дом,74.0,Долевая собственность
Куликов Сергей Александрович,декларант,https://declarator.org/person/1020374,Дубна - городской округ,Московская область,Депутат Совета депутатов городского округа Дубна – – –,2018,Квартира,74.0,Долевая собственность
Куликов Сергей Александрович,Супруг(а),https://declarator.org/person/1020374,Дубна - городской округ,Московская область,Депутат Совета депутатов городского округа Дубна – – –,2018,Квартира,464.0,Долевая собственность
Куликов Сергей Александрович,декларант,https://declarator.org/person/1020374,Дубна - городской округ,Московская область,Депутат Совета депутатов городского округа Дубна – – –,2018,Квартира,74.0,Долевая собственность
Куликов Сергей Александрович,Супруг(а),https://declarator.org/person/1020374,Дубна - городской округ,Московская область,Депутат Совета депутатов городского округа Дубна – – –,2018,Квартира,464.0,Долевая собственность
Куликов Сергей Александрович,Супруг(а),https://declarator.org/person/1020374,Дубна - городской округ,Московская область,Депутат Совета депутатов городского округа Дубна – – –,2018,Жилой дом,74.0,Долевая собственность
"Куликов Сергей
 Александрович",Ребенок,https://declarator.org/office/1521?active-tab=year-2017,Дубна - городской округ,Московская область,Депутат Совета депутатов г. Дубны – – –,2017,Иное,74.0,В пользовании
"Куликов Сергей
 Александрович",декларант,https://declarator.org/office/1521?active-tab=year-2017,Дубна - городской округ,Московская область,Депутат Совета депутатов г. Дубны – – –,2017,Квартира,74.0,Долевая собственность
"Куликов Сергей
 Александрович",декларант,https://declarator.org/office/1521?active-tab=year-2017,Дубна - городской округ,Московская область,Депутат Совета депутатов г. Дубны – – –,2017,Земельный участок,464.0,В пользовании
"Куликов Сергей
 Александрович",Супруг(а),https://declarator.org/office/1521?active-tab=year-2017,Дубна - городской округ,Московская область,Депутат Совета депутатов г. Дубны – – –,2017,Квартира,464.0,Долевая собственность
"Куликов Сергей
 Александрович",Супруг(а),https://declarator.org/office/1521?active-tab=year-2017,Дубна - городской округ,Московская область,Депутат Совета депутатов г. Дубны – – –,2017,Жилой дом,74.0,В собственности
"Куликов Сергей
 Александрович",Ребенок,https://declarator.org/office/1521?active-tab=year-2017,Дубна - городской округ,Московская область,Депутат Совета депутатов г. Дубны – – –,2017,Земельный участок,74.0,В пользовании
"Куликов Сергей
 Александрович",Ребенок,https://declarator.org/office/1521?active-tab=year-2017,Дубна - городской округ,Московская область,Депутат Совета депутатов г. Дубны – – –,2017,Жилой дом,464.0,В пользовании
Куликов Сергей Александрович,декларант,https://declarator.org/person/1020374,Дубна - городской округ,Московская область,Депутат Совета депутатов г. Дубны – – –,2016,Квартира,74.0,Долевая собственность
Куликов Сергей Александрович,Супруг(а),https://declarator.org/person/1020374,Дубна - городской округ,Московская область,Депутат Совета депутатов г. Дубны – – –,2016,Жилой дом,74.0,Долевая собственность
Куликов Сергей Александрович,Супруг(а),https://declarator.org/person/1020374,Дубна - городской округ,Московская область,Депутат Совета депутатов г. Дубны – – –,2016,Квартира,464.0,Долевая собственность
Куликов Сергей Александрович,Супруг(а),https://declarator.org/person/1020374,Дубна - городской округ,Московская область,Депутат Совета депутатов г. Дубны – – –,2016,Квартира,464.0,Долевая собственность
Куликов Сергей Александрович,декларант,https://declarator.org/person/1020374,Дубна - городской округ,Московская область,Депутат Совета депутатов г. Дубны – – –,2016,Квартира,74.0,Долевая собственность
Куликов Сергей Александрович,Супруг(а),https://declarator.org/person/1020374,Дубна - городской округ,Московская область,Депутат Совета депутатов г. Дубны – – –,2016,Жилой дом,74.0,Долевая собственность
Куликов Сергей Александрович,Супруг(а),https://declarator.org/person/1020374,Дубна - городской округ,Московская область,Депутат Совета депутатов г. Дубны – – –,2015,Квартира,464.0,Долевая собственность
Куликов Сергей Александрович,декларант,https://declarator.org/person/1020374,Дубна - городской округ,Московская область,Депутат Совета депутатов г. Дубны – – –,2015,Квартира,74.0,Долевая собственность
Куликов Сергей Александрович,декларант,https://declarator.org/person/1020374,Дубна - городской округ,Московская область,Депутат Совета депутатов г. Дубны – – –,2015,Квартира,74.0,Долевая собственность
Куликов Сергей Александрович,Супруг(а),https://declarator.org/person/1020374,Дубна - городской округ,Московская область,Депутат Совета депутатов г. Дубны – – –,2015,Квартира,464.0,Долевая собственность
