person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Савченко Олег Владимирович,Супруг(а),https://declarator.org/person/290,Государственная Дума,федеральный орган,"Депутат государственной думы, заместитель председателя комитетa",2021,Земельный участок,17330.0,Совместная собственность
Савченко Олег Владимирович,декларант,https://declarator.org/person/290,Государственная Дума,федеральный орган,"Депутат государственной думы, заместитель председателя комитетa",2021,Земельный участок,17330.0,Совместная собственность
Савченко Олег Владимирович,декларант,https://declarator.org/person/290,Государственная Дума,федеральный орган,"Депутат государственной думы, заместитель председателя комитетa",2021,Жилой дом,1046.0,Совместная собственность
Савченко Олег Владимирович,Супруг(а),https://declarator.org/person/290,Государственная Дума,федеральный орган,"Депутат государственной думы, заместитель председателя комитетa",2021,Жилой дом,1046.0,Совместная собственность
Шайхутдинов Рифат Габдулхакович,Супруг(а),https://declarator.org/person/3380,Государственная Дума,федеральный орган,"Депутат государственной думы, первый заместитель председателя комитетa",2021,Жилой дом,175.7,Индивидуальная
Андреев Павел Викторович,Супруг(а),https://declarator.org/person/203434,Центральная избирательная комиссия,федеральный орган,Член ЦИК России,2021,Квартира,82.0,В пользовании
Андреев Павел Викторович,Ребенок,https://declarator.org/person/203434,Центральная избирательная комиссия,федеральный орган,Член ЦИК России,2021,Квартира,82.0,В пользовании
Андреев Павел Викторович,Ребенок,https://declarator.org/person/203434,Центральная избирательная комиссия,федеральный орган,Член ЦИК России,2021,Квартира,82.0,В пользовании
Шварцкопф Юрий Алексеевич,декларант,https://declarator.org/person/48885,Комитет по культуре Санкт-Петербурга,Санкт-Петербург,"Генеральный директор, Санкт-Петербургское государственное автономное учреждение культуры «Санкт-Петербургский государственный театр музыкальной комедии» - квартира
индивидуальная
39,2
Россия",2021,Квартира,120.0,Индивидуальная
Сонин Олег Владимирович,Супруг(а),https://declarator.org/person/148560,Министерство здравоохранения,федеральный орган,заместитель директора,2021,Квартира,36.0,В пользовании
Бартош Александр Валерьевич,Супруг(а),https://declarator.org/person/41280,Судебный департамент при Верховном Суде РФ,федеральный орган,Заместитель начальника управления,2021,Квартира,101.0,Индивидуальная
Бартош Александр Валерьевич,Супруг(а),https://declarator.org/person/41280,Судебный департамент при Верховном Суде РФ,федеральный орган,Заместитель начальника управления,2021,Гараж,21.0,Индивидуальная
Моисеенко Владимир Михайлович,Супруг(а),https://declarator.org/person/48618,Комитет по здравоохранению,Санкт-Петербург,"директор, Государственное бюджетное учреждение здравоохранения «Санкт-Петербургский клинический научно-практический центр специальных видов медицинской помощи (онкологический)»",2021,Квартира,80.8,Индивидуальная
Беленький Дан Михайлович,Супруг(а),https://declarator.org/person/129768,Федеральное агентство по рыболовству,федеральный орган,"Начальник ФГБУ ""Главное бассейновое управление по рыболовству и сохранению водных биологических ресурсов"" - Руководители и работники ФГБНУ, ФГУП, ФГБОУ ВО, ФГБУ",2021,Квартира,69.0,Индивидуальная
Стебнева А.В.,Супруг(а),https://declarator.org/office/9003?active-tab=year-2021,Министерство цифрового развития и связи Хабаровского края,Хабаровский край,Председатель комитета,2021,Гараж,8.0,Долевая собственность
Стебнева А.В.,Супруг(а),https://declarator.org/office/9003?active-tab=year-2021,Министерство цифрового развития и связи Хабаровского края,Хабаровский край,Председатель комитета,2021,Квартира,85.0,Долевая собственность
Стебнева А.В.,Супруг(а),https://declarator.org/office/9003?active-tab=year-2021,Министерство цифрового развития и связи Хабаровского края,Хабаровский край,Председатель комитета,2021,Иное,2.4,Долевая собственность
Стебнева А.В.,Супруг(а),https://declarator.org/office/9015?active-tab=year-2021,Комитет государственного заказа Хабаровского края,Хабаровский край,Председатель комитета,2021,Квартира,85.0,Долевая собственность
Стебнева А.В.,Супруг(а),https://declarator.org/office/9015?active-tab=year-2021,Комитет государственного заказа Хабаровского края,Хабаровский край,Председатель комитета,2021,Иное,2.4,Долевая собственность
Стебнева А.В.,Супруг(а),https://declarator.org/office/9015?active-tab=year-2021,Комитет государственного заказа Хабаровского края,Хабаровский край,Председатель комитета,2021,Гараж,8.0,Долевая собственность
Стебнева А.В.,Супруг(а),https://declarator.org/office/9017?active-tab=year-2021,Комитет государственного финансового контроля Хабаровского края,Хабаровский край,Председатель комитета,2021,Иное,2.4,Долевая собственность
Стебнева А.В.,Супруг(а),https://declarator.org/office/9017?active-tab=year-2021,Комитет государственного финансового контроля Хабаровского края,Хабаровский край,Председатель комитета,2021,Гараж,8.0,Долевая собственность
Стебнева А.В.,Супруг(а),https://declarator.org/office/9017?active-tab=year-2021,Комитет государственного финансового контроля Хабаровского края,Хабаровский край,Председатель комитета,2021,Квартира,85.0,Долевая собственность
Стебнева А.В.,Супруг(а),https://declarator.org/office/9021?active-tab=year-2021,Комитет правительства Хабаровского края по топливно-энергетическому комплексу,Хабаровский край,Председатель комитета,2021,Иное,2.4,Долевая собственность
Стебнева А.В.,Супруг(а),https://declarator.org/office/9021?active-tab=year-2021,Комитет правительства Хабаровского края по топливно-энергетическому комплексу,Хабаровский край,Председатель комитета,2021,Гараж,8.0,Долевая собственность
Стебнева А.В.,Супруг(а),https://declarator.org/office/9021?active-tab=year-2021,Комитет правительства Хабаровского края по топливно-энергетическому комплексу,Хабаровский край,Председатель комитета,2021,Квартира,85.0,Долевая собственность
Стебнева А.В.,Супруг(а),https://declarator.org/office/9028?active-tab=year-2021,Управление государственной охраны объектов культурного наследия Хабаровского края,Хабаровский край,Председатель комитета,2021,Иное,2.4,Долевая собственность
Стебнева А.В.,Супруг(а),https://declarator.org/office/9028?active-tab=year-2021,Управление государственной охраны объектов культурного наследия Хабаровского края,Хабаровский край,Председатель комитета,2021,Квартира,85.0,Долевая собственность
Стебнева А.В.,Супруг(а),https://declarator.org/office/9028?active-tab=year-2021,Управление государственной охраны объектов культурного наследия Хабаровского края,Хабаровский край,Председатель комитета,2021,Гараж,8.0,Долевая собственность
Говоров О А,Ребенок,https://declarator.org/person/175943,УФСИН Москва,Москва, - УФСИН России по г.Москве,2021,Жилой дом,160.0,В пользовании
Васильева Елена Юрьевна,декларант,https://declarator.org/person/458531,Департамент здравоохранения города Москвы,Москва,"главный врач ГБУЗ ""ГКБ им. И.В.Давыдовского ДЗМ""",2021,Дача,110.0,Индивидуальная
Говоров О А,Ребенок,https://declarator.org/person/175943,Федеральная служба исполнения наказаний,федеральный орган, - УФСИН России по г.Москве,2021,Жилой дом,160.0,В пользовании
Климова Н П,декларант,https://declarator.org/person/1046414,Департамент труда и социальной защиты населения города Москвы,Москва,"руководитель Государственного казенного учреждения города Москвы «Московский центр развития социальных технологий» - Сведения о доходах, расходах,
об имуществе и обязательствах имущественного характера
государственных гражданских служащих Управления социальной защиты населения Западного административного округа города Москвы и членов их семей за период с 1 января 2021 г. по 31 декабря 2021 г.",2021,Квартира,165.67,Индивидуальная
Михайлов Денис Леонидович,Супруг(а),https://declarator.org/person/46400,Департамент финансов города Москвы,Москва,"руководитель ГКУ ""Мосфинагентство""",2021,Квартира,55.0,Индивидуальная
Газизуллин М М,Супруг(а),https://declarator.org/person/1458976,Российские автомобильные дороги (ГК Автодор),федеральный орган,заместитель председателя правления,2021,Гараж,30.0,В пользовании
Газизуллин М М,Супруг(а),https://declarator.org/person/1458976,Российские автомобильные дороги (ГК Автодор),федеральный орган,заместитель председателя правления,2021,Квартира,96.5,В пользовании
Газизуллин М М,декларант,https://declarator.org/person/1458976,Российские автомобильные дороги (ГК Автодор),федеральный орган,заместитель председателя правления,2021,Квартира,197.7,В пользовании
Газизуллин М М,декларант,https://declarator.org/person/1458976,Российские автомобильные дороги (ГК Автодор),федеральный орган,заместитель председателя правления,2021,Квартира,96.5,Индивидуальная
Газизуллин М М,декларант,https://declarator.org/person/1458976,Российские автомобильные дороги (ГК Автодор),федеральный орган,заместитель председателя правления,2021,Гараж,30.0,Индивидуальная
Газизуллин М М,Супруг(а),https://declarator.org/person/1458976,Российские автомобильные дороги (ГК Автодор),федеральный орган,заместитель председателя правления,2021,Квартира,197.7,Индивидуальная
Спасский Николай Николаевич,Ребенок,https://declarator.org/person/16185,"Государственная корпорация по атомной энергии ""Росатом""",федеральный орган,"Заместитель генерального директора - директор Блока международной деятельности, член правления",2021,Квартира,180.0,В пользовании
Спасский Николай Николаевич,Супруг(а),https://declarator.org/person/16185,"Государственная корпорация по атомной энергии ""Росатом""",федеральный орган,"Заместитель генерального директора - директор Блока международной деятельности, член правления",2021,Квартира,180.0,Индивидуальная
Шадаев Дамир Равильевич,Супруг(а),https://declarator.org/person/137313,Законодательное собрание Ленинградской области,Ленинградская область,Депутат законодательного собрания Ленинградской области,2021,Жилой дом,500.0,Индивидуальная
Говорун Вадим Маркович,Супруг(а),https://declarator.org/office/474?active-tab=year-2021,Федеральная служба в сфере защиты прав потребителей и благополучия человека,федеральный орган,Врио директора ФБУН «Научно-исследовательский институт системной биологии и медицины» Роспотребнадзора,2021,Жилой дом,200.0,Долевая собственность
Говорун Вадим Маркович,Супруг(а),https://declarator.org/office/474?active-tab=year-2021,Федеральная служба в сфере защиты прав потребителей и благополучия человека,федеральный орган,Врио директора ФБУН «Научно-исследовательский институт системной биологии и медицины» Роспотребнадзора,2021,Земельный участок,765.0,Долевая собственность
Говорун Вадим Маркович,декларант,https://declarator.org/office/474?active-tab=year-2021,Федеральная служба в сфере защиты прав потребителей и благополучия человека,федеральный орган,Врио директора ФБУН «Научно-исследовательский институт системной биологии и медицины» Роспотребнадзора,2021,Земельный участок,765.0,Совместная собственность
Говорун Вадим Маркович,декларант,https://declarator.org/office/474?active-tab=year-2021,Федеральная служба в сфере защиты прав потребителей и благополучия человека,федеральный орган,Врио директора ФБУН «Научно-исследовательский институт системной биологии и медицины» Роспотребнадзора,2021,Жилой дом,200.0,Долевая собственность
Корнеева Снежана Ивановна,Супруг(а),https://declarator.org/office/7918?active-tab=year-2021,Министерство здравоохранения Курской области,Курская область,замести- тель начальни- кауправ- ления,2021,Квартира,53.0,В собственности
