person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Кряклина Жанна Витальевна,декларант,https://declarator.org/person/1055735,"Севастополь, должностные лица (ФСС)*",Севастополь*,Консультант-ревизор отдела администрирования страховых взносов,2021,Дача,500.0,В собственности
Кряклина Жанна Витальевна,декларант,https://declarator.org/person/1055735,"Севастополь, должностные лица (ФСС)*",Севастополь*,Консультант-ревизор отдела администрирования страховых взносов,2021,Иное,30.0,Индивидуальная
Кряклина Жанна Витальевна,декларант,https://declarator.org/person/1055735,"Севастополь, должностные лица (ФСС)*",Севастополь*,Консультант-ревизор отдела администрирования страховых взносов,2021,Дача,40.0,В собственности
Шимек Екатерина Сергеевна,декларант,https://declarator.org/person/1326092,Тюменский район,Тюменская область,Специалист 1 категории отдела градостроительной деятельности комитета градостроительной деятельности и муниципального имущества,2021,Квартира,67.0,В пользовании
Шимек Екатерина Сергеевна,Ребенок,https://declarator.org/person/1326092,Тюменский район,Тюменская область,Специалист 1 категории отдела градостроительной деятельности комитета градостроительной деятельности и муниципального имущества,2021,Квартира,67.0,В пользовании
Шимек Екатерина Сергеевна,Ребенок,https://declarator.org/person/1326092,Тюменский район,Тюменская область,Специалист 1 категории отдела градостроительной деятельности комитета градостроительной деятельности и муниципального имущества,2021,Квартира,67.0,В пользовании
Шимек Екатерина Сергеевна,Супруг(а),https://declarator.org/person/1326092,Тюменский район,Тюменская область,Специалист 1 категории отдела градостроительной деятельности комитета градостроительной деятельности и муниципального имущества,2021,Квартира,67.0,В пользовании
Козлова Ольга Петровна,декларант,https://declarator.org/person/586134,Нижневартовск - городской округ,Ханты-Мансийский автономный округ — Югра,,2021,Квартира,73.9,Индивидуальная
Глигич-Золотарева Милена Валериевна,Супруг(а),https://declarator.org/person/131477,Аппарат Совета Федерации,федеральный орган,начальник отдела в управлении,2021,Земельный участок,909.33,Долевая собственность
Глигич-Золотарева Милена Валериевна,Супруг(а),https://declarator.org/person/131477,Аппарат Совета Федерации,федеральный орган,начальник отдела в управлении,2021,Жилой дом,35.35,Долевая собственность
Глигич-Золотарева Милена Валериевна,Супруг(а),https://declarator.org/person/131477,Аппарат Совета Федерации,федеральный орган,начальник отдела в управлении,2020,Земельный участок,909.33,Долевая собственность
Глигич-Золотарева Милена Валериевна,Супруг(а),https://declarator.org/person/131477,Аппарат Совета Федерации,федеральный орган,начальник отдела в управлении,2020,Жилой дом,35.35,Долевая собственность
Глигич-Золотарева Милена Валериевна,Супруг(а),https://declarator.org/person/131477,Аппарат Совета Федерации,федеральный орган,начальник отдела в управлении,2019,Жилой дом,35.4,Долевая собственность
Глигич-Золотарева Милена Валериевна,Супруг(а),https://declarator.org/person/131477,Аппарат Совета Федерации,федеральный орган,начальник отдела в управлении,2019,Земельный участок,909.3,Долевая собственность
Вукович Наталья Анатольевна,Супруг(а),https://declarator.org/person/472045,ФГБОУ ВО Санкт-Петербургский государственный лесотехнический университет имени С.М.Кирова,Санкт-Петербург,проректор по международному сотрудничеству и инновационному развитию,2019,Квартира,49.0,Совместная собственность
Козлова Ольга Петровна,декларант,https://declarator.org/person/586134,Нижневартовск - городской округ,Ханты-Мансийский автономный округ — Югра,,2019,Квартира,73.9,Индивидуальная
Кряклина Жанна Витальевна,декларант,https://declarator.org/office/6547?active-tab=year-2019,"Севастополь, должностные лица (ФСС)*",Севастополь*,Консультант-ревизор отдела администрирования страховых взносов,2019,Иное,30.0,Индивидуальная
Кряклина Жанна Витальевна,декларант,https://declarator.org/office/6547?active-tab=year-2019,"Севастополь, должностные лица (ФСС)*",Севастополь*,Консультант-ревизор отдела администрирования страховых взносов,2019,Земельный участок,500.0,Индивидуальная
