person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Соловьева А.В.,Ребенок,https://declarator.org/office/5953?active-tab=year-2019,Департамент городского имущества города Москвы,Москва,Главный специалист - Управление корпоративных отношений,2019,Квартира,100.0,В пользовании
Соловьева А.В.,Супруг(а),https://declarator.org/office/5953?active-tab=year-2019,Департамент городского имущества города Москвы,Москва,Главный специалист - Управление корпоративных отношений,2019,Квартира,100.0,В пользовании
Соловьева А.В.,декларант,https://declarator.org/office/5953?active-tab=year-2019,Департамент городского имущества города Москвы,Москва,Главный специалист - Управление корпоративных отношений,2019,Квартира,100.0,В пользовании
Дахновский Алексей Витальевич,Супруг(а),https://declarator.org/person/63613,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Республика Сингапур.,2017,Квартира,102.0,В пользовании
Дахновский Алексей Витальевич,декларант,https://declarator.org/person/63613,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Республика Сингапур.,2017,Квартира,82.7,В пользовании
Дахновский Алексей Витальевич,декларант,https://declarator.org/person/63613,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Республика Сингапур.,2017,Квартира,102.0,В пользовании
Дахновский Алексей Витальевич,Супруг(а),https://declarator.org/person/63613,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Республика Сингапур.,2017,Квартира,82.7,В пользовании
Дахновский Алексей Витальевич,декларант,https://declarator.org/person/63613,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,102.0,В пользовании
Бергаль В.А.,Ребенок,https://declarator.org/office/4139?active-tab=year-2016,ГУ МЧС Камчатский край,Камчатский край,Государственный инспектор по маломерным судам - ФКУ «Центр ГИМС МЧС России по Камчатскому краю»,2016,Квартира,43.0,В пользовании
Бергаль В.А.,Ребенок,https://declarator.org/office/4139?active-tab=year-2016,ГУ МЧС Камчатский край,Камчатский край,Государственный инспектор по маломерным судам - ФКУ «Центр ГИМС МЧС России по Камчатскому краю»,2016,Квартира,43.0,В пользовании
Бергаль В.А.,Ребенок,https://declarator.org/office/4139?active-tab=year-2016,ГУ МЧС Камчатский край,Камчатский край,Государственный инспектор по маломерным судам - ФКУ «Центр ГИМС МЧС России по Камчатскому краю»,2016,Квартира,43.0,В пользовании
Бергаль В.А.,Супруг(а),https://declarator.org/office/4139?active-tab=year-2016,ГУ МЧС Камчатский край,Камчатский край,Государственный инспектор по маломерным судам - ФКУ «Центр ГИМС МЧС России по Камчатскому краю»,2016,Квартира,43.0,В пользовании
Бергаль В.А.,декларант,https://declarator.org/office/4139?active-tab=year-2016,ГУ МЧС Камчатский край,Камчатский край,Государственный инспектор по маломерным судам - ФКУ «Центр ГИМС МЧС России по Камчатскому краю»,2016,Квартира,43.0,В пользовании
Павлова Елена Анатольевна,Ребенок,https://declarator.org/person/698023,Управление Роспотребнадзора Республика Саха (Якутия),Республика Саха (Якутия),Начальник отдела,2012,Квартира,22.0,В пользовании
