person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Зайцева Ольга Алексеевна,декларант,https://declarator.org/person/534471,Московская городская Дума,Москва,Кандидат в депутаты регионального законодательного собрания,2023,Иное,0.01,Совместная собственность
Зайцева Ольга Алексеевна,декларант,https://declarator.org/person/534471,Московская городская Дума,Москва,Кандидат в депутаты регионального законодательного собрания,2023,Квартира,0.01,Совместная собственность
Зайцева Ольга Алексеевна,декларант,https://declarator.org/person/534471,Московская городская Дума,Москва,Кандидат в депутаты регионального законодательного собрания,2023,Гараж,0.01,Совместная собственность
Томников А А,декларант,https://declarator.org/person/85634,Министерство обороны,федеральный орган,,2019,Квартира,72.5,В пользовании
Томников А А,Супруг(а),https://declarator.org/person/85634,Министерство обороны,федеральный орган,,2019,Квартира,72.5,В пользовании
Томиленко С А,декларант,https://declarator.org/person/373511,Министерство сельского хозяйства,федеральный орган,"Заместитель директора - Федеральное государственное бюджетное учреждение ""Управление по мелиорации земель и сельскохозяйственному водоснабжению ""Плодородие""",2019,Квартира,150.0,Индивидуальная
Белякова Екатерина Дмитриевна,декларант,https://declarator.org/person/63603,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Словацкая Республика.,2017,Квартира,84.0,В пользовании
Чеппан И.Г.,Супруг(а),https://declarator.org/office/5838?active-tab=year-2017,Отделение Социального фонда России Иркутская область,Иркутская область,"начальник отдела - Государственное учреждение - Управление Пенсионного фонда Российской Федерации
 в г. Братске и Братском районе Иркутской области",2017,Земельный участок,1040.0,Долевая собственность
Чеппан И.Г.,Супруг(а),https://declarator.org/office/5838?active-tab=year-2017,Отделение Социального фонда России Иркутская область,Иркутская область,"начальник отдела - Государственное учреждение - Управление Пенсионного фонда Российской Федерации
 в г. Братске и Братском районе Иркутской области",2017,Жилой дом,220.0,Долевая собственность
Башкова Людмила Александровна,Супруг(а),https://declarator.org/office/7187?active-tab=year-2017,Министерство образования и науки Астраханской области,Астраханская область,"начальник управления развития общего, дополнительного образования, воспитательной работы и социализации детей",2017,Квартира,39.43,В собственности
Белякова Екатерина Дмитриевна,декларант,https://declarator.org/person/63603,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,84.0,В пользовании
Щелкушкин В И,декларант,https://declarator.org/person/1622381,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,74.0,В пользовании
Щелкушкин В И,Супруг(а),https://declarator.org/person/1622381,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,74.0,В пользовании
Гунько Е С,Супруг(а),https://declarator.org/person/189153,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,63.0,В пользовании
Гунько Е С,декларант,https://declarator.org/person/189153,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,63.0,В пользовании
Карев А.А.,декларант,https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,59.0,В пользовании
Павлов С А,декларант,https://declarator.org/person/379469,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,59.0,В пользовании
