person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Гартунг Валерий Карлович,Супруг(а),https://declarator.org/person/40,Государственная Дума,федеральный орган,"Депутат государственной думы, председатель комитетa",2021,Квартира,190.0,Индивидуальная
Соколов Максим Юрьевич,Ребенок,https://declarator.org/person/1236,Правительство Санкт-Петербурга,Санкт-Петербург,Вице-губернатор Санкт-Петербурга,2021,Квартира,0.01,В пользовании
Клишас Андрей Александрович,декларант,https://declarator.org/person/892,Совет Федерации,федеральный орган,Сенатор Российской Федерации - представитель в Совете Федерации Федерального Собрания Российской Федерации от исполнительного органа государственной власти Красноярского края - ,2021,Земельный участок,543.0,В собственности
Клишас Андрей Александрович,декларант,https://declarator.org/person/892,Совет Федерации,федеральный орган,Сенатор Российской Федерации - представитель в Совете Федерации Федерального Собрания Российской Федерации от исполнительного органа государственной власти Красноярского края - ,2021,Жилой дом,432.0,В собственности
Паранянц Роберт Васильевич,Ребенок,https://declarator.org/person/13233,Законодательное Собрание Краснодарского края,Краснодарский край,Депутат законодательного собрания Краснодарского края,2021,Жилой дом,200.0,В пользовании
Лякишев Д В,Ребенок,https://declarator.org/person/1080325,Министерство экономического развития,федеральный орган,Постоянный представитель,2021,Квартира,195.3,В пользовании
Лякишев Д В,декларант,https://declarator.org/person/1080325,Министерство экономического развития,федеральный орган,Постоянный представитель,2021,Квартира,195.3,В пользовании
Лякишев Д В,Супруг(а),https://declarator.org/person/1080325,Министерство экономического развития,федеральный орган,Постоянный представитель,2021,Квартира,195.3,В пользовании
Цуканова Т В,декларант,https://declarator.org/person/189924,Министерство экономического развития,федеральный орган,Заместитель Постоянного представителя,2021,Квартира,70.2,В пользовании
Цуканова Т В,Ребенок,https://declarator.org/person/189924,Министерство экономического развития,федеральный орган,Заместитель Постоянного представителя,2021,Квартира,70.2,В пользовании
Кулешов А В,декларант,https://declarator.org/person/1025749,Министерство экономического развития,федеральный орган,Торговый советник,2021,Квартира,69.5,В пользовании
Кулешов А В,Ребенок,https://declarator.org/person/1025749,Министерство экономического развития,федеральный орган,Торговый советник,2021,Квартира,69.5,В пользовании
Кулешов А В,Ребенок,https://declarator.org/person/1025749,Министерство экономического развития,федеральный орган,Торговый советник,2021,Квартира,69.5,В пользовании
Кулешов А В,Супруг(а),https://declarator.org/person/1025749,Министерство экономического развития,федеральный орган,Торговый советник,2021,Квартира,69.5,В пользовании
Мокина О С,декларант,https://declarator.org/person/189593,Министерство экономического развития,федеральный орган,Торговый советник,2021,Квартира,50.0,В пользовании
Тонков Д И,декларант,https://declarator.org/person/189840,Министерство экономического развития,федеральный орган,Торговый советник,2021,Квартира,60.5,В пользовании
Чаплин Анатолий Юрьевич,Супруг(а),https://declarator.org/person/63527,Министерство экономического развития,федеральный орган,Торговый советник,2021,Квартира,64.2,В пользовании
Чаплин Анатолий Юрьевич,Ребенок,https://declarator.org/person/63527,Министерство экономического развития,федеральный орган,Торговый советник,2021,Квартира,64.2,В пользовании
Чаплин Анатолий Юрьевич,Ребенок,https://declarator.org/person/63527,Министерство экономического развития,федеральный орган,Торговый советник,2021,Квартира,64.2,В пользовании
Чаплин Анатолий Юрьевич,Ребенок,https://declarator.org/person/63527,Министерство экономического развития,федеральный орган,Торговый советник,2021,Квартира,64.2,В пользовании
Чаплин Анатолий Юрьевич,декларант,https://declarator.org/person/63527,Министерство экономического развития,федеральный орган,Торговый советник,2021,Квартира,64.2,В пользовании
Бирюков Е.С.,Супруг(а),https://declarator.org/office/603?active-tab=year-2021,Министерство экономического развития,федеральный орган,Торговый атташе,2021,Квартира,75.0,В пользовании
Бирюков Е.С.,Ребенок,https://declarator.org/office/603?active-tab=year-2021,Министерство экономического развития,федеральный орган,Торговый атташе,2021,Квартира,75.0,В пользовании
Бирюков Е.С.,декларант,https://declarator.org/office/603?active-tab=year-2021,Министерство экономического развития,федеральный орган,Торговый атташе,2021,Квартира,75.0,В пользовании
Бирюков Е.С.,Ребенок,https://declarator.org/office/603?active-tab=year-2021,Министерство экономического развития,федеральный орган,Торговый атташе,2021,Квартира,75.0,В пользовании
Бирюкова О В,Супруг(а),https://declarator.org/person/189029,Министерство экономического развития,федеральный орган,Торговый атташе,2021,Квартира,75.0,В пользовании
Бирюкова О В,Ребенок,https://declarator.org/person/189029,Министерство экономического развития,федеральный орган,Торговый атташе,2021,Квартира,75.0,В пользовании
Бирюкова О В,Ребенок,https://declarator.org/person/189029,Министерство экономического развития,федеральный орган,Торговый атташе,2021,Квартира,75.0,В пользовании
Бирюкова О В,декларант,https://declarator.org/person/189029,Министерство экономического развития,федеральный орган,Торговый атташе,2021,Квартира,75.0,В пользовании
Ермаченкова А.А.,декларант,https://declarator.org/office/603?active-tab=year-2021,Министерство экономического развития,федеральный орган,Торговый атташе,2021,Квартира,58.9,В пользовании
Кузнецов С В,Супруг(а),https://declarator.org/person/1018524,Министерство экономического развития,федеральный орган,Торговый атташе,2021,Квартира,74.0,В пользовании
Кузнецов С В,декларант,https://declarator.org/person/1018524,Министерство экономического развития,федеральный орган,Торговый атташе,2021,Квартира,74.0,В пользовании
Тымма С.В.,декларант,https://declarator.org/office/603?active-tab=year-2021,Министерство экономического развития,федеральный орган,Торговый атташе,2021,Квартира,62.1,В пользовании
Ролидер Д М,Ребенок,https://declarator.org/person/370535,Министерство экономического развития,федеральный орган,Консультант,2021,Квартира,65.4,В пользовании
Ролидер Д М,декларант,https://declarator.org/person/370535,Министерство экономического развития,федеральный орган,Консультант,2021,Квартира,65.4,В пользовании
Ролидер Д М,Ребенок,https://declarator.org/person/370535,Министерство экономического развития,федеральный орган,Консультант,2021,Квартира,65.4,В пользовании
Ролидер Д М,Супруг(а),https://declarator.org/person/370535,Министерство экономического развития,федеральный орган,Консультант,2021,Квартира,65.4,В пользовании
Стоянова Р Р,декларант,https://declarator.org/person/189721,Министерство экономического развития,федеральный орган,Консультант – главный бухгалтер,2021,Квартира,65.1,В пользовании
Стоянова Р Р,Ребенок,https://declarator.org/person/189721,Министерство экономического развития,федеральный орган,Консультант – главный бухгалтер,2021,Квартира,65.1,В пользовании
Якушев Яков Семенович,декларант,https://declarator.org/person/15397,Ярославская Областная Дума,Ярославская область,Депутат Ярославской областной думы,2021,Квартира,130.0,Совместная собственность
Якушев Яков Семенович,Супруг(а),https://declarator.org/person/15397,Ярославская Областная Дума,Ярославская область,Депутат Ярославской областной думы,2021,Квартира,130.0,Совместная собственность
Клецов Вадим Владимирович,декларант,https://declarator.org/person/826739,Воронеж - городской округ,Воронежская область,Председатель постоянной комиссии городской Думы - ,2021,Квартира,94.0,В собственности
Клецов Вадим Владимирович,декларант,https://declarator.org/person/826739,Воронеж - городской округ,Воронежская область,Председатель постоянной комиссии городской Думы - ,2021,Квартира,94.0,В собственности
Мрдуляш Татьяна Павловна,декларант,https://declarator.org/office/190?active-tab=year-2021,Правительство Самарской области,Самарская область,министр культуры Самарской области,2021,Жилой дом,220.0,Долевая собственность
ГАРТУНГ Валерий Карлович,Супруг(а),https://declarator.org/office/14?active-tab=year-2021,Государственная Дума,федеральный орган,председатель комитета Государственной Думы,2021,Квартира,190.0,Индивидуальная
ГАРТУНГ Валерий Карлович,Супруг(а),https://declarator.org/office/14?active-tab=year-2021,Государственная Дума,федеральный орган,председатель комитета Государственной Думы,2021,Квартира,190.0,Индивидуальная
Клишас Андрей Александрович,декларант,https://declarator.org/person/892,Совет Федерации,федеральный орган,Член Совета Федерации от Красноярского края,2020,Земельный участок,543.0,Индивидуальная
Клишас Андрей Александрович,декларант,https://declarator.org/person/892,Совет Федерации,федеральный орган,Член Совета Федерации от Красноярского края,2020,Жилой дом,432.0,Индивидуальная
Гартунг Валерий Карлович,Супруг(а),https://declarator.org/person/40,Государственная Дума,федеральный орган,"Депутат государственной думы, первый заместитель председателя комитетa",2020,Квартира,190.0,Индивидуальная
Голушко Андрей Иванович,Ребенок,https://declarator.org/person/180,Государственная Дума,федеральный орган,"Депутат государственной думы, член комитета - ",2020,Квартира,16.0,Наём (аренда)
Паранянц Роберт Васильевич,Ребенок,https://declarator.org/person/13233,Законодательное Собрание Краснодарского края,Краснодарский край,Депутат законодательного собрания Краснодарского края,2020,Жилой дом,200.0,В пользовании
Клецов Вадим Владимирович,декларант,https://declarator.org/person/826739,Воронеж - городской округ,Воронежская область,Председатель постоянной комиссии городской Думы,2020,Квартира,94.0,В собственности
Клецов Вадим Владимирович,декларант,https://declarator.org/person/826739,Воронеж - городской округ,Воронежская область,Председатель постоянной комиссии городской Думы,2020,Квартира,94.0,В собственности
Якушев Яков Семенович,Супруг(а),https://declarator.org/person/15397,Ярославская Областная Дума,Ярославская область,Депутат Ярославской областной думы,2020,Квартира,130.0,Совместная собственность
Якушев Яков Семенович,декларант,https://declarator.org/person/15397,Ярославская Областная Дума,Ярославская область,Депутат Ярославской областной думы,2020,Квартира,130.0,Совместная собственность
Лякишев Д В,декларант,https://declarator.org/person/1080325,Министерство экономического развития,федеральный орган,Постоянный представитель,2020,Квартира,195.3,В пользовании
Лякишев Д В,Ребенок,https://declarator.org/person/1080325,Министерство экономического развития,федеральный орган,Постоянный представитель,2020,Квартира,195.3,В пользовании
Лякишев Д В,Супруг(а),https://declarator.org/person/1080325,Министерство экономического развития,федеральный орган,Постоянный представитель,2020,Квартира,195.3,В пользовании
Лякишев Д В,декларант,https://declarator.org/person/1080325,Министерство экономического развития,федеральный орган,Постоянный представитель,2020,Квартира,195.3,В пользовании
Лякишев Д В,Супруг(а),https://declarator.org/person/1080325,Министерство экономического развития,федеральный орган,Постоянный представитель,2020,Квартира,195.3,В пользовании
Лякишев Д В,Ребенок,https://declarator.org/person/1080325,Министерство экономического развития,федеральный орган,Постоянный представитель,2020,Квартира,195.3,В пользовании
Кулешов А В,декларант,https://declarator.org/person/1025749,Министерство экономического развития,федеральный орган,Торговый советник,2020,Квартира,69.5,В пользовании
Кулешов А В,Супруг(а),https://declarator.org/person/1025749,Министерство экономического развития,федеральный орган,Торговый советник,2020,Квартира,69.5,В пользовании
Кулешов А В,Ребенок,https://declarator.org/person/1025749,Министерство экономического развития,федеральный орган,Торговый советник,2020,Квартира,69.5,В пользовании
Кулешов А В,Ребенок,https://declarator.org/person/1025749,Министерство экономического развития,федеральный орган,Торговый советник,2020,Квартира,69.5,В пользовании
Кулешов А В,декларант,https://declarator.org/person/1025749,Министерство экономического развития,федеральный орган,Торговый советник,2020,Квартира,69.5,В пользовании
Кулешов А В,Ребенок,https://declarator.org/person/1025749,Министерство экономического развития,федеральный орган,Торговый советник,2020,Квартира,69.5,В пользовании
Кулешов А В,Ребенок,https://declarator.org/person/1025749,Министерство экономического развития,федеральный орган,Торговый советник,2020,Квартира,69.5,В пользовании
Кулешов А В,Супруг(а),https://declarator.org/person/1025749,Министерство экономического развития,федеральный орган,Торговый советник,2020,Квартира,69.5,В пользовании
