person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Гартунг Валерий Карлович,Супруг(а),https://declarator.org/person/40,Государственная Дума,федеральный орган,"Депутат государственной думы, председатель комитетa",2021,Квартира,94.0,Индивидуальная
Рожнов Олег Александрович,декларант,https://declarator.org/person/12085,Московская областная Дума,Московская область,"Депутат Московской областной думы, заместитель председателя",2021,Земельный участок,470.0,Совместная собственность
Рожнов Олег Александрович,Супруг(а),https://declarator.org/person/12085,Московская областная Дума,Московская область,"Депутат Московской областной думы, заместитель председателя",2021,Земельный участок,470.0,Совместная собственность
Рожнов Олег Александрович,Супруг(а),https://declarator.org/person/12085,Московская областная Дума,Московская область,"Депутат Московской областной думы, заместитель председателя",2021,Жилой дом,150.0,Совместная собственность
Рожнов Олег Александрович,декларант,https://declarator.org/person/12085,Московская областная Дума,Московская область,"Депутат Московской областной думы, заместитель председателя",2021,Жилой дом,150.0,Совместная собственность
Текслер Алексей Леонидович,декларант,https://declarator.org/person/11711,Губернатор Челябинской области,Челябинская область,Губернатор Челябинской области,2021,Квартира,114.0,Совместная собственность
Текслер Алексей Леонидович,Супруг(а),https://declarator.org/person/11711,Губернатор Челябинской области,Челябинская область,Губернатор Челябинской области,2021,Квартира,114.0,Совместная собственность
Чернова Людмила Кимовна,Супруг(а),https://declarator.org/office/471?active-tab=year-2021,Федеральная служба по гидрометеорологии и мониторингу окружающей среды,федеральный орган,Главный бухгалтер - ФГБУ «ЦАО»,2021,Квартира,95.0,В собственности
Ширшиков Антон Владимирович,Ребенок,https://declarator.org/office/2453?active-tab=year-2021,Переславль-Залесский - городской округ,Ярославская область,Заместитель начальника управления-начальник отдела капитального строительства управления городского хозяйства Администрации города Переславля-Залесского,2021,Земельный участок,600.0,В собственности
ТИМОФЕЕВ В.В.,Супруг(а),https://declarator.org/office/155?active-tab=year-2021,Правительство республики Карелия,Республика Карелия,Заместитель Главы Республики Карелия – Постоянный представитель Республики Карелия при Президенте Российской Федерации,2021,Жилой дом,253.0,В пользовании
ТИМОФЕЕВ В.В.,Ребенок,https://declarator.org/office/155?active-tab=year-2021,Правительство республики Карелия,Республика Карелия,Заместитель Главы Республики Карелия – Постоянный представитель Республики Карелия при Президенте Российской Федерации,2021,Жилой дом,253.0,В пользовании
ТИМОФЕЕВ В.В.,декларант,https://declarator.org/office/155?active-tab=year-2021,Правительство республики Карелия,Республика Карелия,Заместитель Главы Республики Карелия – Постоянный представитель Республики Карелия при Президенте Российской Федерации,2021,Жилой дом,253.0,Индивидуальная
Устинов Александр Андреевич,Ребенок,https://declarator.org/person/802757,Аппарат законодательного собрания Вологодской области,Вологодская область,ведущий советник,2021,Квартира,80.0,В пользовании
Сухов Г М,декларант,https://declarator.org/person/766464,Железногорский район,Курская область,Депутат Представительного Собрания Железногорского района Курской области,2021,Жилой дом,427.0,Индивидуальная
Салмин Алексей Павлович,Супруг(а),https://declarator.org/person/14936,Тюменская областная Дума,Тюменская область,Депутат Тюменской областной думы,2021,Жилой дом,321.0,Долевая собственность
Салмин Алексей Павлович,Ребенок,https://declarator.org/person/14936,Тюменская областная Дума,Тюменская область,Депутат Тюменской областной думы,2021,Жилой дом,321.0,В пользовании
Великий Сергей Станиславович,Супруг(а),https://declarator.org/person/15156,Дума Ханты-Мансийского автономного округа - Югры,Ханты-Мансийский автономный округ — Югра,Депутат думы Ханты-Мансийского автономного округа - Югры,2021,Земельный участок,460.0,Индивидуальная
Великий Сергей Станиславович,Супруг(а),https://declarator.org/person/15156,Дума Ханты-Мансийского автономного округа - Югры,Ханты-Мансийский автономный округ — Югра,Депутат думы Ханты-Мансийского автономного округа - Югры,2021,Жилой дом,270.0,Индивидуальная
Юдаев Андрей Александрович,декларант,https://declarator.org/person/138287,Ярославская Областная Дума,Ярославская область,Депутат Ярославской областной думы,2021,Квартира,105.2,В пользовании
Юдаев Андрей Александрович,Супруг(а),https://declarator.org/person/138287,Ярославская Областная Дума,Ярославская область,Депутат Ярославской областной думы,2021,Квартира,105.2,Индивидуальная
ГАРТУНГ Валерий Карлович,Супруг(а),https://declarator.org/office/14?active-tab=year-2021,Государственная Дума,федеральный орган,председатель комитета Государственной Думы,2021,Квартира,94.0,Индивидуальная
ГАРТУНГ Валерий Карлович,Супруг(а),https://declarator.org/office/14?active-tab=year-2021,Государственная Дума,федеральный орган,председатель комитета Государственной Думы,2021,Квартира,94.0,Индивидуальная
Салмин Алексей Павлович,Супруг(а),https://declarator.org/office/950?active-tab=year-2021,Тюменская областная Дума,Тюменская область,Депутат Тюменской областной Думы,2021,Жилой дом,321.0,Долевая собственность
Салмин Алексей Павлович,Ребенок,https://declarator.org/office/950?active-tab=year-2021,Тюменская областная Дума,Тюменская область,Депутат Тюменской областной Думы,2021,Жилой дом,321.0,В пользовании
Пекарева Татьяна Яновна,декларант,https://declarator.org/office/1496?active-tab=year-2021,Богородский - городской округ,Московская область,Директор МКУ «Центр регулирования и контроля в сфере похоронного дела Богородского городского округа Московской области»,2021,Квартира,102.0,Индивидуальная
Дмитрикова А.В.,декларант,https://declarator.org/office/1484?active-tab=year-2021,Истра - городской округ,Московская область,Депутат Совета депутатов городского округа Истра,2021,Жилой дом,150.0,В собственности
Рожнов Олег Александрович,декларант,https://declarator.org/office/113?active-tab=year-2021,Московская областная Дума,Московская область,Заместитель Председателя Московской областной Думы,2021,Жилой дом,150.0,Совместная собственность
Рожнов Олег Александрович,декларант,https://declarator.org/office/113?active-tab=year-2021,Московская областная Дума,Московская область,Заместитель Председателя Московской областной Думы,2021,Земельный участок,470.0,Совместная собственность
Рожнов Олег Александрович,Супруг(а),https://declarator.org/office/113?active-tab=year-2021,Московская областная Дума,Московская область,Заместитель Председателя Московской областной Думы,2021,Жилой дом,150.0,Совместная собственность
Рожнов Олег Александрович,Супруг(а),https://declarator.org/office/113?active-tab=year-2021,Московская областная Дума,Московская область,Заместитель Председателя Московской областной Думы,2021,Земельный участок,470.0,Совместная собственность
Корнилов И.Г.,декларант,https://declarator.org/office/3364?active-tab=year-2021,Ломоносовский район,Ленинградская область,депутат Совета депутатов МО Ломоно- совский муници-пальный район,2021,Квартира,110.0,В пользовании
Гартунг Валерий Карлович,Супруг(а),https://declarator.org/person/40,Государственная Дума,федеральный орган,"Депутат государственной думы, первый заместитель председателя комитетa",2020,Квартира,94.0,Индивидуальная
Рожнов Олег Александрович,Супруг(а),https://declarator.org/person/12085,Московская областная Дума,Московская область,Депутат Московской областной думы,2020,Земельный участок,470.0,Совместная собственность
Рожнов Олег Александрович,декларант,https://declarator.org/person/12085,Московская областная Дума,Московская область,Депутат Московской областной думы,2020,Жилой дом,150.0,Совместная собственность
Рожнов Олег Александрович,декларант,https://declarator.org/person/12085,Московская областная Дума,Московская область,Депутат Московской областной думы,2020,Земельный участок,470.0,Совместная собственность
Рожнов Олег Александрович,Супруг(а),https://declarator.org/person/12085,Московская областная Дума,Московская область,Депутат Московской областной думы,2020,Жилой дом,150.0,Совместная собственность
Текслер Алексей Леонидович,Супруг(а),https://declarator.org/person/11711,Губернатор Челябинской области,Челябинская область,Губернатор Челябинской области,2020,Квартира,114.0,Совместная собственность
Текслер Алексей Леонидович,декларант,https://declarator.org/person/11711,Губернатор Челябинской области,Челябинская область,Губернатор Челябинской области,2020,Квартира,114.0,Совместная собственность
Филатов Игорь Николаевич,декларант,https://declarator.org/person/126844,Федеральная служба по надзору в сфере образования и науки,федеральный орган,директор - 4. ФГБУ «Главный государственный экспертный центр оценки образования»,2020,Квартира,51.0,В пользовании
Филатов Игорь Николаевич,Супруг(а),https://declarator.org/person/126844,Федеральная служба по надзору в сфере образования и науки,федеральный орган,директор - 4. ФГБУ «Главный государственный экспертный центр оценки образования»,2020,Квартира,51.0,Индивидуальная
Васильченко Андрей Владимирович,Супруг(а),https://declarator.org/person/458090,Владивосток - городской округ,Приморский край,,2020,Квартира,117.4,В пользовании
Пекарева Татьяна Яновна,декларант,https://declarator.org/person/725780,Богородский - городской округ,Московская область,Директор МКУ «Центр регулирования и контроля в сфере похоронного дела Богородского городского округа Московской области»,2020,Квартира,390.0,Индивидуальная
Дмитрикова А В,декларант,https://declarator.org/person/1474684,Истра - городской округ,Московская область,Депутат Совета депутатов городского округа Истра,2020,Жилой дом,150.0,В собственности
Васильченко Андрей Владимирович,Супруг(а),https://declarator.org/person/458090,Владивосток - городской округ,Приморский край,,2020,Квартира,117.4,В пользовании
Сухов Г М,декларант,https://declarator.org/person/766464,Железногорский район,Курская область,Депутат Представительного Собрания Железногорского района Курской области,2020,Жилой дом,427.0,Индивидуальная
Алиев Нурмагомед Алиевич,Супруг(а),https://declarator.org/person/12587,Народное Собрание Республики Дагестан,Республика Дагестан,Депутат народного собрания Республики Дагестан,2020,Квартира,100.0,Индивидуальная
Осипов Дмитрий Васильевич,Супруг(а),https://declarator.org/person/137351,Законодательное собрание Пермского края,Пермский край,Депутат законодательного собрания Пермского края,2020,Земельный участок,299.0,Индивидуальная
Осипов Дмитрий Васильевич,Супруг(а),https://declarator.org/person/137351,Законодательное собрание Пермского края,Пермский край,Депутат законодательного собрания Пермского края,2020,Земельный участок,590.0,Индивидуальная
Осипов Дмитрий Васильевич,Супруг(а),https://declarator.org/person/137351,Законодательное собрание Пермского края,Пермский край,Депутат законодательного собрания Пермского края,2020,Жилой дом,274.0,Индивидуальная
Салмин Алексей Павлович,Ребенок,https://declarator.org/person/14936,Тюменская областная Дума,Тюменская область,Депутат Тюменской областной думы,2020,Жилой дом,321.0,В пользовании
Салмин Алексей Павлович,Супруг(а),https://declarator.org/person/14936,Тюменская областная Дума,Тюменская область,Депутат Тюменской областной думы,2020,Жилой дом,321.0,Долевая собственность
Великий Сергей Станиславович,Супруг(а),https://declarator.org/person/15156,Дума Ханты-Мансийского автономного округа - Югры,Ханты-Мансийский автономный округ — Югра,Депутат думы Ханты-Мансийского автономного округа - Югры,2020,Жилой дом,270.0,Индивидуальная
Великий Сергей Станиславович,Супруг(а),https://declarator.org/person/15156,Дума Ханты-Мансийского автономного округа - Югры,Ханты-Мансийский автономный округ — Югра,Депутат думы Ханты-Мансийского автономного округа - Югры,2020,Земельный участок,460.0,Индивидуальная
Юдаев Андрей Александрович,Супруг(а),https://declarator.org/person/138287,Ярославская Областная Дума,Ярославская область,Депутат Ярославской областной думы,2020,Квартира,105.2,Индивидуальная
Юдаев Андрей Александрович,декларант,https://declarator.org/person/138287,Ярославская Областная Дума,Ярославская область,Депутат Ярославской областной думы,2020,Квартира,105.2,В пользовании
Разумный Сергей Анатольевич,декларант,https://declarator.org/person/135080,Волгоград - городской округ,Волгоградская область,Заместитель главы Волгограда,2020,Жилой дом,140.0,Долевая собственность
Разумный Сергей Анатольевич,декларант,https://declarator.org/person/135080,Волгоград - городской округ,Волгоградская область,Заместитель главы Волгограда,2020,Иное,18.0,Долевая собственность
Разумный Сергей Анатольевич,Супруг(а),https://declarator.org/person/135080,Волгоград - городской округ,Волгоградская область,Заместитель главы Волгограда,2020,Земельный участок,419.0,Долевая собственность
Разумный Сергей Анатольевич,Супруг(а),https://declarator.org/person/135080,Волгоград - городской округ,Волгоградская область,Заместитель главы Волгограда,2020,Иное,18.0,Долевая собственность
Разумный Сергей Анатольевич,Супруг(а),https://declarator.org/person/135080,Волгоград - городской округ,Волгоградская область,Заместитель главы Волгограда,2020,Жилой дом,140.0,Долевая собственность
Разумный Сергей Анатольевич,декларант,https://declarator.org/person/135080,Волгоград - городской округ,Волгоградская область,Заместитель главы Волгограда,2020,Земельный участок,419.0,Долевая собственность
Толстых Д И,Ребенок,https://declarator.org/person/1252133,Правительство Ленинградской области,Ленинградская область,Председатель комитета государственного заказа Ленинградской области,2020,Квартира,95.0,В пользовании
Толстых Д И,декларант,https://declarator.org/person/1252133,Правительство Ленинградской области,Ленинградская область,Председатель комитета государственного заказа Ленинградской области,2020,Квартира,95.0,Долевая собственность
Толстых Д И,Ребенок,https://declarator.org/person/1252133,Правительство Ленинградской области,Ленинградская область,Председатель комитета государственного заказа Ленинградской области,2020,Квартира,95.0,В пользовании
