person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Ханукаев Юсуф Эдуардович,декларант,https://declarator.org/person/399156,Министерство промышленности и торговли,федеральный орган,Заместитель директора департамента - ,2018,Квартира,130.0,В пользовании
Пичугов Виктор Александрович,декларант,https://declarator.org/person/1146,Совет Федерации,федеральный орган,Член Совета Федерации Федерального Собрания Российской Федерации от Ханты-Мансийского автономного округа - Югры - представитель в Совете Федерации Федерального Собрания Российской Федерации от законодательного (представительного) органа государственной власти Ханты-Мансийского автономного округа - Югры,2014,Квартира,531.3,Индивидуальная
Пичугов Виктор Александрович,декларант,https://declarator.org/person/1146,Совет Федерации,федеральный орган,Член Совета Федерации Федерального Собрания Российской Федерации от Ханты-Мансийского автономного округа - Югры - представитель в Совете Федерации Федерального Собрания Российской Федерации от законодательного (представительного) органа государственной власти Ханты-Мансийского автономного округа - Югры,2014,Квартира,470.0,Индивидуальная
Пичугов Виктор Александрович,декларант,https://declarator.org/person/1146,Совет Федерации,федеральный орган,Член Совета Федерации Федерального Собрания Российской Федерации от Ханты-Мансийского автономного округа - Югры - представитель в Совете Федерации Федерального Собрания Российской Федерации от законодательного (представительного) органа государственной власти Ханты-Мансийского автономного округа - Югры,2013,Квартира,470.0,Индивидуальная
Пичугов Виктор Александрович,декларант,https://declarator.org/person/1146,Совет Федерации,федеральный орган,Член Совета Федерации Федерального Собрания Российской Федерации от Ханты-Мансийского автономного округа - Югры - представитель в Совете Федерации Федерального Собрания Российской Федерации от законодательного (представительного) органа государственной власти Ханты-Мансийского автономного округа - Югры,2013,Квартира,531.3,Индивидуальная
Дарькин Сергей Михайлович,Супруг(а),https://declarator.org/person/1423,Министерство регионального развития,федеральный орган,Заместитель Министра регионального развития РФ,2013,Иное,23.5,Индивидуальная
Дарькин Сергей Михайлович,Супруг(а),https://declarator.org/person/1423,Министерство регионального развития,федеральный орган,Заместитель Министра регионального развития РФ,2013,Квартира,447.0,Индивидуальная
Дарькин Сергей Михайлович,Супруг(а),https://declarator.org/person/1423,Министерство регионального развития,федеральный орган,Заместитель Министра регионального развития РФ,2013,Гараж,13.75,Индивидуальная
Дарькин Сергей Михайлович,Супруг(а),https://declarator.org/person/1423,Министерство регионального развития,федеральный орган,Заместитель Министра регионального развития РФ,2013,Гараж,27.5,Индивидуальная
Дарькин Сергей Михайлович,Ребенок,https://declarator.org/person/1423,Министерство регионального развития,федеральный орган,Заместитель Министра регионального развития РФ,2013,Квартира,447.0,В пользовании
Дарькин Сергей Михайлович,Супруг(а),https://declarator.org/person/1423,Министерство регионального развития,федеральный орган,заместитель Министра,2012,Гараж,48.0,Индивидуальная
Дарькин Сергей Михайлович,Ребенок,https://declarator.org/person/1423,Министерство регионального развития,федеральный орган,заместитель Министра,2012,Квартира,837.0,Индивидуальная
Дарькин Сергей Михайлович,Супруг(а),https://declarator.org/person/1423,Министерство регионального развития,федеральный орган,заместитель Министра,2012,Квартира,837.0,Индивидуальная
Дарькин Сергей Михайлович,Супруг(а),https://declarator.org/person/1423,Министерство регионального развития,федеральный орган,заместитель Министра,2012,Иное,9.0,Индивидуальная
АСТАХОВ П.А.,Супруг(а),https://declarator.org/office/456?active-tab=year-2012,Администрация Президента РФ,федеральный орган,Уполномоченный при Президенте РФ по правам ребенка,2012,Квартира,176.0,В пользовании
Астахов Павел Алексеевич,Супруг(а),https://declarator.org/person/1258,Администрация Президента РФ,федеральный орган,Уполномоченный при Президенте РФ по правам ребенка,2011,Квартира,176.0,В пользовании
АСТАХОВ П.А.,Супруг(а),https://declarator.org/office/456?active-tab=year-2011,Администрация Президента РФ,федеральный орган,Уполномоченный при Президенте РФ по правам ребенка,2011,Квартира,176.0,В пользовании
Астахов Павел Алексеевич,Супруг(а),https://declarator.org/person/1258,Администрация Президента РФ,федеральный орган,Уполномоченный при Президенте РФ по правам ребенка,2010,Квартира,176.0,В пользовании
Астахов Павел Алексеевич,Супруг(а),https://declarator.org/person/1258,Администрация Президента РФ,федеральный орган,уполномоченный при Президенте РФ по правам ребенка,2009,Квартира,176.0,В пользовании
Астахов Павел Алексеевич,Супруг(а),https://declarator.org/person/1258,Администрация Президента РФ,федеральный орган,уполномоченный при Президенте РФ по правам ребенка,2009,Квартира,176.0,В пользовании
