person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Шварцкопф Юрий Алексеевич,декларант,https://declarator.org/person/48885,Комитет по культуре Санкт-Петербурга,Санкт-Петербург,"Генеральный директор, Санкт-Петербургское государственное автономное учреждение культуры «Санкт-Петербургский государственный театр музыкальной комедии» - квартира
индивидуальная
39,2
Россия",2021,Квартира,169.0,Индивидуальная
Шварцкопф Юрий Алексеевич,декларант,https://declarator.org/person/48885,Комитет по культуре Санкт-Петербурга,Санкт-Петербург,"Генеральный директор, Санкт-Петербургское государственное автономное учреждение культуры «Санкт-Петербургский государственный театр музыкальной комедии» - квартира
индивидуальная
39,2
Россия",2021,Квартира,948.0,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,"И.о. ректора - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии 
имени С.А. Герасимова»",2021,Гараж,14.7,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,"И.о. ректора - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии 
имени С.А. Герасимова»",2021,Квартира,85.6,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,"И.о. ректора - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии 
имени С.А. Герасимова»",2021,Квартира,61.9,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,"И.о. ректора - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии 
имени С.А. Герасимова»",2021,Иное,7.0,Индивидуальная
Прокурова Н А,декларант,https://declarator.org/person/1165314,Министерство энергетики,федеральный орган,Помощник Министра,2021,Квартира,93.7,Индивидуальная
Прокурова Н А,декларант,https://declarator.org/person/1165314,Министерство энергетики,федеральный орган,Помощник Министра,2020,Квартира,93.7,Индивидуальная
Шварцкопф Юрий Алексеевич,декларант,https://declarator.org/person/48885,Комитет по культуре Санкт-Петербурга,Санкт-Петербург,"Генеральный директор, Санкт-Петербургское государственное автономное учреждение культуры «Санкт-Петербургский государственный театр музыкальной комедии»",2020,Квартира,948.0,В собственности
Шварцкопф Юрий Алексеевич,декларант,https://declarator.org/person/48885,Комитет по культуре Санкт-Петербурга,Санкт-Петербург,"Генеральный директор, Санкт-Петербургское государственное автономное учреждение культуры «Санкт-Петербургский государственный театр музыкальной комедии»",2020,Квартира,169.0,В собственности
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,"И.о. ректора - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии 
имени С.А. Герасимова»",2020,Квартира,61.9,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,"И.о. ректора - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии 
имени С.А. Герасимова»",2020,Квартира,85.6,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,"И.о. ректора - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии 
имени С.А. Герасимова»",2020,Иное,7.0,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,"И.о. ректора - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии 
имени С.А. Герасимова»",2020,Гараж,14.7,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,"И.о. ректора - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии 
имени С.А. Герасимова»",2020,Гараж,14.7,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,"И.о. ректора - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии 
имени С.А. Герасимова»",2020,Квартира,85.6,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,"И.о. ректора - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии 
имени С.А. Герасимова»",2020,Иное,7.0,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,"И.о. ректора - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии 
имени С.А. Герасимова»",2020,Квартира,61.9,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии имени С.А. Герасимова»,2019,Квартира,85.6,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии имени С.А. Герасимова»,2019,Гараж,14.7,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии имени С.А. Герасимова»,2019,Иное,7.0,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии имени С.А. Герасимова»,2019,Квартира,61.9,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии имени С.А. Герасимова»,2019,Квартира,85.6,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии имени С.А. Герасимова»,2019,Иное,7.0,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии имени С.А. Герасимова»,2019,Гараж,14.7,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии имени С.А. Герасимова»,2019,Квартира,61.9,Индивидуальная
Шварцкопф Юрий Алексеевич,декларант,https://declarator.org/person/48885,Комитет по культуре Санкт-Петербурга,Санкт-Петербург,"Генеральный директор, Санкт-Петербургское государственное автономное учреждение культуры «Санкт-Петербургский государственный театр музыкальной комедии»",2019,Земельный участок,948.0,В собственности
Шварцкопф Юрий Алексеевич,декларант,https://declarator.org/person/48885,Комитет по культуре Санкт-Петербурга,Санкт-Петербург,"Генеральный директор, Санкт-Петербургское государственное автономное учреждение культуры «Санкт-Петербургский государственный театр музыкальной комедии»",2019,Квартира,169.0,В собственности
Мордовин Евгений Викторович,декларант,https://declarator.org/person/1112250,Кемерово - городской округ,Кемеровская область,,2019,Квартира,127.5,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии имени С.А. Герасимова»,2018,Гараж,14.7,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии имени С.А. Герасимова»,2018,Квартира,61.9,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии имени С.А. Герасимова»,2018,Квартира,85.6,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии имени С.А. Герасимова»,2018,Иное,7.0,Индивидуальная
Мордовин Евгений Викторович,декларант,https://declarator.org/person/1112250,Кемерово - городской округ,Кемеровская область,,2018,Квартира,127.5,Индивидуальная
Шварцкопф Юрий Алексеевич,декларант,https://declarator.org/person/48885,Комитет по культуре Санкт-Петербурга,Санкт-Петербург,"Генеральный директор, Санкт-Петербургское государственное автономное учреждение культуры «Санкт-Петербургский государственный театр музыкальной комедии»",2018,Земельный участок,948.0,В собственности
Шварцкопф Юрий Алексеевич,декларант,https://declarator.org/person/48885,Комитет по культуре Санкт-Петербурга,Санкт-Петербург,"Генеральный директор, Санкт-Петербургское государственное автономное учреждение культуры «Санкт-Петербургский государственный театр музыкальной комедии»",2018,Квартира,169.0,В собственности
Шварцкопф Юрий Алексеевич,декларант,https://declarator.org/person/48885,Комитет по культуре Санкт-Петербурга,Санкт-Петербург,"Генеральный директор, Санкт-Петербургское государственное автономное учреждение культуры «Санкт-Петербургский государственный театр музыкальной комедии»",2018,Квартира,169.0,В собственности
Шварцкопф Юрий Алексеевич,декларант,https://declarator.org/person/48885,Комитет по культуре Санкт-Петербурга,Санкт-Петербург,"Генеральный директор, Санкт-Петербургское государственное автономное учреждение культуры «Санкт-Петербургский государственный театр музыкальной комедии»",2018,Земельный участок,948.0,В собственности
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор ФГБОУ ВО Всероссийский государственный институт кинематографии имени С.А. Герасимова,2017,Иное,7.0,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор ФГБОУ ВО Всероссийский государственный институт кинематографии имени С.А. Герасимова,2017,Квартира,61.9,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор ФГБОУ ВО Всероссийский государственный институт кинематографии имени С.А. Герасимова,2017,Квартира,85.6,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор ФГБОУ ВО Всероссийский государственный институт кинематографии имени С.А. Герасимова,2017,Гараж,14.7,Индивидуальная
Шварцкопф Юрий Алексеевич,декларант,https://declarator.org/person/48885,Комитет по культуре Санкт-Петербурга,Санкт-Петербург,"Генеральный директор, Санкт-Петербургское государственное автономное учреждение культуры «Санкт-Петербургский государственный театр музыкальной комедии»",2017,Земельный участок,948.0,В собственности
Шварцкопф Юрий Алексеевич,декларант,https://declarator.org/person/48885,Комитет по культуре Санкт-Петербурга,Санкт-Петербург,"Генеральный директор, Санкт-Петербургское государственное автономное учреждение культуры «Санкт-Петербургский государственный театр музыкальной комедии»",2017,Квартира,169.0,В собственности
Шварцкопф Юрий Алексеевич,декларант,https://declarator.org/person/48885,Комитет по культуре Санкт-Петербурга,Санкт-Петербург,"Генеральный директор, Санкт-Петербургское государственное автономное учреждение культуры «Санкт-Петербургский государственный театр музыкальной комедии»",2017,Квартира,169.0,В собственности
Шварцкопф Юрий Алексеевич,декларант,https://declarator.org/person/48885,Комитет по культуре Санкт-Петербурга,Санкт-Петербург,"Генеральный директор, Санкт-Петербургское государственное автономное учреждение культуры «Санкт-Петербургский государственный театр музыкальной комедии»",2017,Земельный участок,948.0,В собственности
Шварцкопф Юрий Алексеевич,декларант,https://declarator.org/person/48885,Комитет по культуре Санкт-Петербурга,Санкт-Петербург,Генеральный Директор ГАУ культуры Санкт-Петербургский государственный театр музыкальной комедии,2016,Земельный участок,948.0,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии имени С.А. Герасимова»,2016,Иное,7.0,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии имени С.А. Герасимова»,2016,Квартира,61.9,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии имени С.А. Герасимова»,2016,Гараж,14.7,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии имени С.А. Герасимова»,2016,Квартира,85.6,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии имени С.А. Герасимова»,2015,Гараж,14.68,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии имени С.А. Герасимова»,2015,Иное,6.96,Индивидуальная
Шварцкопф Юрий Алексеевич,декларант,https://declarator.org/person/48885,Комитет по культуре Санкт-Петербурга,Санкт-Петербург,"Генеральный директор, Санкт-Петербургское государственное автономное учреждение культуры «Санкт-Петербургский государственный театр музыкальной комедии»",2015,Земельный участок,948.0,В собственности
Шварцкопф Юрий Алексеевич,декларант,https://declarator.org/person/48885,Комитет по культуре Санкт-Петербурга,Санкт-Петербург,"Генеральный директор, Санкт-Петербургское государственное автономное учреждение культуры «Санкт-Петербургский государственный театр музыкальной комедии»",2015,Земельный участок,948.0,В собственности
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего и послевузовского профессионального образования «Всероссийский государственный университет кинематографии имени С.А. Герасимова»,2014,Квартира,61.88,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего и послевузовского профессионального образования «Всероссийский государственный университет кинематографии имени С.А. Герасимова»,2014,Иное,6.96,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего и послевузовского профессионального образования «Всероссийский государственный университет кинематографии имени С.А. Герасимова»,2014,Гараж,14.68,Индивидуальная
Малышев Владимир Сергеевич,Супруг(а),https://declarator.org/person/60853,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего и послевузовского профессионального образования «Всероссийский государственный университет кинематографии имени С.А. Герасимова»,2014,Квартира,85.57,Индивидуальная
