person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Флусов Александр Робертович,декларант,https://declarator.org/person/1526383,Народный Хурал Республики Бурятия,Республика Бурятия,Кандидат в депутаты регионального законодательного собрания,2022,Квартира,55.68,Индивидуальная
Зеленин Александр Анатольевич,Супруг(а),https://declarator.org/person/540035,Правительство Амурской области,Амурская область,,2021,Квартира,27.4,Индивидуальная
Зеленин Александр Анатольевич,Супруг(а),https://declarator.org/person/540035,Правительство Амурской области,Амурская область,,2021,Квартира,26.9,Индивидуальная
Жданов С В,декларант,https://declarator.org/person/361489,Федеральное агентство морского и речного транспорта,федеральный орган,Капитан морского порта Мезень - ФГБУ «АМП Западной Арктики»,2021,Квартира,40.3,В пользовании
Нагорный Олег Борисович,декларант,https://declarator.org/person/54312,Министерство сельского хозяйства,федеральный орган,Директор - Федеральное государственное бюджетное учреждение «Управление мелиорации земель и сельскохозяйственного водоснабжения по Приморскому и Хабаровскому краям»,2021,Квартира,104.7,Индивидуальная
Сидоренко Игорь Александрович,декларант,https://declarator.org/person/1205636,Департамент культуры Ярославской области,Ярославская область,Директор государственного автономного учреждения культуры Ярославской области «Концертно-зрелищный центр»,2021,Квартира,32.0,Индивидуальная
Семенов А А,декларант,https://declarator.org/person/741058,Абакан - городской округ,Республика Хакасия,ИП Семенов А.А. Депутат Совета депутатов города Абакана,2021,Квартира,36.6,В собственности
Семенов А А,декларант,https://declarator.org/person/741058,Абакан - городской округ,Республика Хакасия,ИП Семенов А.А. Депутат Совета депутатов города Абакана,2021,Квартира,36.6,В собственности
Князев Евгений Петрович,декларант,https://declarator.org/person/1030507,Нижневартовск - городской округ,Ханты-Мансийский автономный округ — Югра,,2021,Квартира,41.7,В собственности
Бредний Вадим Витальевич,Супруг(а),https://declarator.org/person/1411509,Улан-Удэ - городской округ,Республика Бурятия,депутат,2021,Жилой дом,615.5,Совместная собственность
Бредний Вадим Витальевич,декларант,https://declarator.org/person/1411509,Улан-Удэ - городской округ,Республика Бурятия,депутат,2021,Жилой дом,615.5,Совместная собственность
Бредний Вадим Витальевич,декларант,https://declarator.org/person/1411509,Улан-Удэ - городской округ,Республика Бурятия,депутат,2021,Жилой дом,615.5,Совместная собственность
Бредний Вадим Витальевич,Супруг(а),https://declarator.org/person/1411509,Улан-Удэ - городской округ,Республика Бурятия,депутат,2021,Жилой дом,615.5,Совместная собственность
Родин И В,Супруг(а),https://declarator.org/person/1185687,Контрольно-счетная палата Ленинградская область,Ленинградская область,Аудитор Контрольно- счетной палаты Ленинградской области,2021,Земельный участок,2196.0,Индивидуальная
Родин И В,Супруг(а),https://declarator.org/person/1185687,Контрольно-счетная палата Ленинградская область,Ленинградская область,Аудитор Контрольно- счетной палаты Ленинградской области,2021,Жилой дом,69.0,В пользовании
Родин И В,Супруг(а),https://declarator.org/person/1185687,Контрольно-счетная палата Ленинградская область,Ленинградская область,Аудитор Контрольно- счетной палаты Ленинградской области,2021,Земельный участок,253.2,Индивидуальная
Родин И В,Супруг(а),https://declarator.org/person/1185687,Контрольно-счетная палата Ленинградская область,Ленинградская область,Аудитор Контрольно- счетной палаты Ленинградской области,2021,Земельный участок,290.8,В собственности
Родин И В,Супруг(а),https://declarator.org/person/1185687,Контрольно-счетная палата Ленинградская область,Ленинградская область,Аудитор Контрольно- счетной палаты Ленинградской области,2021,Жилой дом,105.0,Индивидуальная
Негоица П А,декларант,https://declarator.org/person/1136268,"Министерство цифрового развития, связи и массовых коммуникаций",федеральный орган,"Генеральный директор - Федеральное государственное бюджетное учреждение
«Редакция «Российской газеты»",2021,Квартира,73.0,Индивидуальная
Грецов Владимир Владимирович,декларант,https://declarator.org/person/492920,Бородино - городской округ,Красноярский край,"главный специалист по гражданской обороне, чрезвычайным ситуациям и пожарной безопасности",2021,Квартира,22.6,В собственности
Покацкий Вячеслав Семенович,декларант,https://declarator.org/person/12480,Народный Хурал Республики Бурятия,Республика Бурятия,Депутат народного Хурала Республики Бурятия,2021,Квартира,27.8,Индивидуальная
Покацкий Вячеслав Семенович,декларант,https://declarator.org/person/12480,Народный Хурал Республики Бурятия,Республика Бурятия,Депутат народного Хурала Республики Бурятия,2021,Квартира,39.5,Индивидуальная
Анопченко Алексей Иванович,декларант,https://declarator.org/person/420963,Российская академия народного хозяйства и государственной службы при президенте РФ,Москва,проректор,2021,Квартира,52.0,Индивидуальная
Никулин Дмитрий Васильевич,Супруг(а),https://declarator.org/person/23445,Законодательная Дума Томской области,Томская область,Депутат законодательной думы Томской области,2021,Квартира,64.7,Индивидуальная
Романов Сергей Викторович,декларант,https://declarator.org/person/14914,Тюменская областная Дума,Тюменская область,Депутат Тюменской областной думы,2021,Квартира,222.2,Индивидуальная
Романов Сергей Викторович,Супруг(а),https://declarator.org/person/14914,Тюменская областная Дума,Тюменская область,Депутат Тюменской областной думы,2021,Квартира,222.2,В пользовании
Романов Сергей Викторович,Ребенок,https://declarator.org/person/14914,Тюменская областная Дума,Тюменская область,Депутат Тюменской областной думы,2021,Квартира,222.2,В пользовании
Романов Сергей Викторович,Ребенок,https://declarator.org/person/14914,Тюменская областная Дума,Тюменская область,Депутат Тюменской областной думы,2021,Квартира,222.2,В пользовании
Логачев Олег Евгеньевич,декларант,https://declarator.org/person/1089991,Южно-Сахалинск - городской округ,Сахалинская область,Председатель городской думы,2021,Квартира,115.0,В пользовании
Озерова О.А.,Супруг(а),https://declarator.org/office/5851?active-tab=year-2021,Отделение Социального фонда России Красноярский край,Красноярский край,Заместитель управляющего,2021,Квартира,25.9,Индивидуальная
Озерова О.А.,Супруг(а),https://declarator.org/office/5851?active-tab=year-2021,Отделение Социального фонда России Красноярский край,Красноярский край,Заместитель управляющего,2021,Квартира,25.9,Индивидуальная
Бредний Вадим Витальевич,декларант,https://declarator.org/office/3530?active-tab=year-2021,Улан-Удэ - городской округ,Республика Бурятия,депутат,2021,Жилой дом,615.5,Совместная собственность
Бредний Вадим Витальевич,декларант,https://declarator.org/office/3530?active-tab=year-2021,Улан-Удэ - городской округ,Республика Бурятия,депутат,2021,Жилой дом,615.5,Совместная собственность
Бредний Вадим Витальевич,Супруг(а),https://declarator.org/office/3530?active-tab=year-2021,Улан-Удэ - городской округ,Республика Бурятия,депутат,2021,Жилой дом,615.5,Совместная собственность
Бредний Вадим Витальевич,Супруг(а),https://declarator.org/office/3530?active-tab=year-2021,Улан-Удэ - городской округ,Республика Бурятия,депутат,2021,Жилой дом,615.5,Совместная собственность
Нагорный Олег Борисович,декларант,https://declarator.org/person/54312,Министерство сельского хозяйства,федеральный орган,"Директор - Федеральное государственное бюджетное учреждение ""Управление мелиорации земель и сельскохозяйственного водоснабжения по Приморскому и Хабаровскому краям""",2020,Квартира,104.7,Индивидуальная
Зеленин Александр Анатольевич,Супруг(а),https://declarator.org/person/540035,Правительство Амурской области,Амурская область,,2020,Квартира,27.4,Индивидуальная
Зеленин Александр Анатольевич,Супруг(а),https://declarator.org/person/540035,Правительство Амурской области,Амурская область,,2020,Квартира,26.9,Индивидуальная
Югай А Ю,декларант,https://declarator.org/person/832649,Счетная палата,федеральный орган,заместитель директора департамента – главный бухгалтер - ,2020,Квартира,51.9,Индивидуальная
Югай А Ю,Супруг(а),https://declarator.org/person/832649,Счетная палата,федеральный орган,заместитель директора департамента – главный бухгалтер - ,2020,Квартира,36.8,Индивидуальная
Покацкий Вячеслав Семенович,декларант,https://declarator.org/person/12480,Народный Хурал Республики Бурятия,Республика Бурятия,Депутат народного Хурала Республики Бурятия,2020,Квартира,27.8,Индивидуальная
Покацкий Вячеслав Семенович,декларант,https://declarator.org/person/12480,Народный Хурал Республики Бурятия,Республика Бурятия,Депутат народного Хурала Республики Бурятия,2020,Квартира,39.5,Индивидуальная
Толмачева Юлия Валерьевна,декларант,https://declarator.org/person/136859,Законодательное собрание Приморского края,Приморский край,Депутат законодательного собрания Приморского края (председатель правления регионального отделения политической партии Российская партия пенсионеров за социальную справедливость в Приморском крае),2020,Квартира,108.0,В пользовании
Никулин Дмитрий Васильевич,Супруг(а),https://declarator.org/person/23445,Законодательная Дума Томской области,Томская область,Депутат законодательной думы Томской области,2020,Квартира,64.7,Индивидуальная
Шин В Ф,декларант,https://declarator.org/person/1329902,Ростов-на-Дону - городской округ,Ростовская область,Главный врач МБУЗ «Детская городская больница №1 г.Ростова-на-Дону»,2020,Квартира,63.9,Индивидуальная
Логачев Олег Евгеньевич,декларант,https://declarator.org/person/1089991,Южно-Сахалинск - городской округ,Сахалинская область,Депутат,2020,Квартира,115.0,В пользовании
Озерова О.А.,Супруг(а),https://declarator.org/office/5851?active-tab=year-2020,Отделение Социального фонда России Красноярский край,Красноярский край,заместитель управляющего,2020,Квартира,25.9,Индивидуальная
Озерова О.А.,Супруг(а),https://declarator.org/office/5851?active-tab=year-2020,Отделение Социального фонда России Красноярский край,Красноярский край,заместитель управляющего,2020,Квартира,25.9,Индивидуальная
Грецов Владимир Владимирович,декларант,https://declarator.org/person/492920,Бородино - городской округ,Красноярский край,"Главный специалист по гражданской обороне, чрезвычайным ситуациям пожарной безопасности",2020,Квартира,22.6,В собственности
Грецов Владимир Владимирович,декларант,https://declarator.org/person/492920,Бородино - городской округ,Красноярский край,"Главный специалист по гражданской обороне, чрезвычайным ситуациям пожарной безопасности",2020,Квартира,22.6,В собственности
Жданов С В,декларант,https://declarator.org/person/361489,Федеральное агентство морского и речного транспорта,федеральный орган,Капитан морского порта Мезень - ФГБУ «АМП Западной Арктики»,2020,Квартира,40.3,В пользовании
Жданов С.В.,декларант,https://declarator.org/office/512?active-tab=year-2020,Федеральное агентство морского и речного транспорта,федеральный орган,Капитан морского порта Мезень - ФГБУ «АМП Западной Арктики»,2020,Квартира,40.3,В пользовании
Манцуров Александр Николаевич,декларант,https://declarator.org/person/23309,Законодательное Собрание Новосибирской области,Новосибирская область,Депутат законодательного собрания Новосибирской области,2019,Жилой дом,870.5,В собственности
Нагорный Олег Борисович,декларант,https://declarator.org/person/54312,Министерство сельского хозяйства,федеральный орган,"Директор - Федеральное государственное бюджетное учреждение ""Управление мелиорации земель и сельскохозяйственного водоснабжения по Приморскому и Хабаровскому краям""",2019,Квартира,104.7,Индивидуальная
Покацкий Вячеслав Семенович,декларант,https://declarator.org/person/12480,Народный Хурал Республики Бурятия,Республика Бурятия,Депутат народного Хурала Республики Бурятия,2019,Квартира,39.5,Индивидуальная
Покацкий Вячеслав Семенович,декларант,https://declarator.org/person/12480,Народный Хурал Республики Бурятия,Республика Бурятия,Депутат народного Хурала Республики Бурятия,2019,Квартира,27.8,Индивидуальная
Толмачева Юлия Валерьевна,декларант,https://declarator.org/person/136859,Законодательное собрание Приморского края,Приморский край,Депутат законодательного собрания Приморского края (председатель правления регионального отделения политической партии Российская партия пенсионеров за социальную справедливость в Приморском крае),2019,Квартира,108.0,В пользовании
Жданов С В,декларант,https://declarator.org/person/361489,Федеральное агентство морского и речного транспорта,федеральный орган,И.о. капитана морского порта Мезень - ФГБУ «АМП Западной Арктики»,2019,Квартира,40.3,В пользовании
Жданов С В,декларант,https://declarator.org/person/361489,Федеральное агентство морского и речного транспорта,федеральный орган,И.о. капитана морского порта Мезень - ФГБУ «АМП Западной Арктики»,2019,Квартира,40.3,В пользовании
Зеленин Александр Анатольевич,Супруг(а),https://declarator.org/person/540035,Правительство Амурской области,Амурская область,,2019,Квартира,27.4,Индивидуальная
Зеленин Александр Анатольевич,Супруг(а),https://declarator.org/person/540035,Правительство Амурской области,Амурская область,,2019,Квартира,26.9,Индивидуальная
Югай А Ю,Супруг(а),https://declarator.org/person/832649,Счетная палата,федеральный орган,заместитель директора департамента – главный бухгалтер,2019,Квартира,36.8,Индивидуальная
Югай А Ю,декларант,https://declarator.org/person/832649,Счетная палата,федеральный орган,заместитель директора департамента – главный бухгалтер,2019,Квартира,51.9,Индивидуальная
Шин В Ф,декларант,https://declarator.org/person/1329902,Ростов-на-Дону - городской округ,Ростовская область,Главный врач МБУЗ «Детская городская больница №1 г.Ростова-на-Дону»,2019,Квартира,63.9,Индивидуальная
Семенов А А,декларант,https://declarator.org/person/741058,Абакан - городской округ,Республика Хакасия,ИП Семенов А.А. Депутат Совета депутатов города Абакана,2019,Квартира,36.6,В собственности
Семенов А А,декларант,https://declarator.org/person/741058,Абакан - городской округ,Республика Хакасия,ИП Семенов А.А. Депутат Совета депутатов города Абакана,2019,Квартира,36.6,В собственности
Булыгина Наталья Викторовна,Супруг(а),https://declarator.org/person/437370,Аппарат законодательного собрания Ямало-Ненецкого автономного округа,Ямало-Ненецкий автономный округ,Начальник юридического отдела экспертно-правового управления,2019,Квартира,46.0,В пользовании
Анопченко Алексей Иванович,декларант,https://declarator.org/person/420963,"Министерство государственного управления, информационных технологий и связи Московской области",Московская область,"Заместитель министра государственного управления, информационных технологий и связи Московской области",2019,Квартира,52.0,Индивидуальная
Бредний Вадим Витальевич,декларант,https://declarator.org/person/1411509,Улан-Удэ - городской округ,Республика Бурятия,депутат,2019,Жилой дом,615.5,Совместная собственность
Бредний Вадим Витальевич,декларант,https://declarator.org/person/1411509,Улан-Удэ - городской округ,Республика Бурятия,депутат,2019,Жилой дом,615.5,Совместная собственность
Бредний Вадим Витальевич,Супруг(а),https://declarator.org/person/1411509,Улан-Удэ - городской округ,Республика Бурятия,депутат,2019,Жилой дом,615.5,Совместная собственность
Бредний Вадим Витальевич,Супруг(а),https://declarator.org/person/1411509,Улан-Удэ - городской округ,Республика Бурятия,депутат,2019,Жилой дом,615.5,Совместная собственность
Бредний Вадим Витальевич,Супруг(а),https://declarator.org/person/1411509,Улан-Удэ - городской округ,Республика Бурятия,депутат,2019,Жилой дом,615.5,Совместная собственность
Бредний Вадим Витальевич,декларант,https://declarator.org/person/1411509,Улан-Удэ - городской округ,Республика Бурятия,депутат,2019,Жилой дом,615.5,Совместная собственность
