person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Ушаков Евгений Юрьевич,Супруг(а),https://declarator.org/person/129684,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Японии - Представители Росрыболовства за рубежом,2021,Квартира,55.6,В пользовании
Ушаков Евгений Юрьевич,декларант,https://declarator.org/person/129684,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Японии - Представители Росрыболовства за рубежом,2021,Квартира,55.6,В пользовании
Караиванов А А,Ребенок,https://declarator.org/person/1034258,Министерство промышленности и торговли,федеральный орган,Заместитель торгового представителя,2021,Квартира,76.0,В пользовании
Караиванов А А,Ребенок,https://declarator.org/person/1034258,Министерство промышленности и торговли,федеральный орган,Заместитель торгового представителя,2021,Квартира,76.0,В пользовании
Караиванов А А,декларант,https://declarator.org/person/1034258,Министерство промышленности и торговли,федеральный орган,Заместитель торгового представителя,2021,Квартира,76.0,В пользовании
Караиванов А А,Ребенок,https://declarator.org/person/1034258,Министерство промышленности и торговли,федеральный орган,Заместитель торгового представителя,2021,Квартира,76.0,В пользовании
Караиванов А А,Супруг(а),https://declarator.org/person/1034258,Министерство промышленности и торговли,федеральный орган,Заместитель торгового представителя,2021,Квартира,76.0,В пользовании
Намакштанская Л.В.,декларант,https://declarator.org/office/600?active-tab=year-2021,Министерство промышленности и торговли,федеральный орган,Консультант – главный бухгалтер,2021,Квартира,54.2,В пользовании
Павленко П А,Ребенок,https://declarator.org/person/1155947,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,110.0,В пользовании
Павленко П А,декларант,https://declarator.org/person/1155947,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,110.0,В пользовании
Павленко П А,Супруг(а),https://declarator.org/person/1155947,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,110.0,В пользовании
Кузьминков В В,декларант,https://declarator.org/person/1041705,Федеральная таможенная служба,федеральный орган,Представитель,2021,Квартира,74.5,В пользовании
Ушаков Евгений Юрьевич,декларант,https://declarator.org/person/129684,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Японии - Представители Росрыболовства за рубежом,2020,Квартира,68.6,В пользовании
Ушаков Евгений Юрьевич,Супруг(а),https://declarator.org/person/129684,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Японии - Представители Росрыболовства за рубежом,2020,Квартира,68.6,В пользовании
Кузьминков В В,декларант,https://declarator.org/person/1041705,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,74.5,В пользовании
Борисов М.Ю.,декларант,https://declarator.org/office/600?active-tab=year-2020,Министерство промышленности и торговли,федеральный орган,Заместитель торгового представителя,2020,Квартира,75.0,В пользовании
Гаврилюк А.А.,декларант,https://declarator.org/office/600?active-tab=year-2020,Министерство промышленности и торговли,федеральный орган,Консультант,2020,Квартира,59.3,В пользовании
Гаврилюк А.А.,Ребенок,https://declarator.org/office/600?active-tab=year-2020,Министерство промышленности и торговли,федеральный орган,Консультант,2020,Квартира,59.3,В пользовании
Гаврилюк А.А.,Ребенок,https://declarator.org/office/600?active-tab=year-2020,Министерство промышленности и торговли,федеральный орган,Консультант,2020,Квартира,59.3,В пользовании
Гаврилюк А.А.,Супруг(а),https://declarator.org/office/600?active-tab=year-2020,Министерство промышленности и торговли,федеральный орган,Консультант,2020,Квартира,59.3,В пользовании
