person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Муха О Ю,декларант,https://declarator.org/person/656513,Департамент природных ресурсов и экологии Ямало-Ненецкого АО,Ямало-Ненецкий автономный округ,начальник управления водных ресурсов,2021,Квартира,65.2,Индивидуальная
Муха О.Ю.,декларант,https://declarator.org/office/9200?active-tab=year-2021,Департамент природных ресурсов и экологии Ямало-Ненецкого АО,Ямало-Ненецкий автономный округ,начальник управления водных ресурсов,2021,Квартира,65.2,Индивидуальная
Соловьянов А В,Супруг(а),https://declarator.org/person/64624,Федеральная антимонопольная служба,федеральный орган,Заместитель директора филиала ФБУ «ИТЦ ФАС России» - санаторий «Понизовка»,2020,Квартира,44.1,Индивидуальная
Муха О Ю,декларант,https://declarator.org/person/656513,Департамент природных ресурсов и экологии Ямало-Ненецкого АО,Ямало-Ненецкий автономный округ,начальник управления водных ресурсов,2020,Квартира,65.2,Индивидуальная
Соловьянов А В,Супруг(а),https://declarator.org/person/64624,Федеральная антимонопольная служба,федеральный орган,Заместитель директора филиала ФБУ «ИТЦ ФАС России» - санаторий «Понизовка»,2019,Квартира,44.1,Индивидуальная
Соловьянов А В,Супруг(а),https://declarator.org/person/64624,Федеральная антимонопольная служба,федеральный орган,Заместитель директора филиала ФБУ «ИТЦ ФАС России» - санаторий «Понизовка»,2019,Квартира,44.1,Индивидуальная
Соловьянов А В,Супруг(а),https://declarator.org/person/64624,Федеральная антимонопольная служба,федеральный орган,Заместитель директора филиала ФБУ «ИТЦ ФАС России» - санаторий «Понизовка»,2018,Квартира,44.1,Индивидуальная
Соловьянов А В,Супруг(а),https://declarator.org/person/64624,Федеральная антимонопольная служба,федеральный орган,Заместитель директора филиала ФБУ «ИТЦ ФАС России» - санаторий «Понизовка»,2018,Квартира,44.1,Индивидуальная
Соловьянов А В,Супруг(а),https://declarator.org/person/64624,Федеральная антимонопольная служба,федеральный орган,Заместитель директора филиала ФБУ «ИТЦ ФАС России» - санаторий «Понизовка»,2017,Квартира,44.1,Индивидуальная
Соловьянов А В,Супруг(а),https://declarator.org/person/64624,Федеральная антимонопольная служба,федеральный орган,Заместитель директора филиала ФБУ «ИТЦ ФАС России» - санаторий «Понизовка»,2017,Квартира,44.1,Индивидуальная
