person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
,декларант,https://declarator.org/office/?active-tab=year-,,федеральный орган,,,Квартира,36.0,В собственности
Селезнева И.О.,Ребенок,https://declarator.org/office/6280?active-tab=year-2023,ФГБОУ ВО Российский государственный социальный университет,Москва,Директор филиала РГСУ в г. Минске Республики Беларусь,2023.0,Квартира,127.2,В пользовании
Селезнева И.О.,декларант,https://declarator.org/office/6280?active-tab=year-2023,ФГБОУ ВО Российский государственный социальный университет,Москва,Директор филиала РГСУ в г. Минске Республики Беларусь,2023.0,Квартира,127.2,В пользовании
Селезнева И.О.,Супруг(а),https://declarator.org/office/6280?active-tab=year-2023,ФГБОУ ВО Российский государственный социальный университет,Москва,Директор филиала РГСУ в г. Минске Республики Беларусь,2023.0,Квартира,127.2,В пользовании
Пакштайте В.В.,Супруг(а),https://declarator.org/office/6280?active-tab=year-2023,ФГБОУ ВО Российский государственный социальный университет,Москва,Заместитель директора по учебно-воспитательной работе филиала РГСУ в г. Минске Республики Беларусь,2023.0,Квартира,68.3,В пользовании
Пакштайте В.В.,Ребенок,https://declarator.org/office/6280?active-tab=year-2023,ФГБОУ ВО Российский государственный социальный университет,Москва,Заместитель директора по учебно-воспитательной работе филиала РГСУ в г. Минске Республики Беларусь,2023.0,Квартира,68.3,В пользовании
Пакштайте В.В.,декларант,https://declarator.org/office/6280?active-tab=year-2023,ФГБОУ ВО Российский государственный социальный университет,Москва,Заместитель директора по учебно-воспитательной работе филиала РГСУ в г. Минске Республики Беларусь,2023.0,Квартира,68.3,В собственности
Пакштайте В.В.,декларант,https://declarator.org/office/6280?active-tab=year-2023,ФГБОУ ВО Российский государственный социальный университет,Москва,Заместитель директора по учебно-воспитательной работе филиала РГСУ в г. Минске Республики Беларусь,2023.0,Земельный участок,3200.0,В собственности
Пакштайте В.В.,декларант,https://declarator.org/office/6280?active-tab=year-2023,ФГБОУ ВО Российский государственный социальный университет,Москва,Заместитель директора по учебно-воспитательной работе филиала РГСУ в г. Минске Республики Беларусь,2023.0,Жилой дом,42.4,Долевая собственность
Бабинский Д.В.,Ребенок,https://declarator.org/office/6280?active-tab=year-2023,ФГБОУ ВО Российский государственный социальный университет,Москва,Заместитель директора по информационным системам и электронному обучению филиала РГСУ в г. Минске Республики Беларусь,2023.0,Квартира,56.8,В пользовании
