person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Дорожко Эдуард Анатольевич,декларант,https://declarator.org/person/510319,Магаданская областная дума,Магаданская область,Кандидат в депутаты регионального законодательного собрания,2024,Жилой дом,75.8,Индивидуальная
Дорожко Эдуард Анатольевич,декларант,https://declarator.org/person/510319,Магаданская областная дума,Магаданская область,Кандидат в депутаты регионального законодательного собрания,2024,Земельный участок,1170.0,Индивидуальная
Мартынов Евгений Васильевич,декларант,https://declarator.org/person/1720251,Белгородская областная дума,Белгородская область,Кандидат в депутаты регионального законодательного собрания,2024,Земельный участок,1540.0,Индивидуальная
Мартынов Евгений Васильевич,декларант,https://declarator.org/person/1720251,Белгородская областная дума,Белгородская область,Кандидат в депутаты регионального законодательного собрания,2024,Иное,289.0,Индивидуальная
Корчагин Павел Александрович,декларант,https://declarator.org/person/1720454,Воронежская областная Дума,Воронежская область,Кандидат в депутаты регионального законодательного собрания,2024,Квартира,27.7,Долевая собственность
Пешиков Александр Александрович,декларант,https://declarator.org/person/22811,Воронежская областная Дума,Воронежская область,Кандидат в депутаты регионального законодательного собрания,2024,Иное,1460.8,Долевая собственность
Пешиков Александр Александрович,декларант,https://declarator.org/person/22811,Воронежская областная Дума,Воронежская область,Кандидат в депутаты регионального законодательного собрания,2024,Иное,92.0,Долевая собственность
Спицына Лилия Александровна,декларант,https://declarator.org/person/1227381,Служба по тарифам Астраханской области,Астраханская область,"Главный специалист отдела контроля и регулирования тарифов в сферах водо-снабжения, водоотведения и обращения с твердыми коммунальными от-ходами",2022,Квартира,30.1,Долевая собственность
Задорожный В.О.,декларант,https://declarator.org/office/7245?active-tab=year-2021,Департамент здравоохранения Брянской области,Брянская область,,2021,Жилой дом,45.6,Долевая собственность
Задорожный В.О.,декларант,https://declarator.org/office/7245?active-tab=year-2021,Департамент здравоохранения Брянской области,Брянская область,,2021,Земельный участок,300.5,Долевая собственность
Анисимова Светлана Николаевна,декларант,https://declarator.org/office/3616?active-tab=year-2018,Вуктыл - городской округ,Республика Коми,заведующий МБДОУ «Детский сад «Солнышко» г. Вуктыл,2018,Квартира,47.1,Индивидуальная
Анисимова Светлана Николаевна,декларант,https://declarator.org/person/402850,Вуктыл - городской округ,Республика Коми,заведующий МБДОУ «Детский сад «Солнышко» г. Вуктыл,2017,Квартира,47.1,Индивидуальная
