person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Черёмин Сергей Евгеньевич,Ребенок,https://declarator.org/person/920,Члены Правительства города Москвы,Москва,"Министр правительства Москвы, руководитель департамента внешнеэкономических и международных связей",2021,Жилой дом,425.8,В пользовании
Фёдоров Илья Евгеньевич,Ребенок,https://declarator.org/office/4232?active-tab=year-2021,Комитет по транспорту,Санкт-Петербург,"Ведущий специалист отдела подготовки материалов по делам об административных правонарушениях Управления административной практики Комитета - несовершеннолетний ребенок
-


-
-
-
-
квартира
11,1
РФ
-
0",2021,Квартира,0.0,В пользовании
Нисман Ольга Юрьевна,Ребенок,https://declarator.org/office/8505?active-tab=year-2021,Министерство образования и науки Самарской области,Самарская область,директора ГБУ ДПО СО Центр профессионального образования,2021,Квартира,20.0,В пользовании
Крихели Нателла Ильинична,декларант,https://declarator.org/person/1068322,ФГБОУ ВО Московский государственный медико-стоматологический университет имени А.И. Евдокимова,Москва,проректор,2021,Гараж,24.8,Долевая собственность
Крихели Нателла Ильинична,декларант,https://declarator.org/person/1068322,ФГБОУ ВО Московский государственный медико-стоматологический университет имени А.И. Евдокимова,Москва,проректор,2021,Иное,5.1,Долевая собственность
Крихели Нателла Ильинична,декларант,https://declarator.org/person/1068322,ФГБОУ ВО Московский государственный медико-стоматологический университет имени А.И. Евдокимова,Москва,проректор,2021,Иное,5.1,Долевая собственность
Крихели Нателла Ильинична,декларант,https://declarator.org/person/1068322,ФГБОУ ВО Московский государственный медико-стоматологический университет имени А.И. Евдокимова,Москва,проректор,2021,Квартира,396.0,Долевая собственность
Писной Леонид Александрович,декларант,https://declarator.org/person/14289,Саратовская областная Дума,Саратовская область,Депутат Саратовской областной думы,2021,Квартира,140.0,В пользовании
Варшавер М.Б.,декларант,https://declarator.org/office/5960?active-tab=year-2021,Департамент культуры города Москвы,Москва,Директор,2021,Земельный участок,1.5,Индивидуальная
ЧЕРЁМИН С.Е.,Ребенок,https://declarator.org/office/978?active-tab=year-2021,Аппарат мэра и правительства города Москвы,Москва,"министр Правительства Москвы, руководитель Департамента внешнеэкономических и международных связей города Москвы",2021,Жилой дом,425.8,В пользовании
Черёмин Сергей Евгеньевич,Ребенок,https://declarator.org/person/920,Члены Правительства города Москвы,Москва,"Министр правительства Москвы, руководитель департамента внешнеэкономических и международных связей",2020,Жилой дом,425.8,В пользовании
