person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Лысенко Ольга Артуровна,декларант,https://declarator.org/person/40087,Федеральное агентство водных ресурсов,федеральный орган,"Заместитель начальника Управления – начальник отдела бюджетной политики в сфере водных ресурсов - Управление администрирования доходов, реализации бюджетной политики 
и управления федеральным имуществом в сфере водных ресурсов",2022,Квартира,47.5,Долевая собственность
Лысенко Ольга Артуровна,декларант,https://declarator.org/person/40087,Федеральное агентство водных ресурсов,федеральный орган,"Заместитель начальника Управления – начальник отдела бюджетной политики в сфере водных ресурсов - Управление администрирования доходов, реализации бюджетной политики 
и управления федеральным имуществом в сфере водных ресурсов",2021,Квартира,47.5,Долевая собственность
Рябух Елена Львовна,Супруг(а),https://declarator.org/person/732409,Комитет по экономической политике и стратегическому планированию Санкт-Петербурга,Санкт-Петербург,главный специалист отдела мониторинга социально-экономического развития Управления анализа и прогнозирования социально-экономического развития,2021,Квартира,37.2,Индивидуальная
Воронко А. Н.,декларант,https://declarator.org/person/832812,Министерство культуры,федеральный орган,Директор департамента - Департамент музеев и внешних связей,2021,Квартира,43.0,Индивидуальная
Шулаева Анна Владимировна,декларант,https://declarator.org/person/129717,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Королевство Норвегия - Представители Росрыболовства за рубежом,2021,Квартира,76.7,Индивидуальная
Рубинчик Е А,Супруг(а),https://declarator.org/person/1187855,Министерство промышленности и торговли,федеральный орган,Заместитель торгового представителя,2021,Земельный участок,1901.0,Долевая собственность
Рубинчик Е А,Супруг(а),https://declarator.org/person/1187855,Министерство промышленности и торговли,федеральный орган,Заместитель торгового представителя,2021,Дача,84.0,Долевая собственность
Кораблина Анна Игоревна,Супруг(а),https://declarator.org/office/191?active-tab=year-2021,Правительство Санкт-Петербурга,Санкт-Петербург,Начальник сектора контроля исполнения отдела координации и контроля Секретариата,2021,Квартира,39.7,В пользовании
Кораблина Анна Игоревна,декларант,https://declarator.org/office/191?active-tab=year-2021,Правительство Санкт-Петербурга,Санкт-Петербург,Начальник сектора контроля исполнения отдела координации и контроля Секретариата,2021,Квартира,39.7,Индивидуальная
Бодрова Анастасия Михайловна,декларант,https://declarator.org/office/1077?active-tab=year-2021,Управа Нагорного района,Москва,консультант,2021,Дача,1546.0,Индивидуальная
Артамонова Анна Викторовна,декларант,https://declarator.org/person/403527,Комитет по градостроительству и архитектуре,Санкт-Петербург,начальник Сектора по информационному сопровождению деятельности и внешним связям,2021,Квартира,47.4,Совместная собственность
Пономаренко Владислав Валерьевич,Супруг(а),https://declarator.org/office/8440?active-tab=year-2021,Аппарат Совета Федерации,федеральный орган,начальник управления,2021,Квартира,35.6,Индивидуальная
Курбатова С С,Супруг(а),https://declarator.org/person/587822,ФАС Северо-Западного округа (г. Санкт-Петербург),федеральный орган,руководитель секретариата председателя суда,2021,Квартира,29.8,Индивидуальная
Курбатова С С,Супруг(а),https://declarator.org/person/587822,ФАС Северо-Западного округа (г. Санкт-Петербург),федеральный орган,руководитель секретариата председателя суда,2021,Земельный участок,1100.0,Индивидуальная
Чифеева Елена Львовна,Супруг(а),https://declarator.org/person/48528,Комитет по здравоохранению,Санкт-Петербург,главный специалист отдела лицензирования фармацевтической деятельности Лицензионного управления,2021,Гараж,81.0,Индивидуальная
Чифеева Елена Львовна,Супруг(а),https://declarator.org/person/48528,Комитет по здравоохранению,Санкт-Петербург,главный специалист отдела лицензирования фармацевтической деятельности Лицензионного управления,2021,Квартира,59.4,Индивидуальная
Болотина Ирина Борисовна,Супруг(а),https://declarator.org/office/4086?active-tab=year-2021,ГУ РО ФСС Псковская область,Псковская область,Заместитель управляющего отделением Фонда,2021,Квартира,29.8,Индивидуальная
Воронкова Юлия Борисовна,декларант,https://declarator.org/office/4242?active-tab=year-2021,Государственная жилищная инспекция Санкт-Петербурга,Санкт-Петербург,"Ведущий специалист – государственный жилищный инспектор Санкт-Петербурга Отдела контроля и надзора Калининского, Красногвардейского районов",2021,Квартира,32.7,Индивидуальная
Юдин Алексей Александрович,Супруг(а),https://declarator.org/office/1150?active-tab=year-2021,Администрация Василеостровского района,Санкт-Петербург,Главный специалист отдела здравоохранения,2021,Жилой дом,207.3,Индивидуальная
Рутенберг Екатерина Александровна,Супруг(а),https://declarator.org/office/1153?active-tab=year-2021,Администрация Кировского района,Санкт-Петербург,Главный специалист сектора по предоставлению льгот отдела социальной защиты населения,2021,Квартира,36.3,В пользовании
Степанова Виктория Игоревна,Супруг(а),https://declarator.org/office/1162?active-tab=year-2021,Администрация Петродворцового района,Санкт-Петербург,специалист 1-й категории Отдела здравоохранения,2021,Квартира,48.0,Долевая собственность
Бердников Алексей Николаевич,Супруг(а),https://declarator.org/office/2188?active-tab=year-2021,Краснодар - городской округ,Краснодарский край,"Депутат, генеральный директор ООО «СИЭС ГРУПП»",2021,Квартира,27.0,Индивидуальная
Бердников Алексей Николаевич,Супруг(а),https://declarator.org/office/2188?active-tab=year-2021,Краснодар - городской округ,Краснодарский край,"Депутат, генеральный директор ООО «СИЭС ГРУПП»",2021,Квартира,51.9,Индивидуальная
Бердников Алексей Николаевич,Супруг(а),https://declarator.org/office/2188?active-tab=year-2021,Краснодар - городской округ,Краснодарский край,"Депутат, генеральный директор ООО «СИЭС ГРУПП»",2021,Квартира,27.0,Индивидуальная
Бердников Алексей Николаевич,Супруг(а),https://declarator.org/office/2188?active-tab=year-2021,Краснодар - городской округ,Краснодарский край,"Депутат, генеральный директор ООО «СИЭС ГРУПП»",2021,Квартира,48.0,Индивидуальная
Бердников Алексей Николаевич,Супруг(а),https://declarator.org/office/2188?active-tab=year-2021,Краснодар - городской округ,Краснодарский край,"Депутат, генеральный директор ООО «СИЭС ГРУПП»",2021,Квартира,52.2,Индивидуальная
Зайцева Елена Евгеньевна,Ребенок,https://declarator.org/office/2783?active-tab=year-2021,Гдовский район,Псковская область,,2021,Квартира,63.3,Совместная собственность
Александров Г.И.,декларант,https://declarator.org/office/6817?active-tab=year-2021,Третий апелляционный суд общей юрисдикции (Сочи),федеральный орган,Судья,2021,Квартира,45.6,Индивидуальная
Лысенко Ольга Артуровна,декларант,https://declarator.org/person/40087,Федеральное агентство водных ресурсов,федеральный орган,"Заместитель начальника Управления – начальник отдела бюджетной политики в сфере водных ресурсов - Управление администрирования доходов, реализации бюджетной политики 
и управления федеральным имуществом в сфере водных ресурсов",2020,Квартира,47.5,Долевая собственность
Шулаева Анна Владимировна,декларант,https://declarator.org/person/129717,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в Королевство Норвегия - Представители Росрыболовства за рубежом,2020,Квартира,76.7,Индивидуальная
