person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Афонина Ю Е,Супруг(а),https://declarator.org/person/1370567,Ленинградский областной суд,Ленинградская область,Помощник судьи,2022,Жилой дом,109.2,Долевая собственность
Байсангуров Вадим Владимирович,Супруг(а),https://declarator.org/office/3706?active-tab=year-2022,Дигорский район,Республика Северная Осетия — Алания,Советник главы,2022,Квартира,0.0,Индивидуальная
Экзеков Мусса Хабалевич,декларант,https://declarator.org/person/203059,Народное Собрание Карачаево-Черкесской республики,Карачаево-Черкесская республика,Депутат народного собрания (парламента) Карачаево-Черкесской республики - ,2021,Жилой дом,91.8,Индивидуальная
Фарукшин Валерий Михайлович,декларант,https://declarator.org/person/137095,Законодательное Собрание Красноярского края,Красноярский край,Депутат законодательного собрания Красноярского края,2021,Квартира,108.6,Индивидуальная
Фарукшин Валерий Михайлович,декларант,https://declarator.org/person/137095,Законодательное Собрание Красноярского края,Красноярский край,Депутат законодательного собрания Красноярского края,2021,Гараж,28.0,Индивидуальная
Фарукшин Валерий Михайлович,декларант,https://declarator.org/person/137095,Законодательное Собрание Красноярского края,Красноярский край,Депутат законодательного собрания Красноярского края,2021,Гараж,24.0,Индивидуальная
Небесная Т А,декларант,https://declarator.org/person/680505,Избирательная комиссия Краснодарского края,Краснодарский край,главный консультант,2021,Квартира,58.4,Индивидуальная
Афонина Ю Е,Супруг(а),https://declarator.org/person/1370567,Ленинградский областной суд,Ленинградская область,Помощник судьи,2021,Жилой дом,109.2,Индивидуальная
Некрасов В А,декларант,https://declarator.org/person/1131119,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,95.2,В пользовании
Никитенко Н Д,декларант,https://declarator.org/person/674661,Управление записи актов гражданского состояния Краснодарского края,Краснодарский край,Начальник отдела ЗАГС Карасунского внутри-городского округа г. Краснодара,2021,Квартира,38.5,Индивидуальная
Филимонова Н Е,Супруг(а),https://declarator.org/person/809704,Министерство финансов Республики Адыгея,Республика Адыгея,Начальник отдела,2021,Жилой дом,1000.0,Индивидуальная
Филимонова Н Е,Супруг(а),https://declarator.org/person/809704,Министерство финансов Республики Адыгея,Республика Адыгея,Начальник отдела,2021,Квартира,50.0,В собственности
Филимонова Н Е,Супруг(а),https://declarator.org/person/809704,Министерство финансов Республики Адыгея,Республика Адыгея,Начальник отдела,2021,Квартира,49.2,В собственности
Филимонова Н Е,Супруг(а),https://declarator.org/person/809704,Министерство финансов Республики Адыгея,Республика Адыгея,Начальник отдела,2021,Жилой дом,160.0,Индивидуальная
Балашев К Р,декларант,https://declarator.org/person/357903,Федеральная таможенная служба,федеральный орган,Начальник поста,2021,Жилой дом,57.0,В пользовании
Козлов К Р,декларант,https://declarator.org/person/365451,Федеральная таможенная служба,федеральный орган,Представитель,2021,Квартира,67.9,В пользовании
Козлов К Р,Супруг(а),https://declarator.org/person/365451,Федеральная таможенная служба,федеральный орган,Представитель,2021,Квартира,67.9,В пользовании
Уланов А.В.,декларант,https://declarator.org/office/2285?active-tab=year-2021,Ульяновск - городской округ,Ульяновская область,заместитель начальника Управления,2021,Жилой дом,57.0,Индивидуальная
Уланов А.В.,декларант,https://declarator.org/office/2285?active-tab=year-2021,Ульяновск - городской округ,Ульяновская область,заместитель начальника Управления,2021,Жилой дом,10000.0,В пользовании
Багдасарян Алексан Ванушевич,декларант,https://declarator.org/person/64495,Управление делами Президента,федеральный орган,генеральный директор ФГАУ «Оздоровительный комплекс «Дагомыс»,2021,Жилой дом,195.4,Индивидуальная
Харченко Ю. А.,Супруг(а),https://declarator.org/person/847035,"Федеральное агентство по делам СНГ, соотечественников, проживающих за рубежом, и по международному гуманитарному сотрудничеству",федеральный орган,Начальник отдела - ,2021,Квартира,29.5,Долевая собственность
Харченко Ю. А.,Супруг(а),https://declarator.org/person/847035,"Федеральное агентство по делам СНГ, соотечественников, проживающих за рубежом, и по международному гуманитарному сотрудничеству",федеральный орган,Начальник отдела - ,2021,Земельный участок,646.0,Долевая собственность
Харченко Ю. А.,Супруг(а),https://declarator.org/person/847035,"Федеральное агентство по делам СНГ, соотечественников, проживающих за рубежом, и по международному гуманитарному сотрудничеству",федеральный орган,Начальник отдела - ,2021,Жилой дом,104.2,Долевая собственность
Паштов Борис Султанович,декларант,https://declarator.org/person/12858,Парламент Кабардино-Балкарской Республики,Кабардино-Балкарская Республика,Депутат парламента Кабардино-Балкарской Республики,2021,Земельный участок,600.0,В пользовании
