person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
ГЛАДСКИЙ Д.Г.,Ребенок,https://declarator.org/office/197?active-tab=year-2021,Правительство Белгородской области,Белгородская область,Временно исполняющий обязанности заместителя Губернатора Белгородской области – начальника департамента экономического развития Белгородской области,2021,Жилой дом,450.0,В пользовании
Иванов Тимур Вадимович,Ребенок,https://declarator.org/person/39039,Министерство обороны,федеральный орган,,2019,Квартира,350.0,В пользовании
Иванов Тимур Вадимович,Ребенок,https://declarator.org/person/39039,Министерство обороны,федеральный орган, - ,2018,Квартира,350.0,В пользовании
Иванов Тимур Вадимович,Ребенок,https://declarator.org/person/39039,Министерство обороны,федеральный орган,Заместитель министра обороны,2017,Квартира,350.0,В пользовании
Иванов Тимур Вадимович,Ребенок,https://declarator.org/person/39039,Министерство обороны,федеральный орган,Заместитель министра обороны,2016,Квартира,350.0,В пользовании
Швецов Сергей Анатольевич,декларант,https://declarator.org/person/4564,Центральный Банк,федеральный орган,"Первый заместитель председателя Банка России, член совета директоров Банка России",2016,Квартира,152.0,В пользовании
Швецов Сергей Анатольевич,декларант,https://declarator.org/person/4564,Центральный Банк,федеральный орган,"Первый заместитель председателя Банка России, член совета директоров Банка России",2016,Квартира,215.0,В пользовании
Швецов Сергей Анатольевич,декларант,https://declarator.org/person/4564,Центральный Банк,федеральный орган,"Первый заместитель председателя Банка России, член совета директоров Банка России",2016,Квартира,93.0,В пользовании
Швецов Сергей Анатольевич,декларант,https://declarator.org/person/4564,Центральный Банк,федеральный орган,"Первый заместитель председателя Банка России, член совета директоров Банка России",2016,Квартира,93.0,В пользовании
Швецов Сергей Анатольевич,декларант,https://declarator.org/person/4564,Центральный Банк,федеральный орган,"Первый заместитель председателя Банка России, член совета директоров Банка России",2016,Квартира,137.0,В пользовании
Швецов Сергей Анатольевич,декларант,https://declarator.org/person/4564,Центральный Банк,федеральный орган,"Первый заместитель председателя Банка России, член совета директоров Банка России",2016,Квартира,152.0,В пользовании
Швецов Сергей Анатольевич,декларант,https://declarator.org/person/4564,Центральный Банк,федеральный орган,"Первый заместитель Председателя Банка России, член Совета директоров Банка России - Руководство Банка России, Совет директоров Банка России",2016,Квартира,93.0,В пользовании
Швецов Сергей Анатольевич,декларант,https://declarator.org/person/4564,Центральный Банк,федеральный орган,"Первый заместитель Председателя Банка России, член Совета директоров Банка России - Руководство Банка России, Совет директоров Банка России",2016,Квартира,215.0,В пользовании
Швецов Сергей Анатольевич,декларант,https://declarator.org/person/4564,Центральный Банк,федеральный орган,"Первый заместитель Председателя Банка России, член Совета директоров Банка России - Руководство Банка России, Совет директоров Банка России",2016,Квартира,93.0,В пользовании
Швецов Сергей Анатольевич,декларант,https://declarator.org/person/4564,Центральный Банк,федеральный орган,"Первый заместитель Председателя Банка России, член Совета директоров Банка России - Руководство Банка России, Совет директоров Банка России",2016,Квартира,152.0,В пользовании
Швецов Сергей Анатольевич,декларант,https://declarator.org/person/4564,Центральный Банк,федеральный орган,"Первый заместитель Председателя Банка России, член Совета директоров Банка России - Руководство Банка России, Совет директоров Банка России",2016,Квартира,137.0,В пользовании
Швецов Сергей Анатольевич,декларант,https://declarator.org/person/4564,Центральный Банк,федеральный орган,"Первый заместитель Председателя Банка России, член Совета директоров Банка России - Руководство Банка России, Совет директоров Банка России",2016,Квартира,152.0,В пользовании
Швецов Сергей Анатольевич,декларант,https://declarator.org/person/4564,Центральный Банк,федеральный орган,"Первый заместитель Председателя Банка России, член Совета директоров Банка России - Руководство Банка России, Совет директоров Банка России",2016,Квартира,152.0,В пользовании
Швецов Сергей Анатольевич,декларант,https://declarator.org/person/4564,Центральный Банк,федеральный орган,"Первый заместитель Председателя Банка России, член Совета директоров Банка России - Руководство Банка России, Совет директоров Банка России",2016,Квартира,93.0,В пользовании
Швецов Сергей Анатольевич,декларант,https://declarator.org/person/4564,Центральный Банк,федеральный орган,"Первый заместитель Председателя Банка России, член Совета директоров Банка России - Руководство Банка России, Совет директоров Банка России",2016,Квартира,93.0,В пользовании
Швецов Сергей Анатольевич,декларант,https://declarator.org/person/4564,Центральный Банк,федеральный орган,"Первый заместитель Председателя Банка России, член Совета директоров Банка России - Руководство Банка России, Совет директоров Банка России",2016,Квартира,215.0,В пользовании
Швецов Сергей Анатольевич,декларант,https://declarator.org/person/4564,Центральный Банк,федеральный орган,"Первый заместитель Председателя Банка России, член Совета директоров Банка России - Руководство Банка России, Совет директоров Банка России",2016,Квартира,137.0,В пользовании
Швецов Сергей Анатольевич,декларант,https://declarator.org/person/4564,Центральный Банк,федеральный орган,"Первый заместитель Председателя Банка России, член Совета директоров Банка России - Руководство Банка России, Совет директоров Банка России",2016,Квартира,152.0,В пользовании
Алехина Марина Александровна,Супруг(а),https://declarator.org/person/132320,Центральный Банк,федеральный орган,Директор департамента - Центральный аппарат Банка России,2016,Квартира,137.0,В пользовании
Алехина Марина Александровна,Супруг(а),https://declarator.org/person/132320,Центральный Банк,федеральный орган,Директор департамента - Центральный аппарат Банка России,2016,Квартира,93.0,В пользовании
