person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
БАБИЦКАЯ Н С,декларант,https://declarator.org/person/455456,Министерство цифровых технологий и связи Калининградской области,Калининградская область,Ведущий консультант отдела развития связи департамента развития цифрового государства Министерства цифровых технологий и связи Калининградской области,2022,Квартира,115.5,Долевая собственность
Яряцкас Кристина Саулеевна,Ребенок,https://declarator.org/person/1359491,Комитет по государственному заказу Санкт-Петербурга,Санкт-Петербург,Ведущий специалист Отдела осуществления централизованных закупок и межведомственного взаимодействия,2021,Квартира,16.0,В пользовании
Шухат И Н,декларант,https://declarator.org/person/1339607,Министерство образования и науки Мурманской области,Мурманская область,консультант,2021,Квартира,61.6,В пользовании
Шухат И Н,декларант,https://declarator.org/person/1339607,Министерство образования и науки Мурманской области,Мурманская область,консультант,2021,Квартира,61.6,Долевая собственность
Гетман Т А,Супруг(а),https://declarator.org/person/186537,Зеленоградский городской округ,Калининградская область,Директор МАУК «Культурно-досуговый центр» МО «Зеленоградский ГО»,2021,Квартира,51.3,В пользовании
Ярошук Иосиф Францевич,Супруг(а),https://declarator.org/person/1359872,Таймырский Долгано-Ненецкий район,Красноярский край,Председатель контрольно- счетной палаты,2021,Квартира,48.5,Индивидуальная
Дегтянникова Наталья Евгеньевна,декларант,https://declarator.org/person/516696,Пермь - городской округ,Пермский край,"главный специалист отдела ведения ИСОГД управления информационного обеспечения градостроительной деятельности - Уточненные сведения о доходах, об имуществе и обязательствах имущественного характера руководителей муниципальных учреждений, 
подведомственных департаменту культуры и молодежной политики администрации города Перми, и членов их семей за 2021 год",2021,Квартира,61.42,Индивидуальная
Абарюс Аугениюс Риманто,Супруг(а),https://declarator.org/person/2059,Калининградская областная Дума,Калининградская область,Депутат областной думы,2021,Квартира,78.2,Индивидуальная
Абарюс Аугениюс Риманто,Супруг(а),https://declarator.org/person/2059,Калининградская областная Дума,Калининградская область,Депутат областной Думы,2021,Квартира,78.2,В собственности
Абарюс Аугениюс Риманто,Супруг(а),https://declarator.org/person/2059,Калининградская областная Дума,Калининградская область,Депутат областной Думы,2021,Квартира,78.2,В собственности
БАБИЦКАЯ Н.С.,декларант,https://declarator.org/office/7460?active-tab=year-2021,Министерство цифровых технологий и связи Калининградской области,Калининградская область,Ведущий консультант отдела развития связи департамента развития цифрового государства Министерства цифровых технологий и связи Калининградской области,2021,Квартира,115.5,Долевая собственность
Мароховская Наталия Германовна,Супруг(а),https://declarator.org/office/1175?active-tab=year-2021,Муниципальное образование муниципальный округ Морской (Василеостровский район),Санкт-Петербург,Руководитель общего отдела,2021,Квартира,51.3,В собственности
Абарюс Аугениюс Риманто,Супруг(а),https://declarator.org/person/2059,Калининградская областная Дума,Калининградская область,Депутат областной думы,2020,Квартира,78.2,Индивидуальная
Бедрин Игорь Владиславович,Супруг(а),https://declarator.org/person/64753,Федеральная антимонопольная служба,федеральный орган,Заместитель начальника Управления регулирования электроэнергетики Федеральной антимонопольной службы - Управление регулирования электроэнергетики,2020,Квартира,50.3,Индивидуальная
Яряцкас Кристина Саулеевна,Ребенок,https://declarator.org/person/1359491,Комитет по государственному заказу Санкт-Петербурга,Санкт-Петербург,Ведущий специалист Отдела осуществления централизованных закупок и межведомственного взаимодействия,2020,Квартира,16.0,В пользовании
БАБИЦКАЯ Н С,декларант,https://declarator.org/person/455456,Министерство цифровых технологий и связи Калининградской области,Калининградская область,Ведущий консультант отдела развития связи департамента развития цифрового государства Министерства цифровых технологий и связи Калининградской области,2020,Квартира,115.5,Долевая собственность
Шухат И Н,декларант,https://declarator.org/person/1339607,Министерство образования и науки Мурманской области,Мурманская область,консультант,2020,Квартира,61.6,Долевая собственность
Шухат И Н,Ребенок,https://declarator.org/person/1339607,Министерство образования и науки Мурманской области,Мурманская область,консультант,2020,Квартира,61.6,В пользовании
Мароховская Наталия Германовна,Супруг(а),https://declarator.org/person/52382,Муниципальное образование муниципальный округ Морской (Василеостровский район),Санкт-Петербург,главный специалист отдела заказа и делопроизводства,2020,Квартира,51.3,В собственности
Дегтянникова Наталья Евгеньевна,декларант,https://declarator.org/person/516696,Пермь - городской округ,Пермский край,главный специалист отдела ведения ИСОГД управления информационного обеспечения градостроительной деятельности - Информационно-аналитическое управление администрации города Перми,2020,Квартира,61.42,Индивидуальная
Будгинене А В,Супруг(а),https://declarator.org/person/1411053,Отделение Социального фонда России Калининградская область,Калининградская область,Руководитель юридической группы,2020,Жилой дом,85.4,В пользовании
Гольдвирт Елизавета Константиновна,Супруг(а),https://declarator.org/person/502644,Уполномоченный по защите прав предпринимателей в Новгородской области,Новгородская область,,2020,Квартира,85.7,В пользовании
Дитмонас Т А,Супруг(а),https://declarator.org/person/1480187,Иваново - городской округ,Ивановская область,директор МБОУ «Средняя школа № 55»,2020,Квартира,66.0,Индивидуальная
Манчук Елена Викторовна,декларант,https://declarator.org/person/20734,Калининград - городской округ,Калининградская область,Заведующий МАДОУ д/с № 129,2020,Квартира,33.4,Индивидуальная
Симонова Э А,Супруг(а),https://declarator.org/person/188481,Калининград - городской округ,Калининградская область,Директор МАОУ СОШ № 57,2020,Квартира,43.0,Индивидуальная
Симонова Э А,Супруг(а),https://declarator.org/person/188481,Калининград - городской округ,Калининградская область,Директор МАОУ СОШ № 57,2020,Земельный участок,100.0,Индивидуальная
Деркач Виктор Иосифович,декларант,https://declarator.org/person/1468146,Октябрьский район,Ханты-Мансийский автономный округ — Югра,,2020,Жилой дом,83.0,В собственности
Каньшина А.С.,Ребенок,https://declarator.org/office/5960?active-tab=year-2020,Департамент культуры города Москвы,Москва,Директор,2020,Иное,68300.0,Индивидуальная
Каньшина А.С.,Ребенок,https://declarator.org/office/5960?active-tab=year-2020,Департамент культуры города Москвы,Москва,Директор,2020,Иное,168900.0,Индивидуальная
Каньшина А.С.,Ребенок,https://declarator.org/office/5960?active-tab=year-2020,Департамент культуры города Москвы,Москва,Директор,2020,Иное,90100.0,Индивидуальная
Каньшина А.С.,Ребенок,https://declarator.org/office/5960?active-tab=year-2020,Департамент культуры города Москвы,Москва,Директор,2020,Иное,114200.0,Индивидуальная
Каньшина А.С.,Ребенок,https://declarator.org/office/5960?active-tab=year-2020,Департамент культуры города Москвы,Москва,Директор,2020,Иное,393351.0,Индивидуальная
Каньшина А.С.,Ребенок,https://declarator.org/office/5960?active-tab=year-2020,Департамент культуры города Москвы,Москва,Директор,2020,Иное,304300.0,Индивидуальная
Каньшина А.С.,Ребенок,https://declarator.org/office/5960?active-tab=year-2020,Департамент культуры города Москвы,Москва,Директор,2020,Иное,358133.0,Индивидуальная
Абарюс Аугениюс Риманто,Супруг(а),https://declarator.org/person/2059,Калининградская областная Дума,Калининградская область,Депутат областной Думы - ,2019,Квартира,78.23,В собственности
Туминас Римас Владимирович,Супруг(а),https://declarator.org/person/40222,Министерство культуры,федеральный орган,"Художественный руководитель ФГБУ культуры ""Государственный академический театр имени Евгения Вахтангова""",2019,Квартира,94.0,Долевая собственность
Туминас Римас Владимирович,декларант,https://declarator.org/person/40222,Министерство культуры,федеральный орган,"Художественный руководитель ФГБУ культуры ""Государственный академический театр имени Евгения Вахтангова""",2019,Квартира,94.0,Долевая собственность
Туминас Римас Владимирович,Супруг(а),https://declarator.org/person/40222,Министерство культуры,федеральный орган,"Художественный руководитель ФГБУ культуры ""Государственный академический театр имени Евгения Вахтангова""",2019,Жилой дом,105.0,Индивидуальная
Туминас Римас Владимирович,Супруг(а),https://declarator.org/person/40222,Министерство культуры,федеральный орган,"Художественный руководитель ФГБУ культуры ""Государственный академический театр имени Евгения Вахтангова""",2019,Земельный участок,280.0,Индивидуальная
Туминас Римас Владимирович,декларант,https://declarator.org/person/40222,Министерство культуры,федеральный орган,"Художественный руководитель ФГБУ культуры ""Государственный академический театр имени Евгения Вахтангова""",2019,Квартира,36.0,Индивидуальная
Валаткайте Солвейга Прановна,декларант,https://declarator.org/person/44796,Департамент образования и науки города Москвы,Москва,Директор ГБОУ Школа № 1247,2019,Квартира,49.1,В пользовании
Гетман Т А,Супруг(а),https://declarator.org/person/186537,Зеленоградский городской округ,Калининградская область,Директор МАУК «Культурно-досуговый центр» МО «Зеленоградский ГО»,2019,Квартира,51.3,В пользовании
Штыкова З. С.,декларант,https://declarator.org/person/11083,Калининград - городской округ,Калининградская область,Главный специалист отдела правоустанавливающих документов объектов строительства управления земельных отношений комитета муниципального имущества и земельных ресурсов,2019,Квартира,55.8,Долевая собственность
Полубояринов Михаил Игоревич,декларант,https://declarator.org/person/15859,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,первый заместитель председателя ВЭБ.РФ - член правления,2019,Квартира,81.0,Совместная собственность
Бедрин Игорь Владиславович,Супруг(а),https://declarator.org/person/64753,Федеральная антимонопольная служба,федеральный орган,Заместитель начальника Управления регулирования электроэнергетики Федеральной антимонопольной службы - Управление регулирования электроэнергетики,2019,Квартира,50.3,Индивидуальная
Яряцкас Кристина Саулеевна,Ребенок,https://declarator.org/person/1359491,Комитет по государственному заказу Санкт-Петербурга,Санкт-Петербург,Ведущий специалист Отдела проверки участников закупок и межведомственного взаимодействия,2019,Квартира,16.0,В пользовании
БАБИЦКАЯ Н С,декларант,https://declarator.org/person/455456,Министерство цифровых технологий и связи Калининградской области,Калининградская область,Ведущий консультант отдела связи департамента связи и управления проектами Министерства цифровых технологий и связи Калининградской области,2019,Квартира,115.5,Долевая собственность
Гольдвирт Елизавета Константиновна,Супруг(а),https://declarator.org/person/502644,Уполномоченный по защите прав предпринимателей в Новгородской области,Новгородская область,,2019,Квартира,85.7,В пользовании
Дегтянникова Наталья Евгеньевна,декларант,https://declarator.org/person/516696,Пермь - городской округ,Пермский край,главный специалист отдела ведения ИСОГД управления информационного обеспечения градостроительной деятельности - Информационно-аналитическое управление администрации города Перми,2019,Квартира,61.42,Индивидуальная
Мароховская Наталия Германовна,Супруг(а),https://declarator.org/person/52382,Муниципальное образование муниципальный округ Морской (Василеостровский район),Санкт-Петербург,главный специалист отдела заказа и делопроизводства,2019,Квартира,51.27,В собственности
Будгинене А В,Супруг(а),https://declarator.org/person/1411053,Отделение Социального фонда России Калининградская область,Калининградская область,Руководитель юридической группы,2019,Жилой дом,85.4,В пользовании
Будгинене А В,Супруг(а),https://declarator.org/person/1411053,Отделение Социального фонда России Калининградская область,Калининградская область,Руководитель юридической группы,2019,Жилой дом,85.4,В пользовании
Деркач Виктор Иосифович,декларант,https://declarator.org/person/1468146,Октябрьский район,Ханты-Мансийский автономный округ — Югра,,2019,Жилой дом,83.0,В собственности
Дитмонас Т А,Супруг(а),https://declarator.org/person/1480187,Иваново - городской округ,Ивановская область,директор МБОУ «Средняя школа № 55»,2019,Квартира,66.0,Индивидуальная
Абарюс Аугениюс Риманто,Супруг(а),https://declarator.org/office/546?active-tab=year-2019,Калининградская областная Дума,Калининградская область,Депутат областной Думы,2019,Квартира,78.23,В собственности
Абарюс Аугениюс Риманто,Супруг(а),https://declarator.org/person/2059,Калининградская областная Дума,Калининградская область,Депутат областной Думы - ,2018,Квартира,54.72,В собственности
Абарюс Аугениюс Риманто,Супруг(а),https://declarator.org/person/2059,Калининградская областная Дума,Калининградская область,Депутат областной Думы - ,2018,Квартира,78.23,В собственности
Валаткайте Солвейга Прановна,декларант,https://declarator.org/person/44796,Департамент образования и науки города Москвы,Москва,Директор ГБОУ Школа № 1247,2018,Квартира,49.1,В пользовании
Гетман Т А,Супруг(а),https://declarator.org/person/186537,Зеленоградский городской округ,Калининградская область,Руководитель муниципального учреждения,2018,Квартира,51.3,В пользовании
Штыкова З. С.,Супруг(а),https://declarator.org/person/11083,Калининград - городской округ,Калининградская область,"Ведущий 
специалист",2018,Квартира,55.8,Долевая собственность
Штыкова З. С.,декларант,https://declarator.org/person/11083,Калининград - городской округ,Калининградская область,"Ведущий 
специалист",2018,Квартира,55.8,Долевая собственность
Полубояринов Михаил Игоревич,декларант,https://declarator.org/person/15859,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,первый заместитель председателя ВЭБ.РФ - член правления,2018,Квартира,81.0,Совместная собственность
Бедрин Игорь Владиславович,Супруг(а),https://declarator.org/person/64753,Федеральная антимонопольная служба,федеральный орган,Заместитель начальника Управления регулирования электроэнергетики Федеральной антимонопольной службы - Управление регулирования электроэнергетики,2018,Квартира,50.3,Индивидуальная
Яряцкас Кристина Саулеевна,Ребенок,https://declarator.org/person/1359491,Комитет по государственному заказу Санкт-Петербурга,Санкт-Петербург,Ведущий специалист Отдела правового обеспечения и проверки участников закупок,2018,Квартира,16.0,В пользовании
Филатов Александр Дмитриевич,декларант,https://declarator.org/person/49285,Комитет по образованию,Санкт-Петербург,директор Санкт-Петербургского государственного бюджетного профессионального образовательного учреждения «Колледж метростроя»,2018,Квартира,50.23,В собственности
Булатицкая Ирина Михайловна,Ребенок,https://declarator.org/person/440847,Администрация Фрунзенского района,Санкт-Петербург,начальник отдела,2018,Квартира,53.71,В пользовании
Булатицкая Ирина Михайловна,декларант,https://declarator.org/person/440847,Администрация Фрунзенского района,Санкт-Петербург,начальник отдела,2018,Квартира,53.71,Долевая собственность
Гольдвирт Елизавета Константиновна,Супруг(а),https://declarator.org/person/502644,Уполномоченный по защите прав предпринимателей в Новгородской области,Новгородская область,,2018,Квартира,85.7,В пользовании
Будгинене А В,Супруг(а),https://declarator.org/person/1411053,Отделение Социального фонда России Калининградская область,Калининградская область,Руководитель юридической группы УПФР,2018,Жилой дом,85.4,В пользовании
Будгинене А В,Супруг(а),https://declarator.org/person/1411053,Отделение Социального фонда России Калининградская область,Калининградская область,Руководитель юридической группы УПФР,2018,Жилой дом,85.4,В пользовании
Семина Наталья Валерьевна,Супруг(а),https://declarator.org/person/1212009,Федеральное агентство по недропользованию,федеральный орган,"Главный специалист-эксперт отдела геологии и лицензирования по Брянской, Смоленской и Орловской обл.",2018,Квартира,89.0,Индивидуальная
Лазарев Константин Григорьевич,декларант,https://declarator.org/office/156?active-tab=year-2018,Правительство республики Коми,Республика Коми,заместитель Председателя Правительства Республики Коми министр энергетики жилищно-коммунального хозяйства и тарифов Республики Коми,2018,Квартира,60.31,Совместная собственность
Лазарев Константин Григорьевич,Супруг(а),https://declarator.org/office/156?active-tab=year-2018,Правительство республики Коми,Республика Коми,заместитель Председателя Правительства Республики Коми министр энергетики жилищно-коммунального хозяйства и тарифов Республики Коми,2018,Квартира,60.31,Совместная собственность
