person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Высоцкий Игорь Владимирович,Супруг(а),https://declarator.org/person/9133,Законодательное собрание Санкт-Петербурга,Санкт-Петербург,Депутат законодательного собрания Санкт-Петербурга,2021,Квартира,132.4,Индивидуальная
Енджиевский Захар Львович,Супруг(а),https://declarator.org/person/832442,Законодательное Собрание Красноярского края,Красноярский край,Депутат законодательного собрания Красноярского края,2021,Квартира,48.9,Долевая собственность
Енджиевский Захар Львович,Супруг(а),https://declarator.org/person/832442,Законодательное Собрание Красноярского края,Красноярский край,Депутат законодательного собрания Красноярского края,2021,Гараж,4.8,Индивидуальная
Райкин Константин Аркадьевич,декларант,https://declarator.org/person/40207,Министерство культуры,федеральный орган,Художественный руководитель - Федеральное государственное бюджетное учреждение культуры «Российский государственный театр «Сатирикон» имени Аркадия Райкина»,2021,Квартира,90.1,Долевая собственность
Райкин Константин Аркадьевич,Супруг(а),https://declarator.org/person/40207,Министерство культуры,федеральный орган,Художественный руководитель - Федеральное государственное бюджетное учреждение культуры «Российский государственный театр «Сатирикон» имени Аркадия Райкина»,2021,Квартира,90.1,Долевая собственность
Рахаев Анатолий Измаилович,Супруг(а),https://declarator.org/person/12860,Министерство культуры,федеральный орган,Ректор - Федеральное государственное бюджетное образовательное учреждение высшего образования «Северо-Кавказский государственный институт искусств»,2021,Квартира,47.3,Индивидуальная
Незговоров Алексей Львович,Супруг(а),https://declarator.org/person/70025,Федеральная служба по гидрометеорологии и мониторингу окружающей среды,федеральный орган,заместитель начальника - ФГБУ «Северное УГМС»,2021,Квартира,64.0,Долевая собственность
Незговоров Алексей Львович,декларант,https://declarator.org/person/70025,Федеральная служба по гидрометеорологии и мониторингу окружающей среды,федеральный орган,заместитель начальника - ФГБУ «Северное УГМС»,2021,Квартира,64.0,Долевая собственность
Ананьев А Н,Супруг(а),https://declarator.org/person/410066,Аппарат законодательного собрания Ямало-Ненецкого автономного округа,Ямало-Ненецкий автономный округ,Помощник заместителя Председателя Законодательного Собрания Ямало-Ненецкого автономного округа,2021,Квартира,60.0,Совместная собственность
Ананьев А Н,декларант,https://declarator.org/person/410066,Аппарат законодательного собрания Ямало-Ненецкого автономного округа,Ямало-Ненецкий автономный округ,Помощник заместителя Председателя Законодательного Собрания Ямало-Ненецкого автономного округа,2021,Квартира,60.0,Совместная собственность
Ананьев А Н,декларант,https://declarator.org/person/410066,Аппарат законодательного собрания Ямало-Ненецкого автономного округа,Ямало-Ненецкий автономный округ,Помощник заместителя Председателя Законодательного Собрания Ямало-Ненецкого автономного округа,2021,Квартира,60.0,Совместная собственность
Ананьев А Н,Супруг(а),https://declarator.org/person/410066,Аппарат законодательного собрания Ямало-Ненецкого автономного округа,Ямало-Ненецкий автономный округ,Помощник заместителя Председателя Законодательного Собрания Ямало-Ненецкого автономного округа,2021,Квартира,60.0,Совместная собственность
Михеева Ю.М.,Супруг(а),https://declarator.org/office/8052?active-tab=year-2021,"Министерство промышленности, экономического развития и торговли Республики Марий Эл",Республика Марий Эл,Начальник отдела развития предприни-мательской деятельности,2021,Квартира,64.0,Долевая собственность
Чумак Олег Иванович,Супруг(а),https://declarator.org/person/1293379,Мегион - городской округ,Ханты-Мансийский автономный округ — Югра,,2021,Иное,18.3,В собственности
Чумак Олег Иванович,Супруг(а),https://declarator.org/person/1293379,Мегион - городской округ,Ханты-Мансийский автономный округ — Югра,,2021,Дача,51.7,В собственности
Красильникова Е.Н.,Супруг(а),https://declarator.org/office/5973?active-tab=year-2021,Департамент труда и социальной защиты населения города Москвы,Москва,советник отдела социальной защиты населения районов Гольяново и Восточный Восточного администратвиного округа города Москвы,2021,Квартира,65.0,Долевая собственность
Матвеев Сергей Николаевич,декларант,https://declarator.org/office/2186?active-tab=year-2021,Пермь - городской округ,Пермский край,"директор МАУ «ФСЦ «Спартак» г. Перми - Уточненные сведения о доходах, об имуществе и обязательствах имущественного характера руководителей муниципальных учреждений, 
подведомственных департаменту культуры и молодежной политики администрации города Перми, и членов их семей за 2021 год",2021,Земельный участок,104.0,Индивидуальная
Матвеев Сергей Николаевич,декларант,https://declarator.org/office/2186?active-tab=year-2021,Пермь - городской округ,Пермский край,"директор МАУ «ФСЦ «Спартак» г. Перми - Уточненные сведения о доходах, об имуществе и обязательствах имущественного характера руководителей муниципальных учреждений, 
подведомственных департаменту культуры и молодежной политики администрации города Перми, и членов их семей за 2021 год",2021,Земельный участок,488.0,Индивидуальная
Матвеев Сергей Николаевич,декларант,https://declarator.org/office/2186?active-tab=year-2021,Пермь - городской округ,Пермский край,"директор МАУ «ФСЦ «Спартак» г. Перми - Уточненные сведения о доходах, об имуществе и обязательствах имущественного характера руководителей муниципальных учреждений, 
подведомственных департаменту культуры и молодежной политики администрации города Перми, и членов их семей за 2021 год",2021,Жилой дом,0.0,Индивидуальная
Рахаев Анатолий Измаилович,Супруг(а),https://declarator.org/person/12860,Парламент Кабардино-Балкарской Республики,Кабардино-Балкарская Республика,Депутат парламента Кабардино-Балкарской Республики,2021,Квартира,47.3,Индивидуальная
Рахаев Анатолий Измаилович,Супруг(а),https://declarator.org/person/12860,Парламент Кабардино-Балкарской Республики,Кабардино-Балкарская Республика,"Ректор ФГБОУ ВО ""Северо- Кавказский государствен- ный институт искусств"" - ",2021,Квартира,47.3,Индивидуальная
Сарксян Вагаршак Борисович,декларант,https://declarator.org/person/14009,Законодательное собрание Пермского края,Пермский край,Депутат законодательного собрания Пермского края,2021,Квартира,52.7,Долевая собственность
Автомонов Сергей Борисович,Супруг(а),https://declarator.org/person/57722,Законодательная Дума Томской области,Томская область,Депутат законодательной думы Томской области,2021,Квартира,118.8,Индивидуальная
Морарь Игорь Николаевич,Супруг(а),https://declarator.org/person/832159,Мурманск - городской округ,Мурманская область,Заместитель председателя совета депутатов города,2021,Квартира,113.9,Индивидуальная
Морарь Игорь Николаевич,Супруг(а),https://declarator.org/person/832159,Мурманск - городской округ,Мурманская область,Заместитель председателя совета депутатов города,2021,Квартира,44.6,Индивидуальная
Григорьев Кирилл Борисович,декларант,https://declarator.org/office/9266?active-tab=year-2021,Министерство сельского хозяйства и продовольствия Московской области,Московская область,Заместитель министра сельского хозяйства и продовольствия Московской области,2021,Квартира,130.0,В собственности
Лархаев С.Л.,Супруг(а),https://declarator.org/office/5476?active-tab=year-2021,"СФО Забайкальское управление Федеральной службы по экологическому, технологическому и атомному надзору",федеральный орган,Заместитель руководителя,2021,Квартира,44.2,Долевая собственность
Лархаев С.Л.,декларант,https://declarator.org/office/5476?active-tab=year-2021,"СФО Забайкальское управление Федеральной службы по экологическому, технологическому и атомному надзору",федеральный орган,Заместитель руководителя,2021,Квартира,44.2,Долевая собственность
Высоцкий Игорь Владимирович,Супруг(а),https://declarator.org/person/9133,Законодательное собрание Санкт-Петербурга,Санкт-Петербург,Депутат законодательного собрания Санкт-Петербурга,2020,Квартира,132.49,Индивидуальная
Харлашкин Сергей Викторович,декларант,https://declarator.org/person/819129,Правительство Ленинградской области,Ленинградская область,Заместитель Председателя Правительства Ленинградской области по транспорту и топливно-энергетическому комплексу,2020,Квартира,82.9,В собственности
Ананьев А Н,Супруг(а),https://declarator.org/person/410066,Аппарат законодательного собрания Ямало-Ненецкого автономного округа,Ямало-Ненецкий автономный округ,Помощник заместителя Председателя Законодательного Собрания Ямало-Ненецкого автономного округа,2020,Квартира,60.0,Совместная собственность
Ананьев А Н,декларант,https://declarator.org/person/410066,Аппарат законодательного собрания Ямало-Ненецкого автономного округа,Ямало-Ненецкий автономный округ,Помощник заместителя Председателя Законодательного Собрания Ямало-Ненецкого автономного округа,2020,Квартира,60.0,Совместная собственность
Лархаев С Л,Супруг(а),https://declarator.org/person/633410,"СФО Забайкальское управление Федеральной службы по экологическому, технологическому и атомному надзору",федеральный орган,Заместитель руководителя,2020,Квартира,44.2,Долевая собственность
Лархаев С Л,декларант,https://declarator.org/person/633410,"СФО Забайкальское управление Федеральной службы по экологическому, технологическому и атомному надзору",федеральный орган,Заместитель руководителя,2020,Квартира,44.2,Долевая собственность
Михеева Ю М,Супруг(а),https://declarator.org/person/654641,"Министерство промышленности, экономического развития и торговли Республики Марий Эл",Республика Марий Эл,Начальник отдела развития предприни-мательской деятельности,2020,Квартира,64.0,Долевая собственность
Григорьев Кирилл Борисович,декларант,https://declarator.org/person/1540277,Министерство сельского хозяйства и продовольствия Московской области,Московская область,Заместитель министра сельского хозяйства и продовольствия Московской области - ,2020,Квартира,130.0,В собственности
Рахаев Анатолий Измаилович,Супруг(а),https://declarator.org/person/12860,Парламент Кабардино-Балкарской Республики,Кабардино-Балкарская Республика,Депутат парламента Кабардино-Балкарской Республики,2020,Квартира,47.3,Индивидуальная
Сарксян Вагаршак Борисович,декларант,https://declarator.org/person/14009,Законодательное собрание Пермского края,Пермский край,Депутат законодательного собрания Пермского края,2020,Квартира,52.73,Долевая собственность
Автомонов Сергей Борисович,Супруг(а),https://declarator.org/person/57722,Законодательная Дума Томской области,Томская область,Депутат законодательной думы Томской области,2020,Квартира,118.8,Индивидуальная
Чумак Олег Иванович,Супруг(а),https://declarator.org/person/1293379,Мегион - городской округ,Ханты-Мансийский автономный округ — Югра,,2020,Квартира,52.0,В собственности
Чумак Олег Иванович,Супруг(а),https://declarator.org/person/1293379,Мегион - городской округ,Ханты-Мансийский автономный округ — Югра,,2020,Гараж,20.0,В собственности
Морарь Игорь Николаевич,Супруг(а),https://declarator.org/person/832159,Мурманск - городской округ,Мурманская область,Заместитель председателя совета депутатов города,2020,Квартира,113.9,Индивидуальная
Морарь Игорь Николаевич,Супруг(а),https://declarator.org/person/832159,Мурманск - городской округ,Мурманская область,Заместитель председателя совета депутатов города,2020,Квартира,44.6,Индивидуальная
Касумова Е Ш,декларант,https://declarator.org/person/203719,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,вице-президент,2020,Квартира,29.9,В пользовании
Касумова Е Ш,декларант,https://declarator.org/person/203719,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,вице-президент,2020,Квартира,32.7,В пользовании
Касумова Е Ш,декларант,https://declarator.org/person/203719,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,вице-президент,2020,Квартира,32.7,В пользовании
Касумова Е Ш,декларант,https://declarator.org/person/203719,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,вице-президент,2020,Квартира,29.9,В пользовании
Андреев Е Л,декларант,https://declarator.org/person/414626,Правительство Ленинградской области,Ленинградская область,Председатель комитета по тарифам и ценовой политике Ленинградской области,2020,Иное,117.7,Долевая собственность
Андреев Е Л,декларант,https://declarator.org/person/414626,Правительство Ленинградской области,Ленинградская область,Председатель комитета по тарифам и ценовой политике Ленинградской области,2020,Иное,43.5,В собственности
Андреев Е Л,декларант,https://declarator.org/person/414626,Правительство Ленинградской области,Ленинградская область,Председатель комитета по тарифам и ценовой политике Ленинградской области,2020,Квартира,113.9,В собственности
Голубева Я В,Супруг(а),https://declarator.org/person/476322,Отделение Социального фонда России Ханты-Мансийский автономный округ — Югра,Ханты-Мансийский автономный округ — Югра,"Начальник управления ПФР - Государственное учреждение - Управление Пенсионного фонда Российской Федерации в г. Урае
Ханты-Мансийского автономного округа-Югры (межрайонное)",2020,Квартира,90.0,Индивидуальная
Голубева Я В,Супруг(а),https://declarator.org/person/476322,Отделение Социального фонда России Ханты-Мансийский автономный округ — Югра,Ханты-Мансийский автономный округ — Югра,"Начальник управления ПФР - Государственное учреждение - Управление Пенсионного фонда Российской Федерации в г. Урае
Ханты-Мансийского автономного округа-Югры (межрайонное)",2020,Квартира,90.0,Индивидуальная
Райкин Константин Аркадьевич,декларант,https://declarator.org/person/40207,Министерство культуры,федеральный орган,Художественный руководитель - Федеральное государственное бюджетное учреждение культуры «Российский государственный театр «Сатирикон» имени Аркадия Райкина»,2020,Квартира,90.1,Долевая собственность
Райкин Константин Аркадьевич,Супруг(а),https://declarator.org/person/40207,Министерство культуры,федеральный орган,Художественный руководитель - Федеральное государственное бюджетное учреждение культуры «Российский государственный театр «Сатирикон» имени Аркадия Райкина»,2020,Квартира,90.1,Долевая собственность
Райкин Константин Аркадьевич,Супруг(а),https://declarator.org/person/40207,Министерство культуры,федеральный орган,Художественный руководитель - Федеральное государственное бюджетное учреждение культуры «Российский государственный театр «Сатирикон» имени Аркадия Райкина»,2020,Квартира,90.1,Долевая собственность
Райкин Константин Аркадьевич,декларант,https://declarator.org/person/40207,Министерство культуры,федеральный орган,Художественный руководитель - Федеральное государственное бюджетное учреждение культуры «Российский государственный театр «Сатирикон» имени Аркадия Райкина»,2020,Квартира,90.1,Долевая собственность
