person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Далматов Алексей Анатольевич,декларант,https://declarator.org/person/832388,Законодательное собрание Санкт-Петербурга,Санкт-Петербург,Депутат законодательного собрания Санкт-Петербурга,2021,Квартира,113.5,Совместная собственность
Далматов Алексей Анатольевич,Супруг(а),https://declarator.org/person/832388,Законодательное собрание Санкт-Петербурга,Санкт-Петербург,Депутат законодательного собрания Санкт-Петербурга,2021,Квартира,113.5,Совместная собственность
Балясников С И,декларант,https://declarator.org/person/1227336,Департамент культуры города Москвы,Москва,Советник руководителя,2021,Жилой дом,300.0,Индивидуальная
Мирошниченко А В,Супруг(а),https://declarator.org/person/203763,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,,2021,Иное,0.0,Долевая собственность
Шумейко Александр Николаевич,Супруг(а),https://declarator.org/person/187397,Белгородская областная дума,Белгородская область,Депутат Белгородской областной думы,2021,Квартира,107.0,Индивидуальная
Балясников С И,декларант,https://declarator.org/person/1227336,Департамент культуры города Москвы,Москва,Советник руководителя,2020,Жилой дом,300.0,Индивидуальная
Шумейко Александр Николаевич,Супруг(а),https://declarator.org/person/187397,Белгородская областная дума,Белгородская область,Депутат Белгородской областной думы,2020,Квартира,107.0,Индивидуальная
Мирошниченко А В,Супруг(а),https://declarator.org/person/203763,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,первый заместитель председателя ВЭБ.РФ - член правления,2020,Иное,0.0,Долевая собственность
Шумейко Александр Николаевич,Супруг(а),https://declarator.org/person/187397,Белгородская областная дума,Белгородская область,"депутат 
Белгородской областной 
Думы 6 созыва",2019,Квартира,107.0,Индивидуальная
Шумейко Александр  Николаевич,Супруг(а),https://declarator.org/office/448?active-tab=year-2019,Белгородская областная дума,Белгородская область,депутат Белгородской областной Думы 6 созыва,2019,Квартира,107.0,Индивидуальная
Лебедева Татьяна Романовна,Супруг(а),https://declarator.org/person/8947,Совет Федерации,федеральный орган,Член Совета Федерации от Волгоградской области,2018,Квартира,100.0,Совместная собственность
Лебедева Татьяна Романовна,декларант,https://declarator.org/person/8947,Совет Федерации,федеральный орган,Член Совета Федерации от Волгоградской области,2018,Квартира,100.0,Совместная собственность
Шумейко Александр Николаевич,Супруг(а),https://declarator.org/person/187397,Белгородская областная дума,Белгородская область,"депутат 
Белгородской областной 
Думы 6 созыва",2018,Квартира,107.0,Индивидуальная
Абричкина Галина Борисовна,Супруг(а),https://declarator.org/person/47719,Правительство Воронежской области,Воронежская область,Руководитель департамента предпринимательства и торговли Воронежской области,2018,Земельный участок,800.0,Индивидуальная
Абричкина Галина Борисовна,Супруг(а),https://declarator.org/person/47719,Правительство Воронежской области,Воронежская область,Руководитель департамента предпринимательства и торговли Воронежской области,2018,Жилой дом,240.0,Индивидуальная
Букреев Александр Сергеевич,декларант,https://declarator.org/person/425071,Челябинск - городской округ,Челябинская область,Депутат Челябинской городской Думы,2018,Жилой дом,330.9,Индивидуальная
Букреев Александр Сергеевич,декларант,https://declarator.org/person/425071,Челябинск - городской округ,Челябинская область,Депутат Челябинской городской Думы,2018,Жилой дом,330.9,Индивидуальная
Лебедева Татьяна Романовна,декларант,https://declarator.org/person/8947,Совет Федерации,федеральный орган,член Совета Федерации от Волгоградской области,2017,Квартира,100.0,Совместная собственность
Лебедева Татьяна Романовна,Супруг(а),https://declarator.org/person/8947,Совет Федерации,федеральный орган,член Совета Федерации от Волгоградской области,2017,Квартира,100.0,Совместная собственность
Абричкина Галина Борисовна,Супруг(а),https://declarator.org/person/47719,Правительство Воронежской области,Воронежская область,Временно исполняющий обязанности руководителя департамента предпринимательства и торговли Воронежской области,2017,Жилой дом,240.0,Индивидуальная
Абричкина Галина Борисовна,Супруг(а),https://declarator.org/person/47719,Правительство Воронежской области,Воронежская область,Временно исполняющий обязанности руководителя департамента предпринимательства и торговли Воронежской области,2017,Земельный участок,800.0,Индивидуальная
Абричкина Галина Борисовна,Супруг(а),https://declarator.org/person/47719,Правительство Воронежской области,Воронежская область,Временно исполняющий обязанности руководителя департамента предпринимательства и торговли Воронежской области,2017,Земельный участок,800.0,Индивидуальная
Абричкина Галина Борисовна,Супруг(а),https://declarator.org/person/47719,Правительство Воронежской области,Воронежская область,Временно исполняющий обязанности руководителя департамента предпринимательства и торговли Воронежской области,2017,Жилой дом,240.0,Индивидуальная
Букреев Александр Сергеевич,декларант,https://declarator.org/person/425071,Челябинск - городской округ,Челябинская область,Депутат Челябинской городской Думы,2017,Жилой дом,330.9,Индивидуальная
Лебедева Татьяна Романовна,Супруг(а),https://declarator.org/person/8947,Совет Федерации,федеральный орган,Член Совета Федерации от Волгоградской области,2016,Квартира,100.0,Совместная собственность
Лебедева Татьяна Романовна,декларант,https://declarator.org/person/8947,Совет Федерации,федеральный орган,Член Совета Федерации от Волгоградской области,2016,Квартира,100.0,Совместная собственность
Балясников Сергей Игоревич,декларант,https://declarator.org/person/7568,Департамент культурного наследия города Москвы,Москва,Директор ГКУ Мосреставрация,2016,Жилой дом,300.0,Индивидуальная
Абричкина Галина Борисовна,Супруг(а),https://declarator.org/person/47719,Правительство Воронежской области,Воронежская область,Руководитель департамента предпринимательства и торговли Воронежской области,2016,Земельный участок,800.0,Индивидуальная
Абричкина Галина Борисовна,Супруг(а),https://declarator.org/person/47719,Правительство Воронежской области,Воронежская область,Руководитель департамента предпринимательства и торговли Воронежской области,2016,Жилой дом,240.0,Индивидуальная
Усачева Александра Владимировна,декларант,https://declarator.org/person/64068,Министерство юстиции,федеральный орган,заместитель директора  Департамента,2016,Квартира,170.0,В собственности
Абричкина Галина Борисовна,Супруг(а),https://declarator.org/person/47719,Правительство Воронежской области,Воронежская область,Руководитель департамента предпринимательства и торговли Воронежской области,2016,Земельный участок,800.0,Индивидуальная
