person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Леонов Е В,декларант,https://declarator.org/person/619217,Федеральная таможенная служба,федеральный орган,Начальник поста,2021,Жилой дом,51.0,В пользовании
Попов А И,Ребенок,https://declarator.org/person/1152104,Федеральная таможенная служба,федеральный орган,Представитель,2021,Жилой дом,60.1,В пользовании
Попов А И,Супруг(а),https://declarator.org/person/1152104,Федеральная таможенная служба,федеральный орган,Представитель,2021,Жилой дом,60.1,В пользовании
Попов А И,декларант,https://declarator.org/person/1152104,Федеральная таможенная служба,федеральный орган,Представитель,2021,Жилой дом,60.1,В пользовании
Попов А И,декларант,https://declarator.org/person/1152104,Федеральная таможенная служба,федеральный орган,Представитель,2021,Жилой дом,64.2,В пользовании
Рева О В,декларант,https://declarator.org/person/370553,Федеральная таможенная служба,федеральный орган,Представитель,2020,Жилой дом,60.1,В пользовании
Рева О В,декларант,https://declarator.org/person/370553,Федеральная таможенная служба,федеральный орган,Представитель,2020,Жилой дом,64.2,В пользовании
Тедеева Нана Шалвовна,Супруг(а),https://declarator.org/person/798342,Управление Федерального казначейства Краснодарский край,Краснодарский край,главный казначей - Отдел № 14,2020,Квартира,450.0,В пользовании
Тедеева Нана Шалвовна,Супруг(а),https://declarator.org/person/798342,Управление Федерального казначейства Краснодарский край,Краснодарский край,главный казначей - Отдел № 14,2020,Жилой дом,87.27,Индивидуальная
Купченко Сергей Михайлович,декларант,https://declarator.org/person/9334,Законодательное собрание Санкт-Петербурга,Санкт-Петербург,Депутат законодательного собрания Санкт-Петербурга,2019,Квартира,45.9,Индивидуальная
Рева О В,декларант,https://declarator.org/person/370553,Федеральная таможенная служба,федеральный орган,Представитель,2019,Жилой дом,60.1,В пользовании
Рева О В,декларант,https://declarator.org/person/370553,Федеральная таможенная служба,федеральный орган,Представитель,2019,Жилой дом,64.2,В пользовании
Тедеева Нана Шалвовна,Супруг(а),https://declarator.org/person/798342,Управление Федерального казначейства Краснодарский край,Краснодарский край,главный казначей - Отдел № 14,2019,Квартира,450.0,В пользовании
