person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Михайлик К.А.,декларант,https://declarator.org/office/1143?active-tab=year-2022,Министерство строительства и жилищно-коммунального хозяйства,федеральный орган,Заместитель Министра,2022,Иное,72.0,Индивидуальная
Михайлик К.А.,декларант,https://declarator.org/office/1143?active-tab=year-2022,Министерство строительства и жилищно-коммунального хозяйства,федеральный орган,Заместитель Министра,2022,Жилой дом,2527.0,Индивидуальная
Михайлик Константин Александрович,декларант,https://declarator.org/person/1540651,Министерство строительства и жилищно-коммунального хозяйства,федеральный орган,Заместитель Министра - ,2021,Жилой дом,2527.0,Индивидуальная
Михайлик Константин Александрович,декларант,https://declarator.org/person/1540651,Министерство строительства и жилищно-коммунального хозяйства,федеральный орган,Заместитель Министра - ,2021,Иное,72.0,Индивидуальная
Лопатин Дмитрий Евгеньевич,декларант,https://declarator.org/person/63688,Министерство энергетики,федеральный орган,Заместитель директора департамента - ,2021,Квартира,49.0,Индивидуальная
Айткулова Наталья Марсовна,декларант,https://declarator.org/person/61849,Министерство промышленности и торговли,федеральный орган,Консультант – главный бухгалтер,2021,Квартира,70.7,В пользовании
Безруков Сергей Александрович,Ребенок,https://declarator.org/person/356856,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,132.8,В пользовании
Безруков Сергей Александрович,Ребенок,https://declarator.org/person/356856,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,132.8,В пользовании
Безруков Сергей Александрович,декларант,https://declarator.org/person/356856,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,132.8,В пользовании
Безруков Сергей Александрович,Супруг(а),https://declarator.org/person/356856,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,132.8,В пользовании
Безруков Сергей Александрович,Ребенок,https://declarator.org/person/356856,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,132.8,В пользовании
Кречмер Лариса Дмитриевна,декларант,https://declarator.org/person/612369,Ханты-Мансийский район,Ханты-Мансийский автономный округ — Югра,,2021,Квартира,43.0,В собственности
Храмцов Вадим Валерьевич,декларант,https://declarator.org/office/2027?active-tab=year-2021,Челябинск - городской округ,Челябинская область,"Заместитель начальника Управления - Сведения о доходах, об имуществе и обязательствах 
имущественного характера руководителей муниципальных учреждений, 
подведомственных Администрации города Челябинска, с 1 января 2021 года по 31 декабря 2021 года",2021,Квартира,49.0,Индивидуальная
Платонов В В,декларант,https://declarator.org/person/380709,"Федеральное агентство по делам СНГ, соотечественников, проживающих за рубежом, и по международному гуманитарному сотрудничеству",федеральный орган,Начальник управления - ,2021,Жилой дом,310.0,Долевая собственность
Платонов В В,декларант,https://declarator.org/person/380709,"Федеральное агентство по делам СНГ, соотечественников, проживающих за рубежом, и по международному гуманитарному сотрудничеству",федеральный орган,Начальник управления - ,2021,Земельный участок,1166.0,Долевая собственность
Платонов В В,декларант,https://declarator.org/person/380709,"Федеральное агентство по делам СНГ, соотечественников, проживающих за рубежом, и по международному гуманитарному сотрудничеству",федеральный орган,Начальник управления,2020,Жилой дом,310.0,Долевая собственность
Платонов В В,декларант,https://declarator.org/person/380709,"Федеральное агентство по делам СНГ, соотечественников, проживающих за рубежом, и по международному гуманитарному сотрудничеству",федеральный орган,Начальник управления,2020,Земельный участок,1166.0,Долевая собственность
Айткулова Наталья Марсовна,декларант,https://declarator.org/person/61849,Министерство промышленности и торговли,федеральный орган,Консультант – главный бухгалтер,2020,Квартира,70.7,В пользовании
Ильин П.С.,Супруг(а),https://declarator.org/office/600?active-tab=year-2020,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2020,Квартира,70.0,В пользовании
Ильин П.С.,декларант,https://declarator.org/office/600?active-tab=year-2020,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2020,Квартира,70.0,В пользовании
Морозов С.П.,Супруг(а),https://declarator.org/office/600?active-tab=year-2020,Министерство промышленности и торговли,федеральный орган,Заместитель торгового представителя,2020,Квартира,70.0,В пользовании
Морозов С.П.,декларант,https://declarator.org/office/600?active-tab=year-2020,Министерство промышленности и торговли,федеральный орган,Заместитель торгового представителя,2020,Квартира,70.0,В пользовании
Морозов С.П.,Ребенок,https://declarator.org/office/600?active-tab=year-2020,Министерство промышленности и торговли,федеральный орган,Заместитель торгового представителя,2020,Квартира,70.0,В пользовании
Трофимов А.В.,декларант,https://declarator.org/office/600?active-tab=year-2020,Министерство промышленности и торговли,федеральный орган,Консультант,2020,Квартира,70.7,В пользовании
Трофимов А.В.,Ребенок,https://declarator.org/office/600?active-tab=year-2020,Министерство промышленности и торговли,федеральный орган,Консультант,2020,Квартира,70.7,В пользовании
Трофимов А.В.,Супруг(а),https://declarator.org/office/600?active-tab=year-2020,Министерство промышленности и торговли,федеральный орган,Консультант,2020,Квартира,70.7,В пользовании
Ануфриев В. Н.,декларант,https://declarator.org/person/44495,Министерство сельского хозяйства,федеральный орган,Заместитель директора - Федеральное государственное бюджетное учреждение «Центр Агроаналитики»,2020,Квартира,57.0,В собственности
Лопатин Дмитрий Евгеньевич,декларант,https://declarator.org/person/63688,Министерство энергетики,федеральный орган,Заместитель директора департамента,2020,Квартира,49.0,Индивидуальная
САДОХОВ А С,декларант,https://declarator.org/person/782113,Управление Россельхознадзора Мурманская область (присоединено к Североморскому МРУ Россельхознадзора),Мурманская область," - Сведения о доходах, расходах, об имуществе
и обязательствах имущественного характера за период 
с 1 января 2020 г. по 31 декабря 2020 г.",2020,Земельный участок,3546.0,Индивидуальная
Кречмер Лариса Дмитриевна,декларант,https://declarator.org/person/612369,Ханты-Мансийский район,Ханты-Мансийский автономный округ — Югра,,2020,Квартира,43.0,В собственности
Лопатин Дмитрий Евгеньевич,декларант,https://declarator.org/person/63688,Министерство энергетики,федеральный орган,Заместитель директора департамента,2019,Квартира,49.0,Индивидуальная
Афонина А Б,декларант,https://declarator.org/person/150915,Министерство обороны,федеральный орган,,2019,Квартира,60.0,В пользовании
Ануфриев В. Н.,декларант,https://declarator.org/person/44495,Министерство сельского хозяйства,федеральный орган,Заместитель директора - Федеральное государственное бюджетное учреждение «Центр Агроаналитики»,2019,Квартира,57.0,В собственности
Платонов В В,декларант,https://declarator.org/person/380709,"Федеральное агентство по делам СНГ, соотечественников, проживающих за рубежом, и по международному гуманитарному сотрудничеству",федеральный орган,Начальник управления,2019,Земельный участок,1166.0,Долевая собственность
