person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Салина Ирина Викторовна,декларант,https://declarator.org/person/1638530,"Севастополь*, должностное лицо",Севастополь*,Кандидат на должность главы региона - ,2024,Квартира,58.4,Долевая собственность
Салина Ирина Викторовна,Ребенок,https://declarator.org/person/1638530,"Севастополь*, должностное лицо",Севастополь*,Кандидат на должность главы региона - ,2024,Квартира,58.4,Долевая собственность
Салина Ирина Викторовна,Ребенок,https://declarator.org/person/1638530,"Севастополь*, должностное лицо",Севастополь*,Кандидат на должность главы региона - ,2024,Квартира,58.4,Долевая собственность
Журавлев Илья Григорьевич,декларант,https://declarator.org/person/137596,"Севастополь*, должностное лицо",Севастополь*,Кандидат на должность главы региона,2024,Иное,80.2,Индивидуальная
Журавлев Илья Григорьевич,Супруг(а),https://declarator.org/person/137596,"Севастополь*, должностное лицо",Севастополь*,Кандидат на должность главы региона,2024,Квартира,59.1,Индивидуальная
Журавлев Илья Григорьевич,Супруг(а),https://declarator.org/person/137596,"Севастополь*, должностное лицо",Севастополь*,Кандидат на должность главы региона,2024,Квартира,67.2,Индивидуальная
Журавлев Илья Григорьевич,декларант,https://declarator.org/person/137596,"Севастополь*, должностное лицо",Севастополь*,Кандидат на должность главы региона,2024,Земельный участок,955.0,Индивидуальная
Журавлев Илья Григорьевич,декларант,https://declarator.org/person/137596,"Севастополь*, должностное лицо",Севастополь*,Кандидат на должность главы региона,2024,Жилой дом,708.1,Индивидуальная
Журавлев Илья Григорьевич,Супруг(а),https://declarator.org/person/137596,"Севастополь*, должностное лицо",Севастополь*,Кандидат на должность главы региона,2024,Земельный участок,210.0,Индивидуальная
Журавлев Илья Григорьевич,Супруг(а),https://declarator.org/person/137596,"Севастополь*, должностное лицо",Севастополь*,Кандидат на должность главы региона,2024,Земельный участок,630.0,Индивидуальная
Журавлев Илья Григорьевич,декларант,https://declarator.org/person/137596,"Севастополь*, должностное лицо",Севастополь*,Кандидат на должность главы региона,2024,Земельный участок,514.0,Индивидуальная
