person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Потапов А В,Ребенок,https://declarator.org/person/695057,Избирательная комиссия Приморского края,Приморский край,"член Избирательной комиссии Приморского края с правом решающего голоса, работающий на постоянной основе",2019,Квартира,78.0,В пользовании
Потапов А В,Ребенок,https://declarator.org/person/695057,Избирательная комиссия Приморского края,Приморский край,"член Избирательной комиссии Приморского края с правом решающего голоса, работающий на постоянной основе",2018,Квартира,78.0,В пользовании
Тернавский А А,Супруг(а),https://declarator.org/person/203939,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,вице-президент,2017,Жилой дом,250.0,Индивидуальная
Тернавский А А,Супруг(а),https://declarator.org/person/203939,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,вице-президент,2017,Земельный участок,814.0,Индивидуальная
Тернавский А А,Супруг(а),https://declarator.org/person/203939,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,вице-президент,2017,Жилой дом,420.0,Индивидуальная
Тернавский А А,Супруг(а),https://declarator.org/person/203939,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,вице-президент,2017,Жилой дом,180.0,Индивидуальная
Тернавский А А,Супруг(а),https://declarator.org/person/203939,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,вице-президент,2017,Земельный участок,106300.0,Индивидуальная
Тернавский А А,Супруг(а),https://declarator.org/person/203939,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,вице-президент,2017,Земельный участок,1044.0,Индивидуальная
Кузнецов А.Д.,декларант,https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,72.1,В пользовании
Кузнецов А.Д.,Супруг(а),https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,72.1,В пользовании
Ганцев Андрей Васильевич,Ребенок,https://declarator.org/person/20012,Прокуратура города Москвы,Москва,заместитель прокурора                   г. Москвы,2016,Жилой дом,142.0,В пользовании
Ганцев Андрей Васильевич,Ребенок,https://declarator.org/person/20012,Прокуратура города Москвы,Москва,заместитель прокурора города,2015,Жилой дом,150.0,В пользовании
Ганцев Андрей Васильевич,Ребенок,https://declarator.org/person/20012,Прокуратура города Москвы,Москва,заместитель прокурора города,2015,Жилой дом,150.0,В пользовании
Ганцев Андрей Васильевич,Ребенок,https://declarator.org/person/20012,Прокуратура города Москвы,Москва,заместитель прокурора города,2014,Жилой дом,150.0,В пользовании
ГАНЦЕВ А В,Ребенок,https://declarator.org/person/1456982,Прокуратура города Москвы,Москва,заместитель прокурора города,2014,Жилой дом,150.0,В пользовании
ГАНЦЕВ А В,Ребенок,https://declarator.org/person/1456982,Прокуратура города Москвы,Москва,заместитель прокурора города,2014,Жилой дом,150.0,В пользовании
Ганцев Андрей Васильевич,Дочь,https://declarator.org/person/20012,Прокуратура города Москвы,Москва,заместитель прокурора города,2013,Жилой дом,150.0,В пользовании
ГАНЦЕВ А В,Ребенок,https://declarator.org/person/1456982,Прокуратура города Москвы,Москва,заместитель прокурора города,2013,Жилой дом,150.0,В пользовании
ГАНЦЕВ А В,Ребенок,https://declarator.org/person/1456982,Прокуратура города Москвы,Москва,заместитель прокурора города,2013,Жилой дом,150.0,В пользовании
Маркина Наталья Олеговна,Супруг(а),https://declarator.org/office/5503?active-tab=year-2011,Северо-Западное таможенное управление,федеральный орган,старший специалист 1 разряда,2011,Жилой дом,60.0,В пользовании
