person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Сауков Сергей Александрович,декларант,https://declarator.org/person/1639769,Законодательное Собрание Ямало-Ненецкого автономного округа,Ямало-Ненецкий автономный округ,Кандидат в депутаты регионального законодательного собрания,2024,Квартира,3759.62,Долевая собственность
Гатин Фоат Фатыхович,декларант,https://declarator.org/person/490292,Государственный Совет Республики Татарстан,Республика Татарстан,Кандидат в депутаты регионального законодательного собрания,2023,Квартира,110.0,Долевая собственность
Позднякова Анастасия Ивановна,декларант,https://declarator.org/person/1153354,Государственный комитет Республики Саха (Якутия) по занятости населения,Республика Саха (Якутия),Первый заместитель председателя Государственного комитета Республики Саха (Якутия) по занятости,2022,Квартира,65.0,Индивидуальная
Аксекиоглу Э А-к,Супруг(а),https://declarator.org/person/1381850,Управление Федеральной службы судебных приставов Тверская область,Тверская область,Заместитель начальника отделения-заместитель старшего судебного пристава,2021,Земельный участок,1500.0,Индивидуальная
Башлаев Руслан Сагитович,Ребенок,https://declarator.org/office/147?active-tab=year-2021,Правительство Карачаево-Черкесской республики,Карачаево-Черкесская республика,"заместитель Начальника управления Карачаево-Черкесской Республики по сохранению, использованию, популяризации и государственной охране объектов культурного наследия",2021,Квартира,80.0,В пользовании
Башлаев Руслан Сагитович,Ребенок,https://declarator.org/office/147?active-tab=year-2021,Правительство Карачаево-Черкесской республики,Карачаево-Черкесская республика,"заместитель Начальника управления Карачаево-Черкесской Республики по сохранению, использованию, популяризации и государственной охране объектов культурного наследия",2021,Квартира,80.0,В пользовании
Башлаев Руслан Сагитович,Ребенок,https://declarator.org/office/147?active-tab=year-2021,Правительство Карачаево-Черкесской республики,Карачаево-Черкесская республика,"заместитель Начальника управления Карачаево-Черкесской Республики по сохранению, использованию, популяризации и государственной охране объектов культурного наследия",2021,Квартира,80.0,В пользовании
Сорокин Г.Н.,Супруг(а),https://declarator.org/office/512?active-tab=year-2021,Федеральное агентство морского и речного транспорта,федеральный орган,Первый заместитель руководителя - капитан бассейна внутренних водных путей - ФБУ «Администрация Енисейского бассейна внутренних водных путей»,2021,Квартира,60.0,Индивидуальная
Шишкин Андрей Геннадьевич,декларант,https://declarator.org/person/40211,Министерство культуры,федеральный орган,Директор - Федеральное государственное бюджетное учреждение культуры «Екатеринбургский государственный академический театр оперы и балета»,2021,Квартира,84.0,Индивидуальная
Пинчукова Н В,декларант,https://declarator.org/person/1164311,Префектура Южного административного округа,Москва,"Директор ГБУ города Москвы ""Жилищник района Бирюлево Западное""",2021,Квартира,66.0,Долевая собственность
Пинчукова Н В,декларант,https://declarator.org/person/1164311,Префектура Южного административного округа,Москва,"Директор ГБУ города Москвы ""Жилищник района Бирюлево Западное""",2021,Квартира,94.1,Долевая собственность
Бублик Владимир Александрович,декларант,https://declarator.org/person/4734,Министерство науки и высшего образования,федеральный орган,"ректор, ФГБОУ ВО ""Уральский государственный юридический университет""",2021,Земельный участок,600.0,Индивидуальная
Бублик Владимир Александрович,декларант,https://declarator.org/person/4734,Министерство науки и высшего образования,федеральный орган,"ректор, ФГБОУ ВО ""Уральский государственный юридический университет""",2021,Жилой дом,200.0,Индивидуальная
Куштысева Елена Васильевна,декларант,https://declarator.org/person/610567,Федеральная антимонопольная служба,федеральный орган,Заместитель руководителя - Красноярское УФАС России,2021,Квартира,61.0,Индивидуальная
Куштысева Елена Васильевна,декларант,https://declarator.org/person/610567,Федеральная антимонопольная служба,федеральный орган,Заместитель руководителя - Красноярское УФАС России,2021,Квартира,101.0,Индивидуальная
МАКАРОВА МАРИЯ СЕРГЕЕВНА,Супруг(а),https://declarator.org/person/203311,"Федеральная служба государственной регистрации, кадастра и картографии",федеральный орган,заместитель руководителя Управления Росреестра по г. Москве - ,2021,Квартира,76.0,Индивидуальная
Горохов Е Ю,Супруг(а),https://declarator.org/person/360072,Федеральная служба по контролю за алкогольным и табачным рынками,федеральный орган,Заместитель начальника управления - АНАЛИТИЧЕСКОЕ УПРАВЛЕНИЕ,2021,Квартира,56.0,Индивидуальная
Анзароков Довлет Чесикович,Супруг(а),https://declarator.org/office/8347?active-tab=year-2021,Министерство культуры Пермского края,Пермский край,генеральный директор - ГКБУК «Пермский государственный ордена Трудового Красного Знамени академический театр оперы и балета им. П.И. Чайковского»,2021,Квартира,76.0,Долевая собственность
Анзароков Довлет Чесикович,декларант,https://declarator.org/office/8347?active-tab=year-2021,Министерство культуры Пермского края,Пермский край,генеральный директор - ГКБУК «Пермский государственный ордена Трудового Красного Знамени академический театр оперы и балета им. П.И. Чайковского»,2021,Квартира,76.0,Долевая собственность
Позднякова Анастасия Ивановна,декларант,https://declarator.org/person/1153354,Государственный комитет Республики Саха (Якутия) по занятости населения,Республика Саха (Якутия),Заместитель председателя Государственного комитета Республики Саха (Якутия) по занятости,2021,Квартира,65.0,Индивидуальная
Коротовских А Ю,декларант,https://declarator.org/person/1051441,Департамент государственных закупок Свердловской области,Свердловская область,Начальник отдела бухгалтерского учета и отчетности,2021,Квартира,30.2,В пользовании
Коротовских А Ю,Супруг(а),https://declarator.org/person/1051441,Департамент государственных закупок Свердловской области,Свердловская область,Начальник отдела бухгалтерского учета и отчетности,2021,Квартира,30.2,Индивидуальная
Коротовских А Ю,Ребенок,https://declarator.org/person/1051441,Департамент государственных закупок Свердловской области,Свердловская область,Начальник отдела бухгалтерского учета и отчетности,2021,Квартира,30.2,В пользовании
Коротовских А Ю,Ребенок,https://declarator.org/person/1051441,Департамент государственных закупок Свердловской области,Свердловская область,Начальник отдела бухгалтерского учета и отчетности,2021,Квартира,30.2,В пользовании
Локшина Наталья Семеновна,декларант,https://declarator.org/person/1087332,Департамент промышленности и торговли Смоленской области,Смоленская область,,2021,Жилой дом,220.0,Индивидуальная
Локшина Наталья Семеновна,декларант,https://declarator.org/person/1087332,Департамент промышленности и торговли Смоленской области,Смоленская область,,2021,Земельный участок,560.8,Индивидуальная
Локшина Наталья Семеновна,декларант,https://declarator.org/person/1087332,Департамент промышленности и торговли Смоленской области,Смоленская область,,2021,Земельный участок,560.8,Индивидуальная
Рубашанов Андрей Павлович,Супруг(а),https://declarator.org/office/7114?active-tab=year-2021,Управление делами губернатора и правительства Алтайского края,Алтайский край,Директор краевого государственного бюджетного учреждения «Типография управления делами Администрации Алтайского края»,2021,Квартира,78.0,Индивидуальная
Коптев Юрий Николаевич,Супруг(а),https://declarator.org/person/29172,Государственная корпорация по космической деятельности «Роскосмос»,федеральный орган,Председатель совета,2021,Квартира,53.0,Индивидуальная
Бублик Владимир Александрович,декларант,https://declarator.org/person/4734,ФГБОУ ВО Саратовский государственный технический университет имени Ю.А. Гагарина,Саратовская область,"ректор, ФГБОУ ВО ""Уральский государственный юридический университет""",2021,Земельный участок,600.0,Индивидуальная
