person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Кудрин Алексей Леонидович,Супруг(а),https://declarator.org/person/1380,Счетная палата,федеральный орган,Председатель Счетной палаты Российской Федерации,2021,Квартира,150.0,В пользовании
Дроздов В.В.,Супруг(а),https://declarator.org/office/497?active-tab=year-2021,Федеральное медико-биологическое агентство,федеральный орган,"Директор - ФГКУ ""СТЗ"" ФМБА России",2021,Земельный участок,4900.0,Индивидуальная
Дроздов В.В.,Супруг(а),https://declarator.org/office/497?active-tab=year-2021,Федеральное медико-биологическое агентство,федеральный орган,"Директор - ФГКУ ""СТЗ"" ФМБА России",2021,Жилой дом,400.0,Индивидуальная
Дроздов В.В.,Супруг(а),https://declarator.org/office/497?active-tab=year-2021,Федеральное медико-биологическое агентство,федеральный орган,"Директор - ФГКУ ""СТЗ"" ФМБА России",2021,Жилой дом,688.0,Индивидуальная
Егоров Михаил Петрович,Супруг(а),https://declarator.org/person/129459,Министерство науки и высшего образования,федеральный орган,Директор Федерального государственного бюджетного учреждения науки Институт органической химии им. Н.Д. Зелинского Российской академии наук,2021,Жилой дом,97.5,Долевая собственность
Кардаш В Е,декларант,https://declarator.org/person/1062721,Министерство экономического развития,федеральный орган,Торговый советник,2021,Квартира,59.5,В пользовании
Ремизов Олег Валерьевич,декларант,https://declarator.org/person/146051,Министерство здравоохранения,федеральный орган,ректор ФГБОУ ВО «Северо-Осетинская государственная медицинская академия» Минздрава России,2021,Земельный участок,150.0,Долевая собственность
Ремизов Олег Валерьевич,декларант,https://declarator.org/person/146051,Министерство здравоохранения,федеральный орган,ректор ФГБОУ ВО «Северо-Осетинская государственная медицинская академия» Минздрава России,2021,Жилой дом,150.0,Долевая собственность
Ремизов Олег Валерьевич,декларант,https://declarator.org/person/146051,Министерство здравоохранения,федеральный орган,ректор ФГБОУ ВО «Северо-Осетинская государственная медицинская академия» Минздрава России,2021,Земельный участок,150.0,Долевая собственность
Ремизов Олег Валерьевич,декларант,https://declarator.org/person/146051,Министерство здравоохранения,федеральный орган,ректор ФГБОУ ВО «Северо-Осетинская государственная медицинская академия» Минздрава России,2021,Жилой дом,150.0,Долевая собственность
Сучков Сергей Львович,Супруг(а),https://declarator.org/person/34293,Фонд содействия реформированию ЖКХ,федеральный орган,главный советник,2021,Жилой дом,126.8,Индивидуальная
Парамонов Д В,Супруг(а),https://declarator.org/person/388822,"Государственная корпорация по атомной энергии ""Росатом""",федеральный орган,Директор программы - руководитель проектного офиса,2021,Квартира,110.0,В пользовании
Бутман И.М.,декларант,https://declarator.org/office/5960?active-tab=year-2021,Департамент культуры города Москвы,Москва,Художественный,2021,Квартира,37.2,Индивидуальная
Мокрицкая Н.В.,Супруг(а),https://declarator.org/office/5960?active-tab=year-2021,Департамент культуры города Москвы,Москва,Генеральный,2021,Квартира,70.0,Совместная собственность
Мокрицкая Н.В.,декларант,https://declarator.org/office/5960?active-tab=year-2021,Департамент культуры города Москвы,Москва,Генеральный,2021,Квартира,70.0,Совместная собственность
Борисов Д.А.,Ребенок,https://declarator.org/office/5038?active-tab=year-2021,Межрегиональное управление Федеральной службы по финансовому мониторингу по Северо-Кавказскому федеральному округу,федеральный орган,Заместитель руководителя,2021,Квартира,63.6,В пользовании
Егоров Михаил Петрович,Супруг(а),https://declarator.org/person/129459,Министерство науки и высшего образования,федеральный орган,Директор ФГБУН Институт органической химии им.Н.Д.Зелинского Российской академии наук,2020,Жилой дом,97.5,Долевая собственность
