person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Тришечкина Виктория Игоревна,декларант,https://declarator.org/person/1719892,Законодательное Собрание Калужской области,Калужская область,Кандидат в депутаты регионального законодательного собрания,2024,Квартира,46.86,Индивидуальная
Барченко С.А.,декларант,https://declarator.org/office/6143?active-tab=year-2022,ФГБОУ ВО Российский государственный педагогический университет им. А.И. Герцена,Санкт-Петербург,"Исполняющий обязанности директора филиала Герценовского университета в г. Ташкенте - Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера 
исполняющего обязанности директора филиала Герценовского университета в г. Ташкенте Барченко С.А. за период с 01 января 2022 года по 31 декабря 2022 года",2022,Квартира,56.5,В пользовании
Халилов Закир Аблакулович,декларант,https://declarator.org/person/1539493,Министерство здравоохранения Республики Карелия,Республика Карелия,"Главный врач, ГБУЗ РК «Кемская центральная районная больница» - ",2021,Квартира,102.5,Индивидуальная
Халилов Закир Аблакулович,Супруг(а),https://declarator.org/person/1539493,Министерство здравоохранения Республики Карелия,Республика Карелия,"Главный врач, ГБУЗ РК «Кемская центральная районная больница» - ",2021,Жилой дом,130.9,В пользовании
Халилов Закир Аблакулович,Супруг(а),https://declarator.org/person/1539493,Министерство здравоохранения Республики Карелия,Республика Карелия,"Главный врач, ГБУЗ РК «Кемская центральная районная больница» - ",2021,Земельный участок,400.0,В собственности
Чернышев Д А,Ребенок,https://declarator.org/person/1288658,ГУФСИН Иркутская область,Иркутская область,заместитель начальника - ФКУ СИЗО-1 ГУФСИН России по Иркутской области,2021,Квартира,49.4,В пользовании
Чернышев Д А,декларант,https://declarator.org/person/1288658,ГУФСИН Иркутская область,Иркутская область,заместитель начальника - ФКУ СИЗО-1 ГУФСИН России по Иркутской области,2021,Квартира,49.4,В пользовании
Чернышев Д А,Супруг(а),https://declarator.org/person/1288658,ГУФСИН Иркутская область,Иркутская область,заместитель начальника - ФКУ СИЗО-1 ГУФСИН России по Иркутской области,2021,Квартира,49.4,Индивидуальная
Чернышев Д А,Ребенок,https://declarator.org/person/1288658,ГУФСИН Иркутская область,Иркутская область,заместитель начальника - ФКУ СИЗО-1 ГУФСИН России по Иркутской области,2021,Квартира,49.4,В пользовании
Чернышев Д А,Ребенок,https://declarator.org/person/1288658,Федеральная служба исполнения наказаний,федеральный орган,заместитель начальника - ФКУ СИЗО-1 ГУФСИН России по Иркутской области,2021,Квартира,49.4,В пользовании
Чернышев Д А,Ребенок,https://declarator.org/person/1288658,Федеральная служба исполнения наказаний,федеральный орган,заместитель начальника - ФКУ СИЗО-1 ГУФСИН России по Иркутской области,2021,Квартира,49.4,В пользовании
Чернышев Д А,декларант,https://declarator.org/person/1288658,Федеральная служба исполнения наказаний,федеральный орган,заместитель начальника - ФКУ СИЗО-1 ГУФСИН России по Иркутской области,2021,Квартира,49.4,В пользовании
Чернышев Д А,Супруг(а),https://declarator.org/person/1288658,Федеральная служба исполнения наказаний,федеральный орган,заместитель начальника - ФКУ СИЗО-1 ГУФСИН России по Иркутской области,2021,Квартира,49.4,Индивидуальная
Лысенкова Наталия Владимировна,Супруг(а),https://declarator.org/person/56163,Муниципальный округ Лосиноостровский (СВАО),Москва,Депутат Совета депутатов МО Лосиноостр овский,2021,Дача,32.0,В собственности
Лысенкова Наталия Владимировна,Супруг(а),https://declarator.org/person/56163,Муниципальный округ Лосиноостровский (СВАО),Москва,Депутат Совета депутатов МО Лосиноостр овский,2021,Дача,780.0,В собственности
Лысенкова Наталия Владимировна,Супруг(а),https://declarator.org/person/56163,Муниципальный округ Лосиноостровский (СВАО),Москва,Депутат Совета депутатов МО Лосиноостр овский,2021,Квартира,9.9,В собственности
Тян Станислав Петрович,декларант,https://declarator.org/person/1259784,Департамент здравоохранения ХМАО-Югры,Ханты-Мансийский автономный округ — Югра,Главный врач бюджетного учреждения Ханты-Мансийского автономного округа – Югры «Нижневартовский кожно-венерологический диспансер»,2021,Квартира,45.5,Индивидуальная
Тян Станислав Петрович,декларант,https://declarator.org/person/1259784,Департамент здравоохранения ХМАО-Югры,Ханты-Мансийский автономный округ — Югра,Главный врач бюджетного учреждения Ханты-Мансийского автономного округа – Югры «Нижневартовский кожно-венерологический диспансер»,2021,Квартира,45.5,Индивидуальная
Тян Станислав Петрович,декларант,https://declarator.org/person/1259784,Департамент здравоохранения ХМАО-Югры,Ханты-Мансийский автономный округ — Югра,Главный врач бюджетного учреждения Ханты-Мансийского автономного округа – Югры «Нижневартовский кожно-венерологический диспансер»,2021,Квартира,45.5,Индивидуальная
Устинов Владимир Сергеевич,Супруг(а),https://declarator.org/office/4241?active-tab=year-2021,Государственная административно-техническая инспекция,Санкт-Петербург,"ведущий специалист общего отдела - - 


земельный участок

общая совместная собственность

1102,0

Россия",2021,Квартира,54.0,В собственности
Попов В.А.,Ребенок,https://declarator.org/office/6143?active-tab=year-2021,ФГБОУ ВО Российский государственный педагогический университет им. А.И. Герцена,Санкт-Петербург,"Заместитель директора филиала в г. Ташкенте - Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера 
заместителя директора филиала Герценовского университета в г. Ташкенте Попова В.А. за период с 1 января 2021 года по 31 декабря 2021 года",2021,Квартира,68.6,В пользовании
Попов В.А.,декларант,https://declarator.org/office/6143?active-tab=year-2021,ФГБОУ ВО Российский государственный педагогический университет им. А.И. Герцена,Санкт-Петербург,"Заместитель директора филиала в г. Ташкенте - Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера 
заместителя директора филиала Герценовского университета в г. Ташкенте Попова В.А. за период с 1 января 2021 года по 31 декабря 2021 года",2021,Квартира,68.6,В пользовании
Попов В.А.,Супруг(а),https://declarator.org/office/6143?active-tab=year-2021,ФГБОУ ВО Российский государственный педагогический университет им. А.И. Герцена,Санкт-Петербург,"Заместитель директора филиала в г. Ташкенте - Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера 
заместителя директора филиала Герценовского университета в г. Ташкенте Попова В.А. за период с 1 января 2021 года по 31 декабря 2021 года",2021,Квартира,68.6,В пользовании
Попов В.А.,Ребенок,https://declarator.org/office/6143?active-tab=year-2021,ФГБОУ ВО Российский государственный педагогический университет им. А.И. Герцена,Санкт-Петербург,"Заместитель директора филиала в г. Ташкенте - Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера 
заместителя директора филиала Герценовского университета в г. Ташкенте Попова В.А. за период с 1 января 2021 года по 31 декабря 2021 года",2021,Квартира,68.6,В пользовании
Песчанских Георгий Владимирович,декларант,https://declarator.org/person/128164,Федеральная таможенная служба,федеральный орган,Заместитель представителя,2020,Квартира,73.8,В пользовании
Зеленская Татьяна Васильевна,Супруг(а),https://declarator.org/person/54891,Администрация Центрального района,Санкт-Петербург,главный специалист Отдела закупок,2020,Квартира,118.0,В пользовании
Лысенкова Наталия Владимировна,Супруг(а),https://declarator.org/person/56163,Муниципальный округ Лосиноостровский (СВАО),Москва,Депутат Совета депутатов МО Лосиноостровский,2020,Квартира,9.9,Индивидуальная
Лысенкова Наталия Владимировна,Супруг(а),https://declarator.org/person/56163,Муниципальный округ Лосиноостровский (СВАО),Москва,Депутат Совета депутатов МО Лосиноостровский,2020,Дача,32.0,Индивидуальная
Лысенкова Наталия Владимировна,Супруг(а),https://declarator.org/person/56163,Муниципальный округ Лосиноостровский (СВАО),Москва,Депутат Совета депутатов МО Лосиноостровский,2020,Дача,780.0,Индивидуальная
Лысенкова Наталия Владимировна,Супруг(а),https://declarator.org/person/56163,Муниципальный округ Лосиноостровский (СВАО),Москва,Депутат Совета депутатов МО Лосиноостровский,2020,Квартира,9.9,Индивидуальная
Лысенкова Наталия Владимировна,Супруг(а),https://declarator.org/person/56163,Муниципальный округ Лосиноостровский (СВАО),Москва,Депутат Совета депутатов МО Лосиноостровский,2020,Дача,780.0,Индивидуальная
Лысенкова Наталия Владимировна,Супруг(а),https://declarator.org/person/56163,Муниципальный округ Лосиноостровский (СВАО),Москва,Депутат Совета депутатов МО Лосиноостровский,2020,Дача,32.0,Индивидуальная
Умаров Фарходбек Яркулович,декларант,https://declarator.org/person/1264357,ФГАОУ ВО Национальный исследовательский технологический университет МИСиС,Москва,директор филиала НИТУ «МИСиС» в г. Алмалык,2020,Квартира,80.0,В пользовании
Умаров Фарходбек Яркулович,Ребенок,https://declarator.org/person/1264357,ФГАОУ ВО Национальный исследовательский технологический университет МИСиС,Москва,директор филиала НИТУ «МИСиС» в г. Алмалык,2020,Квартира,80.0,В пользовании
Умаров Фарходбек Яркулович,Супруг(а),https://declarator.org/person/1264357,ФГАОУ ВО Национальный исследовательский технологический университет МИСиС,Москва,директор филиала НИТУ «МИСиС» в г. Алмалык,2020,Квартира,80.0,В пользовании
Насиров Уткир Фатидинович,декларант,https://declarator.org/office/6288?active-tab=year-2020,ФГАОУ ВО Национальный исследовательский технологический университет МИСиС,Москва,заместитель директора по научной работе и инновациям филиала НИТУ «МИСиС» в г. Алмалык,2020,Квартира,69.0,В пользовании
Худояров Сулейман Рашидович,декларант,https://declarator.org/person/1283027,ФГАОУ ВО Национальный исследовательский технологический университет МИСиС,Москва,заместитель директора по учебно- воспитательной работе филиала НИТУ «МИСиС» в г. Алмалык,2020,Квартира,35.0,В пользовании
Худояров Сулейман Рашидович,декларант,https://declarator.org/person/1283027,ФГАОУ ВО Национальный исследовательский технологический университет МИСиС,Москва,заместитель директора по учебно- воспитательной работе филиала НИТУ «МИСиС» в г. Алмалык,2020,Жилой дом,72.0,Индивидуальная
Эшев Э.О.,Супруг(а),https://declarator.org/office/450?active-tab=year-2020,Министерство обороны,федеральный орган,,2020,Квартира,60.0,Индивидуальная
Халилов Сергей Валентинович,декларант,https://declarator.org/person/822327,Министерство по делам гражданской обороны и чрезвычайным ситуациям Республики Татарстан,Республика Татарстан,начальник отдела правового обеспечения,2019,Жилой дом,58.67,Совместная собственность
Халилов Сергей Валентинович,декларант,https://declarator.org/person/822327,Министерство по делам гражданской обороны и чрезвычайным ситуациям Республики Татарстан,Республика Татарстан,начальник отдела правового обеспечения,2019,Земельный участок,235.6,Совместная собственность
Мифтахов А Р,Супруг(а),https://declarator.org/person/655655,Комитет государственного строительного надзора и государственной экспертизы Ленинградской области,Ленинградская область,Главный специалист - ОТДЕЛ НАДЗОРА ЗА СТРОИТЕЛЬСТВОМ ЗДАНИЙ И СООРУЖЕНИЙ,2019,Квартира,84.3,В собственности
Зеленская Татьяна Васильевна,Супруг(а),https://declarator.org/person/54891,Администрация Центрального района,Санкт-Петербург,главный специалист Отдела закупок,2019,Квартира,118.0,В пользовании
Зеленская Татьяна Васильевна,Супруг(а),https://declarator.org/person/54891,Администрация Центрального района,Санкт-Петербург,главный специалист Отдела закупок,2019,Квартира,118.0,В пользовании
Лысенкова Наталия Владимировна,Супруг(а),https://declarator.org/person/56163,Муниципальный округ Лосиноостровский (СВАО),Москва,Депутат Совета депутатов МО Лосиноостровский,2019,Квартира,9.9,Индивидуальная
Лысенкова Наталия Владимировна,Супруг(а),https://declarator.org/person/56163,Муниципальный округ Лосиноостровский (СВАО),Москва,Депутат Совета депутатов МО Лосиноостровский,2019,Дача,32.0,Индивидуальная
Лысенкова Наталия Владимировна,Супруг(а),https://declarator.org/person/56163,Муниципальный округ Лосиноостровский (СВАО),Москва,Депутат Совета депутатов МО Лосиноостровский,2019,Дача,780.0,Индивидуальная
Дробязько Сергей Анатольевич,Супруг(а),https://declarator.org/person/518166,Комитет ветеринарии Волгоградской области,Волгоградская область,начальник ГБУ ВО «Палласовская райСББЖ»,2019,Квартира,53.44,Индивидуальная
Дробязько Сергей Анатольевич,Супруг(а),https://declarator.org/person/518166,Комитет ветеринарии Волгоградской области,Волгоградская область,начальник ГБУ ВО «Палласовская райСББЖ»,2019,Квартира,53.44,Индивидуальная
Умаров Фарходбек Яркулович,Супруг(а),https://declarator.org/person/1264357,ФГАОУ ВО Национальный исследовательский технологический университет МИСиС,Москва,Директор филиала НИТУ «МИСиС» в г. Алмалык,2019,Квартира,80.0,В пользовании
Умаров Фарходбек Яркулович,Ребенок,https://declarator.org/person/1264357,ФГАОУ ВО Национальный исследовательский технологический университет МИСиС,Москва,Директор филиала НИТУ «МИСиС» в г. Алмалык,2019,Квартира,80.0,В пользовании
