person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Сидоренко Константин Геннадьевич,декларант,https://declarator.org/person/188552,Министерство промышленности и торговли,федеральный орган,Начальник отдела - ,2021,Квартира,88.3,В пользовании
Белокриницкая Татьяна Евгеньевна,Супруг(а),https://declarator.org/person/137018,Законодательное собрание Забайкальского края,Забайкальский край,Депутат законодательного собрания Забайкальского края,2021,Квартира,98.2,В пользовании
Белокриницкая Татьяна Евгеньевна,Супруг(а),https://declarator.org/person/137018,Законодательное собрание Забайкальского края,Забайкальский край,Депутат законодательного собрания Забайкальского края,2020,Квартира,98.2,В пользовании
Белоногов Е Г,декларант,https://declarator.org/person/357656,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,53.9,В пользовании
Белоногов Е Г,Ребенок,https://declarator.org/person/357656,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,53.9,В пользовании
Белоногов Е Г,Ребенок,https://declarator.org/person/357656,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,53.9,В пользовании
Белоногов Е Г,Супруг(а),https://declarator.org/person/357656,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,53.9,В пользовании
Сидоренко Константин Геннадьевич,Супруг(а),https://declarator.org/person/188552,Министерство промышленности и торговли,федеральный орган,Начальник отдела - ,2020,Квартира,88.3,В пользовании
Сидоренко Константин Геннадьевич,декларант,https://declarator.org/person/188552,Министерство промышленности и торговли,федеральный орган,Начальник отдела - ,2020,Квартира,88.3,В пользовании
Сидоренко Константин Геннадьевич,Ребенок,https://declarator.org/person/188552,Министерство промышленности и торговли,федеральный орган,Начальник отдела - ,2020,Квартира,88.3,В пользовании
Сидоренко Константин Геннадьевич,Ребенок,https://declarator.org/person/188552,Министерство промышленности и торговли,федеральный орган,Начальник отдела - ,2020,Квартира,88.3,В пользовании
Алексеев М Н,декларант,https://declarator.org/person/113584,Министерство обороны,федеральный орган,,2020,Квартира,53.9,В пользовании
Алексеев М Н,Супруг(а),https://declarator.org/person/113584,Министерство обороны,федеральный орган,,2020,Квартира,53.9,В пользовании
Алексеев М Н,декларант,https://declarator.org/person/113584,Министерство обороны,федеральный орган,,2019,Квартира,53.9,В пользовании
Белокриницкая Татьяна Евгеньевна,Супруг(а),https://declarator.org/person/137018,Законодательное собрание Забайкальского края,Забайкальский край,Депутат законодательного собрания Забайкальского края,2019,Квартира,98.2,В пользовании
Александров Александр Николаевич,Супруг(а),https://declarator.org/person/16013,Хабаровск - городской округ,Хабаровский край,Заместитель мэра города по международным и внешнеэкономическим связям,2018,Квартира,98.0,Индивидуальная
Белокриницкая Татьяна Евгеньевна,Супруг(а),https://declarator.org/person/137018,Законодательное собрание Забайкальского края,Забайкальский край,Депутат законодательного собрания Забайкальского края,2018,Квартира,98.2,В пользовании
Ямкина Марина Михайловна,Супруг(а),https://declarator.org/person/1360010,Обнинск - городской округ,Калужская область,главный специалист,2018,Квартира,127.0,В пользовании
Топорков Константин Леонидович,декларант,https://declarator.org/person/128255,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,70.0,В пользовании
Топорков Константин Леонидович,Супруг(а),https://declarator.org/person/128255,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,70.0,В пользовании
Топорков Константин Леонидович,Супруг(а),https://declarator.org/person/128255,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,70.0,В пользовании
Топорков Константин Леонидович,декларант,https://declarator.org/person/128255,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,70.0,В пользовании
Мельников Олег Анатольевич,декларант,https://declarator.org/person/643915,Правительство Приморского края,Приморский край,Врио вице-губернатора Приморского края,2018,Квартира,92.0,Индивидуальная
Мельников Олег Анатольевич,Ребенок,https://declarator.org/person/643915,Правительство Приморского края,Приморский край,Врио вице-губернатора Приморского края,2018,Квартира,92.0,В пользовании
Мельников Олег Анатольевич,Ребенок,https://declarator.org/person/643915,Правительство Приморского края,Приморский край,Врио вице-губернатора Приморского края,2018,Квартира,92.0,В пользовании
Мельников Олег Анатольевич,Супруг(а),https://declarator.org/person/643915,Правительство Приморского края,Приморский край,Врио вице-губернатора Приморского края,2018,Квартира,92.0,В пользовании
Мельников Олег Анатольевич,Ребенок,https://declarator.org/person/643915,Правительство Приморского края,Приморский край,Врио вице-губернатора Приморского края,2018,Квартира,92.0,В пользовании
Сорокин Сергей Николаевич,декларант,https://declarator.org/person/63640,Министерство экономического развития,федеральный орган,Исполняющий обязанности руководителя. Торговое представительство. Китайская Народная Республика.,2017,Квартира,88.0,В пользовании
Топорков Константин Леонидович,Ребенок,https://declarator.org/person/128255,Федеральная таможенная служба,федеральный орган,Представитель ФТС России в Китае,2017,Квартира,70.0,В пользовании
Топорков Константин Леонидович,Супруг(а),https://declarator.org/person/128255,Федеральная таможенная служба,федеральный орган,Представитель ФТС России в Китае,2017,Квартира,70.0,В пользовании
Топорков Константин Леонидович,декларант,https://declarator.org/person/128255,Федеральная таможенная служба,федеральный орган,Представитель ФТС России в Китае,2017,Квартира,70.0,В пользовании
Ким Андрей Георгиевич,Ребенок,https://declarator.org/person/129714,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в КНР,2017,Квартира,44.9,В пользовании
Ким Андрей Георгиевич,Супруг(а),https://declarator.org/person/129714,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в КНР,2017,Квартира,44.9,В пользовании
Ким Андрей Георгиевич,Супруг(а),https://declarator.org/person/129714,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в КНР,2017,Квартира,53.9,В пользовании
Ким Андрей Георгиевич,декларант,https://declarator.org/person/129714,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в КНР,2017,Квартира,53.9,В пользовании
Ким Андрей Георгиевич,декларант,https://declarator.org/person/129714,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в КНР,2017,Квартира,44.9,В пользовании
Ким Андрей Георгиевич,Ребенок,https://declarator.org/person/129714,Федеральное агентство по рыболовству,федеральный орган,Представитель Росрыболовства в КНР,2017,Квартира,53.9,В пользовании
Ямкина Марина Михайловна,Супруг(а),https://declarator.org/person/1360010,Обнинск - городской округ,Калужская область,главный специалист,2017,Квартира,127.0,В пользовании
Ямкина Марина Михайловна,Ребенок,https://declarator.org/person/1360010,Обнинск - городской округ,Калужская область,главный специалист,2017,Квартира,127.0,В пользовании
Ямкина Марина Михайловна,декларант,https://declarator.org/person/1360010,Обнинск - городской округ,Калужская область,главный специалист,2017,Квартира,127.0,В пользовании
Топорков Константин Леонидович,Супруг(а),https://declarator.org/person/128255,Федеральная таможенная служба,федеральный орган,Представитель,2017,Квартира,70.0,В пользовании
Топорков Константин Леонидович,Ребенок,https://declarator.org/person/128255,Федеральная таможенная служба,федеральный орган,Представитель,2017,Квартира,70.0,В пользовании
Топорков Константин Леонидович,декларант,https://declarator.org/person/128255,Федеральная таможенная служба,федеральный орган,Представитель,2017,Квартира,70.0,В пользовании
Топорков Константин Леонидович,декларант,https://declarator.org/person/128255,Федеральная таможенная служба,федеральный орган,Представитель,2017,Квартира,70.0,В пользовании
Топорков Константин Леонидович,Ребенок,https://declarator.org/person/128255,Федеральная таможенная служба,федеральный орган,Представитель,2017,Квартира,70.0,В пользовании
Топорков Константин Леонидович,Супруг(а),https://declarator.org/person/128255,Федеральная таможенная служба,федеральный орган,Представитель,2017,Квартира,70.0,В пользовании
Макеева Елена Валерьевна,декларант,https://declarator.org/person/38777,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель Внешэкономбанка,2016,Квартира,137.0,В пользовании
Горобец А Г,декларант,https://declarator.org/person/1443019,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,88.1,В пользовании
Горобец А Г,Супруг(а),https://declarator.org/person/1443019,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,88.1,В пользовании
Горобец А Г,Ребенок,https://declarator.org/person/1443019,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,88.1,В пользовании
Сорокин Сергей Николаевич,декларант,https://declarator.org/person/63640,Министерство экономического развития,федеральный орган,Заместитель торгового представителя (и.о. торгового представителя) - Заместители торговых представителей,2016,Квартира,88.0,В пользовании
Емельянов А М,декларант,https://declarator.org/person/1489232,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,72.3,В пользовании
Бобров И В,декларант,https://declarator.org/person/1385931,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,68.4,В пользовании
Бобров И В,Супруг(а),https://declarator.org/person/1385931,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,68.4,В пользовании
Бобров И В,Ребенок,https://declarator.org/person/1385931,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,68.4,В пользовании
Махров А В,декларант,https://declarator.org/person/189542,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,91.0,В пользовании
Махров А В,Супруг(а),https://declarator.org/person/189542,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,91.0,В пользовании
Мушницкий Д Ю,декларант,https://declarator.org/person/1104980,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,88.0,В пользовании
Мушницкий Д Ю,Ребенок,https://declarator.org/person/1104980,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,88.0,В пользовании
Мушницкий Д Ю,Супруг(а),https://declarator.org/person/1104980,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,88.0,В пользовании
Топорков Константин Леонидович,Ребенок,https://declarator.org/person/128255,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,70.0,В пользовании
