person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Варосян Гор Оганесович,Ребенок,https://declarator.org/person/472599,"Севастополь, должностные лица (ВСуд)*",Севастополь*,Главный специалист отдела материально-технического обеспечения,2022,Жилой дом,167.7,В пользовании
Тедеты Теймураз Сергеевич,декларант,https://declarator.org/person/802006,Министерство природных ресурсов и экологии РСО-Алания,Республика Северная Осетия — Алания,Старший специалист 3 разряда,2022,Квартира,37.9,Индивидуальная
Казарян Тигран Владимирович,декларант,https://declarator.org/person/138273,Ярославская Областная Дума,Ярославская область,Кандидат в депутаты регионального законодательного собрания,2022,Земельный участок,1607.5,Индивидуальная
Казарян Тигран Владимирович,декларант,https://declarator.org/person/138273,Ярославская Областная Дума,Ярославская область,Кандидат в депутаты регионального законодательного собрания,2022,Жилой дом,388.3,Индивидуальная
Казарян Тигран Владимирович,декларант,https://declarator.org/person/138273,Ярославская Областная Дума,Ярославская область,Кандидат в депутаты регионального законодательного собрания,2022,Земельный участок,5464.0,Индивидуальная
Гюнашян Наира Рафиковна,декларант,https://declarator.org/person/502460,Министерство социального развития Московской области,Московская область,Директор Государственного автономное учреждение социального обслуживания Московской области «Солнечногорский психоневрологический интернат»,2021,Квартира,97.6,Долевая собственность
Гюнашян Наира Рафиковна,декларант,https://declarator.org/person/502460,Министерство социального развития Московской области,Московская область,Директор Государственного автономное учреждение социального обслуживания Московской области «Солнечногорский психоневрологический интернат»,2021,Жилой дом,180.0,В пользовании
Гюнашян Наира Рафиковна,декларант,https://declarator.org/person/502460,Министерство социального развития Московской области,Московская область,Директор Государственного автономное учреждение социального обслуживания Московской области «Солнечногорский психоневрологический интернат»,2021,Квартира,97.6,Долевая собственность
Гюнашян Наира Рафиковна,Супруг(а),https://declarator.org/person/502460,Министерство социального развития Московской области,Московская область,Директор Государственного автономное учреждение социального обслуживания Московской области «Солнечногорский психоневрологический интернат»,2021,Жилой дом,180.0,В собственности
Гюнашян Наира Рафиковна,Супруг(а),https://declarator.org/person/502460,Министерство социального развития Московской области,Московская область,Директор Государственного автономное учреждение социального обслуживания Московской области «Солнечногорский психоневрологический интернат»,2021,Земельный участок,500.0,В собственности
Гюнашян Наира Рафиковна,декларант,https://declarator.org/person/502460,Министерство социального развития Московской области,Московская область,Директор Государственного автономное учреждение социального обслуживания Московской области «Солнечногорский психоневрологический интернат»,2021,Земельный участок,500.0,В собственности
Альбертов Сергей Георгиевич,декларант,https://declarator.org/person/45873,Министерство социального развития Московской области,Московская область,"Директор Государственного автономного учреждения социального обслуживания Московской области ""Ступинский комплексный центр социального обслуживания населения""",2021,Квартира,169.1,В собственности
Грикуров Э Г,Супруг(а),https://declarator.org/person/485876,Судебный департамент при Верховном Суде РФ,федеральный орган,Администратор 5 гарнизонного военного суда,2021,Квартира,82.0,В пользовании
Грикуров Э Г,декларант,https://declarator.org/person/485876,Судебный департамент при Верховном Суде РФ,федеральный орган,Администратор 5 гарнизонного военного суда,2021,Квартира,82.0,В пользовании
Григорян А В,декларант,https://declarator.org/person/113868,Министерство обороны,федеральный орган,,2021,Квартира,76.0,В пользовании
Григорян А В,Супруг(а),https://declarator.org/person/113868,Министерство обороны,федеральный орган,,2021,Квартира,76.0,В пользовании
Хачатурян С Д,декларант,https://declarator.org/person/85299,Министерство обороны,федеральный орган,,2021,Жилой дом,115.0,Совместная собственность
Хачатурян С Д,декларант,https://declarator.org/person/85299,Министерство обороны,федеральный орган,,2021,Земельный участок,264.5,Совместная собственность
Торосов Илья Эдуардович,декларант,https://declarator.org/person/189841,Министерство экономического развития,федеральный орган,"Заместитель Министра - Статс-секретарь – заместитель Министра, заместители Министра",2021,Жилой дом,135.3,Индивидуальная
Григорян А В,Супруг(а),https://declarator.org/person/113868,Министерство обороны,федеральный орган,,2021,Квартира,76.0,В пользовании
Григорян А В,декларант,https://declarator.org/person/113868,Министерство обороны,федеральный орган,,2021,Квартира,76.0,В пользовании
Татевосян К В,Супруг(а),https://declarator.org/person/84611,Министерство обороны,федеральный орган,,2021,Квартира,84.0,В пользовании
