person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Субочев Дмитрий Геннадьевич,Ребенок,https://declarator.org/person/371970,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,73.8,В пользовании
Субочев Дмитрий Геннадьевич,Ребенок,https://declarator.org/person/371970,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,73.8,В пользовании
Субочев Дмитрий Геннадьевич,Супруг(а),https://declarator.org/person/371970,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,73.8,В пользовании
Субочев Дмитрий Геннадьевич,декларант,https://declarator.org/person/371970,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,73.8,В пользовании
Субочев Дмитрий Геннадьевич,Ребенок,https://declarator.org/person/371970,Федеральная таможенная служба,федеральный орган,Представитель,2019,Квартира,73.8,В пользовании
Субочев Дмитрий Геннадьевич,декларант,https://declarator.org/person/371970,Федеральная таможенная служба,федеральный орган,Представитель,2019,Квартира,73.8,В пользовании
Субочев Дмитрий Геннадьевич,Супруг(а),https://declarator.org/person/371970,Федеральная таможенная служба,федеральный орган,Представитель,2019,Квартира,73.8,В пользовании
Субочев Дмитрий Геннадьевич,Ребенок,https://declarator.org/person/371970,Федеральная таможенная служба,федеральный орган,Представитель,2019,Квартира,73.8,В пользовании
Бабаков Александр Михайлович,Ребенок,https://declarator.org/person/473,Совет Федерации,федеральный орган,Член Совета Федерации от Тамбовской области,2018,Квартира,250.0,В пользовании
Субочев Дмитрий Геннадьевич,Ребенок,https://declarator.org/person/371970,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,64.8,В пользовании
Субочев Дмитрий Геннадьевич,декларант,https://declarator.org/person/371970,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,64.8,В пользовании
Субочев Дмитрий Геннадьевич,Супруг(а),https://declarator.org/person/371970,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,64.8,В пользовании
Субочев Дмитрий Геннадьевич,Ребенок,https://declarator.org/person/371970,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,64.8,В пользовании
Субочев Дмитрий Геннадьевич,Ребенок,https://declarator.org/person/371970,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,64.8,В пользовании
Субочев Дмитрий Геннадьевич,Ребенок,https://declarator.org/person/371970,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,64.8,В пользовании
Субочев Дмитрий Геннадьевич,Супруг(а),https://declarator.org/person/371970,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,64.8,В пользовании
Субочев Дмитрий Геннадьевич,декларант,https://declarator.org/person/371970,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,64.8,В пользовании
Олерский Виктор Александрович,декларант,https://declarator.org/person/11647,Федеральное агентство морского и речного транспорта,федеральный орган,Заместитель министра транспорта – руководитель федерального агентства морского и речного транспорта,2017,Земельный участок,2066.0,Долевая собственность
Олерский Виктор Александрович,декларант,https://declarator.org/person/11647,Федеральное агентство морского и речного транспорта,федеральный орган,Заместитель министра транспорта – руководитель федерального агентства морского и речного транспорта,2017,Жилой дом,369.0,Долевая собственность
Олерский Виктор Александрович,Супруг(а),https://declarator.org/person/11647,Федеральное агентство морского и речного транспорта,федеральный орган,Заместитель министра транспорта – руководитель федерального агентства морского и речного транспорта,2017,Земельный участок,2066.0,Долевая собственность
Олерский Виктор Александрович,Супруг(а),https://declarator.org/person/11647,Федеральное агентство морского и речного транспорта,федеральный орган,Заместитель министра транспорта – руководитель федерального агентства морского и речного транспорта,2017,Жилой дом,369.0,Долевая собственность
Олерский Виктор Александрович,Супруг(а),https://declarator.org/person/11647,Министерство транспорта,федеральный орган,Заместитель министра транспорта – руководитель федерального агентства морского и речного транспорта,2017,Жилой дом,369.0,Долевая собственность
Олерский Виктор Александрович,декларант,https://declarator.org/person/11647,Министерство транспорта,федеральный орган,Заместитель министра транспорта – руководитель федерального агентства морского и речного транспорта,2017,Земельный участок,2066.0,Долевая собственность
Олерский Виктор Александрович,декларант,https://declarator.org/person/11647,Министерство транспорта,федеральный орган,Заместитель министра транспорта – руководитель федерального агентства морского и речного транспорта,2017,Жилой дом,369.0,Долевая собственность
Олерский Виктор Александрович,Супруг(а),https://declarator.org/person/11647,Министерство транспорта,федеральный орган,Заместитель министра транспорта – руководитель федерального агентства морского и речного транспорта,2017,Земельный участок,2066.0,Долевая собственность
Горшков Анатолий Иванович,декларант,https://declarator.org/person/63611,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Королевство Бельгия.,2017,Квартира,106.3,В пользовании
Горшков Анатолий Иванович,Ребенок,https://declarator.org/person/63611,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Королевство Бельгия.,2017,Квартира,106.3,В пользовании
Горшков Анатолий Иванович,Супруг(а),https://declarator.org/person/63611,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Королевство Бельгия.,2017,Квартира,106.3,В пользовании
Горшков Анатолий Иванович,Ребенок,https://declarator.org/person/63611,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Королевство Бельгия.,2017,Квартира,106.3,В пользовании
Ивин Владимир Владимирович,декларант,https://declarator.org/person/128254,Федеральная таможенная служба,федеральный орган,Представитель ФТС России в Королевстве Бельгия (Брюссель),2017,Квартира,74.7,В пользовании
Ивин В В,декларант,https://declarator.org/person/362810,Федеральная таможенная служба,федеральный орган,Представитель,2017,Квартира,74.7,В пользовании
Ивин В В,декларант,https://declarator.org/person/362810,Федеральная таможенная служба,федеральный орган,Представитель,2017,Квартира,74.7,В пользовании
Олерский Виктор Александрович,декларант,https://declarator.org/person/11647,Министерство транспорта,федеральный орган,Заместитель министра транспорта – руководитель Федерального агентства морского и речного транспорта,2016,Земельный участок,2066.0,Долевая собственность
Олерский Виктор Александрович,декларант,https://declarator.org/person/11647,Министерство транспорта,федеральный орган,Заместитель министра транспорта – руководитель Федерального агентства морского и речного транспорта,2016,Жилой дом,369.0,Долевая собственность
Олерский Виктор Александрович,Супруг(а),https://declarator.org/person/11647,Министерство транспорта,федеральный орган,Заместитель министра транспорта – руководитель Федерального агентства морского и речного транспорта,2016,Земельный участок,2060.0,Долевая собственность
Олерский Виктор Александрович,Супруг(а),https://declarator.org/person/11647,Министерство транспорта,федеральный орган,Заместитель министра транспорта – руководитель Федерального агентства морского и речного транспорта,2016,Жилой дом,369.0,Долевая собственность
Олерский Виктор Александрович,Супруг(а),https://declarator.org/person/11647,Федеральное агентство морского и речного транспорта,федеральный орган,Заместитель министра транспорта – руководитель Федерального агентства морского и речного транспорта,2016,Земельный участок,2060.0,Долевая собственность
Олерский Виктор Александрович,Супруг(а),https://declarator.org/person/11647,Федеральное агентство морского и речного транспорта,федеральный орган,Заместитель министра транспорта – руководитель Федерального агентства морского и речного транспорта,2016,Жилой дом,369.0,Долевая собственность
Олерский Виктор Александрович,декларант,https://declarator.org/person/11647,Федеральное агентство морского и речного транспорта,федеральный орган,Заместитель министра транспорта – руководитель Федерального агентства морского и речного транспорта,2016,Жилой дом,369.0,Долевая собственность
Олерский Виктор Александрович,декларант,https://declarator.org/person/11647,Федеральное агентство морского и речного транспорта,федеральный орган,Заместитель министра транспорта – руководитель Федерального агентства морского и речного транспорта,2016,Земельный участок,2066.0,Долевая собственность
Олерский Виктор Александрович,Супруг(а),https://declarator.org/person/11647,Министерство транспорта,федеральный орган,"Заместитель
Министра – руководитель Федерального агентства морского и речного транспорта - Заместители Министра транспорта Российской Федерации",2016,Земельный участок,2066.0,Долевая собственность
Олерский Виктор Александрович,декларант,https://declarator.org/person/11647,Министерство транспорта,федеральный орган,"Заместитель
Министра – руководитель Федерального агентства морского и речного транспорта - Заместители Министра транспорта Российской Федерации",2016,Земельный участок,2066.0,Долевая собственность
Олерский Виктор Александрович,Супруг(а),https://declarator.org/person/11647,Министерство транспорта,федеральный орган,"Заместитель
Министра – руководитель Федерального агентства морского и речного транспорта - Заместители Министра транспорта Российской Федерации",2016,Жилой дом,369.0,Долевая собственность
Олерский Виктор Александрович,декларант,https://declarator.org/person/11647,Министерство транспорта,федеральный орган,"Заместитель
Министра – руководитель Федерального агентства морского и речного транспорта - Заместители Министра транспорта Российской Федерации",2016,Жилой дом,369.0,Долевая собственность
Горшков Анатолий Иванович,Супруг(а),https://declarator.org/person/63611,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,106.3,В пользовании
Горшков Анатолий Иванович,Ребенок,https://declarator.org/person/63611,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,106.3,В пользовании
Горшков Анатолий Иванович,Ребенок,https://declarator.org/person/63611,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,106.3,В пользовании
Горшков Анатолий Иванович,декларант,https://declarator.org/person/63611,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,106.3,В пользовании
Великанов М.В.,Ребенок,https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,75.6,В пользовании
Великанов М.В.,декларант,https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,75.6,В пользовании
Великанов М.В.,Супруг(а),https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,75.6,В пользовании
Вержбицкий Вадим Вячеславович,Ребенок,https://declarator.org/person/1424929,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,74.8,В пользовании
Вержбицкий Вадим Вячеславович,Супруг(а),https://declarator.org/person/1424929,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,74.8,В пользовании
Вержбицкий Вадим Вячеславович,декларант,https://declarator.org/person/1424929,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,74.8,В пользовании
Сурков Г С,Супруг(а),https://declarator.org/person/1211768,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,65.3,В пользовании
Сурков Г С,Ребенок,https://declarator.org/person/1211768,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,65.3,В пользовании
Сурков Г С,декларант,https://declarator.org/person/1211768,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,65.3,В пользовании
Сурков Г С,Ребенок,https://declarator.org/person/1211768,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,65.3,В пользовании
Каштаков К Ю,Супруг(а),https://declarator.org/person/1035350,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,74.0,В пользовании
Каштаков К Ю,Ребенок,https://declarator.org/person/1035350,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,74.0,В пользовании
Каштаков К Ю,Ребенок,https://declarator.org/person/1035350,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,74.0,В пользовании
Каштаков К Ю,декларант,https://declarator.org/person/1035350,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,74.0,В пользовании
Семина Ю С,декларант,https://declarator.org/person/1211772,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,60.0,В пользовании
Владыченко А А,Ребенок,https://declarator.org/person/1622413,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,92.0,В пользовании
Владыченко А А,Супруг(а),https://declarator.org/person/1622413,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,92.0,В пользовании
Владыченко А А,декларант,https://declarator.org/person/1622413,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,92.0,В пользовании
Капустина Н А,декларант,https://declarator.org/person/1035376,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,63.7,В пользовании
Ивин В В,Супруг(а),https://declarator.org/person/362810,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,74.7,В пользовании
Ивин В В,Ребенок,https://declarator.org/person/362810,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,74.7,В пользовании
Ивин В В,декларант,https://declarator.org/person/362810,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,74.7,В пользовании
Ивин В В,декларант,https://declarator.org/person/362810,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,74.7,В пользовании
Ивин В В,Ребенок,https://declarator.org/person/362810,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,74.7,В пользовании
Ивин В В,Супруг(а),https://declarator.org/person/362810,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,74.7,В пользовании
Ивин В В,декларант,https://declarator.org/person/362810,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,74.7,В пользовании
Ивин В В,Супруг(а),https://declarator.org/person/362810,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,74.7,В пользовании
Ивин В В,Ребенок,https://declarator.org/person/362810,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,74.7,В пользовании
Ивин В В,Ребенок,https://declarator.org/person/362810,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,74.7,В пользовании
Ивин В В,декларант,https://declarator.org/person/362810,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,74.7,В пользовании
Ивин В В,Супруг(а),https://declarator.org/person/362810,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,74.7,В пользовании
Ивин В В,декларант,https://declarator.org/person/362810,Федеральная таможенная служба,федеральный орган,Представитель,2016,Квартира,74.7,В пользовании
Ивин В В,Супруг(а),https://declarator.org/person/362810,Федеральная таможенная служба,федеральный орган,Представитель,2016,Квартира,74.7,В пользовании
Ивин В В,Ребенок,https://declarator.org/person/362810,Федеральная таможенная служба,федеральный орган,Представитель,2016,Квартира,74.7,В пользовании
Ивин В В,Супруг(а),https://declarator.org/person/362810,Федеральная таможенная служба,федеральный орган,Представитель,2016,Квартира,74.7,В пользовании
Ивин В В,Ребенок,https://declarator.org/person/362810,Федеральная таможенная служба,федеральный орган,Представитель,2016,Квартира,74.7,В пользовании
Ивин В В,декларант,https://declarator.org/person/362810,Федеральная таможенная служба,федеральный орган,Представитель,2016,Квартира,74.7,В пользовании
Олерский Виктор Александрович,Супруг(а),https://declarator.org/person/11647,Министерство транспорта,федеральный орган,Заместитель министра транспорта – руководитель Федерального агентства морского и речного транспорта,2015,Земельный участок,2060.0,Долевая собственность
Олерский Виктор Александрович,декларант,https://declarator.org/person/11647,Министерство транспорта,федеральный орган,Заместитель министра транспорта – руководитель Федерального агентства морского и речного транспорта,2015,Земельный участок,2066.0,Долевая собственность
Олерский Виктор Александрович,Супруг(а),https://declarator.org/person/11647,Министерство транспорта,федеральный орган,Заместитель министра транспорта – руководитель Федерального агентства морского и речного транспорта,2015,Жилой дом,369.0,Долевая собственность
Олерский Виктор Александрович,декларант,https://declarator.org/person/11647,Министерство транспорта,федеральный орган,Заместитель министра транспорта – руководитель Федерального агентства морского и речного транспорта,2015,Жилой дом,369.0,Долевая собственность
Олерский Виктор Александрович,декларант,https://declarator.org/person/11647,Федеральное агентство морского и речного транспорта,федеральный орган,Заместитель министра транспорта – руководитель федерального агентства морского и речного транспорта,2015,Жилой дом,369.0,Долевая собственность
Олерский Виктор Александрович,Супруг(а),https://declarator.org/person/11647,Федеральное агентство морского и речного транспорта,федеральный орган,Заместитель министра транспорта – руководитель федерального агентства морского и речного транспорта,2015,Земельный участок,2060.0,Долевая собственность
Олерский Виктор Александрович,Супруг(а),https://declarator.org/person/11647,Федеральное агентство морского и речного транспорта,федеральный орган,Заместитель министра транспорта – руководитель федерального агентства морского и речного транспорта,2015,Жилой дом,369.0,Долевая собственность
Олерский Виктор Александрович,декларант,https://declarator.org/person/11647,Федеральное агентство морского и речного транспорта,федеральный орган,Заместитель министра транспорта – руководитель федерального агентства морского и речного транспорта,2015,Земельный участок,2066.0,Долевая собственность
Олерский Виктор Александрович,декларант,https://declarator.org/person/11647,Министерство транспорта,федеральный орган,"Заместитель
Министра – руководитель Федерального агентства морского и речного транспорта - Заместители Министра транспорта Российской Федерации",2015,Земельный участок,2066.0,Долевая собственность
