person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Кушнир Мария Константиновна,Ребенок,https://declarator.org/office/7680?active-tab=year-2021,Управление по туризму Республики Карелия,Республика Карелия,заместитель Начальника Управления,2021,Квартира,30.0,В пользовании
Дракинская Н.В,Супруг(а),https://declarator.org/office/7953?active-tab=year-2021,Комитет государственного экологического надзора Ленинградской области,Ленинградская область,Главный специалист - СЕКТОР ФИНАНСОВО-ЭКОНОМИЧЕСКОГО ОБЕСПЕЧЕНИЯ,2021,Квартира,143.0,Долевая собственность
Ведяшкин Максим Викторович,Ребенок,https://declarator.org/person/1435708,ФГАОУ ВО Дальневосточный федеральный университет,Приморский край,Проректор по управлению кампусом,2020,Жилой дом,115.0,В пользовании
Зотов Игорь Александрович,декларант,https://declarator.org/person/536469,Аппарат Совета Федерации,федеральный орган,руководитель аппарата комитета Совета Федерации,2019,Квартира,72.0,Индивидуальная
Ведяшкин Максим Викторович,Ребенок,https://declarator.org/person/1435708,ФГАОУ ВО Дальневосточный федеральный университет,Приморский край,Проректор по управлению кампусом,2019,Жилой дом,115.0,В пользовании
Галемина Наталья Александровна,декларант,https://declarator.org/office/7829?active-tab=year-2018,Министерство финансов Красноярского края,Красноярский край,консультант отдела прогнозирования и анализа доходов бюджетов,2018,Квартира,81.0,В пользовании
Галемина Наталья Александровна,Ребенок,https://declarator.org/office/7829?active-tab=year-2018,Министерство финансов Красноярского края,Красноярский край,консультант отдела прогнозирования и анализа доходов бюджетов,2018,Квартира,81.0,В пользовании
Галемина Наталья Александровна,Супруг(а),https://declarator.org/office/7829?active-tab=year-2018,Министерство финансов Красноярского края,Красноярский край,консультант отдела прогнозирования и анализа доходов бюджетов,2018,Квартира,81.0,В собственности
Галемина Наталья Александровна,декларант,https://declarator.org/office/7829?active-tab=year-2018,Министерство финансов Красноярского края,Красноярский край,консультант отдела прогнозирования и анализа доходов бюджетов,2018,Квартира,81.0,В пользовании
Галемина Наталья Александровна,Супруг(а),https://declarator.org/office/7829?active-tab=year-2018,Министерство финансов Красноярского края,Красноярский край,консультант отдела прогнозирования и анализа доходов бюджетов,2018,Квартира,81.0,В собственности
Галемина Наталья Александровна,Ребенок,https://declarator.org/office/7829?active-tab=year-2018,Министерство финансов Красноярского края,Красноярский край,консультант отдела прогнозирования и анализа доходов бюджетов,2018,Квартира,81.0,В пользовании
Катасов Александр Валентинович,декларант,https://declarator.org/person/364632,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Королевство Швеция.,2017,Квартира,115.4,В пользовании
Катасов Александр Валентинович,Супруг(а),https://declarator.org/person/364632,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Королевство Швеция.,2017,Квартира,115.4,В пользовании
Зотов И.А.,декларант,https://declarator.org/office/154?active-tab=year-2017,Правительство республики Калмыкия,Республика Калмыкия,Председатель Правительства Республики Калмыкия,2017,Иное,0.0,В пользовании
Зотов И.А.,декларант,https://declarator.org/office/154?active-tab=year-2017,Правительство республики Калмыкия,Республика Калмыкия,"Председатель Правительства Республики Калмыкия - В случае если в отчетном периоде лицу, замещающему государственную должность, служащему (работнику) по месту службы (работы) предоставлены (выделены) средства на приобретение (строительство) жилого помещения, данные средства суммируются с декларированным годовым доходом, а также указываются отдельно в настоящей графе.
2 Сведения указываются, если сумма сделки превышает общий доход лица, замещающего государственную должность, служащего (работника) и его супруги (супруга) за три последних года, предшествующих совершению сделки.",2017,Иное,0.0,В пользовании
Галемина Наталья Александровна,декларант,https://declarator.org/office/7829?active-tab=year-2017,Министерство финансов Красноярского края,Красноярский край,консультант отдела политики в области доходов бюджета - 17. ОТДЕЛ ПОЛИТИКИ В ОБЛАСТИ ДОХОДОВ БЮДЖЕТОВ,2017,Квартира,81.0,В пользовании
Галемина Наталья Александровна,Ребенок,https://declarator.org/office/7829?active-tab=year-2017,Министерство финансов Красноярского края,Красноярский край,консультант отдела политики в области доходов бюджета - 17. ОТДЕЛ ПОЛИТИКИ В ОБЛАСТИ ДОХОДОВ БЮДЖЕТОВ,2017,Квартира,81.0,В пользовании
Галемина Наталья Александровна,Супруг(а),https://declarator.org/office/7829?active-tab=year-2017,Министерство финансов Красноярского края,Красноярский край,консультант отдела политики в области доходов бюджета - 17. ОТДЕЛ ПОЛИТИКИ В ОБЛАСТИ ДОХОДОВ БЮДЖЕТОВ,2017,Квартира,81.0,В собственности
Катасов Александр Валентинович,Супруг(а),https://declarator.org/person/364632,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,115.4,В пользовании
Катасов Александр Валентинович,декларант,https://declarator.org/person/364632,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,115.4,В пользовании
Фролов В А,Супруг(а),https://declarator.org/person/1267441,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,56.0,В пользовании
Фролов В А,Ребенок,https://declarator.org/person/1267441,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,56.0,В пользовании
Фролов В А,Ребенок,https://declarator.org/person/1267441,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,56.0,В пользовании
Фролов В А,декларант,https://declarator.org/person/1267441,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,56.0,В пользовании
Сапцов В В,декларант,https://declarator.org/person/1211769,Министерство экономического развития,федеральный орган,Начальник отдела - Начальники и заместители начальников,2016,Квартира,56.0,В пользовании
Сапцов В В,Супруг(а),https://declarator.org/person/1211769,Министерство экономического развития,федеральный орган,Начальник отдела - Начальники и заместители начальников,2016,Квартира,56.0,В пользовании
Сапцов В В,Ребенок,https://declarator.org/person/1211769,Министерство экономического развития,федеральный орган,Начальник отдела - Начальники и заместители начальников,2016,Квартира,56.0,В пользовании
Друганов Р.С.,Супруг(а),https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,50.8,В пользовании
Друганов Р.С.,декларант,https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,50.8,В пользовании
Лихачева С И,декларант,https://declarator.org/person/189489,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,50.8,В пользовании
Миронова Т Б,декларант,https://declarator.org/person/1622405,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,51.4,В пользовании
Булатов С.С.,Ребенок,https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,51.4,В пользовании
Булатов С.С.,Супруг(а),https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,51.4,В пользовании
Булатов С.С.,декларант,https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,51.4,В пользовании
Подвязников А А,декларант,https://declarator.org/person/1161612,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,56.0,В пользовании
Подвязников А А,Супруг(а),https://declarator.org/person/1161612,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,56.0,В пользовании
Подвязников А А,Ребенок,https://declarator.org/person/1161612,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,56.0,В пользовании
Подвязников А А,Ребенок,https://declarator.org/person/1161612,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,56.0,В пользовании
Зотов И А,декларант,https://declarator.org/person/540408,Правительство республики Калмыкия,Республика Калмыкия,Председатель Правительства Республики Калмыкия,2016,Иное,72.0,Индивидуальная
