person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Чуприкова Е.М.,Супруг(а),https://declarator.org/office/7355?active-tab=year-2021,Управление записи актов гражданского состояния Вологодской области,Вологодская область,начальник отдела организационно-методической и кадровой работы,2021,Квартира,45.0,В пользовании
Кочетова Людмила Валерьевна,Супруг(а),https://declarator.org/person/45787,Департамент труда и социальной защиты населения города Москвы,Москва,главный специалист отдела координации и организации работы,2021,Квартира,120.0,В пользовании
Сатвалова В М,Супруг(а),https://declarator.org/person/779714,Северо-Западное таможенное управление,федеральный орган,Начальник отдела,2021,Квартира,70.0,Индивидуальная
Кочетова Людмила Валерьевна,Супруг(а),https://declarator.org/person/45787,Департамент труда и социальной защиты населения города Москвы,Москва,главный специалист отдела координации и организации работы подведомственных организаций Управления организации социального обслуживания,2020,Квартира,120.0,В пользовании
Кочетова Людмила Валерьевна,Супруг(а),https://declarator.org/person/45787,Департамент труда и социальной защиты населения города Москвы,Москва,главный специалист отдела координации и организации работы подведомственн ых организаций Управления организации социального обслуживания,2019,Квартира,120.0,В пользовании
Сатвалова В М,Супруг(а),https://declarator.org/person/779714,Северо-Западное таможенное управление,федеральный орган,Начальник отдела,2018,Квартира,70.0,Индивидуальная
Сатвалова В М,Супруг(а),https://declarator.org/person/779714,Северо-Западное таможенное управление,федеральный орган,Начальник отдела,2018,Квартира,70.0,Индивидуальная
Сатвалова В М,Супруг(а),https://declarator.org/person/779714,Северо-Западное таможенное управление,федеральный орган,Начальник отдела,2018,Квартира,70.0,Индивидуальная
Сатвалова В М,Супруг(а),https://declarator.org/person/779714,Северо-Западное таможенное управление,федеральный орган,Начальник отдела,2018,Квартира,70.0,Индивидуальная
Асланов Н Ю,декларант,https://declarator.org/person/188983,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,69.0,В пользовании
Асланов Н Ю,Супруг(а),https://declarator.org/person/188983,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,69.0,В пользовании
Асланов Н Ю,Ребенок,https://declarator.org/person/188983,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,69.0,В пользовании
Иваха Д В,Ребенок,https://declarator.org/person/1519290,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,69.0,В пользовании
Иваха Д В,Супруг(а),https://declarator.org/person/1519290,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,69.0,В пользовании
Иваха Д В,декларант,https://declarator.org/person/1519290,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,69.0,В пользовании
Долотов А С,декларант,https://declarator.org/person/1467118,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,49.0,В пользовании
Луговой Б В,декларант,https://declarator.org/person/1080345,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,49.0,В пользовании
Чапурина Т В,декларант,https://declarator.org/person/189935,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,49.0,В пользовании
Авалиани Т М,декларант,https://declarator.org/person/1369426,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,49.0,В пользовании
Альфаки Ольга Георгиевна,Супруг(а),https://declarator.org/person/417810,Геленджик - городской округ,Краснодарский край,главный специалист управления образования,2016,Квартира,125.0,В собственности
Казаков Владимир Владимирович,декларант,https://declarator.org/person/14808,Законодательная Дума Томской области,Томская область,Депутат законодательной думы Томской области V созыва,2015,Квартира,0.01,Совместная собственность
Казаков Владимир Владимирович,Супруг(а),https://declarator.org/person/14808,Законодательная Дума Томской области,Томская область,Депутат законодательной думы Томской области V созыва,2015,Квартира,0.01,Совместная собственность
Сатвалова В М,Супруг(а),https://declarator.org/person/779714,Северо-Западное таможенное управление,федеральный орган,Главный государственный таможенный инспектор,2015,Квартира,70.0,Индивидуальная
Альфаки Ольга Георгиевна,Супруг(а),https://declarator.org/person/417810,Геленджик - городской округ,Краснодарский край,главный специалист управления образования,2015,Квартира,125.0,В собственности
Асланов Н Ю,декларант,https://declarator.org/person/188983,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,69.0,В пользовании
Асланов Н Ю,декларант,https://declarator.org/person/188983,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,69.0,В пользовании
Иваха Д В,Ребенок,https://declarator.org/person/1519290,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,69.0,В пользовании
Иваха Д В,декларант,https://declarator.org/person/1519290,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,69.0,В пользовании
