person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Аббасов Мубариз Магеррам оглы,Супруг(а),https://declarator.org/person/1383398,Увельский район,Челябинская область,"Глава КФХ ИП Аббасов М.М., депутат Собрания депутатов Увельского муниципального района",2021,Квартира,51.4,В пользовании
Аббасов Мубариз Магеррам оглы,Супруг(а),https://declarator.org/person/1383398,Увельский район,Челябинская область,"Глава КФХ ИП Аббасов М.М., депутат Собрания депутатов Увельского муниципального района",2021,Квартира,51.4,В пользовании
Рагимов М Г,Супруг(а),https://declarator.org/person/1193122,Дербентский район,Республика Дагестан,Глава МР «Дербентский район»,2021,Квартира,164.5,В собственности
Николаев Вадим Владимирович,декларант,https://declarator.org/person/45922,Департамент труда и социальной защиты населения города Москвы,Москва,"директор Государственного бюджетного учреждения города Москвы Психоневрологический интернат № 10 Департамента труда и социальной защиты населения города Москвы - Сведения о доходах, расходах,
об имуществе и обязательствах имущественного характера
государственных гражданских служащих Управления социальной защиты населения Западного административного округа города Москвы и членов их семей за период с 1 января 2021 г. по 31 декабря 2021 г.",2021,Квартира,30.9,Индивидуальная
Назарова М Ф,декларант,https://declarator.org/person/1135205,Всеволожский район,Ленинградская область,главный специалист юридического управления,2021,Жилой дом,69.3,Индивидуальная
Габибов Эльсевар Октаевич,Супруг(а),https://declarator.org/person/491916,Находкинский - городской округ,Приморский край, - Сделки не совершались,2021,Земельный участок,600.0,В собственности
Габибов Эльсевар Октаевич,Супруг(а),https://declarator.org/person/491916,Находкинский - городской округ,Приморский край, - Сделки не совершались,2021,Земельный участок,5600.0,Совместная собственность
Габибов Эльсевар Октаевич,декларант,https://declarator.org/person/491916,Находкинский - городской округ,Приморский край, - Сделки не совершались,2021,Земельный участок,5600.0,Совместная собственность
Велиев Р.С.,Супруг(а),https://declarator.org/office/5192?active-tab=year-2021,Центральное межрегиональное управление государственного автодорожного надзора Федеральной службы по надзору в сфере транспорта (Центральное МУГАДН) г. Москва,федеральный орган,заместитель начальника отдела,2021,Жилой дом,102.0,В пользовании
Алиев Саяд Исбарович,Ребенок,https://declarator.org/person/13384,Законодательное собрание Ленинградской области,Ленинградская область,Депутат законодательного собрания Ленинградской области,2021,Жилой дом,350.8,Индивидуальная
Акберов В.И.,Супруг(а),https://declarator.org/office/4955?active-tab=year-2021,Управление Федеральной службы судебных приставов Ямало-Ненецкий АО,Ямало-Ненецкий автономный округ,Заместитель начальника отделения,2021,Квартира,68.3,Индивидуальная
Акберов В.И.,декларант,https://declarator.org/office/4955?active-tab=year-2021,Управление Федеральной службы судебных приставов Ямало-Ненецкий АО,Ямало-Ненецкий автономный округ,Заместитель начальника отделения,2021,Жилой дом,79.5,Долевая собственность
Николаев Вадим Владимирович,декларант,https://declarator.org/person/45922,Департамент труда и социальной защиты населения города Москвы,Москва,директор Государственного бюджетного учреждения города Москвы Психоневрологического интерната № 10 Департамента труда и социальной защиты населения города Москвы,2020,Квартира,30.9,Индивидуальная
Назарова М Ф,декларант,https://declarator.org/person/1135205,Всеволожский район,Ленинградская область,ведущий специалист юридического управления,2020,Жилой дом,40.0,Индивидуальная
Рагимов М Г,Супруг(а),https://declarator.org/person/1193122,Дербентский район,Республика Дагестан,Глава МР «Дербентский район»,2020,Квартира,164.5,В собственности
