person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Волошин Сергей Николаевич,Супруг(а),https://declarator.org/person/1426054,Управление Федеральной службы судебных приставов Магаданская область,Магаданская область,Начальник отделения,2021,Земельный участок,681.0,Долевая собственность
Волошин Сергей Николаевич,Супруг(а),https://declarator.org/person/1426054,Управление Федеральной службы судебных приставов Магаданская область,Магаданская область,Начальник отделения,2021,Квартира,54.5,Индивидуальная
Волошин Сергей Николаевич,Супруг(а),https://declarator.org/person/1426054,Управление Федеральной службы судебных приставов Магаданская область,Магаданская область,Начальник отделения,2021,Жилой дом,155.0,Долевая собственность
Лопатинская Анжела Анатольевна,Супруг(а),https://declarator.org/person/50572,Управление ветеринарии Санкт-Петербурга,Санкт-Петербург,заместитель начальника Управления ветеринарии Санкт-Петербурга – начальник Отдела организации ветеринарно-санитарных мероприятий,2021,Земельный участок,550.0,Индивидуальная
Лопатинская Анжела Анатольевна,Супруг(а),https://declarator.org/person/50572,Управление ветеринарии Санкт-Петербурга,Санкт-Петербург,заместитель начальника Управления ветеринарии Санкт-Петербурга – начальник Отдела организации ветеринарно-санитарных мероприятий,2021,Земельный участок,837.0,Индивидуальная
Лопатинская Анжела Анатольевна,Супруг(а),https://declarator.org/person/50572,Управление ветеринарии Санкт-Петербурга,Санкт-Петербург,заместитель начальника Управления ветеринарии Санкт-Петербурга – начальник Отдела организации ветеринарно-санитарных мероприятий,2021,Земельный участок,18736.0,Индивидуальная
Долгополова Алена Олеговна,декларант,https://declarator.org/person/510874,Аппарат Брянской областной думы,Брянская область,советник отдела управления,2021,Жилой дом,217.9,Долевая собственность
Дарвай В В,Ребенок,https://declarator.org/person/1467116,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,68.0,В пользовании
Дарвай В В,Супруг(а),https://declarator.org/person/1467116,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,68.0,В пользовании
Дарвай В В,декларант,https://declarator.org/person/1467116,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,68.0,В пользовании
Дарвай В В,Ребенок,https://declarator.org/person/1467116,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,68.0,В пользовании
Степаненко А.М.,декларант,https://declarator.org/office/600?active-tab=year-2021,Министерство промышленности и торговли,федеральный орган,Консультант,2021,Квартира,64.1,В пользовании
Ратникова О.М.,декларант,https://declarator.org/office/8103?active-tab=year-2021,Министерство развития Арктики и экономики Мурманской области,Мурманская область,главный специалист управления по лицензированию,2021,Квартира,30.4,Долевая собственность
Куницкий В М,Ребенок,https://declarator.org/person/1043125,Министерство труда и социального развития Омской области,Омская область, - Управление Министерства труда и социального развития Омской области по городу Омску,2021,Квартира,56.4,В пользовании
Куницкий В М,Супруг(а),https://declarator.org/person/1043125,Министерство труда и социального развития Омской области,Омская область, - Управление Министерства труда и социального развития Омской области по городу Омску,2021,Квартира,56.4,В пользовании
Загвозкина Людмила Петровна,декларант,https://declarator.org/person/1513939,Министерство образования и науки Республики Бурятия,Республика Бурятия,Директор ГБОУ «Специальная (коррекционная) общеобразовательная школа V вида»,2021,Квартира,45.8,Индивидуальная
КУРЕЛЮК Александр Сергеевич,декларант,https://declarator.org/office/1784?active-tab=year-2021,Екатеринбург - городской округ,Свердловская область,"Директор МАУ СШ ""Росток""",2021,Квартира,47.4,Индивидуальная
Сапич Дмитрий Валерьевич,декларант,https://declarator.org/person/1226965,Урай - городской округ,Ханты-Мансийский автономный округ — Югра,,2021,Гараж,24.0,В собственности
Ганева Н С,Ребенок,https://declarator.org/person/501250,Новый Уренгой - городской округ,Ямало-Ненецкий автономный округ,ведущий специалист сектора финансового контроля в сфере закупок Управления финансового контроля,2021,Жилой дом,98.7,В пользовании
Ганева Н С,Ребенок,https://declarator.org/person/501250,Новый Уренгой - городской округ,Ямало-Ненецкий автономный округ,ведущий специалист сектора финансового контроля в сфере закупок Управления финансового контроля,2021,Жилой дом,98.7,В пользовании
Ганева Н С,Ребенок,https://declarator.org/person/501250,Новый Уренгой - городской округ,Ямало-Ненецкий автономный округ,ведущий специалист сектора финансового контроля в сфере закупок Управления финансового контроля,2021,Жилой дом,98.7,В пользовании
Ганева Н С,Ребенок,https://declarator.org/person/501250,Новый Уренгой - городской округ,Ямало-Ненецкий автономный округ,ведущий специалист сектора финансового контроля в сфере закупок Управления финансового контроля,2021,Жилой дом,98.7,В пользовании
Ганева Н С,Ребенок,https://declarator.org/person/501250,Новый Уренгой - городской округ,Ямало-Ненецкий автономный округ,ведущий специалист сектора финансового контроля в сфере закупок Управления финансового контроля,2021,Жилой дом,98.7,В пользовании
Ганева Н С,Ребенок,https://declarator.org/person/501250,Новый Уренгой - городской округ,Ямало-Ненецкий автономный округ,ведущий специалист сектора финансового контроля в сфере закупок Управления финансового контроля,2021,Жилой дом,98.7,В пользовании
Ганева Н С,Ребенок,https://declarator.org/person/501250,Новый Уренгой - городской округ,Ямало-Ненецкий автономный округ,ведущий специалист сектора финансового контроля в сфере закупок Управления финансового контроля,2021,Жилой дом,98.7,В пользовании
Ганева Н С,Ребенок,https://declarator.org/person/501250,Новый Уренгой - городской округ,Ямало-Ненецкий автономный округ,ведущий специалист сектора финансового контроля в сфере закупок Управления финансового контроля,2021,Жилой дом,98.7,В пользовании
Ганева Н С,Супруг(а),https://declarator.org/person/501250,Новый Уренгой - городской округ,Ямало-Ненецкий автономный округ,ведущий специалист сектора финансового контроля в сфере закупок Управления финансового контроля,2021,Жилой дом,98.7,Индивидуальная
Ганева Н С,декларант,https://declarator.org/person/501250,Новый Уренгой - городской округ,Ямало-Ненецкий автономный округ,ведущий специалист сектора финансового контроля в сфере закупок Управления финансового контроля,2021,Жилой дом,98.7,В пользовании
Ганева Н С,Ребенок,https://declarator.org/person/501250,Новый Уренгой - городской округ,Ямало-Ненецкий автономный округ,ведущий специалист сектора финансового контроля в сфере закупок Управления финансового контроля,2021,Жилой дом,98.7,В пользовании
Ганева Н С,Ребенок,https://declarator.org/person/501250,Новый Уренгой - городской округ,Ямало-Ненецкий автономный округ,ведущий специалист сектора финансового контроля в сфере закупок Управления финансового контроля,2021,Жилой дом,98.7,В пользовании
Кузнецова Родика Владимировна,декларант,https://declarator.org/person/573399,Верхнетоемский муниципальный округ,Архангельская область,Заместитель начальника отдела земельно-имущественных отношений администрации,2021,Квартира,33.1,Индивидуальная
Подолько Олег Ефимович,Супруг(а),https://declarator.org/person/39344,Управление делами Президента,федеральный орган,генеральный директор ФГБУ «Комплекс «Крым»,2021,Квартира,138.6,Индивидуальная
Подолько Олег Ефимович,Супруг(а),https://declarator.org/person/39344,Управление делами Президента,федеральный орган,генеральный директор ФГБУ «Комплекс «Крым»,2021,Гараж,27.5,Индивидуальная
Винча Т.П.,Супруг(а),https://declarator.org/office/5973?active-tab=year-2021,Департамент труда и социальной защиты населения города Москвы,Москва,"главный специалист отдела социальной защиты населения района Зюзино Юго- Западного административного округа города Москвы - Сведения о доходах, расходах,
об имуществе и обязательствах имущественного характера
государственных гражданских служащих Управления социальной защиты населения Западного административного округа города Москвы и членов их семей за период с 1 января 2021 г. по 31 декабря 2021 г.",2021,Квартира,46.0,Долевая собственность
Мазур В Ю,Супруг(а),https://declarator.org/person/644707,Комаровский п. - городской округ (ЗАТО),Оренбургская область,Глава муниципального образования,2021,Земельный участок,826.0,Индивидуальная
