person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Хетагурова Мзевинари Дмитриевна,декларант,https://declarator.org/person/1283056,Управление Федеральной службы судебных приставов Республика Северная Осетия — Алания,Республика Северная Осетия — Алания,Заместитель начальника отдела,2021,Жилой дом,67.0,Индивидуальная
Бесаева Зарина Дмитриевна,Супруг(а),https://declarator.org/person/63181,Министерство труда и социальной защиты,федеральный орган,"И.о. руководителя - главного эксперта по медико-социальной экспертизе ФКУ ""ГБ МСЭ по Калининградской области"" Минтруда России",2021,Земельный участок,567.0,В пользовании
Бесаева Зарина Дмитриевна,Супруг(а),https://declarator.org/person/63181,Министерство труда и социальной защиты,федеральный орган,"И.о. руководителя - главного эксперта по медико-социальной экспертизе ФКУ ""ГБ МСЭ по Калининградской области"" Минтруда России",2021,Жилой дом,132.6,Индивидуальная
Газзаев Г В,декларант,https://declarator.org/person/1453434,Министерство обороны,федеральный орган,,2021,Квартира,66.8,Индивидуальная
Газзаев Г В,декларант,https://declarator.org/person/1453434,Министерство обороны,федеральный орган,,2021,Квартира,66.8,Индивидуальная
Тедеев Э В,декларант,https://declarator.org/person/800113,Дальневосточное таможенное управление,федеральный орган,Начальник таможенного поста,2021,Земельный участок,940.0,Индивидуальная
Тедеев Э В,декларант,https://declarator.org/person/800113,Дальневосточное таможенное управление,федеральный орган,Начальник таможенного поста,2021,Жилой дом,99.2,Индивидуальная
Санакоев С.Л.,декларант,https://declarator.org/office/5510?active-tab=year-2021,Центральное таможенное управление,федеральный орган,Начальник таможни,2021,Гараж,30.0,Индивидуальная
Санакоев С.Л.,Супруг(а),https://declarator.org/office/5510?active-tab=year-2021,Центральное таможенное управление,федеральный орган,Начальник таможни,2021,Жилой дом,130.0,Индивидуальная
Санакоев С.Л.,Супруг(а),https://declarator.org/office/5510?active-tab=year-2021,Центральное таможенное управление,федеральный орган,Начальник таможни,2021,Земельный участок,2000.0,Индивидуальная
Каджаев Инал Сергеевич,декларант,https://declarator.org/person/1066545,Муниципальный округ Южное Медведково (СВАО),Москва,"депутат, осуществляющий полномочия на непостоянной основе",2021,Жилой дом,195.9,Индивидуальная
Леонов Е В,декларант,https://declarator.org/person/619217,Федеральная таможенная служба,федеральный орган,Начальник поста,2020,Жилой дом,51.0,В пользовании
Бесаева Зарина Дмитриевна,Супруг(а),https://declarator.org/person/63181,Министерство труда и социальной защиты,федеральный орган,"Руководитель - главный эксперт по медико-социальной экспертизе ФКУ ""ГБ МСЭ по Калининградской области"" Минтруда России",2020,Земельный участок,567.0,В пользовании
Бесаева Зарина Дмитриевна,Супруг(а),https://declarator.org/person/63181,Министерство труда и социальной защиты,федеральный орган,"Руководитель - главный эксперт по медико-социальной экспертизе ФКУ ""ГБ МСЭ по Калининградской области"" Минтруда России",2020,Жилой дом,132.6,Индивидуальная
Тедеев Э В,декларант,https://declarator.org/person/800113,Дальневосточное таможенное управление,федеральный орган,Начальник поста,2020,Земельный участок,940.0,Индивидуальная
