person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Бурков М.В.,декларант,https://declarator.org/office/600?active-tab=year-2021,Министерство промышленности и торговли,федеральный орган,Главный специалист-эксперт - главный бухгалтер,2021,Квартира,50.0,В пользовании
Буреев Максим Юрьевич,декларант,https://declarator.org/person/63607,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2021,Квартира,84.0,В пользовании
Буянов-Уздальский Д А,декларант,https://declarator.org/person/1387777,Министерство промышленности и торговли,федеральный орган,Консультант,2021,Квартира,90.0,В пользовании
Буянов-Уздальский Д А,Ребенок,https://declarator.org/person/1387777,Министерство промышленности и торговли,федеральный орган,Консультант,2021,Квартира,90.0,В пользовании
Буянов-Уздальский Д А,Супруг(а),https://declarator.org/person/1387777,Министерство промышленности и торговли,федеральный орган,Консультант,2021,Квартира,90.0,В пользовании
Пискунов С В,Супруг(а),https://declarator.org/person/1154948,Министерство промышленности и торговли,федеральный орган,Консультант,2021,Квартира,65.0,В пользовании
Пискунов С В,декларант,https://declarator.org/person/1154948,Министерство промышленности и торговли,федеральный орган,Консультант,2021,Квартира,65.0,В пользовании
Пискунов С В,Ребенок,https://declarator.org/person/1154948,Министерство промышленности и торговли,федеральный орган,Консультант,2021,Квартира,65.0,В пользовании
Братчиков В С,декларант,https://declarator.org/person/1668403,Министерство промышленности и торговли,федеральный орган,Главный специалист-эксперт,2020,Квартира,60.0,В пользовании
Буреев Максим Юрьевич,Супруг(а),https://declarator.org/person/63607,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2020,Квартира,84.0,В пользовании
Буреев Максим Юрьевич,декларант,https://declarator.org/person/63607,Министерство промышленности и торговли,федеральный орган,Торговый представитель,2020,Квартира,84.0,В пользовании
Буянов-Уздальский Д А,декларант,https://declarator.org/person/1387777,Министерство промышленности и торговли,федеральный орган,Консультант,2020,Квартира,90.0,В пользовании
Буянов-Уздальский Д А,Супруг(а),https://declarator.org/person/1387777,Министерство промышленности и торговли,федеральный орган,Консультант,2020,Квартира,90.0,В пользовании
Буянов-Уздальский Д А,Ребенок,https://declarator.org/person/1387777,Министерство промышленности и торговли,федеральный орган,Консультант,2020,Квартира,90.0,В пользовании
Глинский А А,Ребенок,https://declarator.org/person/189152,Министерство промышленности и торговли,федеральный орган,Заместитель торгового представителя,2020,Квартира,75.0,В пользовании
Глинский А А,декларант,https://declarator.org/person/189152,Министерство промышленности и торговли,федеральный орган,Заместитель торгового представителя,2020,Квартира,75.0,В пользовании
Глинский А А,Супруг(а),https://declarator.org/person/189152,Министерство промышленности и торговли,федеральный орган,Заместитель торгового представителя,2020,Квартира,75.0,В пользовании
Глинский А А,Ребенок,https://declarator.org/person/189152,Министерство промышленности и торговли,федеральный орган,Заместитель торгового представителя,2020,Квартира,75.0,В пользовании
Глинский А А,Ребенок,https://declarator.org/person/189152,Министерство промышленности и торговли,федеральный орган,Заместитель торгового представителя,2020,Квартира,75.0,В пользовании
Глинский А А,Ребенок,https://declarator.org/person/189152,Министерство промышленности и торговли,федеральный орган,Заместитель торгового представителя,2020,Квартира,75.0,В пользовании
Пискунов С В,Ребенок,https://declarator.org/person/1154948,Министерство промышленности и торговли,федеральный орган,Консультант,2020,Квартира,65.0,В пользовании
Пискунов С В,Супруг(а),https://declarator.org/person/1154948,Министерство промышленности и торговли,федеральный орган,Консультант,2020,Квартира,65.0,В пользовании
Пискунов С В,декларант,https://declarator.org/person/1154948,Министерство промышленности и торговли,федеральный орган,Консультант,2020,Квартира,65.0,В пользовании
Буреев Максим Юрьевич,Супруг(а),https://declarator.org/person/63607,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Южно-Африканская Республика.,2017,Квартира,84.0,В пользовании
Буреев Максим Юрьевич,декларант,https://declarator.org/person/63607,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Южно-Африканская Республика.,2017,Квартира,84.0,В пользовании
Тихомиров Александр Валентинович,Супруг(а),https://declarator.org/person/39072,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель Внешэкономбанка,2016,Квартира,176.0,В пользовании
Тихомиров Александр Валентинович,декларант,https://declarator.org/person/39072,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель Внешэкономбанка,2016,Квартира,176.0,В пользовании
Тихомиров Александр Валентинович,Супруг(а),https://declarator.org/person/39072,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель Внешэкономбанка,2015,Квартира,176.0,В пользовании
Тихомиров Александр Валентинович,декларант,https://declarator.org/person/39072,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель Внешэкономбанка,2015,Квартира,176.0,В пользовании
