person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Перминов Александр Николаевич,декларант,https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,представитель ВЭБ.РФ,2020,Квартира,94.0,В пользовании
Перминов Александр Николаевич,Супруг(а),https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,представитель ВЭБ.РФ,2020,Квартира,94.0,В пользовании
Перминов Александр Николаевич,декларант,https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,представитель ВЭБ.РФ,2020,Квартира,94.0,В пользовании
Перминов Александр Николаевич,Супруг(а),https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,представитель ВЭБ.РФ,2020,Квартира,94.0,В пользовании
Перминов Александр Николаевич,декларант,https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,представитель ВЭБ.РФ,2019,Квартира,94.0,В пользовании
Перминов Александр Николаевич,Супруг(а),https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,представитель ВЭБ.РФ,2019,Квартира,94.0,В пользовании
Перминов Александр Николаевич,декларант,https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,представитель ВЭБ.РФ,2019,Квартира,94.0,В пользовании
Перминов Александр Николаевич,Супруг(а),https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,представитель ВЭБ.РФ,2019,Квартира,94.0,В пользовании
Перминов Александр Николаевич,Супруг(а),https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель ВЭБ.РФ,2018,Квартира,94.0,В пользовании
Перминов Александр Николаевич,декларант,https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель ВЭБ.РФ,2018,Квартира,94.0,В пользовании
Тарасюк Ярослав Викторович,Супруг(а),https://declarator.org/person/63643,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Республика Индия.,2017,Квартира,73.7,В пользовании
Тарасюк Ярослав Викторович,Ребенок,https://declarator.org/person/63643,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Республика Индия.,2017,Квартира,73.7,В пользовании
Тарасюк Ярослав Викторович,Ребенок,https://declarator.org/person/63643,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Республика Индия.,2017,Квартира,73.7,В пользовании
Тарасюк Ярослав Викторович,декларант,https://declarator.org/person/63643,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Республика Индия.,2017,Квартира,73.7,В пользовании
Калинин Игорь Валентинович,декларант,https://declarator.org/person/128258,Федеральная таможенная служба,федеральный орган,Представитель ФТС России в Индии,2017,Квартира,61.1,В пользовании
Перминов Александр Николаевич,Супруг(а),https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель Внешэкономбанка,2017,Квартира,94.0,В пользовании
Перминов Александр Николаевич,декларант,https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель Внешэкономбанка,2017,Квартира,94.0,В пользовании
Перминов Александр Николаевич,Ребенок,https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Заместитель представителя Внешэкономбанка,2016,Квартира,94.0,В пользовании
Перминов Александр Николаевич,Супруг(а),https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Заместитель представителя Внешэкономбанка,2016,Квартира,94.0,В пользовании
Перминов Александр Николаевич,декларант,https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Заместитель представителя Внешэкономбанка,2016,Квартира,94.0,В пользовании
Тарасюк Ярослав Викторович,Ребенок,https://declarator.org/person/63643,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,73.7,В пользовании
Тарасюк Ярослав Викторович,Супруг(а),https://declarator.org/person/63643,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,73.7,В пользовании
Тарасюк Ярослав Викторович,декларант,https://declarator.org/person/63643,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,73.7,В пользовании
Тарасюк Ярослав Викторович,Ребенок,https://declarator.org/person/63643,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,73.7,В пользовании
Комаров П В,декларант,https://declarator.org/person/1018149,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,74.0,В пользовании
Щеголев А.В.,декларант,https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,68.9,В пользовании
Елизарьев А В,Ребенок,https://declarator.org/person/1622384,Министерство экономического развития,федеральный орган,Начальник отдела - Начальники и заместители начальников,2016,Квартира,71.6,В пользовании
Елизарьев А В,декларант,https://declarator.org/person/1622384,Министерство экономического развития,федеральный орган,Начальник отдела - Начальники и заместители начальников,2016,Квартира,71.6,В пользовании
Елизарьев А В,Супруг(а),https://declarator.org/person/1622384,Министерство экономического развития,федеральный орган,Начальник отдела - Начальники и заместители начальников,2016,Квартира,71.6,В пользовании
Елизарьев А В,Ребенок,https://declarator.org/person/1622384,Министерство экономического развития,федеральный орган,Начальник отдела - Начальники и заместители начальников,2016,Квартира,71.6,В пользовании
Елизарьев А В,Ребенок,https://declarator.org/person/1622384,Министерство экономического развития,федеральный орган,Начальник отдела - Начальники и заместители начальников,2016,Квартира,71.6,В пользовании
Абдулина Н.С.,декларант,https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,74.1,В пользовании
Медведев М В,Ребенок,https://declarator.org/person/1094406,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,73.0,В пользовании
Медведев М В,Супруг(а),https://declarator.org/person/1094406,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,73.0,В пользовании
Медведев М В,декларант,https://declarator.org/person/1094406,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,73.0,В пользовании
Медведев М В,Ребенок,https://declarator.org/person/1094406,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,73.0,В пользовании
Ярмонов А Н,декларант,https://declarator.org/person/1622399,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2016,Квартира,70.0,В пользовании
Бессонов В Е,декларант,https://declarator.org/person/1622400,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,54.0,В пользовании
Бессонов В Е,Супруг(а),https://declarator.org/person/1622400,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,54.0,В пользовании
Бессонов В Е,Ребенок,https://declarator.org/person/1622400,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,54.0,В пользовании
Бессонов В Е,Ребенок,https://declarator.org/person/1622400,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,54.0,В пользовании
Степанов М.А.,декларант,https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,48.8,В пользовании
Трушина Лариса Александровна,Ребенок,https://declarator.org/person/373198,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,50.1,В пользовании
Трушина Лариса Александровна,Ребенок,https://declarator.org/person/373198,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,50.1,В пользовании
Трушина Лариса Александровна,декларант,https://declarator.org/person/373198,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,50.1,В пользовании
Перминов Александр Николаевич,Ребенок,https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,заместитель Представителя Внешэкономбанка,2016,Квартира,94.0,В пользовании
Перминов Александр Николаевич,Супруг(а),https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,заместитель Представителя Внешэкономбанка,2016,Квартира,94.0,В пользовании
Перминов Александр Николаевич,декларант,https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,заместитель Представителя Внешэкономбанка,2016,Квартира,94.0,В пользовании
Калинин И В,Ребенок,https://declarator.org/person/1022489,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,61.1,В пользовании
Калинин И В,Супруг(а),https://declarator.org/person/1022489,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,61.1,В пользовании
Калинин И В,декларант,https://declarator.org/person/1022489,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,61.1,В пользовании
Калинин И В,Супруг(а),https://declarator.org/person/1022489,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,61.1,В пользовании
Калинин И В,Ребенок,https://declarator.org/person/1022489,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,61.1,В пользовании
Калинин И В,декларант,https://declarator.org/person/1022489,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,61.1,В пользовании
Калинин И В,Ребенок,https://declarator.org/person/1022489,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,61.1,В пользовании
Калинин И В,декларант,https://declarator.org/person/1022489,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,61.1,В пользовании
Калинин И В,Супруг(а),https://declarator.org/person/1022489,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,61.1,В пользовании
Калинин И В,Ребенок,https://declarator.org/person/1022489,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,61.1,В пользовании
Калинин И В,декларант,https://declarator.org/person/1022489,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,61.1,В пользовании
Калинин И В,Супруг(а),https://declarator.org/person/1022489,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,61.1,В пользовании
Калинин Игорь Валентинович,Ребенок,https://declarator.org/person/128258,Федеральная таможенная служба,федеральный орган,Представитель,2016,Квартира,61.1,В пользовании
Калинин Игорь Валентинович,Супруг(а),https://declarator.org/person/128258,Федеральная таможенная служба,федеральный орган,Представитель,2016,Квартира,61.1,В пользовании
Калинин Игорь Валентинович,декларант,https://declarator.org/person/128258,Федеральная таможенная служба,федеральный орган,Представитель,2016,Квартира,61.1,В пользовании
Калинин Игорь Валентинович,Супруг(а),https://declarator.org/person/128258,Федеральная таможенная служба,федеральный орган,Представитель,2016,Квартира,61.1,В пользовании
Калинин Игорь Валентинович,декларант,https://declarator.org/person/128258,Федеральная таможенная служба,федеральный орган,Представитель,2016,Квартира,61.1,В пользовании
Калинин Игорь Валентинович,Ребенок,https://declarator.org/person/128258,Федеральная таможенная служба,федеральный орган,Представитель,2016,Квартира,61.1,В пользовании
Надысев Олег Николаевич,Ребенок,https://declarator.org/person/39734,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель Внешэкономбанка,2015,Квартира,90.4,В пользовании
Надысев Олег Николаевич,декларант,https://declarator.org/person/39734,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель Внешэкономбанка,2015,Квартира,90.4,В пользовании
Надысев Олег Николаевич,Супруг(а),https://declarator.org/person/39734,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель Внешэкономбанка,2015,Квартира,90.4,В пользовании
Перминов Александр Николаевич,Ребенок,https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Заместитель представителя Внешэкономбанка,2015,Квартира,94.0,В пользовании
Перминов Александр Николаевич,Супруг(а),https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Заместитель представителя Внешэкономбанка,2015,Квартира,94.0,В пользовании
Перминов Александр Николаевич,декларант,https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Заместитель представителя Внешэкономбанка,2015,Квартира,94.0,В пользовании
Надысев Олег Николаевич,декларант,https://declarator.org/person/39734,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель Внешэкономбанка,2015,Квартира,90.4,В пользовании
Надысев Олег Николаевич,Ребенок,https://declarator.org/person/39734,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель Внешэкономбанка,2015,Квартира,90.4,В пользовании
Надысев Олег Николаевич,Супруг(а),https://declarator.org/person/39734,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель Внешэкономбанка,2015,Квартира,90.4,В пользовании
Перминов Александр Николаевич,Ребенок,https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,заместитель Представителя Внешэкономбанка,2015,Квартира,94.0,В пользовании
Перминов Александр Николаевич,Супруг(а),https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,заместитель Представителя Внешэкономбанка,2015,Квартира,94.0,В пользовании
Перминов Александр Николаевич,декларант,https://declarator.org/person/39065,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,заместитель Представителя Внешэкономбанка,2015,Квартира,94.0,В пользовании
Тарасюк Ярослав Викторович,Ребенок,https://declarator.org/person/63643,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,73.74,В пользовании
Тарасюк Ярослав Викторович,Супруг(а),https://declarator.org/person/63643,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,73.74,В пользовании
Тарасюк Ярослав Викторович,Ребенок,https://declarator.org/person/63643,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,73.74,В пользовании
Тарасюк Ярослав Викторович,декларант,https://declarator.org/person/63643,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,73.74,В пользовании
