person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Шатилов Алексей Юрьевич,Супруг(а),https://declarator.org/person/63650,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Алжирская Народная Демократическая Республика.,2017,Квартира,84.1,В пользовании
Шатилов Алексей Юрьевич,декларант,https://declarator.org/person/63650,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Алжирская Народная Демократическая Республика.,2017,Квартира,84.1,В пользовании
Шатилов Алексей Юрьевич,декларант,https://declarator.org/person/63650,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,84.1,В пользовании
Алабужин В Н,декларант,https://declarator.org/person/1369428,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,60.0,В пользовании
Алабужин В Н,Супруг(а),https://declarator.org/person/1369428,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,60.0,В пользовании
Шатилов Алексей Юрьевич,декларант,https://declarator.org/person/63650,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,84.06,В пользовании
Шатилов Алексей Юрьевич,декларант,https://declarator.org/person/63650,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,84.06,В пользовании
Муртазина А Р,декларант,https://declarator.org/person/1109981,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2015,Квартира,75.0,В пользовании
Алабужин В Н,декларант,https://declarator.org/person/1369428,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-эксперты,2015,Квартира,60.0,В пользовании
Муртазина А Р,декларант,https://declarator.org/person/1109981,Министерство экономического развития,федеральный орган,Консультант - Консультанты,2015,Квартира,75.0,В пользовании
Алабужин В Н,декларант,https://declarator.org/person/1369428,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-эксперты,2015,Квартира,60.0,В пользовании
Палаухина Л В,Супруг(а),https://declarator.org/person/1168128,Отделение Социального фонда России Тюменская область,Тюменская область,Главный специалист-эксперт (юрисконсульт) - Управление ПФР в Голышмановском районе Тюменской области,2015,Жилой дом,217.0,В пользовании
Палаухина Л В,Супруг(а),https://declarator.org/person/1168128,Отделение Социального фонда России Тюменская область,Тюменская область,Главный специалист-эксперт (юрисконсульт) - Управление ПФР в Голышмановском районе Тюменской области,2015,Жилой дом,217.0,В пользовании
Шатилов Алексей Юрьевич,Супруг(а),https://declarator.org/person/63650,Министерство экономического развития,федеральный орган,Торговый представитель Российской Федерации - Торговые представители,2013,Квартира,84.06,В пользовании
Шатилов Алексей Юрьевич,декларант,https://declarator.org/person/63650,Министерство экономического развития,федеральный орган,Торговый представитель Российской Федерации - Торговые представители,2013,Квартира,84.06,В пользовании
Шатилов Алексей Юрьевич,Супруг(а),https://declarator.org/person/63650,Министерство экономического развития,федеральный орган,Торговый представитель Российской Федерации - Торговые представители,2013,Квартира,84.06,В пользовании
Шатилов Алексей Юрьевич,декларант,https://declarator.org/person/63650,Министерство экономического развития,федеральный орган,Торговый представитель Российской Федерации - Торговые представители,2013,Квартира,84.06,В пользовании
Алабужин В Н,декларант,https://declarator.org/person/1369428,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-эксперты,2013,Квартира,56.62,В пользовании
Алабужин В Н,декларант,https://declarator.org/person/1369428,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-эксперты,2013,Квартира,56.62,В пользовании
