person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Мамута Михаил Валерьевич,декларант,https://declarator.org/person/132338,Центральный Банк,федеральный орган,"Руководитель службы, член совета директоров Банка России - ",2021,Квартира,52.0,В пользовании
Мамута Михаил Валерьевич,Супруг(а),https://declarator.org/person/132338,Центральный Банк,федеральный орган,"Руководитель службы, член совета директоров Банка России - ",2021,Квартира,52.0,Индивидуальная
Салахов Мякзюм Халимулович,Супруг(а),https://declarator.org/person/14729,Государственный Совет Республики Татарстан,Республика Татарстан,Депутат государственного совета Республики Татарстан,2021,Квартира,51.0,Индивидуальная
Чалик Игорь Петрович,декларант,https://declarator.org/person/1540649,Министерство транспорта,федеральный орган,Заместитель Министра - Заместители Министра транспорта Российской Федерации,2021,Квартира,70.4,Индивидуальная
Сченснович Владимир Сергеевич,Супруг(а),https://declarator.org/person/45465,"Департамент по делам гражданской обороны, чрезвычайным ситуациям и пожарной безопасности города Москвы",Москва,Первый заместитель руководителя Департамента,2021,Квартира,50.0,Долевая собственность
Нестерова-Гришаева Нонна Валентиновна,декларант,https://declarator.org/person/675025,Министерство культуры и туризма Московской области,Московская область,"Художественный руководитель ГАУК МО ""Московский областной государственный театр юного зрителя""",2021,Квартира,74.0,В собственности
Пономарев О А,декларант,https://declarator.org/person/1159009,Федеральное медико-биологическое агентство,федеральный орган,И.о.начальника - ФГБУЗ ЦМСЧ № 58 ФМБА России,2021,Дача,166.0,Индивидуальная
Пономарев О А,декларант,https://declarator.org/person/1159009,Федеральное медико-биологическое агентство,федеральный орган,И.о.начальника - ФГБУЗ ЦМСЧ № 58 ФМБА России,2021,Дача,150.0,Индивидуальная
Булукова Елена Николаевна,Ребенок,https://declarator.org/person/60794,Министерство культуры,федеральный орган,Директор - Федеральное государственное бюджетное учреждение культуры «Государственный академический центральный театр кукол имени С.В. Образцова»,2021,Квартира,56.0,В пользовании
Булукова Елена Николаевна,Ребенок,https://declarator.org/person/60794,Министерство культуры,федеральный орган,Директор - Федеральное государственное бюджетное учреждение культуры «Государственный академический центральный театр кукол имени С.В. Образцова»,2021,Квартира,56.0,В пользовании
Булукова Елена Николаевна,Супруг(а),https://declarator.org/person/60794,Министерство культуры,федеральный орган,Директор - Федеральное государственное бюджетное учреждение культуры «Государственный академический центральный театр кукол имени С.В. Образцова»,2021,Квартира,56.0,В пользовании
