person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Рыкунов Николай Николаевич,Супруг(а),https://declarator.org/person/128268,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,декларант,https://declarator.org/person/128268,Федеральная таможенная служба,федеральный орган,Представитель,2020,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,декларант,https://declarator.org/person/128268,Федеральная таможенная служба,федеральный орган,Представитель,2019,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,Супруг(а),https://declarator.org/person/128268,Федеральная таможенная служба,федеральный орган,Представитель,2019,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,Супруг(а),https://declarator.org/person/128268,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,декларант,https://declarator.org/person/128268,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,декларант,https://declarator.org/person/128268,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,Супруг(а),https://declarator.org/person/128268,Федеральная таможенная служба,федеральный орган,Представитель,2018,Квартира,74.0,В пользовании
Деркач Сергей Владимирович,декларант,https://declarator.org/person/63614,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Аргентинская Республика.,2017,Квартира,94.2,В пользовании
Деркач Сергей Владимирович,Супруг(а),https://declarator.org/person/63614,Министерство экономического развития,федеральный орган,Руководитель. Торговое представительство. Аргентинская Республика.,2017,Квартира,94.2,В пользовании
Рыкунов Николай Николаевич,Ребенок,https://declarator.org/person/128268,Федеральная таможенная служба,федеральный орган,Представитель ФТС России в Аргентине,2017,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,Супруг(а),https://declarator.org/person/128268,Федеральная таможенная служба,федеральный орган,Представитель ФТС России в Аргентине,2017,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,декларант,https://declarator.org/person/128268,Федеральная таможенная служба,федеральный орган,Представитель ФТС России в Аргентине,2017,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,Супруг(а),https://declarator.org/person/128268,Федеральная таможенная служба,федеральный орган,Представитель,2017,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,Ребенок,https://declarator.org/person/128268,Федеральная таможенная служба,федеральный орган,Представитель,2017,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,декларант,https://declarator.org/person/128268,Федеральная таможенная служба,федеральный орган,Представитель,2017,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,Супруг(а),https://declarator.org/person/128268,Федеральная таможенная служба,федеральный орган,Представитель,2017,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,декларант,https://declarator.org/person/128268,Федеральная таможенная служба,федеральный орган,Представитель,2017,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,Ребенок,https://declarator.org/person/128268,Федеральная таможенная служба,федеральный орган,Представитель,2017,Квартира,74.0,В пользовании
Деркач Сергей Владимирович,декларант,https://declarator.org/person/63614,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,94.2,В пользовании
Деркач Сергей Владимирович,Супруг(а),https://declarator.org/person/63614,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2016,Квартира,94.2,В пользовании
Головачев А В,декларант,https://declarator.org/person/189188,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,85.6,В пользовании
Головачев А В,Супруг(а),https://declarator.org/person/189188,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,85.6,В пользовании
Зотов М К,Супруг(а),https://declarator.org/person/1622375,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,107.0,В пользовании
Зотов М К,декларант,https://declarator.org/person/1622375,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,107.0,В пользовании
Зотов М К,Ребенок,https://declarator.org/person/1622375,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,107.0,В пользовании
Позняков П С,Супруг(а),https://declarator.org/person/1622378,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,70.0,В пользовании
Позняков П С,декларант,https://declarator.org/person/1622378,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,70.0,В пользовании
Позняков П С,Ребенок,https://declarator.org/person/1622378,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2016,Квартира,70.0,В пользовании
Игнатенко О.В.,Супруг(а),https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,64.6,В пользовании
Игнатенко О.В.,декларант,https://declarator.org/office/603?active-tab=year-2016,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,64.6,В пользовании
Мамедов Ф Ф,Супруг(а),https://declarator.org/person/1622404,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,64.9,В пользовании
Мамедов Ф Ф,декларант,https://declarator.org/person/1622404,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2016,Квартира,64.9,В пользовании
Рожнев М Ю,Ребенок,https://declarator.org/person/1186821,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,64.8,В пользовании
Рожнев М Ю,Супруг(а),https://declarator.org/person/1186821,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,64.8,В пользовании
Рожнев М Ю,декларант,https://declarator.org/person/1186821,Министерство экономического развития,федеральный орган,Ведущий специалист-эксперт - Ведущие специалисты-экспертыи специалисты-эксперты,2016,Квартира,64.8,В пользовании
Рыкунов Николай Николаевич,Ребенок,https://declarator.org/person/128268,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,Супруг(а),https://declarator.org/person/128268,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,Супруг(а),https://declarator.org/person/128268,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,Ребенок,https://declarator.org/person/128268,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,Супруг(а),https://declarator.org/person/128268,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,Ребенок,https://declarator.org/person/128268,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,Ребенок,https://declarator.org/person/128268,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,Супруг(а),https://declarator.org/person/128268,Центральная энергетическая таможня,федеральный орган,Представитель,2016,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,Супруг(а),https://declarator.org/person/128268,Федеральная таможенная служба,федеральный орган,Представитель,2016,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,Ребенок,https://declarator.org/person/128268,Федеральная таможенная служба,федеральный орган,Представитель,2016,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,Ребенок,https://declarator.org/person/128268,Федеральная таможенная служба,федеральный орган,Представитель,2016,Квартира,74.0,В пользовании
Рыкунов Николай Николаевич,Супруг(а),https://declarator.org/person/128268,Федеральная таможенная служба,федеральный орган,Представитель,2016,Квартира,74.0,В пользовании
Деркач Сергей Владимирович,декларант,https://declarator.org/person/63614,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,94.23,В пользовании
Деркач Сергей Владимирович,декларант,https://declarator.org/person/63614,Министерство экономического развития,федеральный орган,Торговый представитель - Торговые представители,2015,Квартира,94.23,В пользовании
Головачев А В,декларант,https://declarator.org/person/189188,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,85.64,В пользовании
Головачев А В,декларант,https://declarator.org/person/189188,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,85.64,В пользовании
Кондратенко В А,декларант,https://declarator.org/person/1023630,Министерство экономического развития,федеральный орган,Заместитель Торгового представителя - Заместители торговых представителей,2015,Квартира,107.0,В пользовании
Кузнецов А Г,Супруг(а),https://declarator.org/person/1030171,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,77.27,В пользовании
Кузнецов А Г,декларант,https://declarator.org/person/1030171,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,77.27,В пользовании
Кузнецов А Г,Ребенок,https://declarator.org/person/1030171,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,77.27,В пользовании
Кондратенко В А,декларант,https://declarator.org/person/1023630,Министерство экономического развития,федеральный орган,Заместитель Торгового представителя - Заместители торговых представителей,2015,Квартира,107.0,В пользовании
Кузнецов А Г,декларант,https://declarator.org/person/1030171,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,77.27,В пользовании
Кузнецов А Г,Супруг(а),https://declarator.org/person/1030171,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,77.27,В пользовании
Кузнецов А Г,Ребенок,https://declarator.org/person/1030171,Министерство экономического развития,федеральный орган,Заместитель торгового представителя - Заместители торговых представителей,2015,Квартира,77.27,В пользовании
Коровкина Н В,декларант,https://declarator.org/person/1035377,Министерство экономического развития,федеральный орган,Начальник отдела - Начальники и заместители начальников,2015,Квартира,85.2,В пользовании
Бубненко А А,Ребенок,https://declarator.org/person/1392942,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2015,Квартира,64.27,В пользовании
Бубненко А А,Супруг(а),https://declarator.org/person/1392942,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2015,Квартира,64.26,В пользовании
Бубненко А А,декларант,https://declarator.org/person/1392942,Министерство экономического развития,федеральный орган,Главный специалист-эксперт - Главные специалисты-эксперты,2015,Квартира,64.27,В пользовании
