person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Аршба Отари Ионович,Супруг(а),https://declarator.org/person/118,Государственная Дума,федеральный орган,"Депутат государственной думы, член комитета",2021,Земельный участок,2656.0,Индивидуальная
Аршба Отари Ионович,декларант,https://declarator.org/person/118,Государственная Дума,федеральный орган,"Депутат государственной думы, член комитета",2021,Квартира,74.18,Долевая собственность
Аршба Отари Ионович,Супруг(а),https://declarator.org/person/118,Государственная Дума,федеральный орган,"Депутат государственной думы, член комитета",2021,Квартира,16.0,Индивидуальная
Аршба Отари Ионович,Супруг(а),https://declarator.org/person/118,Государственная Дума,федеральный орган,"Депутат государственной думы, член комитета",2021,Жилой дом,1263.88,Индивидуальная
Аршба Отари Ионович,Супруг(а),https://declarator.org/person/118,Государственная Дума,федеральный орган,"Депутат государственной думы, член комитета",2021,Земельный участок,10030.0,Индивидуальная
Аршба Отари Ионович,Супруг(а),https://declarator.org/person/118,Государственная Дума,федеральный орган,"Депутат государственной думы, член комитета",2021,Жилой дом,226.5,Индивидуальная
Аршба Отари Ионович,Супруг(а),https://declarator.org/person/118,Государственная Дума,федеральный орган,"Депутат государственной думы, член комитета",2021,Земельный участок,4122.0,Индивидуальная
Аршба Отари Ионович,Супруг(а),https://declarator.org/person/118,Государственная Дума,федеральный орган,"Депутат государственной думы, член комитета",2021,Земельный участок,3510.0,Индивидуальная
Махарадзе Михаил Шакроевич,Супруг(а),https://declarator.org/office/5985?active-tab=year-2021,Московская административная дорожная инспекция,Москва,"главный специалист отдела фотовидеофиксации Управления рассмотрения дел и обращений - - 
Лошаков Илья Игоревич
инспектор отдела надзора за таксомоторными перевозками Управления надзора за перевозками пассажиров и багажа
квартира
общая долевая, 1/3
53,3
Россия
квартира
40,8
Россия
не имеет
1856287,39
сделок не совершал",2021,Квартира,130.0,В пользовании
Челидзе Наталья Алексеевна,Супруг(а),https://declarator.org/person/26050,Управа района Старое Крюково,Москва,заведующий сектором,2021,Квартира,92.0,В пользовании
Цискаридзе Николай Максиимович,декларант,https://declarator.org/person/60856,Министерство культуры,федеральный орган,И.о. ректора - Федеральное государственное бюджетное образовательное учреждение высшего образования «Академия Русского балета имени А.Я. Вагановой»,2021,Жилой дом,190.0,Индивидуальная
Цискаридзе Николай Максиимович,декларант,https://declarator.org/person/60856,Министерство культуры,федеральный орган,И.о. ректора - Федеральное государственное бюджетное образовательное учреждение высшего образования «Академия Русского балета имени А.Я. Вагановой»,2021,Земельный участок,375.0,Индивидуальная
Дарбазанов Р А,декларант,https://declarator.org/person/1468660,Министерство сельского хозяйства,федеральный орган,Заместитель директора - Федеральное государственное бюджетное учреждение «Управление мелиорации земель и сельскохозяйственного водоснабжения по Республике Ингушетия»,2021,Квартира,28.0,Индивидуальная
Дарбазанов Р А,декларант,https://declarator.org/person/1468660,Министерство сельского хозяйства,федеральный орган,Заместитель директора - Федеральное государственное бюджетное учреждение «Управление мелиорации земель и сельскохозяйственного водоснабжения по Республике Ингушетия»,2021,Квартира,28.0,Индивидуальная
Меньшикова Наталия Сергеевна,Супруг(а),https://declarator.org/person/649493,Администрация Центрального района,Санкт-Петербург,Заведующий ГБДОУ детским садом № 116 Центрального района Санкт-Петербурга,2021,Квартира,21.0,В собственности
Меньшикова Наталия Сергеевна,Супруг(а),https://declarator.org/person/649493,Администрация Центрального района,Санкт-Петербург,Заведующий ГБДОУ детским садом № 116 Центрального района Санкт-Петербурга,2021,Квартира,28.3,В собственности
Аликберов А К,Супруг(а),https://declarator.org/person/1371879,Министерство науки и высшего образования,федеральный орган,Директор Федерального государственного бюджетного учреждения науки Институт востоковедения Российской академии наук,2021,Квартира,95.0,Индивидуальная
Пучко Дмитрий Александрович,Супруг(а),https://declarator.org/person/46510,Министерство экономического развития,федеральный орган,Директор департамента - Директора департаментов,2021,Квартира,163.3,Индивидуальная
Киракосян Наталья Арташесовна,декларант,https://declarator.org/person/590661,Правительство Санкт-Петербурга,Санкт-Петербург,Начальник отдела развития проектной деятельности Проектного управления – проектного офиса,2021,Земельный участок,497.0,Долевая собственность
Киракосян Наталья Арташесовна,декларант,https://declarator.org/person/590661,Правительство Санкт-Петербурга,Санкт-Петербург,Начальник отдела развития проектной деятельности Проектного управления – проектного офиса,2021,Квартира,44.0,Долевая собственность
Анташвили-Воронина Л М,Супруг(а),https://declarator.org/person/420500,Министерство дорожного хозяйства и транспорта Ставропольского края,Ставропольский край,консультант-юрисконсульт - Отдел правового и кадрового обеспечения,2021,Жилой дом,121.0,В пользовании
Капшанова З Х,Супруг(а),https://declarator.org/person/1057956,Департамент внутренней политики Ямало-Ненецкого АО,Ямало-Ненецкий автономный округ,главный специалист отдела ведения регистра муниципальных нормативных правовых актов юридического управления,2021,Квартира,71.0,Индивидуальная
Капшанова З Х,Супруг(а),https://declarator.org/person/1057956,Департамент внутренней политики Ямало-Ненецкого АО,Ямало-Ненецкий автономный округ,"главный специалист отдела ведения регистра муниципальных нормативных правовых актов юридического управления - 51











<1> В случае если в отчетном периоде лицу, замещающему государственную должность Ямало-Ненецкого автономного округа, государственному гражданскому служащему Ямало-Ненецкого автономного округа по месту службы  предоставлены (выделены) средства на приобретение (строительство) жилого помещения, данные средства суммируются с декларированным годовым доходом, а также указываются отдельно в настоящей графе. <2> Сведения указываются, если сумма сделки превышает общий доход лица, замещающего государственную должность Ямало-Ненецкого автономного округа, государственного гражданского служащего Ямало-Ненецкого автономного округа и его супруги (супруга) за три последних года, предшествующих совершению сделки.

Департамент внутренней политики Ямало-Ненецкого автономного округа

Сведения о доходах, расходах, об имуществе и обязательствах имущественного характера  

за период с 01 января 2021 года по 31 декабря 2021 года

№ п/п


Яковийчук Е.Г.


главный специалист сектора документационного обеспечения и контроля организационного управления


квартира


индивидуальная


43,6


Россия


жилой дом
157,5
Россия
легкововй автомобиль Киа


1970153,34",2021,Квартира,71.0,Индивидуальная
Рудницкий Павел Викторович,Супруг(а),https://declarator.org/person/735215,Снежинский - городской округ,Челябинская область,Директор МБУ «СШОР по гандболу»,2021,Квартира,51.8,Совместная собственность
Рудницкий Павел Викторович,декларант,https://declarator.org/person/735215,Снежинский - городской округ,Челябинская область,Директор МБУ «СШОР по гандболу»,2021,Квартира,51.8,Совместная собственность
Бредний Вадим Витальевич,Супруг(а),https://declarator.org/person/1411509,Улан-Удэ - городской округ,Республика Бурятия,депутат,2021,Квартира,146.6,Совместная собственность
Бредний Вадим Витальевич,декларант,https://declarator.org/person/1411509,Улан-Удэ - городской округ,Республика Бурятия,депутат,2021,Квартира,146.6,Совместная собственность
Вешнякова Ю.В.,Супруг(а),https://declarator.org/office/5973?active-tab=year-2021,Департамент труда и социальной защиты населения города Москвы,Москва,"заместитель начальника отдела социальной защиты населения района Фили-Давыдково Управления социальной защиты населения Западного административного округа города Москвы - Сведения о доходах, расходах,
об имуществе и обязательствах имущественного характера
государственных гражданских служащих Управления социальной защиты населения Западного административного округа города Москвы и членов их семей за период с 1 января 2021 г. по 31 декабря 2021 г.",2021,Жилой дом,105.93,Совместная собственность
Джеджея Татьяна Юрьевна,Супруг(а),https://declarator.org/person/46008,Департамент труда и социальной защиты населения города Москвы,Москва,"директор Государственного бюджетного учреждения города Москвы Территориальный центр социального обслуживания ""Ясенево"" - Сведения о доходах, расходах,
об имуществе и обязательствах имущественного характера
государственных гражданских служащих Управления социальной защиты населения Западного административного округа города Москвы и членов их семей за период с 1 января 2021 г. по 31 декабря 2021 г.",2021,Квартира,31.4,Индивидуальная
Джеджея Татьяна Юрьевна,Супруг(а),https://declarator.org/person/46008,Департамент труда и социальной защиты населения города Москвы,Москва,"директор Государственного бюджетного учреждения города Москвы Территориальный центр социального обслуживания ""Ясенево"" - Сведения о доходах, расходах,
об имуществе и обязательствах имущественного характера
государственных гражданских служащих Управления социальной защиты населения Западного административного округа города Москвы и членов их семей за период с 1 января 2021 г. по 31 декабря 2021 г.",2021,Квартира,29.9,Индивидуальная
Ильин И.А.,Супруг(а),https://declarator.org/office/5971?active-tab=year-2021,Департамент торговли и услуг города Москвы,Москва,советник Сектора анализа эффективности контрольных мероприятий Управления государственного контроля,2021,Квартира,34.4,Индивидуальная
Егизарян К А,декларант,https://declarator.org/person/525339,Департамент торговли и услуг города Москвы,Москва,советник Сектора обработки лицензионных документов Управления государственных услуг,2021,Квартира,34.4,Индивидуальная
Веревкина Марина Алексеевна,Супруг(а),https://declarator.org/person/472747,Кировский район,Ленинградская область,Начальник отдела муниципального заказа,2021,Квартира,41.4,Индивидуальная
Веревкина Марина Алексеевна,Супруг(а),https://declarator.org/person/472747,Кировский район,Ленинградская область,Начальник отдела муниципального заказа,2021,Квартира,41.4,Индивидуальная
Иорданишвили Галина Викторовна,Супруг(а),https://declarator.org/person/1524870,Каменский район,Ростовская область,Начальник отдела прогнозирования доходов и налоговой политики,2021,Жилой дом,150.0,Индивидуальная
Авдои Джони Титалович,декларант,https://declarator.org/person/136841,Законодательное собрание Приморского края,Приморский край,Депутат законодательного собрания Приморского края,2021,Квартира,40.0,Индивидуальная
Разяпова Лилия Анваровна,Супруг(а),https://declarator.org/person/56348,Муниципальный округ Свиблово (СВАО),Москва,Главный бухгалтер -начальник отдела,2021,Земельный участок,1400.0,Индивидуальная
Джеджея Татьяна Юрьевна,Супруг(а),https://declarator.org/person/46008,Муниципальный округ Ясенево (ЮЗАО),Москва,депутат Совета депутатов муниципального округа Ясенево,2021,Квартира,29.9,Индивидуальная
Джеджея Татьяна Юрьевна,Супруг(а),https://declarator.org/person/46008,Муниципальный округ Ясенево (ЮЗАО),Москва,депутат Совета депутатов муниципального округа Ясенево,2021,Квартира,31.4,Индивидуальная
Манаенкова Марина Валентиновна,Супруг(а),https://declarator.org/person/57321,Муниципальный округ Мещанский (ЦАО),Москва,Заместительглавы администрации,2021,Жилой дом,271.0,Индивидуальная
