person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Чибис Андрей Владимирович,декларант,https://declarator.org/person/11660,Губернатор Мурманской области,Мурманская область,Кандидат на должность главы региона,2023,Жилой дом,0.01,Совместная собственность
Чибис Андрей Владимирович,Супруг(а),https://declarator.org/person/11660,Губернатор Мурманской области,Мурманская область,Кандидат на должность главы региона,2023,Жилой дом,0.01,Совместная собственность
Чибис Андрей Владимирович,декларант,https://declarator.org/office/109?active-tab=year-2023,Губернатор Мурманской области,Мурманская область," - Сведения о принадлежащем кандидатам (супругам) недвижимом имуществе, находящемся за пределами территории Российской Федерации",2023,Земельный участок,,В собственности
Ахадова Наргис Агамоглановна,декларант,https://declarator.org/person/9297,Аппарат законодательного собрания Санкт-Петербурга,Санкт-Петербург,Начальник управления внешних связей Аппарата Законодательного Собрания Санкт-Петербурга - ,2022,Земельный участок,543.45,В пользовании
Ахадова Наргис Агамоглановна,декларант,https://declarator.org/person/9297,Аппарат законодательного собрания Санкт-Петербурга,Санкт-Петербург,Начальник управления внешних связей Аппарата Законодательного Собрания Санкт-Петербурга - ,2022,Жилой дом,292.53,В пользовании
Ахадова Наргис Агамоглановна,Сын,https://declarator.org/person/9297,Аппарат законодательного собрания Санкт-Петербурга,Санкт-Петербург,Начальник управления внешних связей Аппарата Законодательного Собрания Санкт-Петербурга - ,2022,Земельный участок,543.45,В пользовании
Ахадова Наргис Агамоглановна,Супруг(а),https://declarator.org/person/9297,Аппарат законодательного собрания Санкт-Петербурга,Санкт-Петербург,Начальник управления внешних связей Аппарата Законодательного Собрания Санкт-Петербурга - ,2022,Земельный участок,543.45,Индивидуальная
Ахадова Наргис Агамоглановна,Дочь,https://declarator.org/person/9297,Аппарат законодательного собрания Санкт-Петербурга,Санкт-Петербург,Начальник управления внешних связей Аппарата Законодательного Собрания Санкт-Петербурга - ,2022,Земельный участок,543.45,В пользовании
Ахадова Наргис Агамоглановна,Супруг(а),https://declarator.org/person/9297,Аппарат законодательного собрания Санкт-Петербурга,Санкт-Петербург,Начальник управления внешних связей Аппарата Законодательного Собрания Санкт-Петербурга - ,2022,Жилой дом,292.53,Индивидуальная
Ахадова Наргис Агамоглановна,Сын,https://declarator.org/person/9297,Аппарат законодательного собрания Санкт-Петербурга,Санкт-Петербург,Начальник управления внешних связей Аппарата Законодательного Собрания Санкт-Петербурга - ,2022,Жилой дом,292.53,В пользовании
Ахадова Наргис Агамоглановна,Дочь,https://declarator.org/person/9297,Аппарат законодательного собрания Санкт-Петербурга,Санкт-Петербург,Начальник управления внешних связей Аппарата Законодательного Собрания Санкт-Петербурга - ,2022,Жилой дом,292.53,В пользовании
Ахадова Наргис Агамоглановна,Сын,https://declarator.org/person/9297,Аппарат законодательного собрания Санкт-Петербурга,Санкт-Петербург,Начальник управления внешних связей Аппарата Законодательного Собрания Санкт-Петербурга - ,2022,Квартира,65.0,В пользовании
Ахадова Наргис Агамоглановна,Супруг(а),https://declarator.org/person/9297,Аппарат законодательного собрания Санкт-Петербурга,Санкт-Петербург,Начальник управления внешних связей Аппарата Законодательного Собрания Санкт-Петербурга - ,2022,Квартира,65.0,В пользовании
Золина Татьяна Владимировна,Супруг(а),https://declarator.org/person/545017,Министерство образования и науки Астраханской области,Астраханская область,Ректор государственного автономного образовательного учреждения Астраханской области высшего образования «Астраханский государственный архитектурно-строительный университет»,2022,Квартира,78.0,В пользовании
Золина Татьяна Владимировна,декларант,https://declarator.org/person/545017,Министерство образования и науки Астраханской области,Астраханская область,Ректор государственного автономного образовательного учреждения Астраханской области высшего образования «Астраханский государственный архитектурно-строительный университет»,2022,Квартира,78.0,В пользовании
Мусаев Газиявдибир Хадисович,декларант,https://declarator.org/person/1533484,Министерство здравоохранения Республики Дагестан,Республика Дагестан,врио главного врача государственного бюджетного учреждения Республики Дагестан «Республиканская клиническая больница»,2022,Квартира,115.0,Совместная собственность
Мусаев Газиявдибир Хадисович,Супруг(а),https://declarator.org/person/1533484,Министерство здравоохранения Республики Дагестан,Республика Дагестан,врио главного врача государственного бюджетного учреждения Республики Дагестан «Республиканская клиническая больница»,2022,Квартира,115.0,Совместная собственность
Покаляева Н В,декларант,https://declarator.org/person/1181231,Правительство Калининградской области,Калининградская область,Ведущий консультант сектора кадровой работы отдела кадров Управления государственной службы и кадровой работы,2022,Квартира,66.0,Совместная собственность
Покаляева Н В,декларант,https://declarator.org/person/1181231,Аппарат правительства Калининградской области,Калининградская область,Ведущий консультант сектора кадровой работы отдела кадров Управления государственной службы и кадровой работы,2022,Квартира,66.0,Совместная собственность
Ломакин А.Н.,Супруг(а),https://declarator.org/office/1143?active-tab=year-2022,Министерство строительства и жилищно-коммунального хозяйства,федеральный орган,Первый заместитель Министра,2022,Квартира,209.6,Индивидуальная
Смирнов Александр Юрьевич,Супруг(а),https://declarator.org/person/2668,Администрация Президента РФ,федеральный орган,Начальник управления Президента РФ,2021,Иное,7.3,Долевая собственность
Смирнов Александр Юрьевич,Супруг(а),https://declarator.org/person/2668,Администрация Президента РФ,федеральный орган,Начальник управления Президента РФ,2021,Гараж,12.5,Долевая собственность
Смирнов Александр Юрьевич,Супруг(а),https://declarator.org/person/2668,Администрация Президента РФ,федеральный орган,Начальник управления Президента РФ,2021,Квартира,140.6,Долевая собственность
Белоусов Вадим Владимирович,Супруг(а),https://declarator.org/person/490,Государственная Дума,федеральный орган,"Депутат государственной думы, член комитета",2021,Земельный участок,800.24,Индивидуальная
Белоусов Вадим Владимирович,Супруг(а),https://declarator.org/person/490,Государственная Дума,федеральный орган,"Депутат государственной думы, член комитета",2021,Жилой дом,513.76,Индивидуальная
Белоусов Вадим Владимирович,Супруг(а),https://declarator.org/person/490,Государственная Дума,федеральный орган,"Депутат государственной думы, член комитета",2021,Квартира,37.25,Индивидуальная
Валуев Николай Сергеевич,Супруг(а),https://declarator.org/person/564,Государственная Дума,федеральный орган,"Депутат государственной думы, первый заместитель председателя комитетa",2021,Жилой дом,90.0,Индивидуальная
Затулин Константин Федорович,декларант,https://declarator.org/person/31989,Государственная Дума,федеральный орган,"Депутат государственной думы, первый заместитель председателя комитетa",2021,Квартира,94.15,Индивидуальная
Майданов Денис Васильевич,декларант,https://declarator.org/person/399378,Государственная Дума,федеральный орган,"Депутат государственной думы, первый заместитель председателя комитетa",2021,Квартира,89.2,Совместная собственность
Майданов Денис Васильевич,Супруг(а),https://declarator.org/person/399378,Государственная Дума,федеральный орган,"Депутат государственной думы, первый заместитель председателя комитетa",2021,Гараж,26.8,Совместная собственность
Майданов Денис Васильевич,Супруг(а),https://declarator.org/person/399378,Государственная Дума,федеральный орган,"Депутат государственной думы, первый заместитель председателя комитетa",2021,Гараж,28.8,Совместная собственность
Майданов Денис Васильевич,Супруг(а),https://declarator.org/person/399378,Государственная Дума,федеральный орган,"Депутат государственной думы, первый заместитель председателя комитетa",2021,Гараж,28.8,Совместная собственность
Майданов Денис Васильевич,Супруг(а),https://declarator.org/person/399378,Государственная Дума,федеральный орган,"Депутат государственной думы, первый заместитель председателя комитетa",2021,Квартира,89.2,Совместная собственность
Майданов Денис Васильевич,Супруг(а),https://declarator.org/person/399378,Государственная Дума,федеральный орган,"Депутат государственной думы, первый заместитель председателя комитетa",2021,Квартира,117.3,Совместная собственность
Майданов Денис Васильевич,Супруг(а),https://declarator.org/person/399378,Государственная Дума,федеральный орган,"Депутат государственной думы, первый заместитель председателя комитетa",2021,Гараж,18.2,Совместная собственность
Майданов Денис Васильевич,декларант,https://declarator.org/person/399378,Государственная Дума,федеральный орган,"Депутат государственной думы, первый заместитель председателя комитетa",2021,Гараж,28.8,Совместная собственность
