person_name,owner,person_link,office_name,region,position,reported_year,тип объекта,площадь,режим собственности
Якубов Р Р,Супруг(а),https://declarator.org/person/376481,Министерство природных ресурсов и экологии,федеральный орган,Директор ФГБУ «Национальный парк «Лосиный остров»,2021,Квартира,211.0,Индивидуальная
Ишмухаметов Айдар Айратович,Супруг(а),https://declarator.org/person/128999,Министерство науки и высшего образования,федеральный орган,Генеральный директор Федерального государственного автономного научного учреждения «Федеральный научный центр исследований и разработки иммунобиологических препаратов им. М.П. Чумакова РАН» (Институт полиомиелита),2021,Квартира,167.3,Индивидуальная
Газизуллин М М,декларант,https://declarator.org/person/1458976,Российские автомобильные дороги (ГК Автодор),федеральный орган,заместитель председателя правления,2021,Квартира,119.0,Индивидуальная
Газизуллин М М,Супруг(а),https://declarator.org/person/1458976,Российские автомобильные дороги (ГК Автодор),федеральный орган,заместитель председателя правления,2021,Квартира,119.0,В пользовании
Белашов Олег Анатольевич,декларант,https://declarator.org/person/145602,Курская областная Дума,Курская область,Депутат Курской областной думы,2021,Квартира,89.7,Индивидуальная
Бутман И.М.,декларант,https://declarator.org/office/5960?active-tab=year-2021,Департамент культуры города Москвы,Москва,Художественный,2021,Квартира,108.6,Индивидуальная
Чибухчян Альберт Альбертович,декларант,https://declarator.org/office/1494?active-tab=year-2021,Мытищи - городской округ,Московская область,,2021,Квартира,179.3,В собственности
Якубов Р Р,Супруг(а),https://declarator.org/person/376481,Министерство природных ресурсов и экологии,федеральный орган,Директор ФГБУ «Национальный парк «Лосиный остров»,2020,Квартира,211.0,Индивидуальная
Ишмухаметов Айдар Айратович,Супруг(а),https://declarator.org/person/128999,Министерство науки и высшего образования,федеральный орган,Генеральный директор ФГБНУ «Федеральный научный центр исследований и разработки иммунобиологических препаратов им.М.П.Чумакова РАН»,2020,Квартира,167.3,Индивидуальная
Ясаев А М,декларант,https://declarator.org/person/1357366,Правительство Чеченской республики,Чеченская республика,Секретарь Совета экономической и общественной безопасности Чеченской Республики,2020,Гараж,18.8,Индивидуальная
Ясаев А М,декларант,https://declarator.org/person/1357366,Правительство Чеченской республики,Чеченская республика,Секретарь Совета экономической и общественной безопасности Чеченской Республики,2020,Квартира,100.8,Индивидуальная
Ишмухаметов Айдар Айратович,Супруг(а),https://declarator.org/person/128999,Поселение Московский (ТиНАО),Москва,Депутат Совета депутатов поселения Московский,2020,Квартира,167.3,Индивидуальная
Чибухчян Альберт Альбертович,декларант,https://declarator.org/office/1494?active-tab=year-2020,Мытищи - городской округ,Московская область,Депутат Совета депутатов городского округа Мытищи (на непостоянной основе),2020,Квартира,179.3,В собственности
Алиев Нурмагомед Алиевич,декларант,https://declarator.org/person/12587,Народное Собрание Республики Дагестан,Республика Дагестан,Депутат народного собрания Республики Дагестан,2020,Иное,3000.0,Индивидуальная
Газизуллин М М,Супруг(а),https://declarator.org/person/1458976,Российские автомобильные дороги (ГК Автодор),федеральный орган,первый заместитель председателя правления,2020,Квартира,119.0,В пользовании
Газизуллин М М,декларант,https://declarator.org/person/1458976,Российские автомобильные дороги (ГК Автодор),федеральный орган,первый заместитель председателя правления,2020,Квартира,119.0,Индивидуальная
Муслимов С Л,Супруг(а),https://declarator.org/person/203811,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель ВЭБ.РФ,2020,Квартира,140.0,В пользовании
Муслимов С Л,декларант,https://declarator.org/person/203811,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель ВЭБ.РФ,2020,Квартира,140.0,В пользовании
Муслимов С Л,декларант,https://declarator.org/person/203811,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель ВЭБ.РФ,2020,Квартира,140.0,В пользовании
Муслимов С Л,Супруг(а),https://declarator.org/person/203811,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель ВЭБ.РФ,2020,Квартира,140.0,В пользовании
Алиев Нурмагомед Алиевич,декларант,https://declarator.org/office/937?active-tab=year-2020,Народное Собрание Республики Дагестан,Республика Дагестан,,2020,Иное,3000.0,В собственности
Минниханов Рустам Нургалиевич,Супруг(а),https://declarator.org/person/423,Глава республики Татарстан,Республика Татарстан,Президент Республики Татарстан,2019,Гараж,0.01,Индивидуальная
Минниханов Рустам Нургалиевич,Супруг(а),https://declarator.org/person/423,Глава республики Татарстан,Республика Татарстан,Президент Республики Татарстан,2019,Квартира,222.2,Индивидуальная
Якубов Р Р,Супруг(а),https://declarator.org/person/376481,Министерство природных ресурсов и экологии,федеральный орган,Директор ФГБУ «Национальный парк «Лосиный остров»,2019,Квартира,211.0,Индивидуальная
Алиев Нурмагомед Алиевич,декларант,https://declarator.org/person/12587,Народное Собрание Республики Дагестан,Республика Дагестан,Депутат народного собрания Республики Дагестан,2019,Иное,3000.0,Индивидуальная
Муслимов С Л,декларант,https://declarator.org/person/203811,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель ВЭБ.РФ,2019,Квартира,140.0,В пользовании
Муслимов С Л,Супруг(а),https://declarator.org/person/203811,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель ВЭБ.РФ,2019,Квартира,140.0,В пользовании
Муслимов С Л,Супруг(а),https://declarator.org/person/203811,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель ВЭБ.РФ,2019,Квартира,140.0,В пользовании
Муслимов С Л,декларант,https://declarator.org/person/203811,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель ВЭБ.РФ,2019,Квартира,140.0,В пользовании
Абдулаев Магомед Сулейманович,декларант,https://declarator.org/person/1365843,Каспийск - городской округ,Республика Дагестан,Глава городского округа «город Каспийск»,2019,Квартира,45.6,Совместная собственность
Абдулаев Магомед Сулейманович,декларант,https://declarator.org/person/1365843,Каспийск - городской округ,Республика Дагестан,Глава городского округа «город Каспийск»,2019,Квартира,66.0,Совместная собственность
Абдулаев Магомед Сулейманович,декларант,https://declarator.org/person/1365843,Каспийск - городской округ,Республика Дагестан,Глава городского округа «город Каспийск»,2019,Квартира,66.0,Совместная собственность
Абдулаев Магомед Сулейманович,декларант,https://declarator.org/person/1365843,Каспийск - городской округ,Республика Дагестан,Глава городского округа «город Каспийск»,2019,Квартира,45.6,Совместная собственность
НАЗАРОВ А.Г.,Супруг(а),https://declarator.org/office/150?active-tab=year-2019,Правительство республики Башкортостан,Республика Башкортостан,Первый заместитель Премьер-министра Правительства Республики Башкортостан,2019,Квартира,33.9,Долевая собственность
НАЗАРОВ А.Г.,Супруг(а),https://declarator.org/office/150?active-tab=year-2019,Правительство республики Башкортостан,Республика Башкортостан,Первый заместитель Премьер-министра Правительства Республики Башкортостан,2019,Квартира,41.1,Долевая собственность
НАЗАРОВ А.Г.,Супруг(а),https://declarator.org/office/150?active-tab=year-2019,Правительство республики Башкортостан,Республика Башкортостан,Первый заместитель Премьер-министра Правительства Республики Башкортостан,2019,Квартира,27.4,Долевая собственность
НАЗАРОВ А.Г.,Супруг(а),https://declarator.org/office/150?active-tab=year-2019,Правительство республики Башкортостан,Республика Башкортостан,Первый заместитель Премьер-министра Правительства Республики Башкортостан,2019,Квартира,24.9,Долевая собственность
НАЗАРОВ А.Г.,Супруг(а),https://declarator.org/office/150?active-tab=year-2019,Правительство республики Башкортостан,Республика Башкортостан,Первый заместитель Премьер-министра Правительства Республики Башкортостан,2019,Квартира,38.6,Долевая собственность
Рассказчиков Андрей Евгеньевич,Супруг(а),https://declarator.org/office/6876?active-tab=year-2019,Поселение Московский (ТиНАО),Москва,Депутат Совета депутатов поселения Московский,2019,Квартира,167.3,Индивидуальная
"Алиев 
Нурмагомед Алиевич",декларант,https://declarator.org/office/937?active-tab=year-2019,Народное Собрание Республики Дагестан,Республика Дагестан,,2019,Иное,3000.0,В собственности
Чибухчян Альберт Альбертович,декларант,https://declarator.org/office/1494?active-tab=year-2019,Мытищи - городской округ,Московская область,Депутат Совета депутатов городского округа Мытищи (на непостоянной основе),2019,Квартира,179.3,В собственности
Минниханов Рустам Нургалиевич,Супруг(а),https://declarator.org/person/423,Глава республики Татарстан,Республика Татарстан,Президент Республики Татарстан,2018,Квартира,222.2,Индивидуальная
Минниханов Рустам Нургалиевич,Супруг(а),https://declarator.org/person/423,Глава республики Татарстан,Республика Татарстан,Президент Республики Татарстан,2018,Гараж,0.01,Индивидуальная
Алиев Нурмагомед Алиевич,декларант,https://declarator.org/person/12587,Народное Собрание Республики Дагестан,Республика Дагестан,Депутат народного собрания Республики Дагестан,2018,Иное,3000.0,Индивидуальная
Муслимов С Л,Супруг(а),https://declarator.org/person/203811,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель ВЭБ.РФ,2018,Квартира,140.0,В пользовании
Муслимов С Л,декларант,https://declarator.org/person/203811,Банк развития и внешнеэкономической деятельности (Внешэкономбанк),федеральный орган,Представитель ВЭБ.РФ,2018,Квартира,140.0,В пользовании
Ишмухаметов Айдар Айратович,Супруг(а),https://declarator.org/person/128999,Поселение Московский (ТиНАО),Москва,Депутат Совета депутатов поселения Московский,2018,Квартира,74.8,Совместная собственность
Ишмухаметов Айдар Айратович,декларант,https://declarator.org/person/128999,Поселение Московский (ТиНАО),Москва,Депутат Совета депутатов поселения Московский,2018,Квартира,74.8,Совместная собственность
Минниханов Рустам Нургалиевич,Супруг(а),https://declarator.org/person/423,Глава республики Татарстан,Республика Татарстан,Президент Республики Татарстан,2017,Квартира,222.2,Индивидуальная
Минниханов Рустам Нургалиевич,Супруг(а),https://declarator.org/person/423,Глава республики Татарстан,Республика Татарстан,Президент Республики Татарстан,2017,Гараж,0.01,Индивидуальная
